Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.1875 North,83.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,28.8,14.9,56,0.5
1958,2,3,30.9,17.8,52,0.3
1958,3,8,35.2,20.2,63,0
1958,4,112,36.6,25.1,127,1.1
1958,5,51,37.3,28,64,-0.5
1958,6,80,37,27.8,85,-1.7
1958,7,421,29.5,24,113,-0.6
1958,8,256,29.9,24.3,114,1.1
1958,9,293,30.4,23.5,113,1.7
1958,10,257,29.6,22.2,109,2.8
1958,11,69,28.2,17.6,86,3.5
1958,12,0,27,14.5,54,3.2
1959,1,19,27.9,15.3,58,3.3
1959,2,19,31.1,17.4,62,3.4
1959,3,0,34.4,20.9,62,2.9
1959,4,30,36.1,25,54,2.3
1959,5,47,37.4,27.7,59,1.5
1959,6,215,33.6,26.5,159,1.7
1959,7,366,29,23.9,114,2.4
1959,8,217,28.9,23.7,109,2.1
1959,9,209,29.6,23.8,108,1.8
1959,10,186,29.1,23,104,2.2
1959,11,0,27.3,16.1,59,1.6
1959,12,4,26.2,13.8,47,1.3
1960,1,0,28.1,14.2,45,0.9
1960,2,0,31.4,16,45,-0.3
1960,3,19,32.7,20.5,58,-1
1960,4,11,36.6,24.5,30,-1.5
1960,5,75,36.8,27.8,84,-1.4
1960,6,184,34.3,26.6,152,-1.1
1960,7,345,29.1,24.2,108,0.5
1960,8,241,29.8,24.7,117,0
1960,9,226,29.7,24.7,106,0.6
1960,10,122,29.9,21.5,112,0
1960,11,2,27.9,15.9,59,-0.4
1960,12,13,28.4,13.8,53,0.1
1961,1,13,28.2,15.1,52,0.1
1961,2,40,28.7,17.1,66,1.1
1961,3,20,33.8,23,71,1.2
1961,4,16,36.7,25.2,42,-0.5
1961,5,80,36.9,27.5,91,0.1
1961,6,209,33.1,25.6,157,0.4
1961,7,276,28.9,23.5,106,0.1
1961,8,304,29.6,24.3,109,0.7
1961,9,262,29.4,23.4,108,1.1
1961,10,215,29.2,21.3,106,1.9
1961,11,22,27,15.4,67,1.7
1961,12,1,25.9,12,49,1.4
1962,1,10,26.9,12,50,1.4
1962,2,11,29.8,16,52,1.3
1962,3,9,34.6,19.4,59,1
1962,4,63,35.3,24.2,83,1.3
1962,5,67,36.3,26.9,77,1
1962,6,108,33.5,26.1,111,-0.7
1962,7,405,29.8,23.8,116,0.8
1962,8,244,29.6,23.9,113,0.8
1962,9,360,30.2,23.5,110,2.1
1962,10,248,29.1,21.5,110,3.1
1962,11,10,27.9,15.4,62,2.6
1962,12,22,27,13.5,59,2.7
1963,1,0,27.1,12.5,46,2.3
1963,2,0,31,15.8,47,1.8
1963,3,8,34.1,20.2,53,1.3
1963,4,170,34.9,23,166,3.3
1963,5,72,36.3,26.5,88,3
1963,6,154,33.4,26,149,2.4
1963,7,244,29.4,24.2,119,1.6
1963,8,284,29.5,23.7,109,0.9
1963,9,241,30.5,24,112,1
1963,10,307,29.7,22.3,111,2.7
1963,11,1,28.3,17.2,61,2
1963,12,0,26.8,14.5,48,1.5
1964,1,1,28.2,15.4,47,1.1
1964,2,16,30.7,18.4,52,1
1964,3,3,34.9,21.7,44,-1.2
1964,4,59,36.1,25.7,76,-1
1964,5,68,37.3,27.7,76,-1.2
1964,6,145,34,26.3,141,-1.5
1964,7,248,29.2,24,124,-1.9
1964,8,388,28.8,23.5,107,-1.4
1964,9,351,29.8,23.6,106,1.6
1964,10,115,29.4,22.7,112,1.3
1964,11,13,27.3,16.7,67,1
1964,12,3,26.5,13.6,51,0.8
1965,1,7,27.7,15.2,51,0.6
1965,2,1,30.7,16.9,48,-0.3
1965,3,29,33.8,19.8,65,-0.7
1965,4,47,35.2,24.4,64,-0.6
1965,5,49,37.1,27.3,58,-1
1965,6,75,35.5,27.1,79,-2.2
1965,7,429,29.8,24.2,119,-1.1
1965,8,265,30.3,24.4,123,-0.7
1965,9,217,30.2,23.9,112,-0.7
1965,10,52,30.3,22.4,96,-1.4
1965,11,2,28.5,16.8,57,-1.8
1965,12,26,26.4,16.1,58,-1.5
1966,1,75,27.5,15.1,81,1.5
1966,2,2,31.7,17.5,49,1.1
1966,3,1,35,20.7,42,-0.6
1966,4,16,36.9,24.8,35,-1.3
1966,5,42,38.3,27.5,52,-1.9
1966,6,164,34.6,26.3,157,-1.9
1966,7,252,30.9,24.7,114,-2.2
1966,8,242,30.3,24.2,111,-2.7
1966,9,195,30.5,23.7,116,-2.8
1966,10,78,30.4,21.5,102,-3
1966,11,63,28.8,18,84,-1.9
1966,12,9,26.3,13.7,53,-1.7
1967,1,24,26.8,15.9,60,-1.1
1967,2,0,31.2,17.5,48,-1.1
1967,3,121,31.9,20.6,126,3
1967,4,42,36.2,23.8,80,2.8
1967,5,8,37.6,27.5,27,1.4
1967,6,202,35.2,26.5,162,1.5
1967,7,325,30,24.3,120,1.7
1967,8,218,29.5,24,118,1.2
1967,9,199,30,24.1,115,0.8
1967,10,25,30.1,21.4,85,-1.7
1967,11,0,28.5,15.2,54,-2.2
1967,12,80,27.7,15.7,83,-0.7
1968,1,27,27.1,14.3,57,1.5
1968,2,9,30.5,17.4,47,1.3
1968,3,23,33.5,20.7,63,1.1
1968,4,55,35,23.5,72,1.1
1968,5,36,37,26.5,46,-0.8
1968,6,223,33.8,26.9,161,0.5
1968,7,317,29.6,24.8,126,0.7
1968,8,74,30.3,24.6,102,-1.4
1968,9,264,30.6,24.1,113,-1.4
1968,10,190,29.4,21.5,111,-0.6
1968,11,36,27.4,17.3,74,0.3
1968,12,4,27.2,14.3,53,0
1969,1,0,28.1,14.1,50,-0.1
1969,2,0,31.2,18.7,48,-0.3
1969,3,19,35,22.7,63,-0.5
1969,4,8,37,25.5,28,-1.3
1969,5,171,36.1,25.8,169,1.6
1969,6,127,34.3,26.8,128,0.8
1969,7,412,29.3,24.1,115,1.5
1969,8,184,29.6,24,117,1
1969,9,253,29.8,23.9,109,1.2
1969,10,90,29.7,21.8,109,0.7
1969,11,66,28.6,17.5,82,1.5
1969,12,46,26.3,13.7,69,2.4
1970,1,3,27.2,15.3,50,2.3
1970,2,8,31.5,18.2,57,2.3
1970,3,97,33.2,22.4,115,4
1970,4,37,35.9,25.1,78,3.7
1970,5,152,37.5,27.3,157,4.6
1970,6,302,32.4,24.7,155,5.6
1970,7,233,29.8,23.8,124,5.1
1970,8,411,29.4,23.7,110,6.1
1970,9,139,29.6,24.3,113,4.6
1970,10,70,29.4,22.1,97,3.6
1970,11,2,27,16,62,2.7
1970,12,0,25.5,12.2,43,2
1971,1,3,26.7,15.6,43,1.4
1971,2,33,30.2,18.2,58,1.6
1971,3,15,33.3,19.7,49,1
1971,4,134,33.6,24.2,139,2.4
1971,5,122,34.7,25.7,129,3.1
1971,6,168,31.4,24.7,156,2.6
