Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.4792 North,83.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,23,30.3,13.6,57,0.5
1958,2,26,31.4,15.8,59,0.6
1958,3,22,37,18.3,69,-0.1
1958,4,17,40.6,24.2,42,0.1
1958,5,6,43.1,28.7,20,-0.6
1958,6,119,40.1,28.7,123,-1.9
1958,7,640,31,24.8,105,-1.3
1958,8,387,30.9,25,108,-1.8
1958,9,374,31.4,24.2,105,1.1
1958,10,129,31.5,22.3,114,2.3
1958,11,11,29.8,16.6,70,2.7
1958,12,0,28.5,13.2,47,2.6
1959,1,22,28.9,13.4,56,2.8
1959,2,9,30.9,14.6,52,2.3
1959,3,1,36.1,18.6,49,1.4
1959,4,15,39.8,24.1,36,1.4
1959,5,22,42.7,28.2,34,1.3
1959,6,185,37.1,27.1,173,0.7
1959,7,500,30.3,24.8,105,-1.1
1959,8,394,30.4,24.7,104,-1.5
1959,9,247,30.6,24.3,91,-1.8
1959,10,121,30.7,22.9,102,1.2
1959,11,0,29.1,15.1,57,1.3
1959,12,2,27.7,12.3,46,1.5
1960,1,4,28.8,12.3,46,1.3
1960,2,0,32.7,14.9,45,0.6
1960,3,44,34.5,17.9,79,1.1
1960,4,7,40.8,23.4,31,0.7
1960,5,13,42.4,28.2,26,-0.2
1960,6,220,37.9,27.5,173,-0.1
1960,7,603,30.1,24.8,99,0.6
1960,8,470,30.7,25.3,103,0.7
1960,9,216,30.9,25,97,-1
1960,10,62,31.3,21.6,92,-0.9
1960,11,0,29,14.6,54,-0.9
1960,12,2,28.8,12,43,-0.8
1961,1,36,29.1,13.5,58,0.7
1961,2,66,28.8,14.5,77,2.1
1961,3,11,35.8,20.6,66,1.9
1961,4,3,40.5,24,29,1.5
1961,5,25,42.3,28,39,1.5
1961,6,274,36.2,26.3,172,1.9
1961,7,482,30.2,24.2,101,1.9
1961,8,556,30.7,25.1,101,2.6
1961,9,442,30.5,24.1,94,4.5
1961,10,88,31,21.3,100,4.5
1961,11,1,28.4,14.4,56,4.3
1961,12,2,26.7,10,46,4
1962,1,9,27.8,10.5,48,3.6
1962,2,19,30.5,14.2,51,3.2
1962,3,36,36.5,17.2,74,3.3
1962,4,21,39.1,23.3,44,3.3
1962,5,8,41.8,27.4,21,2.5
1962,6,188,37.1,27.1,166,1.9
1962,7,537,31.2,24.9,117,1.7
1962,8,277,30.5,24.7,107,-2.2
1962,9,359,31.1,24.3,107,-1.1
1962,10,85,30.5,21.2,105,-0.6
1962,11,1,29.5,14.6,55,1.1
1962,12,4,28.3,11.9,46,1.1
1963,1,1,28.1,10.7,42,0.7
1963,2,4,32.4,14.4,41,-0.5
1963,3,30,35.7,17.6,67,-0.7
1963,4,26,38.7,22.1,43,0.5
1963,5,37,41.1,26.7,47,1
1963,6,188,36.4,26.3,173,-0.4
1963,7,389,30.3,24.7,114,-1.4
1963,8,521,30.7,24.8,103,-0.6
1963,9,333,31.6,24.4,107,1
1963,10,157,31.7,22.2,110,2.8
1963,11,1,30.4,16.4,61,2.7
1963,12,0,28.4,12.6,47,2.6
1964,1,1,29.1,13.2,48,2.1
1964,2,27,31.6,15.7,57,2.1
1964,3,5,36.9,19.7,51,1.3
1964,4,18,39.6,24.5,38,1.3
1964,5,23,42.1,27.6,35,1.2
1964,6,183,37.4,27,162,0.7
1964,7,575,29.8,24.1,116,0.8
1964,8,586,30.3,24.7,96,1.9
1964,9,316,31.1,24.5,102,2.1
1964,10,56,31,22.9,90,1.7
1964,11,5,28.8,15.9,60,1.6
1964,12,0,28.1,12.3,45,1.2
1965,1,10,29.1,13.3,45,0.9
1965,2,6,31.3,14.9,45,-0.6
1965,3,34,35.4,17.2,65,-0.9
1965,4,18,38.7,23.1,34,-0.7
1965,5,9,42.6,28.2,20,-1.1
1965,6,92,38.6,28.1,95,-2.6
1965,7,583,30.9,24.9,115,-2.3
1965,8,344,31,25.3,117,-3.1
1965,9,273,31.2,24.4,108,-3.1
1965,10,37,31.9,22.2,89,-3.4
1965,11,0,30.4,16,55,-3.5
1965,12,3,27.6,13,46,-3.4
1966,1,76,28.2,13,80,-1.3
1966,2,12,32.7,15.9,51,-1.4
1966,3,2,36.5,18.6,41,-2.1
1966,4,5,40.7,24,24,-2.2
1966,5,10,43.3,28.4,22,-2.4
1966,6,256,37.4,27.1,175,-1.9
1966,7,365,32,25.5,113,-2.4
1966,8,308,31,24.9,105,-3.4
1966,9,248,31.5,24.6,113,-3.8
1966,10,32,31.8,21.7,86,-4.1
1966,11,13,30.3,17.2,60,-3.6
1966,12,4,27.5,12,44,-3.4
1967,1,37,28.1,13.4,60,-2.4
1967,2,0,32.5,15.5,40,-2.9
1967,3,96,33.6,18,107,-0.9
1967,4,19,39.2,22,44,1.8
1967,5,5,42.7,28,19,1.1
1967,6,234,38.6,27.5,178,1
1967,7,526,31.2,25,119,0.9
1967,8,529,30.4,24.6,106,1.5
1967,9,317,31,24.6,108,1.6
1967,10,16,31.7,21.5,81,-1
1967,11,0,30,14.5,51,-1.5
1967,12,10,29.4,13.6,45,-1.4
1968,1,31,28.2,12.4,56,-1
1968,2,31,30.7,14.4,54,-0.7
1968,3,34,35.3,18.2,68,-0.7
1968,4,9,38.5,22.6,27,-0.8
1968,5,4,42.5,27.5,15,-1.4
1968,6,278,36.1,26.7,168,-0.7
1968,7,488,30.3,25,117,0.2
1968,8,257,31,24.9,116,-1.8
1968,9,309,31.9,24.9,111,-1.5
1968,10,117,30.9,21.5,115,1.1
1968,11,6,29.4,16.1,62,1.4
1968,12,1,28.6,12.6,49,1.6
1969,1,4,29,12,48,1.3
1969,2,2,32.4,16,45,0.6
1969,3,17,37,20.4,57,-1
1969,4,5,40.4,24.2,24,-1.3
1969,5,30,41.6,26.5,41,-0.8
1969,6,130,37.6,27.4,131,-1.9
1969,7,680,30.4,24.7,108,-1.1
1969,8,444,30.3,24.7,111,-1.1
1969,9,298,30.8,24.4,106,-0.9
1969,10,27,31.6,21.9,84,-1.6
1969,11,10,30.5,16.7,57,-1.6
1969,12,5,27.9,12.1,42,-1.6
1970,1,13,28.3,13.3,45,-1.5
1970,2,30,31.3,15.5,57,-1.3
1970,3,83,34.7,19.4,103,1.3
1970,4,10,39.8,24.2,33,1
1970,5,30,42.8,28.1,42,1.2
1970,6,402,35.5,25.4,168,2.9
1970,7,455,30.6,24.5,116,3.3
1970,8,538,30.6,24.9,108,3.7
1970,9,239,30.5,24.6,106,2.5
1970,10,47,31.1,22.3,90,1.9
1970,11,1,28.7,15.1,59,1.4
1970,12,0,27.5,10.9,41,1
1971,1,22,27.8,13.2,51,1
1971,2,44,30.4,14.8,64,1.5
1971,3,10,35.1,17.1,49,0.8
1971,4,28,36.8,22.7,46,1.3
1971,5,43,39.7,25.7,53,2.1
1971,6,499,34.2,25,160,4.8
1971,7,452,29.5,24.1,116,5.3
1971,8,518,29.6,24.4,108,5.3
1971,9,235,31.2,24.4,111,3.8
1971,10,107,30.7,21.8,108,4.3
1971,11,0,28.2,14.7,60,4
1971,12,0,27.6,11.1,46,3.8
1972,1,3,28.1,11.7,43,3.2
1972,2,42,28.9,13.7,65,3.6
1972,3,1,35.5,18.8,52,2.8
1972,4,12,39.5,23.3,34,2.6
1972,5,4,43.2,28.4,17,1.7
1972,6,115,39.6,28,119,-2.2
1972,7,400,31.7,25.1,130,-3
1972,8,449,30.6,24.7,120,-3.1
1972,9,366,31.8,23.9,117,-2
1972,10,67,31.8,20.9,97,-1.8
1972,11,7,29.6,15.2,60,-1.4
1972,12,0,29.2,12.5,47,-1.3
1973,1,2,29.9,13.2,43,-1.7
1973,2,6,32.4,16.2,43,-2.1
1973,3,34,35.4,18.3,64,-2
1973,4,5,41,25.2,22,-2.3
1973,5,19,42.5,28.5,28,-2.2
1973,6,132,37.4,26.8,133,-3.1
1973,7,491,30.7,24.8,114,-3.3
1973,8,485,30.7,24.7,105,-2.7
1973,9,234,30.7,24.7,106,-3.2
1973,10,136,30.8,22.3,109,-1.4
