Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.8542 North,83.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,18,30.9,14.8,58,0.6
1958,2,20,32.3,17.4,61,0.6
1958,3,11,37.9,20.3,70,-0.1
1958,4,23,40.9,25.9,67,0.1
1958,5,8,42.5,29.4,30,-0.6
1958,6,118,40.1,29.3,126,-2
1958,7,571,31.3,25.2,110,-1.2
1958,8,319,31.2,25.3,110,-1.2
1958,9,329,31.7,24.5,108,1.4
1958,10,130,31.9,23.1,115,2.5
1958,11,18,30.3,17.9,74,3.1
1958,12,0,28.9,14.5,50,2.9
1959,1,18,29.5,14.7,58,3.1
1959,2,15,32,16.5,61,2.8
1959,3,0,37,20.7,66,2.2
1959,4,17,40,25.7,56,2.1
1959,5,22,42.1,28.9,42,1.8
1959,6,203,37.1,27.7,173,1.5
1959,7,471,30.6,25.2,111,1.4
1959,8,313,30.4,24.7,106,1.1
1959,9,215,30.9,24.6,95,0.6
1959,10,112,31.1,23.7,103,1.6
1959,11,0,29.6,16.4,59,1.5
1959,12,3,28,13.6,49,1.6
1960,1,2,29.4,13.6,50,1.4
1960,2,0,33.4,16.3,51,0.8
1960,3,24,35.4,20,74,1.1
1960,4,6,40.8,25.1,49,0.8
1960,5,16,41.8,29,38,0.7
1960,6,227,37.9,28.1,172,0.7
1960,7,529,30.5,25.3,103,1.5
1960,8,363,30.8,25.5,108,1.5
1960,9,196,31.2,25.3,98,0.7
1960,10,61,31.7,22.4,93,0.6
1960,11,0,29.6,16,56,-0.1
1960,12,4,29.4,13.4,47,-0.7
1961,1,27,29.7,14.8,57,0.6
1961,2,62,29.9,16.3,79,1.9
1961,3,10,36.7,22.7,72,2
1961,4,4,40.8,25.8,51,1.6
1961,5,28,41.7,28.7,50,1.8
1961,6,252,36.3,26.9,175,2
1961,7,443,30.5,24.6,106,2.1
1961,8,445,30.8,25.3,103,2.7
1961,9,380,30.7,24.4,99,4.3
1961,10,93,31.4,22.1,102,4.4
1961,11,3,29,15.7,59,4.1
1961,12,1,27.3,11.5,49,3.8
