Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.1042 North,84.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,29.4,13.2,55,0.3
1958,2,23,31,15.5,53,0.5
1958,3,26,37.6,19.1,54,0.6
1958,4,12,40.9,24.5,26,-0.1
1958,5,6,42.6,28.2,15,-0.8
1958,6,113,40.1,28.3,114,-1.9
1958,7,532,31.3,24.8,105,-1.4
1958,8,365,30.8,24.7,109,-1.8
1958,9,328,31,23.7,103,-0.8
1958,10,124,31.2,21.8,114,2
1958,11,6,29.3,16.2,66,2.3
1958,12,0,27.8,12.7,45,2.3
1959,1,24,27.9,12.9,53,2.5
1959,2,4,30.5,14.3,44,2.1
1959,3,2,36.6,19.5,27,1.3
1959,4,13,39.9,24.3,26,1.2
1959,5,28,42.2,27.5,36,1.1
1959,6,156,37.1,26.8,152,-1.1
1959,7,396,30.6,24.7,105,-1.5
1959,8,391,30.3,24.4,105,-1.6
1959,9,235,30.2,23.8,92,-1.8
1959,10,135,30.4,22.4,102,1.6
1959,11,0,28.6,14.8,56,1.7
1959,12,2,27,11.8,44,1.9
1960,1,3,27.9,11.8,41,1.6
1960,2,0,32.5,14.8,39,1.1
1960,3,45,34.9,18.7,68,1.7
1960,4,6,41,23.6,19,1.2
1960,5,12,41.8,27.6,20,0.7
1960,6,194,37.9,27.2,172,-0.3
1960,7,498,30.3,24.6,102,0.3
1960,8,460,30.5,24.9,102,0.8
1960,9,206,30.6,24.5,99,-0.9
1960,10,56,31,21.1,91,-0.9
1960,11,0,28.5,14.2,51,-0.9
1960,12,2,28.1,11.4,39,-0.9
1961,1,37,28.2,13,55,0.7
1961,2,56,28.5,14.2,69,2
1961,3,6,36.4,21.4,38,1.6
1961,4,1,40.6,24.1,17,1.1
1961,5,26,41.8,27.4,34,1.1
1961,6,285,36,25.8,166,1.5
1961,7,369,30.5,24.2,102,1.4
1961,8,508,30.6,24.8,102,2.2
1961,9,378,30.2,23.6,93,3.7
1961,10,87,30.6,20.8,99,3.8
1961,11,1,27.9,14,54,3.7
1961,12,3,25.9,9.5,44,3.5
1962,1,11,26.8,10.1,44,3.2
1962,2,16,30.2,14,44,3
1962,3,26,37,18,50,2.9
1962,4,17,39.4,23.5,30,2.8
1962,5,7,41.3,26.8,15,1.9
1962,6,197,37.1,26.8,161,1.5
1962,7,402,31.5,24.8,119,1.1
1962,8,278,30.3,24.3,104,-2.2
1962,9,318,30.7,23.7,107,-1.3
1962,10,63,30.2,20.7,96,-1.3
1962,11,0,29.1,14.2,51,-1.2
1962,12,4,27.6,11.4,41,-1.1
1963,1,2,27.1,10.2,37,-1.4
1963,2,4,32.2,14.2,34,-1.7
1963,3,35,36.2,18.4,51,-1.3
1963,4,16,38.9,22.3,26,-1.1
1963,5,52,40.5,26,57,1.1
1963,6,188,36.3,25.9,171,0.6
1963,7,338,30.6,24.5,114,-1.1
1963,8,498,30.6,24.5,103,0.8
1963,9,309,31.2,23.8,106,1.2
1963,10,160,31.4,21.7,111,3.1
1963,11,1,30,16,61,3.1
1963,12,0,27.7,12.2,45,3
1964,1,1,28.1,12.5,44,2.4
1964,2,21,31.3,15.3,48,2.4
1964,3,3,37.4,20.6,28,1.6
1964,4,18,39.7,24.7,30,1.6
1964,5,31,41.5,26.9,38,1.5
1964,6,212,37.3,26.6,164,1.3
1964,7,494,29.8,23.8,116,1.5
1964,8,517,30.3,24.4,98,2.4
1964,9,275,30.7,23.9,102,2.2
1964,10,59,30.7,22.4,92,1.9
1964,11,6,28.4,15.4,59,1.9
1964,12,0,27.5,11.9,42,1.5
1965,1,7,28.3,12.8,39,1.1
1965,2,6,30.9,14.5,37,-1
1965,3,26,35.8,17.9,41,-0.9
1965,4,21,38.8,23.2,30,-0.6
1965,5,10,42.1,27.5,16,-1
1965,6,89,38.5,27.8,89,-2.3
1965,7,442,31,24.7,116,-2.4
1965,8,311,30.8,24.9,118,-3.3
1965,9,254,30.7,23.8,107,-3.2
1965,10,37,31.6,21.7,88,-3.5
1965,11,0,29.9,15.5,53,-3.5
1965,12,3,26.8,12.4,41,-3.5
1966,1,63,27.2,12.5,70,-1.7
1966,2,10,32.4,15.5,42,-1.9
1966,3,1,37.1,19.4,20,-2.4
1966,4,4,40.9,24.3,15,-2.5
1966,5,6,42.8,27.8,13,-3
1966,6,279,37.3,26.8,179,-2.3
1966,7,242,32.1,25.1,118,-2.9
1966,8,269,30.7,24.5,109,-4.2
1966,9,191,31.2,24.1,114,-5.1
1966,10,24,31.5,21.3,83,-5.4
1966,11,9,29.8,16.7,55,-5.1
1966,12,7,26.8,11.5,41,-4.7
1967,1,30,27.2,12.9,51,-3.9
1967,2,0,32.2,15.1,30,-4.2
1967,3,75,34.1,18.8,87,-2.4
1967,4,19,39.3,22.1,28,-2
1967,5,8,42.1,27.4,14,-2.4
1967,6,206,38.6,27.2,178,-2.4
1967,7,413,31.4,24.8,122,-2.5
1967,8,583,30.2,24.2,104,-0.6
1967,9,326,30.5,23.9,106,2.2
1967,10,18,31.4,21.1,81,1
1967,11,0,29.5,14.1,49,-1.4
1967,12,9,28.6,13.1,41,-1.4
1968,1,29,27.2,11.8,51,-1
1968,2,22,30.3,14,43,-0.9
1968,3,21,35.8,19,38,-1.1
1968,4,5,38.7,22.8,15,-1.3
1968,5,4,42.1,27,11,-2
1968,6,267,35.9,26.2,165,-1.4
1968,7,372,30.4,24.7,119,-1.4
1968,8,313,30.8,24.6,115,-2.3
1968,9,222,31.6,24.4,112,-2.9
1968,10,97,30.6,21,109,-2
1968,11,4,29,15.7,59,-1.4
1968,12,2,28,12.2,46,-1.1
1969,1,6,28.1,11.4,42,-1.2
1969,2,4,32,15.5,38,-1.5
1969,3,10,37.7,21.2,28,-1.9
1969,4,7,40.7,24.3,18,-2
1969,5,36,41,25.9,42,-1.5
1969,6,135,37.6,27.1,133,-2.2
1969,7,547,30.5,24.5,111,-1.6
1969,8,449,30.1,24.3,107,-1.1
1969,9,270,30.4,23.8,105,-1.1
1969,10,22,31.3,21.4,81,-1.8
1969,11,9,30,16.3,54,-1.8
1969,12,4,27.2,11.6,37,-1.9
1970,1,21,27.4,12.8,46,-1.6
1970,2,28,30.8,15,49,-1.3
1970,3,54,35.3,20,70,0.8
1970,4,8,40.1,24.3,18,-0.3
1970,5,33,42.3,27.4,39,0.6
1970,6,377,35.4,25,169,1.9
1970,7,390,30.8,24.3,117,2.3
1970,8,440,30.5,24.6,110,2.3
1970,9,308,30.1,24,105,2.5
1970,10,53,30.8,21.7,92,2
1970,11,1,28.3,14.7,58,1.6
1970,12,0,27,10.5,37,1.2
1971,1,34,26.8,12.6,54,1.6
1971,2,29,29.9,14.1,50,1.8
1971,3,6,35.6,17.9,28,1.1
1971,4,31,36.8,22.7,42,1.7
1971,5,59,39.1,25,64,2.7
1971,6,558,34,24.5,157,5.5
1971,7,472,29.6,23.7,114,6.2
1971,8,559,29.4,24,106,7
1971,9,198,30.8,23.8,109,5.1
1971,10,109,30.4,21.3,110,5.6
