Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.6875 North,75.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,3,31.3,21.7,85,0.8
1958,2,7,31.1,23.3,72,0.9
1958,3,30,32.3,24.6,89,1.5
1958,4,83,32.2,25.5,107,1.7
1958,5,279,31.2,25.2,143,1.6
1958,6,421,29.3,23.9,114,1.4
1958,7,1085,27.3,23.2,94,1.3
1958,8,621,27.2,23.1,100,1.5
1958,9,137,29.1,23,113,0.7
1958,10,121,29.3,23.5,115,-1.7
1958,11,167,30.7,23.1,115,1.1
1958,12,7,31.3,21.5,88,-0.6
1959,1,0,31.8,21.7,84,-0.6
1959,2,1,31.7,22.6,71,-0.7
1959,3,0,33.1,23.2,76,-1.3
1959,4,98,32.6,25.2,116,-0.6
1959,5,104,32.2,25.3,115,-0.8
1959,6,2891,28,23.5,102,-0.7
1959,7,1003,26.6,22.8,88,-0.6
1959,8,587,28.2,22.9,97,0.2
1959,9,507,28.8,23.3,109,1.3
1959,10,152,29.7,23.7,116,-0.8
1959,11,103,30.4,22.7,111,-0.8
1959,12,19,31.2,21.5,89,-0.9
1960,1,4,31.3,21.8,84,-0.8
1960,2,0,30.6,22.3,69,-0.9
1960,3,41,32.3,23.8,93,1
1960,4,157,32.2,25.1,151,2.9
1960,5,160,32,24.6,148,2.5
1960,6,526,28.9,23.4,101,2.3
1960,7,1226,27,23.2,99,2
1960,8,421,28.4,23.3,101,1.2
1960,9,378,27.9,23.1,102,1.5
1960,10,216,29.7,23.1,118,1.2
1960,11,262,30.6,22.8,121,3.8
1960,12,9,31.3,21.3,87,2.9
1961,1,8,30.8,22.4,87,2.9
1961,2,21,30.7,22.8,80,3.4
1961,3,9,33.4,24.4,85,3
1961,4,83,33,25.3,110,2.9
1961,5,616,31.2,25,143,3.2
1961,6,2308,27.7,22.9,102,2.9
1961,7,1666,26.4,22.5,90,2.6
1961,8,477,27.5,23.1,96,2
1961,9,565,28.8,22.7,105,3
1961,10,322,29.8,22.8,115,3.7
1961,11,64,30.5,22.5,99,2.6
1961,12,19,30.9,21.7,89,1.9
1962,1,28,30.5,21.3,91,2.5
1962,2,33,30.6,22.6,83,3.5
1962,3,5,32,23.5,78,2.8
1962,4,84,31.9,24.9,108,2.8
1962,5,199,31.3,24.7,137,2.5
1962,6,860,29.4,23.2,116,2.2
1962,7,684,27.2,22.9,94,2
1962,8,736,27.5,23.2,102,2.7
1962,9,331,28.4,23.1,105,2.6
1962,10,483,28.8,23.7,111,5.3
1962,11,17,30.6,22,84,3.1
1962,12,68,31.2,21.3,107,3.7
1963,1,16,30.1,21.8,85,3.6
1963,2,14,30.9,21.6,75,3.5
1963,3,28,31.9,23.8,85,3.5
1963,4,81,31.9,24.5,106,3.4
1963,5,55,32.4,25,87,2.8
1963,6,443,28.6,23.4,107,2.5
1963,7,1201,27.7,23,103,2.2
