Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.9375 North,79.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,28.9,21.4,85,0.1
1958,2,1,29.7,22.6,69,0
1958,3,3,32,24.1,69,0
1958,4,11,33.2,26.1,46,0
1958,5,75,34.6,26.4,91,1.2
1958,6,23,36.6,26.9,34,0.6
1958,7,25,34.4,25.8,32,-1.5
1958,8,202,32.9,24.7,170,-0.7
1958,9,72,33.5,24.3,81,-1.4
1958,10,285,30.9,24.1,123,-0.9
1958,11,292,29.5,23.3,100,-0.8
1958,12,52,28.9,21.8,89,-1.3
1959,1,7,29.4,21.3,76,-1.6
1959,2,54,30.7,22.2,89,-0.7
1959,3,0,32.7,22.6,78,-0.7
1959,4,26,33.6,25.8,65,0.2
1959,5,46,35.6,26.4,64,0.7
1959,6,42,34.7,25.9,52,0.9
1959,7,36,33.6,25.3,42,-0.9
1959,8,84,34.2,24.8,86,-1.7
1959,9,88,33.2,24.5,89,-2.2
1959,10,224,31.5,24.5,129,-2.3
1959,11,334,29.3,22.9,106,-2.1
1959,12,69,28.4,21.5,96,-2.4
1960,1,25,28.7,21.2,81,-2.3
1960,2,2,29.2,21.5,64,-2.3
1960,3,1,31.8,23.1,67,-2.3
1960,4,7,33.1,25.6,41,-2.4
1960,5,16,35.5,26,33,-2.7
1960,6,55,36,26.2,64,-1.9
1960,7,122,33.8,25.6,122,-1
1960,8,92,34.6,25.4,93,-1.7
1960,9,141,32.2,24.2,135,-1.3
1960,10,151,31.6,24,131,-2.1
1960,11,676,29,22.5,100,-0.6
1960,12,53,28.8,21.6,92,-1.1
1961,1,130,28.2,21.9,122,2.2
1961,2,44,29.5,22.4,91,3.1
1961,3,0,32.2,23.1,91,3.4
1961,4,3,34,25.9,72,3.3
1961,5,38,34.9,26.5,64,3.2
1961,6,77,34.8,25.6,89,4
1961,7,105,33.4,25,110,3.7
1961,8,249,33.2,24.8,187,4.3
1961,9,154,32.9,23.7,151,4.2
1961,10,196,31.7,23.7,128,3.5
1961,11,148,29.1,22.5,104,2.5
1961,12,83,27.8,21.3,95,1.5
1962,1,17,27.8,20.7,60,-2.3
1962,2,12,29.1,21.9,46,-2.7
1962,3,6,31.6,22.9,30,-3.5
1962,4,10,33,25.6,24,-3.6
1962,5,76,34.6,25.8,81,-2.3
1962,6,46,36,25.4,50,-1.9
1962,7,50,34.3,25.5,53,-2.5
1962,8,195,33.3,24.8,168,-1.7
1962,9,133,32.5,24.1,130,-1.4
1962,10,374,30.3,24.2,112,1.8
1962,11,102,29.6,22.3,106,1.1
1962,12,81,28.7,21.5,98,-1
1963,1,159,27.3,21.1,121,2
1963,2,4,29.3,20.7,75,2
1963,3,41,31.4,23.1,95,2.9
1963,4,23,32.6,24.8,75,3.6
1963,5,22,35.7,26,53,3
1963,6,39,35.8,26.3,55,2.7
1963,7,105,34.7,25.6,111,2.6
1963,8,140,33.9,24.8,140,2.1
1963,9,130,33.7,24.3,126,1.8
1963,10,200,31.7,24,133,1.1
1963,11,332,29.2,23.2,106,0.9
1963,12,207,28.6,21.8,113,1.2
1964,1,0,29.4,20.1,82,0.7
1964,2,0,30.9,21.7,71,-0.2
1964,3,3,32.6,23.8,73,-0.8
1964,4,0,34.5,26,42,-1.3
1964,5,15,36.9,27.3,35,-1.8
1964,6,23,36.6,26,34,-2.1
1964,7,145,34.5,25.4,142,-0.8
1964,8,174,33.5,24.4,166,1.2
1964,9,107,32.8,23.7,109,0.7
1964,10,190,32.5,24,136,-0.6
1964,11,443,29,22.1,110,0.3
1964,12,59,28.9,20.8,95,-1
1965,1,21,29,20.5,84,-1.1
1965,2,34,29.3,21.9,82,-0.6
1965,3,0,31.7,23.1,74,-0.7
1965,4,33,32.6,24.9,72,0.4
1965,5,25,35.4,26.2,44,-0.3
1965,6,36,36.7,25.9,47,-0.1
1965,7,83,35.4,25,88,-0.6
1965,8,225,33.4,24.4,156,1.1
1965,9,100,33.8,24.3,110,0.6
1965,10,119,32.1,24.1,119,-1.4
1965,11,230,29.6,23.2,107,-1.7
1965,12,386,28.4,22.5,109,1.3
1966,1,37,28.9,21.9,93,1.4
1966,2,5,30.4,22.2,78,1.4
1966,3,8,32.5,23.9,84,1.5
1966,4,3,33.9,25.6,54,1.1
1966,5,71,36.4,26.6,91,1.7
1966,6,59,36,25.4,71,2.1
1966,7,71,34.6,25.7,77,1.7
1966,8,296,34.4,25,155,3.5
1966,9,145,32.8,24.1,141,3.7
1966,10,375,31.1,23.5,129,4.9
1966,11,474,29.9,23.1,106,5.6
1966,12,166,28.5,21.9,116,5.2
1967,1,124,28.8,20.5,121,6.5
1967,2,0,30.2,20.4,82,6.3
1967,3,21,31.8,22.7,93,6.6
1967,4,12,34.1,25.3,81,6.9
1967,5,47,35.5,26.3,84,6.6
1967,6,43,35.6,25.9,61,6.3
1967,7,93,34.4,24.8,101,5.8
1967,8,173,33.6,24.2,166,5.5
1967,9,70,33.1,24,75,4
1967,10,199,30.5,23.6,120,3.2
1967,11,296,28.8,21.4,117,2.6
1967,12,319,28.4,22.1,104,3.5
1968,1,3,28.4,20.7,81,2.8
1968,2,14,30.1,21.3,75,2.7
1968,3,5,31.4,23.4,72,2.5
1968,4,51,32.6,24.9,87,3.4
1968,5,19,35.6,26.2,48,2.6
1968,6,34,36,26.3,49,2.3
1968,7,33,34.2,25.8,43,1.1
1968,8,82,34.8,25.3,86,-2.1
1968,9,110,33,24.4,109,-2.2
1968,10,116,31.7,23.8,112,-3.2
1968,11,191,28.9,22.9,105,-3.5
1968,12,121,28.5,21.7,112,-3.8
1969,1,0,28.5,20.4,34,-4.9
1969,2,14,30,21.5,32,-5.5
1969,3,0,32.9,23.6,12,-6.4
1969,4,0,34.1,25.8,8,-6.6
1969,5,45,35.6,26.1,48,-5.9
1969,6,16,36.6,26.4,20,-6
1969,7,68,34.6,25.3,68,-5.8
1969,8,148,33.8,25,142,-5.2
1969,9,18,33.9,24.3,20,-6.5
1969,10,489,31.1,23.7,118,-3.8
1969,11,403,29.9,23,104,-2.5
1969,12,137,27.5,22.1,102,-2.1
1970,1,14,28.6,21.3,83,-2
1970,2,24,30,21.9,81,-1.4
1970,3,3,32.5,23.6,78,-1.1
1970,4,12,33.3,26.2,63,-0.8
1970,5,31,35.3,26.7,55,-0.7
1970,6,55,35.5,26,67,2.3
1970,7,91,34.6,25.2,97,2.1
1970,8,142,33.2,24.5,139,1.8
1970,9,87,33,24,89,1
1970,10,170,31.2,23.9,131,-1.4
1970,11,512,28.3,23.3,105,-0.7
1970,12,25,28,19.8,86,-1.4
1971,1,42,28.1,21,80,-1.1
1971,2,27,30.2,21.3,75,-0.7
1971,3,37,31.5,22.8,89,1
1971,4,21,33.7,25,71,1.4
1971,5,54,35.3,26.1,76,1.8
1971,6,39,34.4,25.6,51,1.7
1971,7,82,34.4,25.2,87,1.3
1971,8,133,33.6,24.3,131,1
1971,9,112,32.7,24.1,112,0.6
1971,10,299,31.3,23.5,128,0.9
1971,11,123,29.3,21.6,112,-0.6
1971,12,227,27.1,21,104,0.3
1972,1,10,28.1,19.6,79,-0.7
1972,2,0,29.9,20.8,64,-0.9
1972,3,0,32.2,21.5,65,-1.1
1972,4,4,33.8,25.5,35,-1.4
1972,5,131,34.6,26,135,2.3
1972,6,37,37.1,26.4,48,2.1
1972,7,52,35.4,25.5,58,1.2
1972,8,67,35.1,25.1,71,-1.8
1972,9,140,33.8,25.1,135,-1.5
1972,10,347,31.1,23.9,116,0.9
1972,11,187,29.8,22.8,114,-0.3
1972,12,385,28.6,22.7,111,2.2
1973,1,3,30.2,20.3,79,1.7
1973,2,0,31.3,22,72,1.4
1973,3,0,32.9,23.3,73,1.1
1973,4,0,34.4,26.2,43,0.6
1973,5,19,36.9,26.6,39,-1.2
1973,6,41,36.2,26.4,52,-1
1973,7,62,34.9,26.2,68,-1.4
1973,8,162,33.3,24.6,155,-1.1
1973,9,170,33.5,24.3,148,0.5
1973,10,240,31.4,24.3,124,0
1973,11,130,29.5,22.5,119,-0.7
1973,12,163,27.9,21.5,107,-0.8
1974,1,8,28.6,19.8,59,-1.4
1974,2,10,30.5,20.2,54,-1.8
1974,3,7,32.4,22.6,42,-2.2
1974,4,1,34.2,25.8,20,-2.6
1974,5,36,35.3,25.5,46,-2.4
1974,6,54,36.3,25.7,60,-1.7
1974,7,93,35.1,25.1,94,-1.5
1974,8,67,34.1,24.6,68,-2.4
1974,9,147,32.6,23.8,140,-1.9
1974,10,205,31.9,23.4,124,-2.1
1974,11,69,29.9,22,79,-2.9
1974,12,29,29.2,20.3,46,-4
1975,1,10,28.9,20,24,-5.3
1975,2,0,30.7,21.8,10,-6.5
