Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 31.6458 North,74.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,20,6.8,22,-0.9
1958,2,3,22.6,6.9,11,-1.5
1958,3,10,28.4,13.1,14,-2.1
1958,4,4,36.4,19.4,8,-2.4
1958,5,3,38.8,21.9,5,-2.7
1958,6,37,40.8,25.7,37,-2.6
1958,7,178,35.2,27.4,147,-2.5
1958,8,76,34.2,26.1,82,-3.4
1958,9,224,32.9,23.5,119,-1.4
1958,10,30,31.4,17.3,69,2.5
1958,11,1,26.7,9.7,31,2.9
1958,12,44,21.3,6.1,41,3.7
1959,1,57,18,4.2,46,4.5
1959,2,19,20.7,5.4,35,4.5
1959,3,15,28.4,12.5,25,3.7
1959,4,3,34.4,17.9,8,2.9
1959,5,20,37.5,22.1,23,2.7
1959,6,14,41.2,26.4,16,1.7
1959,7,267,34.3,26.1,148,2.4
1959,8,223,34.2,26.3,133,3.2
1959,9,102,33.7,24.4,110,3.5
1959,10,24,33,18.8,71,4.3
1959,11,19,26.2,8.9,38,4.9
1959,12,2,21.3,4.9,11,4.2
1960,1,26,18,4.1,29,3.8
1960,2,0,25.4,8.8,4,2.6
1960,3,37,25.9,11.1,38,2.4
1960,4,11,32.4,15.9,13,1.9
1960,5,3,39.5,22.5,5,1.2
1960,6,30,41.5,25.9,30,0.7
1960,7,189,35.2,26.4,141,0.7
1960,8,128,34.5,26.8,126,-1.6
1960,9,37,34.6,24.1,50,-2.2
1960,10,1,32,16.9,8,-2.9
1960,11,0,26.5,8.2,4,-2.9
1960,12,17,20.8,4.4,19,-2.6
1961,1,86,19.1,5.4,45,-0.7
1961,2,25,20,5.2,37,2.2
1961,3,11,27.7,12.5,22,1.4
1961,4,25,33.1,16,30,1.6
1961,5,10,38.9,22.1,13,1.2
1961,6,27,40.6,25.8,28,0.7
1961,7,218,35.1,26.3,137,1.1
1961,8,168,33.9,25.9,119,1.2
1961,9,113,34.4,24.6,115,1.9
1961,10,33,31.3,16.9,73,3
1961,11,2,24.1,8.5,29,3.4
1961,12,10,19.3,3.4,18,3.1
1962,1,42,18,4.1,41,3.5
1962,2,30,23.1,7.7,36,3.5
1962,3,29,27,11.9,32,3.1
1962,4,4,34.5,17.7,6,2.5
1962,5,7,38.5,22.1,9,1.9
1962,6,16,40.7,25.4,17,1.1
1962,7,169,35.6,26.8,147,0.7
1962,8,134,34.5,25.9,130,-1.6
1962,9,293,32.2,22.6,123,2.7
1962,10,1,31.5,16.8,66,3.1
1962,11,15,25.4,9,33,3.6
1962,12,13,19.8,4.6,20,3.3
