Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.2292 North,74.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,21.6,7.2,16,0.1
1958,2,2,24,7.4,4,-0.6
1958,3,6,31,14,7,-1.1
1958,4,1,38.5,20.5,2,-1.2
1958,5,1,40.8,23.3,2,-1.5
1958,6,11,42.4,27.2,11,-1.8
1958,7,102,36.1,27.9,98,-1.7
1958,8,51,35.6,26.5,49,-2.7
1958,9,233,33.7,23.9,126,3.2
1958,10,31,33.4,17.5,68,6.3
1958,11,1,28.9,10.1,16,7.6
1958,12,28,23.1,7,31,8.3
1959,1,24,19.6,4.8,27,8.4
1959,2,8,22.5,6.3,10,7.5
1959,3,7,31.1,13,8,6.2
1959,4,1,36.4,19,2,5.5
1959,5,7,39.5,23.4,8,5
1959,6,10,42.2,28,10,4.1
1959,7,132,35.5,27,126,4.3
1959,8,137,34.9,26.5,131,4.9
1959,9,128,34.3,24.6,123,5.6
1959,10,16,34.7,19.1,16,5.1
1959,11,5,28.7,9.3,6,4.8
1959,12,0,23.3,5.7,1,3.9
1960,1,12,19.5,4.6,11,3.5
1960,2,0,27.2,9.2,0,2.5
1960,3,18,28.5,11.9,17,2.2
1960,4,2,34.7,16.9,2,1.9
1960,5,1,41.3,23.8,1,1.3
1960,6,14,42.6,27.4,14,0.9
1960,7,108,36.4,26.9,103,1
1960,8,98,35.1,27,93,0.9
1960,9,38,35.9,24.3,36,-1.7
1960,10,6,34,17.2,6,-2
1960,11,0,29.4,7.7,0,-2
1960,12,13,22.6,5.5,13,-1.6
1961,1,34,20.4,5.7,33,1.4
1961,2,18,21.4,6,17,1.6
1961,3,4,30.1,13.2,4,0.8
1961,4,4,35.3,17.2,4,0.7
1961,5,4,40.4,23.5,3,-0.2
1961,6,17,41.4,27,16,-0.7
1961,7,107,36,26.9,102,0.2
1961,8,111,34.5,26.1,106,0.9
1961,9,102,34.8,24.8,97,1.4
1961,10,27,33.3,17.1,26,1.7
1961,11,1,26,9.1,1,1.5
1961,12,7,20.8,4.1,7,1.3
1962,1,22,19.3,4,21,1.7
1962,2,11,24.4,8.2,11,1.5
1962,3,20,29.2,12.7,19,1.5
1962,4,0,36.7,18.8,0,1.1
1962,5,2,40.3,23.4,2,0.7
1962,6,7,42,26.8,6,-1.1
1962,7,118,36.9,27.5,112,-0.7
1962,8,73,35.5,26.2,69,-1.3
1962,9,276,33.2,23.1,130,4.1
1962,10,0,33.6,16.8,48,6.1
1962,11,6,28.2,9.1,15,6.2
1962,12,12,21.7,5.5,16,5.8
1963,1,0,20.2,3.7,3,4.8
1963,2,6,26.1,8.6,8,4
1963,3,20,29.5,12.5,20,3.7
1963,4,3,35.1,17.9,4,3.3
1963,5,6,38.8,21.9,7,3
1963,6,8,41.7,27.5,9,2.2
1963,7,64,38.3,28.1,61,-2.8
1963,8,94,34.6,26.4,90,-2.6
1963,9,73,34.8,23.4,70,-2.4
1963,10,0,35.1,18.3,1,-2.9
1963,11,3,28.7,11.4,3,-2.5
1963,12,11,23.2,5.1,11,-2.2
1964,1,10,18,3,10,-2.1
1964,2,2,23.1,6.9,2,-2.4
1964,3,5,31.3,13.6,5,-2.9
1964,4,3,36.6,18.7,3,-2.6
1964,5,7,39.6,21.4,7,-2.3
1964,6,10,41.1,26.8,9,-2.6
1964,7,199,35.1,26,157,2.5
1964,8,151,35.2,26,147,4
1964,9,100,34,23.7,105,4.7
1964,10,0,33.3,16.7,5,3.6
1964,11,0,28.5,7.4,3,3.3
1964,12,7,22.2,5.3,9,2.9
1965,1,8,22,6.2,9,2.4
1965,2,11,23.5,7.3,12,2
1965,3,9,29.7,12.1,9,1.3
1965,4,9,32.9,15.9,9,1.6
1965,5,8,38.8,22,8,1.6
1965,6,1,42.3,27.5,2,-1.3
1965,7,113,36.4,26.3,108,-1.3
1965,8,48,35.2,24.9,46,-2.9
1965,9,17,35.4,23.2,17,-4.1
1965,10,15,34.6,18,15,-3.9
1965,11,3,30,10.4,3,-3.5
1965,12,0,22.3,3.8,1,-3.7
1966,1,1,22.1,4.5,1,-3.9
1966,2,24,26.4,9.4,23,-3
1966,3,9,30.1,12,9,-3.3
1966,4,3,35.2,17.7,3,-3
1966,5,10,40.9,22.4,10,-2.5
1966,6,32,41,26.2,31,-1.6
1966,7,67,37.9,26,64,-2.9
1966,8,118,35.1,25.9,112,-2.5
1966,9,109,34.4,22.2,104,-1.6
1966,10,28,34.2,16.4,27,-1.1
1966,11,1,27.8,9.3,1,-1.1
1966,12,3,22.4,3.9,3,-1.5
1967,1,0,19.3,3.2,0,-1.8
1967,2,7,26.5,8.3,7,-1.9
1967,3,53,28.5,11.6,51,1.8
1967,4,1,35.2,17,1,1.4
1967,5,1,39.9,22,1,1
1967,6,6,42.5,27.1,5,-1.1
1967,7,94,37.2,26.7,89,-1.3
1967,8,144,34.4,25.6,137,1.2
1967,9,69,34.7,23.1,66,1.2
1967,10,29,33.7,15.8,28,1.6
1967,11,3,28.3,9.6,3,1.4
1967,12,44,22.5,5.5,42,3.1
1968,1,11,18.6,4.3,11,3.2
1968,2,15,21.7,5.1,14,3.1
1968,3,11,30.1,12.2,10,2.5
1968,4,1,35.9,17.8,1,2
1968,5,2,39.5,21.8,2,1.6
1968,6,12,42.4,27.1,12,1
1968,7,109,36.9,26.3,104,0.9
1968,8,94,35.5,25.6,90,0.6
1968,9,3,37.3,23.6,3,-2.7
1968,10,28,33.6,16.1,27,-2
1968,11,0,29.9,8.4,0,-1.9
1968,12,7,22.8,5.5,7,-1.9
1969,1,3,19.9,5,3,-2.1
1969,2,9,23.4,7.8,9,-2.1
1969,3,17,34.5,12.9,16,-2
1969,4,5,35.6,18.7,5,-1.6
1969,5,6,39.2,21.9,6,-1.4
1969,6,7,42.2,27.2,6,-1.9
1969,7,107,37.5,26.6,102,-1.8
1969,8,54,36.1,26.1,51,-2.9
1969,9,59,35,23.7,56,-3
1969,10,6,35.4,18,6,-3.2
1969,11,0,30.9,9.9,0,-3
1969,12,0,24.2,5.4,0,-3.1
1970,1,15,20.7,5.3,14,-2.6
1970,2,17,23.5,7,16,-2
1970,3,15,29.4,12.5,14,-1.8
1970,4,1,37.9,19.4,1,-1.9
1970,5,3,42,24.6,3,-1.9
1970,6,36,40.7,26,34,-0.8
1970,7,49,38.3,26.7,47,-2.6
1970,8,119,35.4,25.8,113,-1.9
1970,9,112,35.4,24,106,-0.8
1970,10,5,35.3,17.8,5,-1.1
1970,11,0,29.6,7.9,0,-1.2
1970,12,0,23.6,5.2,0,-1.5
1971,1,4,19.5,4.1,3,-1.6
1971,2,13,24.9,7,12,-1.4
1971,3,2,30.8,12.8,2,-1.9
1971,4,3,38.1,19.2,3,-1.8
1971,5,11,40.3,23.2,11,-1.2
1971,6,35,39.6,26.3,33,1.2
1971,7,83,35.9,26.2,78,-0.6
1971,8,138,34.8,25.3,131,1.5
1971,9,39,35,22.4,37,-0.8
1971,10,4,33.6,16.5,4,-1.2
1971,11,2,29.6,9.6,2,-1
1971,12,0,24.5,5.6,0,-1.5
1972,1,7,21.1,5,7,-1.5
1972,2,9,21.9,5.3,9,-1.4
1972,3,7,30.8,12.6,7,-1.7
1972,4,3,35.4,16.8,3,-1.5
1972,5,0,42,23,0,-1.8
1972,6,17,42.6,26.8,16,-1.7
1972,7,90,37.9,26.3,86,-2.2
1972,8,73,35.2,25.5,70,-3.1
1972,9,53,35,21.8,50,-3.3
1972,10,10,33.7,16.1,9,-3.2
1972,11,5,29.6,10.2,5,-2.7
1972,12,10,23,5.9,10,-2.4
1973,1,12,20,4.9,12,-2.1
1973,2,6,25.6,8.3,5,-2.3
1973,3,8,29.6,12,8,-2.5
1973,4,0,38.3,18.8,0,-2.5
1973,5,8,42,23.6,7,-2.1
1973,6,21,41.6,27.5,20,-1.9
1973,7,126,37.1,26.3,120,-1.3
1973,8,170,34.6,25.1,144,2.2
1973,9,39,36.2,23.9,41,1.6
1973,10,8,33.7,16.8,10,1.1
1973,11,0,29.2,8.3,2,0.8
1973,12,25,21.2,4.2,25,1.5
1974,1,3,20.2,4.2,4,0.9
1974,2,2,22.5,5.9,3,-0.4
1974,3,2,31.5,13.9,3,-1.5
1974,4,1,38.3,19.1,2,-1.6
1974,5,4,40.8,23,4,-1.5
1974,6,20,40.6,26,19,-1.4
1974,7,113,36.9,26.3,107,-1.2
1974,8,49,36.3,26.2,47,-2.6
1974,9,18,36.8,23.5,18,-3.7
1974,10,3,33.3,16.8,3,-3.9
1974,11,0,28.7,8.3,0,-3.6
1974,12,10,21.4,4.7,10,-3.3
1975,1,11,19.2,4.8,11,-2.9
1975,2,12,22.5,6.1,12,-2.6
1975,3,15,28.8,11.5,14,-2.5
1975,4,1,36,17.8,1,-2.5
1975,5,1,41.4,23.6,1,-2.6
1975,6,34,40,25.7,33,-1.6
1975,7,111,35.6,25.4,106,-1.7
1975,8,95,34.7,25.9,90,-1.9
1975,9,136,33.4,23.6,129,1.2
1975,10,7,34,18.1,7,0.6
1975,11,0,28.3,7.6,0,-0.2
1975,12,2,23.6,5.4,2,-1.1
1976,1,15,20.7,5.8,14,-0.9
1976,2,18,23.3,7.8,18,0.3
1976,3,15,28.2,12.3,14,-0.2
1976,4,3,35,17,3,-0.1
1976,5,4,40.7,22.7,4,-0.2
1976,6,33,39,25.6,32,0.7
1976,7,125,36.9,26.9,119,0.9
1976,8,157,33.5,24.6,149,2.1
1976,9,100,35.6,21.4,95,2.7
1976,10,10,35.4,16.5,10,2.1
1976,11,0,30,9.5,0,1.8
1976,12,1,22.9,5.5,1,1.1
1977,1,21,19.8,4.8,20,1.6
1977,2,1,24.8,7.3,1,0.8
1977,3,1,32.6,13.5,1,-1.6
1977,4,10,35.9,18,9,-0.9
1977,5,10,38.5,21.7,10,-0.6
1977,6,41,39.7,26.2,39,1.7
1977,7,139,35.3,26.3,132,2.2
1977,8,80,35.1,25.7,76,1.3
1977,9,105,34.1,23.3,100,1.8
1977,10,16,34.9,17.5,15,1.5
1977,11,1,30.5,11.4,1,1.3
1977,12,11,23.9,6.9,11,1.3
1978,1,4,19.5,4,3,0.8
1978,2,14,22.8,7.2,14,0.9
1978,3,41,27.2,11,39,1.9
1978,4,3,36.5,17.9,3,1.7
1978,5,0,44.1,25.5,0,1.1
1978,6,28,41.6,27.3,27,1.6
1978,7,168,35,25.8,149,3.2
1978,8,111,34.7,25.9,107,3.7
1978,9,85,34.4,23.7,82,3.6
1978,10,2,34.4,17.1,3,2.6
1978,11,2,27.6,11.1,3,2.3
1978,12,1,23.6,5.7,2,1.7
1979,1,17,20.8,5.6,16,1.8
1979,2,29,22.9,7.3,28,2.5
1979,3,30,27.3,10.9,29,2.8
1979,4,3,37.2,19.1,3,2.5
1979,5,7,39,21.7,7,2.3
1979,6,17,41.9,26.8,17,1.9
1979,7,82,37.6,27,78,-1.3
1979,8,40,36.4,25.7,38,-3.4
1979,9,55,35.3,22.3,53,-3.6
1979,10,10,34.5,17.6,10,-3.7
1979,11,3,28.3,12.3,3,-3.3
1979,12,5,23.4,7.1,5,-3.3
1980,1,7,20.3,4.9,7,-3.2
1980,2,4,25.1,8.4,4,-3.3
1980,3,20,28.4,11.9,19,-2.8
1980,4,2,38.4,19.5,2,-2.7
1980,5,1,43,25.2,1,-2.8
1980,6,25,41.5,27.1,24,-2.3
