Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.6875 North,74.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,14,20.9,7.2,18,-0.7
1958,2,1,23.7,7.6,4,-1.1
1958,3,6,30.3,14.3,8,-1.7
1958,4,1,37.7,20.3,3,-1.8
1958,5,1,40,22.8,2,-2
1958,6,13,42.3,27.1,13,-2.1
1958,7,122,36.2,28,117,-2.2
1958,8,53,35.4,26.7,51,-3.2
1958,9,331,33.5,24,125,3.1
1958,10,34,32.8,17.5,70,5
1958,11,1,28.2,10.3,16,6
1958,12,33,22.3,7,34,6.7
1959,1,38,18.8,4.7,39,7.1
1959,2,7,22.1,6.4,11,6.4
1959,3,8,30.5,13.5,10,5.2
1959,4,1,35.6,18.9,3,4.5
1959,5,10,38.7,22.8,10,4.2
1959,6,8,42.2,27.9,9,3.3
1959,7,163,35.3,26.9,156,3.6
1959,8,156,34.7,26.6,140,4.2
1959,9,163,34.1,24.8,127,4.6
1959,10,19,34.3,19.2,37,5.2
1959,11,10,27.9,9.4,16,5.3
1959,12,1,22.3,5.6,4,4.4
1960,1,18,18.7,4.6,19,4.1
1960,2,0,26.7,9.4,2,3.1
1960,3,22,27.9,12.3,22,2.8
1960,4,3,33.8,16.8,4,2.4
1960,5,1,40.5,23.2,2,1.8
1960,6,14,42.6,27.2,14,1.3
1960,7,129,36.3,26.8,123,1.3
1960,8,99,35,27.2,95,0.9
1960,9,55,35.5,24.4,53,-1.8
1960,10,4,33.4,17.2,4,-2.4
1960,11,0,28.6,7.8,0,-2.4
1960,12,14,21.6,5.3,13,-2
1961,1,57,19.8,5.7,45,1.7
1961,2,14,20.9,6,16,2.3
1961,3,5,29.4,13.6,7,1.4
1961,4,6,34.4,17.1,7,1.3
1961,5,5,39.7,23,5,1
1961,6,14,41.5,27,15,0.8
1961,7,139,36,26.9,133,0.9
1961,8,117,34.4,26.3,112,1.2
1961,9,146,34.7,25,128,1.7
1961,10,30,32.8,17.2,32,2.1
1961,11,2,25.2,9.2,4,1.8
1961,12,7,19.9,4.2,9,1.5
1962,1,33,18.7,4.1,32,2.1
1962,2,11,24,8.4,11,1.8
1962,3,23,28.7,13.2,23,1.7
1962,4,1,35.8,18.6,1,1.3
1962,5,3,39.6,22.9,3,0.8
1962,6,6,41.9,26.6,6,-1
1962,7,141,36.8,27.4,134,-0.8
1962,8,84,35.3,26.3,80,-1.4
1962,9,402,32.9,23,129,4.2
1962,10,0,33.1,17,47,5.1
1962,11,10,27.2,9.2,18,5.1
1962,12,11,20.7,5.4,15,4.7
1963,1,1,19.4,3.7,3,3.6
1963,2,6,25.7,8.8,7,3
1963,3,23,28.9,12.9,24,2.7
1963,4,4,34.3,17.8,5,2.4
1963,5,9,38,21.4,10,2.2
1963,6,7,41.8,27.3,7,1.5
