Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.9375 North,74.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,13,20.7,7.2,16,-0.8
1958,2,2,23.5,7.8,4,-1.3
1958,3,6,30,14.6,7,-1.8
1958,4,2,37.2,20.2,3,-1.9
1958,5,1,39.6,22.7,2,-2.2
1958,6,19,42.2,27.1,19,-2.2
1958,7,126,36.2,28.3,120,-2.3
1958,8,53,35.5,26.9,51,-3.4
1958,9,268,33.4,24,125,2.7
1958,10,28,32.5,17.6,69,4.7
1958,11,1,27.4,10.2,11,5.2
1958,12,37,21.8,7.2,36,6
1959,1,46,18.6,4.7,44,6.5
1959,2,10,21.9,6.6,13,6
1959,3,8,30.2,13.8,10,4.9
1959,4,1,35,18.7,3,4.2
1959,5,12,38.4,22.8,13,3.9
1959,6,10,42.2,27.9,11,2.9
1959,7,176,35.4,27.1,161,3.3
1959,8,160,34.9,26.8,142,4
1959,9,127,34,24.8,123,4.5
1959,10,17,34,19.3,22,4.7
1959,11,14,27.1,9.3,17,4.9
1959,12,1,21.9,5.8,3,4
1960,1,20,18.5,4.6,21,3.7
1960,2,0,26.5,9.7,1,2.6
1960,3,22,27.5,12.5,22,2.4
1960,4,4,33.2,16.5,5,2
1960,5,1,40.1,23.2,2,1.4
1960,6,17,42.6,27.3,17,0.9
1960,7,136,36.4,27.1,130,0.9
1960,8,96,35.2,27.4,91,-1.5
1960,9,52,35.3,24.4,50,-2.1
1960,10,1,33.1,17.3,2,-2.6
1960,11,0,27.8,7.8,0,-2.6
1960,12,15,21.2,5.5,15,-2.2
1961,1,68,19.6,5.8,44,1.9
1961,2,16,20.8,6.2,22,2.7
1961,3,6,29.1,13.9,9,1.8
1961,4,9,33.8,16.8,11,1.8
1961,5,6,39.4,23,7,1.4
1961,6,17,41.5,27.1,18,1
1961,7,152,36.1,27.2,145,1.3
1961,8,115,34.6,26.5,110,1.5
1961,9,122,34.7,25.1,116,2
1961,10,26,32.5,17.3,25,1.8
1961,11,2,24.4,9.2,2,1.5
1961,12,8,19.6,4.5,8,1.2
1962,1,36,18.6,4.3,35,1.7
1962,2,15,23.9,8.7,15,1.6
1962,3,22,28.3,13.4,21,1.5
1962,4,1,35.3,18.4,1,1
1962,5,4,39.2,22.9,4,0.6
1962,6,8,41.9,26.7,8,-1.1
1962,7,137,36.8,27.6,131,-1.1
1962,8,91,35.4,26.5,87,-1.6
1962,9,327,32.7,23.1,129,3.6
1962,10,1,32.7,17,47,4.9
1962,11,13,26.4,9.2,21,5
1962,12,12,20.3,5.6,16,4.5
1963,1,1,19.2,3.7,3,3.4
1963,2,7,25.5,9,8,2.7
1963,3,22,28.6,13.2,22,2.4
1963,4,6,33.7,17.6,7,2.1
1963,5,12,37.6,21.3,13,2
1963,6,8,41.8,27.4,9,1.2
1963,7,81,38,28.1,78,-2.9
1963,8,89,34.6,26.7,85,-3.3
1963,9,78,34.3,23.5,75,-3.2
1963,10,1,34.2,18.4,1,-3.6
1963,11,7,27.2,11.3,7,-3.2
1963,12,14,21.9,5.3,14,-2.8
1964,1,25,16.9,3,24,-2.4
1964,2,3,22.5,7.3,3,-2.7
1964,3,6,30.4,14.3,6,-3.2
1964,4,7,35.2,18.3,7,-2.9
1964,5,11,38.5,20.9,11,-2.6
1964,6,16,41,26.6,15,-2.7
1964,7,244,35,26.1,165,1.9
1964,8,171,35.2,26.3,157,3.3
1964,9,115,33.7,23.9,128,3.9
1964,10,0,32.4,16.8,29,4.5
1964,11,1,26.8,7.4,8,4
1964,12,8,20.8,5.5,12,3.4
1965,1,14,21,6.1,16,2.7
1965,2,13,22.9,7.7,14,2.3
1965,3,11,28.8,12.7,12,1.5
1965,4,19,31.6,15.5,19,2
1965,5,14,37.6,21.3,15,2.1
1965,6,2,42.1,27.2,2,1
1965,7,143,36.2,26.3,136,0.7
1965,8,57,35,25.2,55,-2.5
1965,9,11,34.9,23.5,11,-3.7
1965,10,16,33.7,18.1,16,-3.7
1965,11,7,28.5,10.6,7,-3.3
1965,12,1,21,4.1,1,-3.5
1966,1,0,21.3,4.4,1,-3.9
1966,2,27,25.8,9.7,26,-3.2
1966,3,12,29.1,12.8,12,-3.4
1966,4,6,33.7,17.3,6,-3.1
1966,5,16,39.8,21.7,15,-2.6
1966,6,41,41.1,26,40,-1.7
1966,7,97,37.6,25.9,92,-2.7
1966,8,119,35.2,26.3,113,-2.7
1966,9,142,33.8,22.2,135,-1.7
1966,10,24,33.1,16.4,23,-1.5
1966,11,0,26.5,9.1,1,-1.7
1966,12,3,21.1,4.2,3,-2
1967,1,0,18.3,3.3,0,-2.5
1967,2,10,25.9,8.7,10,-2.5
1967,3,55,27.7,12.2,53,-0.9
1967,4,3,33.8,16.5,3,-1
1967,5,3,38.7,21.2,2,-1.3
1967,6,6,42.5,27,6,-1.9
1967,7,111,37.2,26.8,106,-2.2
1967,8,161,34.4,25.9,143,-1.2
1967,9,75,34.4,23.2,73,-1.1
1967,10,25,32.6,15.8,25,-0.9
1967,11,3,26.9,9.5,4,-0.9
1967,12,55,21.3,5.7,43,2.3
1968,1,23,17.6,4.1,25,2.8
1968,2,18,21.1,5.5,19,2.7
1968,3,13,29.2,12.9,14,2.2
1968,4,1,34.5,17.5,2,1.6
1968,5,4,38.1,21.1,5,1.2
1968,6,18,42.4,27,18,0.7
1968,7,138,36.8,26.4,132,0.6
1968,8,118,35.4,25.8,112,-0.1
1968,9,2,36.8,23.7,3,-2.5
1968,10,27,32.6,16.1,26,-2.2
1968,11,1,28.4,8.4,1,-2.2
1968,12,10,21.4,5.6,10,-2.1
1969,1,6,19,4.9,6,-2.4
1969,2,11,22.6,7.9,11,-2.3
1969,3,22,33.4,13.5,22,-2.2
1969,4,11,34.1,18.2,11,-1.8
1969,5,11,38.1,21.2,11,-1.5
1969,6,8,42,27,8,-1.9
1969,7,145,37.6,26.8,138,-1.8
1969,8,61,36,26.4,59,-2.8
1969,9,65,34.6,23.8,62,-3
1969,10,5,34.3,18.1,5,-3.3
1969,11,0,29.3,9.9,0,-3.2
1969,12,0,22.9,5.6,0,-3.4
1970,1,21,19.8,5.3,20,-3
1970,2,14,23.3,7.5,13,-2.7
1970,3,12,28.5,13.1,12,-2.8
1970,4,1,36.7,19,1,-2.8
1970,5,4,40.9,24.1,4,-2.8
1970,6,50,40.9,26,48,-1.6
