Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 32.0208 North,75.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,29,19.9,7.7,36,-0.4
1958,2,5,22.8,8.2,29,-1.3
1958,3,17,28.7,14.4,26,-2
1958,4,6,35.8,20,10,-2.3
1958,5,4,38.8,23.1,7,-2.6
1958,6,32,41,26.5,32,-2.7
1958,7,250,34.7,27.1,143,-2.7
1958,8,155,33.1,25.4,133,-3.3
1958,9,411,32.2,23.2,117,-0.7
1958,10,51,31,17.7,80,2.9
1958,11,2,26.2,10.3,34,3.1
1958,12,69,21.4,7.5,42,4
1959,1,114,17.7,4.9,46,5.1
1959,2,30,20.3,6.7,49,5
1959,3,26,28.3,13.9,71,4.7
1959,4,3,34.1,18.6,15,3.7
1959,5,19,37.7,23.4,24,3.5
1959,6,17,41.4,27.3,20,2.4
1959,7,395,33.8,25.8,146,3.3
1959,8,307,33.4,25.7,128,3.6
1959,9,189,33,23.8,111,3.6
1959,10,36,32.6,19.1,79,3.8
1959,11,26,25.7,9.4,44,4.3
1959,12,4,21.4,6.5,18,3.4
1960,1,56,17.9,4.9,48,3.1
1960,2,2,25.2,10.1,10,1.9
1960,3,51,26,12.6,53,1.6
1960,4,10,32,16.7,13,1
1960,5,5,39.7,23.8,7,-1.8
1960,6,33,41.8,26.9,33,-2
1960,7,288,34.6,26.2,141,-1.7
1960,8,227,33.6,26.1,129,-1.6
1960,9,58,33.7,23.8,102,-2.1
1960,10,2,31.5,17.2,28,-2.9
1960,11,0,25.7,8.9,10,-3.2
1960,12,30,21.1,5.9,32,-2.8
1961,1,157,19,6.2,45,-0.6
1961,2,41,20.1,6.7,52,2.4
1961,3,16,27.9,14,66,2.4
1961,4,23,32.9,17.1,36,2.3
1961,5,7,39.2,23.4,14,1.9
1961,6,35,41.1,26.9,38,1.5
1961,7,279,34.8,26.2,138,1.4
1961,8,254,33.1,25.3,120,1.5
1961,9,198,33.5,24.2,115,1.7
1961,10,49,31,17.6,83,2.4
1961,11,5,23.9,9.1,33,2.6
1961,12,20,19.3,4.9,26,2.3
1962,1,87,18,5.1,44,2.9
1962,2,40,23.1,9.1,48,3.1
1962,3,37,27.2,13.3,63,2.8
1962,4,6,34.2,18.7,16,2.3
1962,5,5,38.6,23.3,10,1.8
1962,6,24,41,26.4,26,1.1
1962,7,252,35.2,26.8,149,0.7
1962,8,195,33.7,25.4,133,-1.5
1962,9,561,31.8,22.8,121,3.6
1962,10,1,31.2,17.5,67,3.1
1962,11,23,25,9.9,35,3.1
1962,12,21,19.9,6,26,2.6
1963,1,3,18.6,4.4,6,1.4
1963,2,19,24.2,9.1,21,-1.7
1963,3,61,27.2,13.1,60,-1.6
1963,4,14,32.6,17.5,15,-1.7
1963,5,15,37.2,21.5,16,-1.6
1963,6,17,41,27,17,-2.2
1963,7,155,35.9,26.9,148,-2.9
1963,8,186,32.7,25.3,131,-3.3
1963,9,153,32.8,22.7,126,-3.1
1963,10,2,32.3,18.2,39,-3.3
1963,11,18,26.1,10.9,28,-3
1963,12,32,21.5,5.7,34,-2.7
1964,1,61,16.1,4,47,-2.3
1964,2,11,21.4,7.7,20,-2.6
1964,3,13,28.9,14.3,17,-3.3
1964,4,18,33.7,18.2,20,-3.2
1964,5,18,37.8,21.4,19,-2.9
1964,6,37,40,26.1,37,-2.9
1964,7,432,33.4,25.1,152,-1.2
1964,8,329,33.7,25.2,143,2
1964,9,174,32.7,23.5,127,1.8
1964,10,0,31.1,17.1,67,1.5
1964,11,1,25.7,8,13,1.1
1964,12,23,20.7,6.2,27,0.8
1965,1,41,20.1,6.3,40,-0.3
1965,2,37,21.3,8.4,39,-0.8
1965,3,27,27.4,12.8,29,-1.4
1965,4,38,30.9,15.3,38,-0.8
1965,5,24,37.2,21.6,24,0.3
1965,6,5,41,27,6,-1
1965,7,245,34.4,25.2,151,-1.2
1965,8,133,32.8,23.9,138,-2.1
1965,9,23,33.4,22.7,64,-2.8
1965,10,32,32.2,17.8,41,-3.3
1965,11,13,27.3,11.1,18,-3.3
1965,12,2,21.1,5,6,-3.7
1966,1,0,20.5,4.5,3,-4.4
1966,2,66,24.4,10,61,-3.5
1966,3,35,27.4,13.3,36,-3.6
1966,4,11,32.5,17.4,12,-3.7
1966,5,24,39.2,22.4,24,-3.1
1966,6,74,40.5,25.9,71,-2.1
1966,7,186,35.2,25.1,160,-2.5
1966,8,252,33.2,25.3,139,-2.8
1966,9,287,32.1,21.7,124,-1.4
1966,10,48,30.9,16.5,81,1.8
1966,11,0,25.8,8.9,32,1.9
1966,12,9,20.6,5,20,1.4
1967,1,2,17.8,4.4,8,-1.1
1967,2,30,24.3,9.4,32,-1.4
1967,3,104,26.6,12.3,90,1
1967,4,7,32.9,16.7,12,-0.1
1967,5,8,37.9,21.8,11,-0.2
1967,6,15,41.6,26.6,16,-1
1967,7,200,35.5,25.9,146,-1.4
1967,8,323,32.7,24.7,133,-0.8
1967,9,127,33.2,22.8,119,-1.1
1967,10,46,30.6,16,78,0.8
1967,11,4,25.5,9.6,31,1.2
1967,12,99,21,6.2,41,3.1
1968,1,61,16.8,4.2,40,3.5
1968,2,38,19.9,5.5,47,3.8
1968,3,32,27.7,13,66,4
1968,4,6,33.3,17.8,31,3.7
1968,5,4,37.6,21.8,13,3.1
1968,6,31,41.6,26.6,35,2.5
1968,7,276,35,25.4,148,2.3
1968,8,266,33.3,24.4,136,2.2
1968,9,7,35,23.2,74,1
1968,10,50,30.5,16.1,59,0.6
1968,11,3,26.6,8.8,9,-1.8
1968,12,21,21,6.3,24,-1.8
1969,1,24,18,5.5,25,-2.2
1969,2,32,21.6,8.6,33,-2.3
1969,3,48,31.2,14.5,47,-2.4
1969,4,27,32.7,18,27,-2.1
1969,5,18,37.7,21.7,18,-1.7
1969,6,14,41,26.5,15,-2.3
1969,7,232,35.7,25.7,160,-2.5
1969,8,148,34.1,25.4,131,-3.2
1969,9,105,33,23,115,-3.3
1969,10,12,32.3,18.1,40,-3.3
1969,11,0,27.4,10.5,10,-3.5
1969,12,0,22.3,6.2,5,-3.9
1970,1,49,19,5.9,44,-3.5
1970,2,24,22.7,7.8,27,-3.6
1970,3,25,27.2,13.3,27,-3.8
1970,4,2,35.6,19.1,4,-4
1970,5,8,40.5,24.4,9,-3.9
1970,6,103,40.3,25.7,99,-2.2
1970,7,140,36.3,25.8,134,-2.9
1970,8,270,33.9,24.9,130,-3.1
1970,9,180,33.9,23.6,119,-2.6
1970,10,19,32.9,17.9,68,-2
1970,11,0,26.9,8.3,23,-1.8
1970,12,0,21.9,6.1,9,-2.2
1971,1,12,18.3,4.7,16,-2.6
1971,2,37,23.1,7.8,38,-2.5
1971,3,6,29,14.1,8,-3.3
1971,4,13,35.7,18.9,14,-3.3
1971,5,22,39.1,23.6,23,-2.7
1971,6,85,39.8,26.2,82,-1.4
1971,7,204,34.5,25.5,143,-1.8
1971,8,327,33.1,24.6,127,-1.1
1971,9,51,32.9,21.9,98,-1.7
1971,10,7,31.4,16.8,30,-2.2
1971,11,8,26.9,9.9,17,-2.2
1971,12,1,22.7,6.2,6,-2.8
1972,1,30,19.4,6,31,-2.9
1972,2,29,20.3,6.4,30,-2.9
1972,3,31,28.4,13.6,31,-3.1
1972,4,11,33,16.4,12,-3.1
1972,5,4,39.9,22.9,5,-3.2
1972,6,35,41.4,26.4,34,-3.1
1972,7,184,35.7,25.1,161,-3.5
1972,8,173,33.1,24.6,144,-3.9
1972,9,126,32.7,21.7,122,-3.8
1972,10,26,30.7,16.2,37,-3.6
1972,11,20,26.5,10.5,25,-3.2
1972,12,30,21.3,6.8,31,-2.8
1973,1,67,18.2,5.7,47,-2.3
1973,2,23,24,8.7,32,-2.3
1973,3,33,27.1,12.8,36,-2.5
1973,4,5,35.8,18.5,8,-2.9
1973,5,18,40.4,23.5,20,-2.5
1973,6,65,41.6,27.2,64,-1.9
1973,7,321,35.1,25.5,152,-1.4
1973,8,393,33.1,24.3,128,2.1
1973,9,79,34.4,23.6,108,1.3
1973,10,12,31,16.8,48,0.9
1973,11,0,26.7,8.8,11,-1.3
1973,12,57,20.2,4.8,48,0.7
1974,1,31,18,5.4,34,-0.3
1974,2,16,20.6,6.8,21,-0.9
1974,3,12,29,15.1,16,-1.7
1974,4,3,35.9,18.7,5,-2.2
1974,5,9,39.4,23.1,11,-2.2
1974,6,60,39.4,25.2,59,-1.7
1974,7,202,34.8,25.3,150,-2
1974,8,151,34,25,131,-2.7
1974,9,42,33.8,22.5,70,-3.2
1974,10,6,30.8,16.5,15,-4.1
1974,11,0,25.7,8.4,5,-4.3
1974,12,22,19.3,5.4,25,-4
1975,1,48,17.6,4.9,46,-3.7
1975,2,39,20.6,6.5,40,-3.4
1975,3,52,26.2,12,51,-3.2
1975,4,5,32.9,17.4,6,-3.4
1975,5,9,39.3,22.8,10,-3.4
1975,6,72,39.1,25.4,69,-2.5
1975,7,287,33.6,24.1,158,-2.3
1975,8,344,32.6,24.4,136,-1.1
1975,9,251,31.9,23,131,1.9
1975,10,7,32,17.7,71,1.7
1975,11,0,25,8,14,1.2
1975,12,1,21.6,6.2,7,-1.1
