Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 31.3125 North,75.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,16,20.4,7.5,29,0.6
1958,2,3,22.7,7.6,21,-0.6
1958,3,11,28.9,13.7,18,-1.3
1958,4,2,37,20,7,-1.5
1958,5,2,39.3,22.7,5,-1.8
1958,6,20,41.4,26.8,21,-2
1958,7,212,34.9,27.6,145,-1.9
1958,8,100,34,26.1,111,-2.5
1958,9,398,33.1,23.8,117,2.8
1958,10,80,32,17.7,88,4
1958,11,1,27.4,10.2,38,4.5
1958,12,42,21.9,6.8,41,5.2
1959,1,61,18.5,4.9,46,6.1
1959,2,14,20.9,6.4,38,6.3
1959,3,15,28.8,12.9,32,5.7
1959,4,1,34.9,18.7,9,5.1
1959,5,18,38.1,23,22,4.8
1959,6,16,41.5,27.5,18,3.8
1959,7,266,34.2,26.5,147,3.9
1959,8,229,33.8,26.3,127,4.8
1959,9,168,33.7,24.7,115,4.7
1959,10,41,33.4,19.1,81,5
1959,11,16,26.9,9.1,41,5.4
1959,12,1,22.1,5.8,16,4.6
1960,1,32,18.3,4.8,34,4.3
1960,2,0,25.6,9.6,6,3.3
1960,3,34,26.5,11.7,36,3
1960,4,4,33.3,16.8,6,2.5
1960,5,2,40.2,23.5,4,1.8
1960,6,23,42.1,27,24,1.3
1960,7,223,35.1,26.6,139,1.3
1960,8,162,34,26.8,129,1
1960,9,49,34.8,24.3,99,-1.6
1960,10,5,32.5,17.2,28,-2.2
1960,11,0,27.3,7.9,9,-2.4
1960,12,19,21.4,5.4,24,-2
1961,1,89,19.5,6,43,1.8
1961,2,25,20.1,6.1,39,2.6
1961,3,9,28.2,13.2,24,1.9
1961,4,9,34,17.1,16,1.9
1961,5,6,39.2,23,10,1.5
1961,6,26,41.1,26.9,28,1.2
