Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.3542 North,82.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,11,28.3,13.5,51,0
1958,2,9,30.5,15.5,50,-0.6
1958,3,43,36.2,18.5,78,0.3
1958,4,10,40.5,25,36,-0.1
1958,5,2,43.4,29.5,16,-0.8
1958,6,87,41.2,29.4,93,-2.1
1958,7,543,31.2,24.6,109,-1.4
1958,8,436,30.6,24.6,109,-1.4
1958,9,357,30.5,23.4,103,1.4
1958,10,94,30.5,21.3,104,2.5
1958,11,4,28.5,15.7,60,2.8
1958,12,0,26.8,12.8,44,2.7
1959,1,20,26.7,13.1,51,3.1
1959,2,3,30,14.4,48,2.6
1959,3,1,35.5,19.3,50,1.7
1959,4,14,39.5,24.7,36,1.8
1959,5,12,42.9,28.9,25,1.8
1959,6,119,38.2,28,122,0.9
1959,7,446,30.6,24.6,112,0.6
1959,8,449,30.1,24.4,104,0
1959,9,280,29.8,23.6,97,0.2
1959,10,105,30,22.2,98,1.8
1959,11,0,28.1,14.6,55,2.1
1959,12,1,26.3,12.2,44,2.2
1960,1,14,26.6,12,48,2.6
1960,2,0,32,14.8,46,2.2
1960,3,54,33.6,18.4,87,3.1
1960,4,11,40.4,23.8,45,3.2
1960,5,4,42.6,28.9,22,2.8
1960,6,147,39.1,28.4,148,2.1
1960,7,535,30.5,24.6,105,2.4
1960,8,544,30.1,24.6,101,2.9
1960,9,171,30.2,24.3,102,1.3
1960,10,57,30.5,20.7,90,1.5
1960,11,0,27.9,13.7,54,1.4
1960,12,1,27.3,11.5,39,1.2
1961,1,17,27.1,13.4,47,1.4
1961,2,27,27.9,14.3,55,1.9
1961,3,12,35,20.9,60,1.5
1961,4,4,40.1,24.4,28,1.2
1961,5,8,42.6,28.8,22,1.1
1961,6,229,37.1,26.9,178,1.6
1961,7,481,30.5,24,103,1.9
1961,8,562,30.3,24.5,102,2.6
1961,9,449,29.7,23.2,94,4.7
1961,10,70,30,20.2,92,4.9
1961,11,1,27.2,13.5,52,4.7
1961,12,5,25.2,9.7,44,4.5
1962,1,6,25.7,10.4,44,4.1
1962,2,15,29.6,14,50,4
1962,3,34,35.4,17.4,71,4
1962,4,17,38.8,23.7,44,4.1
1962,5,5,42,28.1,20,3.6
1962,6,123,38.4,28.1,127,2.5
1962,7,409,31.5,24.7,124,1.8
