Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.8958 North,75.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,18,21.4,7.9,28,-0.1
1958,2,5,23.1,8.1,16,-0.8
1958,3,12,29.8,14,18,-1.3
1958,4,3,37.9,20.4,6,-1.5
1958,5,2,39.8,23,4,-1.9
1958,6,22,41.6,27.2,23,-2.3
1958,7,212,34.9,27.6,145,-2
1958,8,114,34.1,26.2,117,-2.4
1958,9,373,33.5,24,120,2.9
1958,10,65,32.8,17.8,84,4.1
1958,11,1,28.5,10.5,37,4.6
1958,12,43,22.7,6.9,42,5.3
1959,1,51,19.5,5.6,48,6
1959,2,17,21.4,7,35,5.9
1959,3,14,29.8,13.3,22,5
1959,4,1,35.8,19.1,6,4.3
1959,5,21,38.6,23.2,23,4.2
1959,6,25,41.5,27.9,26,3.3
1959,7,236,34.4,26.8,151,3.2
1959,8,237,33.9,26.4,128,4
1959,9,161,34.1,24.9,118,4.2
1959,10,29,34,19.1,79,4.5
1959,11,10,28,9.4,35,4.9
1959,12,1,23,6,10,4
1960,1,29,19.3,5.4,32,3.8
1960,2,0,26.1,10.2,4,2.6
1960,3,33,27.6,12.1,34,2.3
1960,4,4,34.3,17.3,6,1.9
1960,5,2,40.6,23.8,4,1.1
1960,6,32,42,27.3,32,0.7
1960,7,217,35.2,26.7,140,0.8
1960,8,182,34.1,26.9,131,0.9
1960,9,45,35.3,24.6,100,-1.5
1960,10,8,33.3,17.3,28,-2.1
1960,11,0,28.5,8,9,-2.3
1960,12,21,22.3,5.6,25,-1.9
1961,1,72,20.4,6.4,45,1.6
1961,2,35,20.6,6.8,43,2.4
1961,3,8,29.2,13.6,17,1.5
1961,4,10,35.1,17.7,14,1.5
1961,5,6,39.6,23.2,10,1
1961,6,40,41,27.2,40,0.9
1961,7,201,35.2,26.9,140,0.8
1961,8,194,33.6,26.2,120,1.1
1961,9,133,34.6,25,122,1.1
1961,10,43,33,17.6,81,2.1
1961,11,2,25.6,9.5,31,2.5
1961,12,14,20.2,4.1,22,2.5
1962,1,54,19.3,5.1,44,3.4
1962,2,21,23.6,9,32,3.6
1962,3,33,28.2,12.8,38,3.4
1962,4,1,36.2,19,5,2.9
1962,5,4,39.4,23.2,7,2.3
1962,6,20,41.2,26.8,21,1.5
1962,7,253,35.9,27.4,151,1.8
1962,8,131,34.5,26.2,129,1.2
1962,9,492,33.3,23.6,128,5.7
1962,10,0,33.3,17.7,68,5.4
1962,11,16,27.5,9.7,29,5.2
1962,12,13,21.2,5.5,19,4.6
1963,1,2,20.1,4.7,6,3.5
1963,2,15,25,9.3,17,2.7
1963,3,51,28.3,12.6,51,2.9
1963,4,6,34.5,18,7,2.4
1963,5,15,37.9,21.6,16,2.1
1963,6,20,41,27.2,20,1.3
1963,7,140,36.9,27.7,134,-2.2
1963,8,189,33.3,26.1,131,-2.1
1963,9,128,34.3,23.5,125,-1.9
1963,10,1,34.3,18.4,22,-2.3
1963,11,8,28,11.3,16,-2.2
1963,12,18,22.6,5.1,22,-2
1964,1,16,18,4.1,19,-2.1
1964,2,6,22.3,7.8,8,-2.5
1964,3,6,30,13.6,8,-3
1964,4,9,35.9,18.6,9,-2.8
1964,5,21,38.4,20.7,21,-2.4
1964,6,19,40.6,26.8,19,-2.9
1964,7,405,34,25.8,156,2.5
1964,8,251,34.3,26,145,3.5
1964,9,172,33.9,24.1,131,3.8
1964,10,0,32.9,17.2,68,3.6
1964,11,0,27.9,7.8,14,3.2
1964,12,13,21.9,5.7,19,2.7
1965,1,18,22,6.9,21,2.2
1965,2,25,22.4,8.2,27,1.9
1965,3,19,28.6,12.1,20,1.3
1965,4,24,32.8,16.1,24,1.7
1965,5,27,38,21.7,27,2
1965,6,3,41.6,27.4,4,0.6
1965,7,200,35.5,26.1,157,-1.2
1965,8,89,34.1,24.9,98,-2.5
1965,9,23,35,23.5,28,-3.7
1965,10,16,34,18,20,-4.1
1965,11,7,29.3,10.7,9,-4.1
1965,12,1,22.2,4.1,3,-4.3
1966,1,0,22.2,4.8,2,-4.7
1966,2,39,25.4,9.9,38,-3.9
1966,3,20,29,12.4,20,-3.9
1966,4,5,34.9,18.2,6,-3.8
1966,5,24,40.3,22.1,23,-3.2
1966,6,78,40.5,26,75,-1.9
1966,7,122,36.7,25.6,117,-2.9
1966,8,234,34.1,25.9,143,-2.4
1966,9,173,34.1,22.4,138,-1.8
1966,10,43,33.5,16.6,84,-0.6
1966,11,0,27.7,9.1,31,2
1966,12,6,22.1,4.3,16,1.6
1967,1,0,19.3,4.3,6,0.9
1967,2,15,25.5,9.2,18,-0.3
1967,3,89,27.7,11.7,86,1.6
1967,4,2,34.9,17.2,4,1.2
1967,5,5,39,21.7,6,0.8
1967,6,16,41.9,27,16,-1.2
1967,7,208,36.2,26.4,144,-1
1967,8,237,33.4,25.5,132,0.9
1967,9,102,34.6,23.3,114,-0.1
1967,10,43,33.1,16.1,77,1.6
1967,11,3,27.7,9.4,27,1.9
1967,12,67,22.2,5.6,45,3.5
1968,1,24,18.6,4.9,30,3.8
1968,2,27,20.8,5.9,37,4.1
1968,3,21,29.1,12.4,30,3.7
1968,4,2,35.4,18.1,7,3.2
1968,5,2,38.9,21.9,6,2.5
1968,6,33,41.7,26.8,34,2
1968,7,229,35.7,26,151,2
1968,8,181,34.4,25.4,137,1.9
1968,9,8,36.8,23.8,78,0.6
1968,10,54,32.9,16.2,64,-1.2
1968,11,1,29.3,8.5,7,-1.6
1968,12,12,22.5,5.7,16,-1.7
1969,1,6,19.8,5.7,9,-2.1
1969,2,17,22.6,8.7,18,-2.2
1969,3,31,33.3,13.1,31,-2.1
1969,4,12,35,18.7,12,-1.8
1969,5,16,38.4,21.5,16,-1.6
1969,6,11,41.5,27,12,-2.2
1969,7,161,36.4,26.3,153,-2.7
1969,8,107,35.1,26.1,103,-3.6
1969,9,106,34.6,23.7,101,-3.5
1969,10,3,34.6,18.2,3,-4.3
1969,11,0,30.1,10.1,1,-4.4
1969,12,0,23.8,5.6,0,-4.6
1970,1,29,20.7,6,28,-4
1970,2,17,22.8,7.6,17,-3.8
1970,3,24,28.5,12.7,23,-3.7
1970,4,1,37.5,19.4,1,-3.7
1970,5,10,41,24.2,10,-3.6
1970,6,89,39.9,25.6,85,-2
1970,7,108,37.2,26.4,103,-3.1
1970,8,213,34.4,25.5,134,-2.7
1970,9,171,35.4,24.2,123,-2
1970,10,9,34.8,18,67,-1.4
1970,11,0,29.1,8.1,20,-1
1970,12,0,23.2,5.4,8,-1.3
1971,1,7,19.7,4.9,12,-1.6
1971,2,31,23.9,7.7,32,-1.2
1971,3,4,29.7,13.1,6,-1.9
1971,4,6,37.4,19.1,7,-1.8
1971,5,30,39.1,22.5,30,-1
1971,6,78,39.5,26.4,75,1.5
1971,7,164,35.1,26.1,142,0.9
1971,8,259,33.9,25.1,124,1.8
1971,9,56,34.7,22.6,102,1.1
1971,10,6,33.3,16.8,32,0.6
1971,11,9,29.1,9.7,18,0
1971,12,1,24.1,5.7,6,-1.3
1972,1,11,21.2,6.1,14,-1.5
1972,2,22,21.3,6.3,23,-1.4
1972,3,16,30,13,17,-1.7
1972,4,9,34.9,16.8,10,-1.5
1972,5,0,41.3,22.7,2,-1.9
1972,6,33,42,26.8,32,-2
1972,7,185,36.8,25.9,160,-2.2
1972,8,123,34.2,25.3,122,-2.9
1972,9,82,34.5,22.2,81,-3.1
1972,10,14,33,16.5,15,-3.6
1972,11,14,28.4,10.4,15,-3.3
1972,12,19,22.7,6.2,20,-3
1973,1,32,19.9,5.8,31,-2.5
1973,2,11,24.7,8.7,12,-2.7
1973,3,17,28.5,12.1,17,-2.9
1973,4,1,38,19,2,-3
1973,5,20,41.1,23.1,20,-2.6
1973,6,70,41.1,27.2,67,-1.7
1973,7,231,36,26.1,154,-1.3
1973,8,239,33.8,25,134,1.7
1973,9,50,35.9,24.1,101,0.9
1973,10,16,33,16.9,39,-0.3
1973,11,0,28.6,8.6,9,-1.1
1973,12,41,20.9,4.2,42,0.7
1974,1,7,19.9,5.2,11,-0.5
1974,2,5,21.6,6.8,7,-1
1974,3,5,30.3,14.2,7,-1.7
1974,4,1,37.9,19,3,-1.9
1974,5,9,39.9,22.6,10,-1.9
1974,6,45,39.9,25.7,43,-1.7
1974,7,142,35.7,25.9,136,-2.3
1974,8,96,35,25.7,92,-3.5
1974,9,32,35.9,23.3,31,-4.3
1974,10,6,32.9,17,6,-4.9
1974,11,0,27.9,8.4,0,-4.9
1974,12,12,20.7,4.6,12,-4.7
1975,1,23,18.8,5.1,22,-4.3
1975,2,22,21.5,6.7,21,-4
1975,3,32,27.6,11.6,31,-3.7
1975,4,1,35.3,18,2,-3.7
1975,5,4,40.4,22.9,5,-3.8
1975,6,61,39.2,25.6,58,-3
1975,7,177,34.5,25.1,161,-3.2
1975,8,187,33.5,25.5,137,-3
1975,9,175,33.3,23.7,138,-2.4
1975,10,12,33.9,18.1,54,-1.8
1975,11,0,27.5,7.8,12,-1.9
1975,12,0,23,5.5,6,-2.3
1976,1,33,20.6,6.4,34,-1.8
1976,2,43,22.5,8.5,44,-1.1
1976,3,24,27.2,12.5,25,-1.3
1976,4,6,34.6,17.2,7,-1.3
1976,5,8,39.7,22.1,9,-1.4
1976,6,60,38.3,25.3,58,-0.8
1976,7,220,35.7,26.5,158,-0.7
1976,8,252,32.5,24.5,136,1.4
1976,9,114,35.2,21.7,119,1.2
1976,10,15,34.5,16.5,69,1.6
1976,11,0,29.5,9.8,16,1.5
1976,12,1,22.5,5.6,8,0.9
1977,1,41,19.8,5.9,40,1.4
1977,2,2,23.8,7.7,6,0.6
1977,3,1,31.4,13.6,4,-1.4
1977,4,27,35.4,18.1,28,0.8
