Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 31.1042 North,76.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,24,20.6,7.6,35,0.6
1958,2,6,23,8.4,30,-0.6
1958,3,16,29.7,14.5,28,-1.3
1958,4,3,37,20.1,10,-1.4
1958,5,2,39.5,23.2,6,-1.7
1958,6,24,40.6,26.5,26,-2.1
1958,7,260,34,27,144,-1.7
1958,8,138,33.1,25.5,129,-2.1
1958,9,374,32,22.7,116,2.9
1958,10,76,31.4,17,87,4.1
1958,11,1,27.3,10.1,39,4.3
1958,12,48,22.4,7.3,45,5
1959,1,71,18.8,5.3,49,5.8
1959,2,21,21.3,7.4,44,5.7
1959,3,20,29.6,13.8,53,5.4
1959,4,2,34.9,18.8,14,4.7
1959,5,16,38.3,23.5,22,4.5
1959,6,27,40.7,27.1,30,3.5
1959,7,292,33.5,26.1,149,3.6
1959,8,259,33,25.8,129,4.4
1959,9,166,32.6,23.6,113,4.5
1959,10,37,32.6,18.3,80,4.7
1959,11,12,26.8,9,40,4.9
1959,12,1,22.6,6.3,20,3.9
1960,1,46,18.5,5,45,4
1960,2,0,26,10.5,11,2.8
1960,3,41,27.4,12.5,45,2.5
1960,4,4,33.4,17,8,2
1960,5,2,40.3,24,5,1.4
1960,6,36,41.2,26.7,36,0.9
1960,7,261,34.3,26.1,139,1
1960,8,207,33.1,26.2,133,1.2
1960,9,54,33.7,23.3,100,-1.3
1960,10,9,31.8,16.5,49,-1.6
1960,11,0,27.1,7.8,13,-2
1960,12,24,22,6,28,-1.7
1961,1,98,19.7,6.1,46,1.6
1961,2,46,20.6,7.1,51,2.5
1961,3,11,29.1,14.1,37,2
1961,4,9,34.2,17.5,19,1.9
1961,5,5,39.3,23.3,11,1.5
1961,6,44,40.2,26.6,46,1.3
1961,7,234,34.3,26.3,140,1.2
1961,8,222,32.7,25.5,124,1.5
1961,9,138,33.1,23.6,119,1.5
1961,10,52,31.6,16.9,82,2.3
1961,11,2,24.5,9.1,34,2.6
1961,12,20,19.9,4.5,28,2.6
1962,1,76,18.6,4.9,45,3.7
1962,2,28,23.5,9.3,41,3.9
1962,3,38,28.1,13.3,62,4.1
1962,4,2,35.3,18.7,16,3.8
1962,5,4,39.1,23.4,11,3.2
1962,6,25,40.3,26.1,29,2.4
1962,7,283,35,26.8,152,2.5
1962,8,150,33.5,25.5,132,1.9
1962,9,494,31.8,22.4,124,5.9
1962,10,0,31.8,16.9,67,5.3
1962,11,18,26.3,9.5,39,5.3
1962,12,15,20.9,5.8,24,4.6
1963,1,3,19.3,4.4,12,3.5
1963,2,18,24.9,9.5,23,2.7
1963,3,64,28.2,13,64,2.8
1963,4,6,33.6,17.6,8,2.3
1963,5,12,37.7,21.8,13,2
1963,6,22,40.2,26.6,23,1.1
1963,7,169,35.9,27,162,-2.1
1963,8,214,32.4,25.4,131,-2.2
1963,9,141,32.8,22.2,125,-1.9
1963,10,1,32.8,17.6,47,-2
1963,11,10,27,10.8,23,-2
1963,12,21,22.4,5.5,27,-1.9
1964,1,25,17.3,4.1,28,-1.9
1964,2,8,22.2,8.1,11,-2.4
1964,3,9,29.9,14.1,11,-3.1
1964,4,8,35,18.4,9,-3
1964,5,18,38.1,21,18,-2.6
1964,6,21,39.7,26.2,21,-3
1964,7,450,33.1,25.2,155,2.2
1964,8,276,33.4,25.3,144,3.1
1964,9,177,32.5,22.9,127,3.4
1964,10,0,31.6,16.5,66,3
1964,11,0,26.8,7.6,28,2.7
1964,12,15,21.7,6.2,24,2.3
1965,1,24,21.3,6.6,29,1.7
1965,2,33,22.2,8.6,36,1.5
1965,3,25,28.4,12.5,27,0.9
1965,4,21,32.1,15.9,22,1.2
1965,5,22,37.8,22,23,1.4
1965,6,4,40.7,26.8,5,-1.1
1965,7,227,34.5,25.4,154,-1.2
1965,8,100,33,24.2,119,-2.3
1965,9,23,33.4,22.2,38,-3.4
1965,10,22,32.6,17.2,29,-3.9
1965,11,8,28.2,10.4,13,-3.9
1965,12,1,22,4.6,5,-4.2
1966,1,0,21.5,4.5,3,-4.8
1966,2,46,25.3,10.2,46,-4
1966,3,25,28.8,13,26,-4.1
1966,4,4,34,17.9,5,-4
1966,5,19,39.9,22.3,19,-3.5
1966,6,86,39.7,25.4,83,-2.2
1966,7,148,35.6,25.1,141,-3
1966,8,266,33.1,25.3,142,-2.7
1966,9,177,32.5,21.2,131,-1.9
1966,10,49,31.9,15.8,84,-0.8
1966,11,1,26.7,8.7,34,1.7
1966,12,8,21.8,4.8,24,1.3
1967,1,1,18.6,4.2,15,0.6
1967,2,19,25.4,9.6,27,-0.3
1967,3,102,27.6,12.1,93,1.5
1967,4,2,34,16.8,8,1.4
1967,5,4,38.7,21.9,8,1
1967,6,18,41,26.3,20,-0.6
1967,7,247,35.3,25.8,145,0.1
1967,8,264,32.5,24.8,134,0.9
1967,9,109,33.1,22.1,115,0.7
1967,10,49,31.5,15.3,80,1.5
1967,11,3,26.5,9,32,1.8
1967,12,71,21.9,6,44,3.4
1968,1,34,17.8,4.6,38,3.6
1968,2,33,20.7,6.1,43,3.9
1968,3,26,28.9,12.8,53,3.9
1968,4,2,34.4,17.8,13,3.5
1968,5,2,38.5,22.1,8,2.8
1968,6,40,40.8,26.2,42,2.4
1968,7,269,34.8,25.3,152,2.4
1968,8,201,33.3,24.6,139,2.2
1968,9,11,35.2,22.6,91,0.9
1968,10,62,31.4,15.4,74,1
1968,11,1,28,8.2,11,-1.2
1968,12,16,22.2,6.1,22,-1.3
1969,1,10,19.1,5.5,13,-1.8
1969,2,21,22.5,9.1,23,-1.9
1969,3,38,32.9,13.7,38,-1.9
1969,4,10,34,18.2,12,-1.8
1969,5,13,38.2,21.8,13,-1.6
1969,6,13,40.6,26.3,14,-2.2
1969,7,191,35.4,25.6,165,-2.7
1969,8,134,34,25.4,128,-3.3
1969,9,113,33,22.4,112,-3.1
1969,10,3,33,17.4,7,-3.9
1969,11,0,28.9,9.9,3,-4.2
1969,12,0,23.4,6,2,-4.5
1970,1,39,19.9,5.8,38,-3.9
1970,2,18,22.8,7.8,18,-3.9
1970,3,27,28.4,13.2,27,-3.8
1970,4,0,36.5,19.1,1,-3.9
1970,5,9,40.8,24.3,9,-3.8
1970,6,98,39.1,25,94,-2.1
1970,7,148,36.2,25.8,141,-2.9
1970,8,238,33.4,24.8,136,-2.8
1970,9,175,33.9,23,121,-2
1970,10,12,33.3,17.2,67,-1.6
1970,11,0,27.9,7.7,30,-1.3
1970,12,0,22.9,5.9,14,-1.6
1971,1,11,19,4.6,19,-1.9
1971,2,36,23.8,8.1,39,-1.5
1971,3,6,29.6,13.6,9,-2.2
1971,4,5,36.5,18.8,8,-2.1
1971,5,24,38.8,22.7,25,-1.4
1971,6,90,38.7,25.8,87,1.5
1971,7,190,34.2,25.4,142,0.9
1971,8,303,32.9,24.4,125,1.9
1971,9,62,33.1,21.4,103,1.1
1971,10,8,32,16.2,53,0.8
1971,11,10,27.8,9.4,23,0.6
1971,12,1,23.8,6.1,8,-1.3
1972,1,15,20.6,6,19,-1.6
1972,2,27,21.2,6.7,29,-1.5
1972,3,19,29.9,13.5,21,-1.9
1972,4,8,34,16.5,10,-1.8
1972,5,0,41,22.9,2,-2.1
1972,6,35,41.1,26.1,35,-2.2
1972,7,209,35.8,25.2,160,-2.4
1972,8,140,33.2,24.7,137,-3.1
1972,9,91,32.9,21,99,-3.1
1972,10,17,31.5,15.6,24,-3.7
1972,11,17,27.2,10,21,-3.4
1972,12,23,22.4,6.6,25,-3.1
1973,1,44,19.2,5.5,43,-2.5
1973,2,16,24.6,9,18,-2.7
1973,3,24,28.4,12.6,24,-2.9
1973,4,1,37.1,18.7,2,-3.1
1973,5,16,40.8,23.3,16,-2.7
