Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.9792 North,76.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,41,20.3,8,44,-0.1
1958,2,9,22.4,8.3,38,-0.7
1958,3,22,29,14.3,57,-1.2
1958,4,3,36.8,20.6,18,-1.6
1958,5,2,39.1,23.4,11,-1.9
1958,6,20,39.9,26.3,24,-2.3
1958,7,398,33.5,26.6,137,-1.5
1958,8,193,32.5,25.2,121,-1.6
1958,9,485,31.9,23,116,2.9
1958,10,109,30.9,17,97,4.3
1958,11,1,26.9,10.4,42,4.3
1958,12,46,21.8,7.5,45,4.8
1959,1,107,18.6,5.8,48,5.8
1959,2,27,20.8,7.3,49,5.4
1959,3,27,29.1,13.7,76,5.4
1959,4,2,34.7,19.3,43,5.1
1959,5,17,37.8,23.8,31,4.8
1959,6,24,39.9,26.9,31,3.9
1959,7,413,33,25.9,142,4.2
1959,8,283,32.4,25.6,122,4.5
1959,9,240,32.5,23.8,113,4.6
1959,10,58,32.1,18.3,86,4.7
1959,11,12,26.5,9.3,44,4.8
1959,12,1,22.1,6.6,24,3.8
1960,1,89,18.2,5.5,50,4.3
1960,2,0,25.4,10.5,34,3.2
1960,3,47,26.8,12.5,69,3
1960,4,3,33.3,17.6,21,2.5
1960,5,3,39.8,24.2,12,1.8
1960,6,32,40.5,26.4,36,1.3
1960,7,373,33.8,25.9,134,1.6
1960,8,259,32.4,25.9,124,1.9
1960,9,97,33.5,23.5,115,1
1960,10,22,31.2,16.5,75,0.7
1960,11,0,26.8,8,31,-1.2
1960,12,26,21.5,6.3,32,-1
1961,1,133,19.4,6.6,45,1.7
1961,2,72,20.1,7,59,2.7
1961,3,13,28.5,14,64,2.6
1961,4,8,34.2,18.1,48,2.9
1961,5,6,38.8,23.6,21,2.5
1961,6,41,39.5,26.3,47,2.3
1961,7,307,33.9,26.1,135,2
1961,8,278,32.1,25.3,119,2.5
1961,9,185,32.9,23.9,118,2.2
1961,10,80,31.2,16.9,92,3.1
1961,11,3,24.1,9.5,38,3.2
1961,12,30,19.3,4.7,35,3.3
1962,1,126,18.3,5.3,44,4.8
1962,2,38,23,9.2,49,4.8
1962,3,38,27.5,13.2,73,5.2
1962,4,2,35.2,19.3,62,6
1962,5,4,38.6,23.6,22,5.2
1962,6,27,39.6,26,35,4.3
1962,7,368,34.6,26.6,147,4.2
1962,8,175,33,25.4,123,3.3
1962,9,628,31.7,22.7,123,6.8
1962,10,1,31.3,17,66,5.6
1962,11,21,26,9.9,43,5.3
1962,12,17,20.3,6,28,4.7
1963,1,9,19,4.9,22,3.5
1963,2,26,24.2,9.4,36,2.7
1963,3,74,27.5,12.9,80,2.7
1963,4,5,33.5,18.2,11,2
1963,5,12,37.4,22.3,16,1.6
1963,6,22,39.4,26.3,24,0.9
1963,7,243,35.5,26.8,164,-2.2
1963,8,273,31.8,25.2,123,-2
1963,9,231,32.5,22.4,123,-1.4
1963,10,1,32.4,17.7,72,-1.8
1963,11,13,26.8,11.4,39,-1.6
1963,12,22,21.8,5.7,32,-1.4
1964,1,36,17.4,4.8,39,-1.6
1964,2,12,21.6,8,25,-2.1
1964,3,12,29.3,14.1,20,-2.8
1964,4,6,35,19.1,12,-3
1964,5,21,37.6,21.1,24,-2.6
1964,6,17,39,26,19,-3.1
1964,7,562,32.7,24.9,149,-0.9
1964,8,320,32.9,25.2,136,2.6
1964,9,251,32.2,23.1,125,2.9
1964,10,0,31.3,16.9,67,2.1
1964,11,0,26.7,8.1,31,1.7
1964,12,14,21.2,6.5,26,1.2
1965,1,32,21.1,7.1,37,0.7
1965,2,46,21.5,8.4,50,0.7
1965,3,31,27.7,12.2,40,-1.4
1965,4,17,32.2,16.7,23,-1.3
1965,5,25,37.4,22.4,28,-0.9
1965,6,4,40.1,26.7,8,-1.8
1965,7,292,34.1,25.3,149,-1.9
1965,8,118,32.6,24.1,130,-2.9
1965,9,40,33.2,22.4,91,-3.6
1965,10,39,32.2,17.3,63,-3.8
1965,11,9,27.9,10.8,23,-3.9
1965,12,1,21.5,5,9,-4.3
1966,1,1,21.2,4.9,6,-5
1966,2,54,24.8,10.1,53,-4.4
1966,3,29,28.3,12.9,31,-4.6
1966,4,4,33.9,18.7,6,-4.7
1966,5,21,39.5,22.5,22,-4.2
1966,6,77,39,25.1,75,-2.9
1966,7,202,35.3,24.9,156,-3.6
1966,8,329,32.6,25.1,134,-3
1966,9,215,32.4,21.5,130,-2.5
1966,10,70,31.6,16,91,-1.4
1966,11,2,26.4,9,38,-0.9
1966,12,11,21.2,5.1,29,-1
1967,1,1,18.5,4.8,20,-1.6
1967,2,24,24.8,9.4,36,-1.8
1967,3,105,26.9,12,91,1.3
1967,4,2,33.9,17.4,24,1.4
1967,5,4,38.3,22.2,14,1
1967,6,18,40.3,26.1,24,-0.5
1967,7,358,34.8,25.5,139,0.3
1967,8,301,32,24.6,127,1.1
1967,9,164,33,22.3,121,0.8
1967,10,65,31.1,15.4,87,1.5
1967,11,4,26.1,9.2,37,1.8
1967,12,65,21.3,6.2,44,3
1968,1,54,17.5,5,42,3.3
1968,2,40,20.2,6,48,3.4
1968,3,28,28.2,12.6,63,3.5
1968,4,2,34.2,18.3,40,3.7
1968,5,2,38.1,22.4,16,3.1
1968,6,41,40.1,25.9,47,2.8
1968,7,370,34.2,25,147,2.9
1968,8,220,32.7,24.4,133,2.5
1968,9,26,35,22.8,95,1.1
1968,10,83,31,15.5,89,1.6
1968,11,1,27.7,8.5,29,1.1
1968,12,22,21.6,6.3,29,1
1969,1,15,19,6.1,23,-1.3
1969,2,27,22.1,9,33,-1.6
1969,3,41,32.4,13.5,45,-1.8
1969,4,9,33.8,18.7,13,-2
1969,5,14,37.8,22.1,17,-1.8
1969,6,14,39.9,26.1,15,-2.4
1969,7,257,34.9,25.3,158,-2.7
1969,8,192,33.5,25.1,126,-3.3
1969,9,186,32.8,22.6,129,-3
1969,10,4,32.6,17.4,68,-3.1
1969,11,0,28.7,10.2,32,-3
1969,12,0,22.9,6.2,17,-3.3
1970,1,64,19.7,6.2,47,-2.7
1970,2,22,22.2,7.6,34,-2.6
1970,3,32,27.8,13,47,-2.6
1970,4,0,36.3,19.5,9,-2.9
1970,5,12,40.1,24.4,17,-2.7
1970,6,79,38.4,24.7,79,-1.5
1970,7,255,35.8,25.5,150,-1.9
1970,8,274,33,24.6,130,-1.6
1970,9,252,33.8,23.3,122,-0.9
1970,10,18,32.9,17.3,70,-0.9
1970,11,0,27.6,8.1,34,-0.9
1970,12,0,22.5,6.2,18,-1.3
1971,1,24,18.7,5,30,-1.6
1971,2,44,23.3,7.9,47,-1.3
1971,3,8,28.9,13.4,21,-2
1971,4,5,36.3,19.3,13,-2.2
1971,5,30,38.1,22.7,33,-1.4
1971,6,86,37.9,25.5,85,1.7
1971,7,255,33.7,25.1,136,1
1971,8,384,32.4,24.2,118,2.4
1971,9,113,33,21.6,120,1.6
1971,10,17,31.8,16.4,68,1.2
1971,11,13,27.5,9.7,37,1.3
1971,12,1,23.3,6.3,20,0.6
1972,1,22,20.6,6.7,28,-1.4
1972,2,36,20.7,6.6,41,-1.2
1972,3,21,29.4,13.5,31,-1.7
1972,4,9,33.9,17,15,-1.7
1972,5,1,40.6,23.2,5,-2.1
1972,6,30,40.3,25.9,32,-2.2
1972,7,279,35.5,25,156,-2.4
1972,8,177,32.8,24.5,139,-3.1
1972,9,148,32.7,21.2,127,-3.1
1972,10,29,31.1,15.8,74,-2.7
1972,11,22,26.7,10.4,43,-1.8
1972,12,24,21.9,6.8,34,-1.4
1973,1,70,19,6,47,-0.7
1973,2,26,24,8.8,42,-0.6
1973,3,29,27.8,12.5,59,-0.6
1973,4,1,36.9,19.2,19,-0.8
1973,5,17,40.3,23.4,25,-0.6
1973,6,77,39.5,26.2,79,1.5
1973,7,328,34.7,25.3,148,1.3
1973,8,289,32.4,24.2,127,1.9
1973,9,85,34.1,23,109,1
1973,10,45,31.2,16.3,77,1.1
1973,11,0,27.2,8.7,31,0.9
1973,12,43,20,4.7,44,1.4
1974,1,18,18.8,5.5,28,0.7
1974,2,7,21.1,7,23,-1.1
1974,3,11,29.6,14.7,21,-1.9
1974,4,1,36.9,19.2,8,-2.2
1974,5,12,39.1,22.9,16,-2.1
1974,6,41,38.2,24.8,42,-1.9
1974,7,188,34.2,25,146,-2.6
1974,8,140,33.4,24.7,127,-3.6
1974,9,48,34,22.2,63,-3.9
1974,10,20,31.2,16.4,28,-4.7
1974,11,0,26.4,8.4,6,-5.1
1974,12,17,19.7,5.1,20,-4.9
1975,1,53,17.7,5.1,47,-4.5
1975,2,32,20.9,6.9,34,-4.2
1975,3,42,26.9,12,42,-4.2
1975,4,1,34.2,18.2,3,-4.4
1975,5,4,39.5,23.2,6,-4.5
1975,6,57,37.6,24.7,56,-3.7
1975,7,272,33.1,24.1,149,-3.8
1975,8,258,32,24.6,128,-3.4
1975,9,255,31.6,22.6,132,-2.5
1975,10,33,32.1,17.3,78,-2.1
1975,11,0,26,7.8,38,-1.9
1975,12,0,22,6.1,20,-2.3
1976,1,63,19.7,6.7,46,-1.8
1976,2,60,21.9,8.8,59,-0.9
1976,3,31,26.7,13,57,-0.9
1976,4,5,33.7,17.5,17,-1.1
1976,5,8,38.9,22.5,15,-1.2
1976,6,55,36.8,24.5,57,-0.7
1976,7,331,34.3,25.6,152,-0.7
1976,8,301,31,23.6,129,1.2
1976,9,138,33.4,20.8,118,0.7
1976,10,23,32.5,15.8,72,0.6
1976,11,0,28,9.9,34,0
1976,12,1,21.7,6.2,19,-0.9
1977,1,76,18.8,6.2,46,0.6
1977,2,3,23.2,7.8,26,-0.8
1977,3,2,30.6,13.9,24,-1.5
1977,4,22,34.4,18.3,31,-1.2
1977,5,23,36.7,21.3,29,-0.8
1977,6,68,37.5,25.2,69,1.1
1977,7,411,33,25.2,149,1.6
1977,8,230,32.5,24.5,128,1.5
1977,9,224,32,22.4,131,1.6
1977,10,42,32.1,16.8,79,1.8
1977,11,0,28.4,11,35,1.7
1977,12,33,21.8,7.1,39,1.9
1978,1,12,18.2,4.9,26,1.1
1978,2,46,21.3,8,49,1.3
1978,3,88,25.3,11.2,90,2.1
1978,4,6,35,17.9,25,2
1978,5,1,42.1,25.2,11,1.5
1978,6,69,39.5,26.3,71,2
1978,7,320,32.8,24.8,137,1.8
1978,8,309,32.1,24.8,127,2.6
1978,9,220,32.3,22.7,120,2.6
1978,10,6,31.9,16.5,65,2
1978,11,13,24.9,10.4,35,2
1978,12,6,21.8,5.9,22,1.5
1979,1,74,19.2,5.8,49,1.9
1979,2,66,20.9,7.3,60,2.6
1979,3,58,25.5,11.5,76,3.1
1979,4,13,35.5,19.6,39,3.2
1979,5,15,37.3,21.8,26,3.1
1979,6,35,39.3,25.6,40,2.6
1979,7,255,34.7,25.2,153,1.8
1979,8,126,33.9,24.8,135,-1.9
1979,9,97,32.7,21.2,112,-2.2
1979,10,9,32.2,17,41,-3
1979,11,11,26.8,11.9,24,-3.2
1979,12,11,22,7.2,18,-3.3
1980,1,25,19.3,6,28,-3.6
1980,2,16,23.4,9.3,19,-4.1
1980,3,39,26.9,12.5,40,-4
1980,4,4,36.7,19.6,6,-4.3
1980,5,4,41.1,25,6,-4.4
1980,6,49,39,25.8,48,-3.9
1980,7,613,33.5,25.4,137,-1.1
1980,8,182,32.9,24.4,136,-1.5
1980,9,94,33.1,22.2,117,-2.1
1980,10,42,31.5,17,77,-1.7
1980,11,17,27.1,9.6,41,-1.2
1980,12,57,21.5,6.5,50,2
1981,1,113,18.6,6.5,44,3.3
1981,2,26,23.5,9,46,3.1
1981,3,77,26.6,12.5,87,4.1
1981,4,1,35.2,18.4,56,4.9
1981,5,11,39.6,23.8,28,4.5
1981,6,26,39.3,26.1,34,3.6
