Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.4375 North,74.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,5,24.4,9.8,8,-0.6
1958,2,0,26.5,10.6,2,-0.7
1958,3,1,32.5,17.2,2,-0.8
1958,4,1,38,23.9,2,-0.8
1958,5,1,39.5,26.8,1,-1.2
1958,6,18,40.2,27.8,17,-1.6
1958,7,175,32.1,26.1,123,-0.9
1958,8,97,32.5,25.5,103,-1.5
1958,9,185,29.8,24.4,109,2.1
1958,10,5,31.9,18.2,58,3.4
1958,11,16,29.4,12.2,25,4.3
1958,12,4,24.9,10,9,4.3
1959,1,3,22.3,7.8,5,3.8
1959,2,0,25.6,9.6,3,3.4
1959,3,0,33.9,16.4,2,2.8
1959,4,2,36.6,22,3,2.6
1959,5,17,38.9,26.4,17,2.8
1959,6,42,38.3,28.5,40,2.8
1959,7,223,32,25.4,134,3.6
1959,8,196,30.1,24.3,111,4.9
1959,9,178,30.5,24.3,106,7
1959,10,9,32.8,19.6,62,8
1959,11,7,29.5,11.6,16,8
1959,12,0,25.3,8.2,5,7.3
1960,1,1,22.3,7.1,4,6.5
1960,2,0,29.9,10.9,2,5.8
1960,3,4,30,15.7,5,5.2
1960,4,2,35,20.7,3,4.8
1960,5,5,39.4,25.8,6,4.1
1960,6,38,38.6,27.8,37,3.8
1960,7,121,33.3,25.2,116,2.6
1960,8,167,30.4,24.7,116,2.3
1960,9,18,33.6,24.3,40,1
1960,10,4,33.2,17.8,11,-2.4
1960,11,0,30.1,10,4,-2.4
1960,12,3,25.3,8.6,6,-2
1961,1,13,22.6,8.4,14,-1.2
1961,2,7,23.5,9.2,8,-0.8
1961,3,0,32.5,16.9,1,-1
1961,4,2,35.4,20.8,3,-0.8
1961,5,3,39,26.5,4,-1
1961,6,35,37.2,27.1,34,-0.7
1961,7,125,32.1,25.3,119,-1.2
1961,8,154,30.8,24.9,116,-1.3
1961,9,225,30.5,24.6,108,2.9
1961,10,7,31.7,17.6,61,4.4
1961,11,5,27.5,11.6,15,4.3
1961,12,2,23,6.2,7,4
1962,1,1,22.2,5.8,4,3.5
1962,2,0,26.3,11.2,2,3
1962,3,12,31.1,16.1,13,3.3
1962,4,1,36.6,22,2,2.9
1962,5,2,39.5,26.5,3,2.3
1962,6,4,39.3,27,4,0.9
1962,7,221,33.3,25.8,144,1.8
1962,8,111,31.6,24.7,122,1.1
1962,9,110,30.7,24.1,117,1.7
1962,10,0,32.4,15.9,19,1.5
1962,11,1,29.9,11.2,8,1.5
1962,12,2,24,8.6,6,1.5
1963,1,0,23.6,6.1,3,1.1
1963,2,1,28.5,11.3,3,0.9
1963,3,2,31.3,15.7,3,0.7
1963,4,2,35,21.7,3,0.7
1963,5,1,38.1,25.8,2,-0.4
1963,6,11,38,27.9,11,-1.6
1963,7,110,34.9,26.2,105,-2.7
1963,8,193,30.9,25,113,-2
1963,9,73,31.8,23.2,103,-1.4
1963,10,6,34,18.7,23,-1.5
1963,11,4,29.9,14.3,10,-1.1
1963,12,1,25.4,8,4,-1
1964,1,0,21.2,5.2,3,-1.1
1964,2,0,25.9,10.1,2,-1.2
1964,3,0,33.8,17.3,2,-1.4
1964,4,0,37.2,22.9,1,-1.3
1964,5,20,38.5,25.3,20,0.7
1964,6,21,37.8,27.2,20,-0.5
1964,7,155,32.2,25.2,129,-0.4
1964,8,228,31,24.7,119,1.3
1964,9,41,31,24.4,92,1.1
1964,10,2,33,17.3,11,-0.6
1964,11,0,29.5,9.6,5,-0.7
1964,12,2,24.6,7.7,5,-0.6
1965,1,6,24.8,9.7,7,0.1
1965,2,4,26.4,10.5,5,0.1
1965,3,7,31,15.6,8,0.1
1965,4,2,33.4,20.7,2,0
1965,5,2,37.8,25.8,2,-0.6
1965,6,10,38.8,27.9,10,-1.6
1965,7,195,33.1,25.7,157,-1.1
1965,8,60,31.9,24,69,-2.9
1965,9,42,32.4,23.2,45,-3.8
1965,10,5,33.8,19.3,8,-4.4
1965,11,0,31.1,12.8,3,-4.4
1965,12,0,24.5,6.8,2,-4.2
1966,1,1,24.4,8.4,2,-4.1
1966,2,3,28.5,12.8,4,-3.7
1966,3,0,31.5,14.8,1,-3.7
1966,4,0,35.7,21.5,1,-3.5
1966,5,9,39,25.9,10,-3.2
1966,6,51,37.4,27.3,49,-2.3
1966,7,107,35,25.7,102,-3.4
1966,8,188,31,24.2,132,-3
1966,9,56,32,23.1,77,-3.2
1966,10,7,34.5,18.2,14,-3.6
1966,11,6,28.4,13.6,10,-3.3
1966,12,0,25.1,6,3,-3.2
1967,1,0,22,4.9,2,-3
1967,2,0,29.1,10.9,1,-2.9
1967,3,34,29.5,15.9,34,2.1
1967,4,0,34.7,20.9,1,1.8
1967,5,2,38.7,25.6,2,1.2
1967,6,47,38.3,27.2,45,1.6
1967,7,169,33.1,25.6,144,1.5
1967,8,180,30.1,24.3,115,1.8
1967,9,148,30.8,23.2,120,3.5
1967,10,15,33.5,17.2,68,5.2
1967,11,4,29.6,13,13,4.9
1967,12,11,25,8.7,15,5.1
1968,1,3,21.2,7.5,6,4.6
1968,2,1,24.3,8.4,3,4.1
1968,3,4,31.8,15.4,6,3.7
1968,4,0,36.1,20.7,1,3.2
1968,5,3,38.2,25,4,2.6
1968,6,1,39.1,28.1,2,0.9
1968,7,177,33.8,25.6,144,1.1
1968,8,103,31.6,24.4,107,-2.1
1968,9,2,34.8,23.6,7,-4
1968,10,1,33.8,17.9,4,-4.3
1968,11,0,31.3,11.4,2,-4.1
1968,12,0,25.1,8.3,2,-3.9
1969,1,6,23.1,8.6,7,-3.4
1969,2,0,26,11.1,1,-3.2
1969,3,1,33.8,19,2,-3.1
1969,4,1,36.6,22.6,1,-2.9
1969,5,3,38.3,26,4,-2.9
1969,6,17,39.3,29,17,-3.3
1969,7,167,34.2,25.8,159,-3.1
1969,8,114,31.7,24.8,109,-3.6
1969,9,37,32.5,24.7,36,-4.5
1969,10,2,35.1,18.7,2,-4.9
1969,11,0,31.3,13.6,1,-4.8
1969,12,0,26.5,8.1,0,-4.5
1970,1,4,23.2,8.9,4,-4.2
1970,2,8,25,10.8,7,-3.4
1970,3,4,30.4,16.4,4,-3.1
1970,4,1,37.5,23.1,1,-2.9
1970,5,4,40,27.9,4,-2.9
1970,6,44,36.9,27.1,42,-2
1970,7,112,34.1,25.2,106,-2.9
1970,8,225,30.8,24.8,117,-1.7
1970,9,130,31.3,24.1,120,2.4
1970,10,4,34,18.6,58,3.8
1970,11,0,29.8,9.9,10,3.4
1970,12,0,25.4,7.4,5,3
1971,1,2,21.7,7.3,5,2.7
1971,2,2,27,9.7,4,2.4
1971,3,0,32.2,15,2,2
1971,4,1,37.4,23,2,1.7
1971,5,15,37.7,25.7,15,2
1971,6,118,35.1,26.9,113,4.9
1971,7,220,31.4,24.9,135,5.5
1971,8,120,30.2,24.3,120,4.8
1971,9,113,32,23.6,115,5.4
1971,10,9,32.3,18.2,46,6
1971,11,0,29.9,11.5,10,5.4
1971,12,0,25.5,7.6,5,4.8
1972,1,1,23.7,7.8,4,4.2
1972,2,3,23.1,7.8,5,3.9
1972,3,0,32.4,16.5,2,3.3
1972,4,1,35.3,21.3,2,2.9
1972,5,2,39.9,26.4,2,2.2
1972,6,45,39.7,27.7,44,2.5
1972,7,58,34.2,25.9,56,-2.2
1972,8,208,31,25,133,-1.6
1972,9,17,33.2,22,56,-2.4
1972,10,1,34,17.7,11,-2.8
1972,11,0,31,11.6,5,-2.6
1972,12,0,25.1,8.5,3,-2.5
1973,1,6,22.6,7.3,7,-2.2
1973,2,1,27.5,11.9,2,-2.1
1973,3,0,31.7,16,1,-2.1
1973,4,0,38.3,23.1,1,-2
1973,5,7,40.3,27.4,7,-1.9
1973,6,32,37.5,28.5,31,-2
1973,7,159,32.9,25.4,152,-2
1973,8,335,30.3,24.5,115,3.2
1973,9,80,32.3,23.2,102,3.6
1973,10,4,32.7,17.7,33,3.9
1973,11,0,30.1,10.4,9,3.4
1973,12,2,23.1,6.9,7,3.1
1974,1,0,23,6.4,3,2.5
1974,2,0,24.8,8.8,2,2.1
1974,3,0,33.8,17.2,2,1.6
1974,4,1,37.6,23,2,1.4
1974,5,10,38.5,26.3,11,1.4
1974,6,30,37.9,27.3,29,0.9
1974,7,275,33.9,25.6,157,2.4
1974,8,99,32.6,25.4,109,2
1974,9,16,34.7,24.7,54,1.2
1974,10,41,32.8,19.3,48,1.4
1974,11,0,29.9,10.6,5,1.1
1974,12,5,23.7,7.6,8,1.1
1975,1,3,21.4,7.3,5,1
1975,2,0,25.2,9.7,2,0.7
1975,3,1,30.8,15.3,2,-0.2
1975,4,1,37.1,21.7,1,-0.6
1975,5,5,39.7,27.3,5,-0.8
1975,6,67,37.2,26.6,64,1
1975,7,284,32.5,24.9,157,2.7
1975,8,213,30.9,25.1,141,3.9
1975,9,270,29.9,24.5,141,7.6
1975,10,16,31.7,19.2,69,8.8
1975,11,0,29.3,9.6,10,8
1975,12,0,25.7,7.6,5,7.2
1976,1,5,23.3,9.2,7,6.6
1976,2,4,25.5,11.5,6,6.1
1976,3,0,30.4,16.8,2,5.2
1976,4,2,34.9,21,3,4.7
1976,5,12,38.9,26.2,12,4.4
1976,6,40,36.3,26.9,39,4.2
1976,7,153,33.4,25.9,145,3.5
1976,8,179,29.9,24,122,3.3
1976,9,136,30.7,22.3,120,4.3
1976,10,0,32.9,18,35,4.8
1976,11,11,30.5,12.8,20,5
1976,12,0,25.2,8.4,5,4.5
1977,1,9,22.8,7.4,12,4.4
1977,2,2,27,11.6,4,3.9
1977,3,0,34.7,17,2,3.3
1977,4,7,35.7,22.4,7,3.3
1977,5,11,37.4,26.1,11,3.1
1977,6,108,36.8,27.1,103,5.4
1977,7,264,31.4,25,153,6.4
1977,8,140,31,24.3,124,6.1
1977,9,139,31.2,23.6,141,6.9
1977,10,2,34.5,18.8,47,7.5
1977,11,4,31.3,14.7,14,6.8
1977,12,0,26.4,9.4,5,6
1978,1,0,22.7,7.1,3,5.1
1978,2,8,24.8,10.8,9,5
1978,3,5,29.3,15.8,6,4.5
1978,4,3,36.2,22.4,4,4.1
1978,5,0,41.1,28.2,1,3.2
1978,6,76,37.6,28.1,73,4.5
1978,7,298,31.5,24.9,127,6.6
1978,8,188,30.8,24.3,124,7.2
1978,9,37,31.8,24,89,6.4
1978,10,1,33.7,18.3,11,5.1
1978,11,6,30.6,12.9,11,4.8
1978,12,1,25.4,8.1,4,4.4
1979,1,5,23.2,8.8,7,3.9
1979,2,10,24.3,10.6,11,4.1
1979,3,2,29.7,15.2,3,3.6
1979,4,2,37,22,2,3.2
1979,5,16,37.9,25.4,16,3.4
1979,6,37,39.5,28.2,36,3
1979,7,183,33.9,26.4,170,2.7
1979,8,145,31.8,24.5,139,1.8
1979,9,18,34.1,23.6,18,-2.1
1979,10,16,33.8,19.4,16,-2.4
1979,11,10,29,16.3,11,-1.9
1979,12,3,24.8,10.5,4,-1.8
1980,1,0,23.3,7.8,1,-2
1980,2,1,27.7,11.6,1,-2
1980,3,5,30.5,16.5,5,-1.8
1980,4,0,38,23.2,0,-1.8
1980,5,2,40.9,28.1,2,-2
1980,6,62,37.8,27.5,60,-0.8
1980,7,147,32.2,25.9,140,-1.1
1980,8,69,32.3,24.8,66,-3.3
1980,9,27,34,24,26,-4.5
1980,10,2,34.5,19.6,2,-5.1
1980,11,4,29.9,13.1,4,-4.8
1980,12,13,24.2,9,13,-3.7
1981,1,4,22.6,9.1,4,-3.4
1981,2,0,27.4,11.4,0,-3.3
1981,3,15,30.1,16.9,15,-2.3
1981,4,0,37,22.7,0,-2.2
1981,5,7,39.5,26.7,7,-2.2
1981,6,21,39.9,28.5,20,-2.6
1981,7,190,32,26,168,-2.2
1981,8,91,31.3,24.9,89,-3.2
1981,9,63,33.9,24.9,62,-3.8
1981,10,1,33.4,18.7,2,-4.4
1981,11,17,27.9,11.7,17,-3.2
1981,12,0,24.9,8.5,1,-3.3
1982,1,17,22.3,9.6,17,-2.2
1982,2,2,23.4,11.1,2,-2.1
1982,3,9,28.6,15.2,9,-1.6
1982,4,6,34.5,21.6,7,-1.1
1982,5,26,35.4,25,25,2.2
1982,6,17,38.4,27.6,16,1.2
1982,7,221,34.8,26.3,171,1.6
1982,8,193,31.2,24.9,130,2.1
