Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.5625 North,74.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,28.5,13,14,1.4
1958,2,0,30.5,13.5,7,1.1
1958,3,1,36.1,19.2,6,0.8
1958,4,0,40.4,25.1,3,0.7
1958,5,2,41.6,27.5,4,0.6
1958,6,67,39.2,27,65,-0.3
1958,7,344,30.6,24.8,121,0.4
1958,8,252,31.5,25,113,0.5
1958,9,615,29.4,23.6,106,2.9
1958,10,70,32.5,19.9,101,4.6
1958,11,6,31.5,15.1,63,5.9
1958,12,0,29,13.4,28,6
1959,1,3,26.6,11.7,16,5.7
1959,2,0,30,12.8,7,5.2
1959,3,0,37.2,18.8,5,4.4
1959,4,0,39.7,23.9,3,4
1959,5,2,41.4,27.3,4,3.5
1959,6,62,37.3,26.9,61,2.7
1959,7,613,30.2,23.7,120,5.7
1959,8,239,29.2,23.6,105,5.2
1959,9,710,29.7,23.3,106,7.6
1959,10,82,32.8,20.8,103,9.2
1959,11,4,31.5,14.6,61,10.1
1959,12,0,29.7,12.2,33,10.2
1960,1,6,26.3,10.4,20,9.8
1960,2,0,33.5,13.3,8,8.9
1960,3,3,33.6,17.9,8,7.9
1960,4,0,38.7,22.8,4,7.2
1960,5,3,41.1,26.2,5,6.5
1960,6,136,37.1,26.2,131,7.5
1960,7,237,31.8,24.5,133,6.1
1960,8,223,29.3,23.7,110,4.5
1960,9,117,32.5,23.7,122,3.3
1960,10,14,33.7,19.8,86,3.2
1960,11,0,32,13.4,35,2.6
1960,12,0,30.2,13.2,14,2.2
1961,1,3,27.1,11.9,11,2
1961,2,2,28,11.9,7,1.9
1961,3,0,36.4,19.4,4,1.4
1961,4,0,39,23,3,1.3
1961,5,2,41,26.8,4,1.1
1961,6,65,36.5,25.6,63,0.8
1961,7,395,30.3,24,118,1.7
1961,8,174,30.3,24.5,115,0.7
1961,9,688,29.6,23.2,107,3.4
1961,10,34,32,19.2,90,4
1961,11,2,30.5,14.9,48,4.4
1961,12,2,27.9,10.5,22,4.2
1962,1,1,26.3,8.9,11,3.9
1962,2,0,30.7,13.4,6,3.6
1962,3,29,34.7,18.1,32,4.7
1962,4,0,39.1,23.3,3,4.3
1962,5,2,41.6,26.9,4,3.8
1962,6,31,38.2,25.9,32,1.9
1962,7,347,31.4,24.4,130,2.1
1962,8,157,30.7,24.1,118,0.8
1962,9,477,30.4,23.4,122,2.2
1962,10,0,33,17.5,86,1.7
1962,11,5,32.1,14.4,37,1.6
1962,12,6,28.6,12.9,19,1.6
1963,1,3,27.9,10,10,1.4
1963,2,1,32.6,13.8,6,1.2
1963,3,9,35.2,18,12,1.3
1963,4,0,38.1,23,3,1.2
1963,5,1,40.4,26.3,3,0.9
1963,6,55,37.1,26.2,54,-0.6
1963,7,283,32.3,24.4,127,-0.9
1963,8,376,30,24.1,108,1.6
1963,9,373,31,22.5,127,2.3
1963,10,51,34,20.1,106,3.4
1963,11,11,32,16.7,56,4.3
1963,12,0,30,12.3,22,4
1964,1,0,25.9,9.3,10,3.6
1964,2,0,30.5,12.8,6,3.2
1964,3,4,37.3,19.4,8,2.8
1964,4,0,40.4,24.7,3,2.5
1964,5,1,40.9,26.3,4,2.1
1964,6,80,37.1,25.9,78,1.9
1964,7,349,31.1,24.3,124,2.1
1964,8,238,30.2,24,107,2
1964,9,240,31.5,23.1,122,1.8
1964,10,3,33.9,19.6,89,1.5
1964,11,0,31.5,13.1,32,0.7
1964,12,0,29.2,11.5,13,-1
1965,1,8,28.7,12.9,15,-0.6
