Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.1042 North,76.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,7,25.7,10.1,11,1.3
1958,2,0,28.7,10.8,3,1.1
1958,3,1,35.6,17.9,4,0.8
1958,4,0,40.8,24.1,2,0.7
1958,5,2,43.2,28.1,3,-0.2
1958,6,29,42.2,28.6,29,-0.8
1958,7,413,31.9,25.9,121,1.8
1958,8,300,32,25.2,116,1.9
1958,9,302,30.3,24.6,112,4.2
1958,10,12,32.2,18.9,75,4.5
1958,11,8,29.4,12.3,24,4.8
1958,12,1,25.6,10.1,8,4.3
1959,1,14,23.9,8.3,18,4.3
1959,2,0,28.1,10.1,3,3.8
1959,3,0,37,17.1,2,3.2
1959,4,1,39.6,22.5,2,2.9
1959,5,15,42.5,27.7,16,3.3
1959,6,50,40,29.1,49,3.1
1959,7,387,31.8,25.3,131,4.1
1959,8,338,30.2,24.5,113,4.4
1959,9,269,30.9,24.6,110,5.9
1959,10,21,33,20.2,76,6.3
1959,11,4,29.7,11.9,25,6.6
1959,12,0,26.4,8.7,9,5.9
1960,1,11,23.5,7.3,15,5.6
1960,2,0,32.1,11.1,3,5
1960,3,6,33.4,16.7,8,4.6
1960,4,1,38.5,21.6,3,4.2
1960,5,7,43.1,27.1,8,4
1960,6,46,40.5,28.6,45,3.5
1960,7,241,33.4,25.3,145,2.8
1960,8,419,29.9,24.4,113,3.9
1960,9,65,33.7,24.1,107,2.5
1960,10,17,33.4,18.4,45,1.6
1960,11,0,30.2,10.2,10,1.2
1960,12,3,26.5,9.2,8,0.9
1961,1,37,24.1,8.9,38,2.3
1961,2,1,25.8,9.5,3,2.1
1961,3,0,35.8,17.7,2,1.5
1961,4,2,38.8,21.6,3,1.4
1961,5,3,42.5,27.6,4,1.2
1961,6,28,39.1,27.7,27,-0.5
1961,7,248,32,25.3,129,-0.9
