Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.7708 North,71.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,26.2,11.9,1,-0.5
1958,2,0,29.3,13.2,0,-0.6
1958,3,0,35.6,19.9,0,-0.9
1958,4,4,40.5,25.5,4,-0.7
1958,5,4,42.7,27.4,4,-0.8
1958,6,6,42.4,27.4,6,-1.3
1958,7,87,35.3,27.1,83,-0.7
1958,8,46,35.7,26.6,44,-1.8
1958,9,117,33.5,26,111,1.7
1958,10,4,35.1,21.9,4,1.5
1958,11,9,30.4,15.3,9,1.9
1958,12,15,26.1,12.8,14,2.6
1959,1,3,24,9.8,3,2.4
1959,2,1,28.4,12.1,1,2.1
1959,3,0,37.1,19.2,0,1.5
1959,4,14,39.8,24.1,14,2.2
1959,5,1,42.6,27.4,1,1.6
1959,6,15,40.6,28.3,14,1.1
1959,7,172,34.8,26.1,144,3.4
1959,8,83,33.2,25.2,84,3
1959,9,125,33.5,25.2,114,4.7
1959,10,3,35.7,23.2,8,4.8
1959,11,10,30.3,14.5,13,4.9
1959,12,0,26.2,10.5,2,4.3
1960,1,0,24.4,9.4,2,3.8
1960,2,0,32.2,12.9,1,3.2
1960,3,2,32.6,17.9,2,2.7
1960,4,1,37.8,22.5,1,2.3
1960,5,1,42.4,26,1,1.7
1960,6,22,40.5,27.4,22,1.7
1960,7,52,36.1,25.9,50,0.9
1960,8,42,33.8,26,41,-2.4
1960,9,3,36.9,25.3,3,-3.3
1960,10,0,36.3,21.5,0,-3.3
1960,11,0,31.5,13.6,0,-3.2
1960,12,1,26.1,10.8,2,-2.9
1961,1,1,24.4,10.4,1,-2.7
1961,2,10,26.2,11.6,10,-1.8
1961,3,0,35.6,19.6,0,-2
1961,4,6,38,22.4,6,-1.5
1961,5,1,42.1,26.9,1,-1.6
1961,6,58,39.4,26.7,55,1.8
1961,7,148,35,26,117,3.7
1961,8,98,34.3,26.1,101,3.6
1961,9,160,33.7,25.6,115,6.2
1961,10,1,34.8,21.4,31,7.5
1961,11,0,28.8,14.9,8,7
1961,12,0,25.2,9.7,4,6.4
1962,1,0,24.3,7.9,2,5.8
1962,2,0,29.2,13.7,2,5.1
1962,3,26,34.2,18.7,25,6
1962,4,0,39.4,23.8,1,5.3
1962,5,7,42.8,27,8,4.9
1962,6,3,41.6,26.7,4,3.8
1962,7,81,36.1,26.5,78,3.6
1962,8,95,34.6,25.4,91,3
1962,9,56,34.2,25.3,53,3
1962,10,0,35.5,19.4,0,2.5
1962,11,0,30.9,14.3,0,2.1
1962,12,3,25.1,11.2,3,2
1963,1,0,26.3,8.9,0,1.6
1963,2,1,31.2,13.8,1,1.3
1963,3,3,34.7,18.5,3,0.9
1963,4,4,38.3,24,4,0.9
1963,5,0,41.5,26.5,1,-0.4
1963,6,4,40.6,27.9,4,-1.6
1963,7,27,37.5,26.7,26,-3
1963,8,91,34.6,26.4,87,-3.1
1963,9,58,35.4,24.6,55,-2.6
1963,10,7,36.9,22.2,7,-2.2
1963,11,8,30.7,17,8,-1.6
1963,12,1,27.1,11.2,1,-1.6
1964,1,0,22.9,7.1,0,-1.6
1964,2,0,28.5,12.3,0,-1.7
