Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.8958 North,74.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,3,25.6,10.5,17,1.7
1958,2,0,28.1,11.5,8,1.5
1958,3,2,34.5,18.2,7,1
1958,4,1,39.5,24.4,4,0.9
1958,5,3,41.3,27.7,5,0.6
1958,6,32,40,27.5,32,-0.5
1958,7,265,30.4,24.8,117,0.9
1958,8,187,31.4,24.6,114,0.7
1958,9,347,28.9,23.2,104,3.3
1958,10,26,31.5,18.8,75,3.9
1958,11,9,29.8,13.5,52,4.7
1958,12,1,25.7,10.7,24,4.8
1959,1,5,23.6,8.7,18,4.7
1959,2,0,27.6,10.8,8,4.3
1959,3,0,35.9,17.5,5,3.5
1959,4,2,38.4,22.8,6,3.3
1959,5,12,40.9,27.3,14,3.2
1959,6,52,37.9,27.8,51,3
1959,7,358,30.3,24,124,4.6
1959,8,234,29,23.2,104,5.1
1959,9,339,29.4,23,102,7.2
1959,10,39,32.2,20.1,77,7.6
1959,11,3,30,13,49,7.9
1959,12,0,26.3,9.2,26,7.8
1960,1,4,23.4,7.8,20,7.5
1960,2,0,31.5,11.7,9,7
1960,3,5,32.1,16.8,10,6.1
1960,4,1,37.1,21.7,5,5.6
1960,5,8,40.9,26.3,11,5.2
1960,6,67,38,27,66,5.1
1960,7,190,31.8,24.2,148,4.2
1960,8,212,29,23.5,109,3.1
1960,9,50,32.5,23.1,94,1.7
1960,10,7,32.8,18.6,47,0.9
1960,11,0,30.6,11.5,15,-2.8
1960,12,1,26.7,9.9,9,-2.9
1961,1,13,24,9.2,17,-2.2
1961,2,2,25.4,10.1,6,-1.9
1961,3,0,34.8,18.1,3,-2.2
1961,4,1,37.4,21.8,3,-2
1961,5,4,40.7,27.1,5,-1.9
1961,6,39,36.9,26.3,39,-1.9
1961,7,217,30.4,24.1,129,-1.6
1961,8,164,29.9,24,117,-2.4
1961,9,514,29.2,22.9,103,4.7
1961,10,17,31.1,18.2,80,5
1961,11,2,28.4,13.2,41,5.1
1961,12,3,24.3,7.3,23,5.1
1962,1,1,23.3,6.3,11,4.6
1962,2,0,28,11.8,6,4.2
1962,3,44,33.2,17.1,46,5.2
1962,4,1,38.1,22.5,4,4.8
1962,5,3,41.2,27.2,5,4.1
1962,6,11,39,26.5,12,2.5
1962,7,271,31.6,24.6,138,2.9
1962,8,176,30.6,23.7,123,2.1
1962,9,233,29.9,22.9,124,3
1962,10,0,31.8,16.3,72,3
1962,11,3,30.5,12.7,37,3.2
1962,12,3,25.1,9.8,22,3.2
1963,1,1,24.8,6.9,11,2.9
1963,2,0,30.3,12.1,6,2.6
1963,3,7,33.5,16.8,11,2.1
1963,4,1,36.7,22.2,4,1.9
1963,5,2,39.9,26.5,4,1.4
1963,6,27,37.6,27,27,-1.2
1963,7,158,32.8,24.7,135,-1.7
1963,8,323,29.8,24,107,-1
1963,9,196,30.7,21.9,120,1.1
1963,10,26,33.3,19.2,89,1.9
1963,11,7,30.5,15.6,48,2.5
1963,12,1,26.6,9.1,20,2.5
1964,1,0,22.8,6.4,10,2.1
1964,2,0,28,11.1,6,1.8
1964,3,3,36,18.5,7,1.2
1964,4,0,39.2,23.8,3,1
1964,5,11,40.4,26.3,13,1.1
1964,6,49,37.6,26.6,48,0.9
1964,7,188,30.8,24.3,129,0.6
1964,8,247,29.9,23.7,108,-0.2
1964,9,89,30.7,22.7,111,-1.2
1964,10,3,32.9,18.4,75,-0.9
1964,11,0,30.1,11.2,23,-1.4
1964,12,1,25.8,8.7,12,-1.7
1965,1,10,25.9,10.4,16,-1.3
1965,2,0,28.1,11.4,5,-1.3
1965,3,22,33.1,16.6,24,-0.9
1965,4,1,35.8,21.9,3,-0.8
1965,5,1,40,26.8,3,-1.1
1965,6,13,38.7,27.4,14,-2.2
1965,7,257,31.6,24.7,136,-1.4
1965,8,113,31,23.4,120,-2.6
1965,9,84,31.3,22.2,109,-3.1
1965,10,3,33.5,20,35,-4.1
1965,11,0,31.6,14,13,-4.5
1965,12,0,26,8.3,8,-4.6
1966,1,1,25.6,9.2,6,-4.5
1966,2,0,30.2,13.6,4,-4.2
1966,3,3,33.6,15.9,6,-4.3
1966,4,0,37.5,22.3,2,-4
1966,5,8,40.5,26.4,9,-3.7
1966,6,61,37.4,27,59,-3
1966,7,170,33.5,24.8,151,-3.4
1966,8,166,30.1,23.4,124,-4.5
1966,9,147,31.3,22.2,137,-4.2
1966,10,1,34.6,19.3,19,-4.8
1966,11,3,29.5,15.4,12,-5.3
1966,12,0,26.4,7.3,6,-5.3
1967,1,0,23.5,6.1,4,-5
1967,2,0,31,11.9,3,-4.6
1967,3,84,31.8,17.2,83,-1.1
1967,4,0,36.6,21.7,2,-1.1
1967,5,1,40.7,26.5,2,-1.3
1967,6,86,37.8,26.4,83,2.9
1967,7,260,31.5,24.6,135,3.2
1967,8,265,29.2,23.5,110,3.7
1967,9,205,30,22.2,116,4.1
1967,10,10,33.5,18.4,78,4.2
1967,11,0,30.5,14.5,39,4.2
1967,12,10,25.6,10.9,28,4.3
1968,1,1,22.4,8.4,10,3.9
1968,2,0,26.3,9.8,6,3.6
1968,3,31,34,16.5,34,4
1968,4,0,37.8,21.4,3,3.6
1968,5,1,39.9,25.7,4,3
1968,6,4,38.7,27.5,6,1.2
1968,7,225,32.2,24.5,129,1.3
1968,8,246,30.2,23.4,119,1.3
1968,9,27,33.6,22.5,101,-2.2
1968,10,1,33.7,18.7,41,-2.9
1968,11,0,31.7,12.8,15,-3.1
1968,12,0,26.1,9.2,8,-3.1
1969,1,3,24.5,9.8,8,-2.9
1969,2,0,28,12.4,4,-2.7
1969,3,1,35.8,20.2,4,-2.8
1969,4,0,38.5,22.5,2,-2.6
1969,5,1,40.3,27,2,-2.7
1969,6,30,38.7,27.5,30,-3
1969,7,264,32.5,24.6,141,-2.1
1969,8,215,30.4,23.5,112,-1.9
1969,9,102,31.3,23.4,118,-2.2
1969,10,0,34.6,19.2,71,-1.7
1969,11,2,31.9,15.2,30,-1.7
1969,12,0,27.7,9.1,12,-1.6
1970,1,5,24.5,9.7,12,-1.4
1970,2,2,27.1,12.1,6,-1.2
1970,3,4,32.7,17.6,8,-1.3
1970,4,1,39.2,23.8,4,-1.1
1970,5,7,41.6,28.4,9,-1
1970,6,107,36.5,26.2,104,1.9
1970,7,165,32.4,24.1,146,1
1970,8,333,29.8,23.8,117,1.3
1970,9,228,30.1,22.8,116,2.2
1970,10,11,33.5,19.2,75,2.6
1970,11,0,30.2,11.2,37,2.8
1970,12,0,26.3,8,18,2.9
1971,1,0,23.1,8.3,13,2.8
1971,2,0,28.8,10.6,7,2.6
1971,3,0,34.2,16.1,5,2
1971,4,0,39.2,23.8,4,1.8
1971,5,9,39.3,26.4,11,1.9
1971,6,123,34.8,26.2,119,3.8
1971,7,297,29.9,24,124,4.6
1971,8,185,29.3,23.6,117,4.2
1971,9,246,31.2,22.6,118,5.1
1971,10,13,31.8,18.9,78,5.2
1971,11,0,30.2,12.7,36,5.1
1971,12,0,26.2,8.2,22,5
1972,1,0,24.9,8.4,11,4.6
1972,2,2,25.1,9.1,8,4.3
1972,3,0,34.5,17.7,4,3.5
1972,4,0,37.2,22.2,3,3.1
1972,5,2,41.4,27,4,2.5
1972,6,45,39.4,27.2,44,2.2
1972,7,108,32.5,24.9,104,0.6
1972,8,267,30,24.1,121,-2.4
1972,9,49,32.3,21.2,103,-3.2
1972,10,0,34,18.7,39,-3.8
1972,11,1,31.4,12.9,15,-3.9
1972,12,0,26.3,9.6,8,-3.9
1973,1,7,23.8,8.2,12,-3.4
1973,2,1,29.2,12.8,5,-3.1
1973,3,0,34,17.4,3,-3.3
1973,4,0,40.2,24.2,2,-3
1973,5,4,42,28.3,6,-2.9
1973,6,59,37.4,27.9,57,-2.5
1973,7,274,31.3,24,127,-1.4
1973,8,406,29.3,23.6,111,3.8
1973,9,258,30.2,22.4,108,5
1973,10,11,32.3,18.4,73,5
1973,11,0,30.5,11.7,42,5.1
1973,12,1,24.5,8.3,22,4.9
1974,1,0,24.2,7.2,10,4.3
1974,2,0,26.8,10,6,3.9
1974,3,0,35.9,18.3,4,3.1
1974,4,1,39.1,23.6,4,2.9
1974,5,23,40.1,26.8,24,3.5
1974,6,31,37.8,27,31,2.5
1974,7,253,32.1,25.1,131,2.8
1974,8,191,31.3,24.4,112,2.2
1974,9,48,33.8,23.7,90,1
1974,10,70,32.7,20.5,90,2.3
1974,11,0,30.2,11.8,36,2.6
1974,12,4,24.9,8.7,24,2.9
1975,1,1,22.6,7.8,11,2.6
1975,2,0,27.3,10.9,6,2.4
