Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.3125 North,74.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,11,23.6,7.8,13,0.4
1958,2,1,26.3,8.4,2,-0.3
1958,3,3,33.2,15.6,4,-0.6
1958,4,1,40,22.2,1,-0.8
1958,5,1,41.2,24.7,2,-1.4
1958,6,12,42.6,28.2,12,-1.9
1958,7,133,36.1,28,127,-1.3
1958,8,72,36.1,26.7,69,-1.8
1958,9,146,33.6,25,110,2.3
1958,10,7,33.6,18.1,21,3.3
1958,11,12,29.5,10.7,16,3.6
1958,12,10,24.8,8.1,12,3.7
1959,1,6,21.6,5.6,7,3.4
1959,2,3,25.3,7.4,4,2.9
1959,3,2,34.2,14.7,3,2.2
1959,4,1,38.1,20.2,2,1.8
1959,5,26,40.3,24.4,25,2.1
1959,6,30,41.4,29.2,29,1.8
1959,7,170,35.9,27.4,158,2.4
1959,8,163,34.5,26.1,138,3.4
1959,9,142,34.3,25.3,114,5.9
1959,10,6,34.7,19.7,32,8
1959,11,10,29.6,10.1,15,7.8
1959,12,0,25.1,6.4,3,6.9
1960,1,3,21.7,5.3,5,6.1
1960,2,0,30.1,9.6,1,5.2
1960,3,10,30.8,14,11,4.8
1960,4,2,36.3,18.4,3,4.2
1960,5,3,41.5,24.3,4,3.2
1960,6,34,41.8,28.6,33,3
1960,7,102,36.8,26.9,97,2.3
1960,8,144,34.8,26.6,129,2.9
1960,9,13,36.8,24.9,15,1.8
1960,10,10,34.5,17.5,11,1.6
1960,11,0,30.1,8.4,1,1.2
1960,12,6,24.5,6.2,7,1.2
1961,1,13,22.1,6.4,13,1.6
1961,2,16,23.5,7,16,2
1961,3,0,32.7,15,1,1.3
1961,4,3,36.9,18.8,3,1.1
1961,5,10,40.8,24.6,10,0.8
1961,6,41,40.5,27.9,39,1.1
1961,7,98,36,27.2,94,0.6
1961,8,158,34.6,26.2,123,1.7
1961,9,110,34.6,25.5,109,3.5
1961,10,13,33.6,17.7,23,4.5
1961,11,9,27.1,9.8,13,4.5
1961,12,2,22.6,4.4,5,4.1
1962,1,6,21.5,4.3,7,3.8
1962,2,2,26.5,9.3,3,3.2
1962,3,16,31.7,14.5,16,3.3
1962,4,1,38.4,20.4,1,2.8
1962,5,5,41.1,24.6,5,2
1962,6,7,42,27.8,7,0.9
1962,7,160,37.2,27.8,152,1.5
1962,8,77,35.8,26.3,74,0.6
1962,9,120,33.8,24.2,114,2.1
1962,10,0,34,16.5,0,1.8
1962,11,4,29.5,9.6,4,1.6
1962,12,5,23.4,6.3,5,1.5
1963,1,1,22.5,4,1,1.1
1963,2,3,28.6,9.5,3,0.8
1963,3,5,32,14.2,4,-0.2
1963,4,4,36.8,19.9,4,-0.6
1963,5,6,39.6,23.6,6,-1
1963,6,16,41.2,28.7,15,-1.6
1963,7,79,38.9,28.5,75,-2.8
1963,8,135,34.9,26.5,127,-1.8
1963,9,52,35.2,24,50,-1.5
1963,10,1,35.7,18.9,1,-1.8
1963,11,3,29.9,12.7,3,-1.7
1963,12,3,24.9,5.9,3,-1.6
1964,1,1,20.2,3.4,1,-1.7
1964,2,0,25.7,8,1,-1.9
1964,3,2,34.2,15.6,2,-2.2
1964,4,1,38.5,20.7,1,-2.2
1964,5,30,40,22.9,29,-1.4
1964,6,14,40.7,27.9,14,-1.9
1964,7,186,35.5,26.6,144,1.3
1964,8,199,35.1,26.2,146,3.2
1964,9,47,34.4,24.6,79,3.9
1964,10,1,34,16.9,7,3.3
1964,11,0,29.4,8,3,2.9
1964,12,3,24.1,5.7,5,2.7
1965,1,4,24.2,7.5,5,2.3
1965,2,9,26.1,8.3,10,2.2
1965,3,6,31.7,13.9,7,1.8
1965,4,5,34.5,18.1,5,1.7
1965,5,7,39.3,23.5,7,1.1
1965,6,7,41.8,28.6,7,-1.6
1965,7,141,36.7,27.1,134,-1.4
1965,8,48,35.6,25.2,46,-3.1
1965,9,31,35.8,23.9,29,-3.6
1965,10,5,35,18.8,5,-3.6
1965,11,2,31.1,11.3,2,-3.4
1965,12,0,23.9,4.5,0,-3.3
1966,1,2,23.8,6,2,-3.3
1966,2,16,28.6,10.7,15,-2.5
1966,3,1,32.3,13.4,1,-2.8
1966,4,1,37.2,19.5,1,-2.8
1966,5,32,41.1,24.1,31,-1.9
1966,6,50,40,27.4,48,-1
