Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.8958 North,76.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,4,24.1,9.4,16,1.4
1958,2,2,26.1,10.1,9,1.1
1958,3,2,33.1,16.7,7,0.8
1958,4,0,39.4,23.3,4,0.6
1958,5,1,41.5,26.3,4,-0.6
1958,6,23,42,28.1,23,-1.4
1958,7,293,33.3,26.4,126,1.2
1958,8,254,33.2,25.2,115,1.8
1958,9,252,31.3,24.2,121,3.7
1958,10,5,32.4,18.3,72,4
1958,11,13,28.9,12,41,4.3
1958,12,1,24.1,9.8,24,4.3
1959,1,6,22.2,7.5,19,4.2
1959,2,1,25.4,9.3,8,3.6
1959,3,0,34.3,15.7,5,3
1959,4,1,38.1,21.5,4,2.7
1959,5,45,40.7,25.8,45,3.5
1959,6,40,40.2,29,40,3.2
1959,7,234,33.3,25.8,142,3.2
1959,8,343,31.6,24.8,120,4
1959,9,213,32,24.2,116,5.1
1959,10,10,33.2,19.7,72,5.3
1959,11,12,29,11.5,44,5.6
1959,12,0,24.8,8.2,24,5.5
1960,1,3,22.1,6.7,16,5.1
1960,2,0,30,10.9,8,4.4
1960,3,13,30.9,15.4,18,4.4
1960,4,2,36.7,20.4,6,4.1
1960,5,9,41.8,25.7,12,3.3
1960,6,32,40.9,28.6,33,2.7
1960,7,161,34.7,25.7,148,1.8
1960,8,407,31.5,24.9,113,3
1960,9,48,34.6,23.7,101,1.9
1960,10,15,33.4,17.7,68,1.8
1960,11,0,29.5,9.8,18,1.2
1960,12,4,24.7,8.6,13,1
1961,1,21,22.4,7.9,26,1.6
1961,2,14,23.3,8.9,17,1.7
1961,3,0,32.9,16.2,3,1.2
1961,4,2,37.1,20.5,4,1
1961,5,6,41,26,7,-0.4
1961,6,39,39.3,27.5,38,0
1961,7,163,33.5,25.8,140,-1.1
1961,8,382,31.8,24.9,120,1
1961,9,240,32,24.3,114,2.9
1961,10,18,32.2,17.7,89,3.5
1961,11,8,26.6,11.2,39,3.7
1961,12,1,21.9,5.7,19,3.7
1962,1,6,21.9,5.4,17,3.5
1962,2,1,26,10.7,8,3
1962,3,11,31.7,15.5,16,3.1
1962,4,1,38.2,21.6,5,2.7
1962,5,4,41.3,25.9,6,2
1962,6,6,41.3,27.6,7,0.7
1962,7,271,34.9,26.5,140,1.3
1962,8,193,32.8,24.8,130,0.8
1962,9,192,31.9,23.5,126,1.8
1962,10,0,33.1,16.3,70,2.2
1962,11,2,29.3,11.2,40,2.4
1962,12,3,23.2,8.4,21,2.4
