Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.8958 North,73.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,22.3,7.2,12,0.6
1958,2,1,24.6,7.8,1,-0.4
1958,3,3,32,13.9,3,-1.1
1958,4,1,39.3,21.5,1,-1.2
1958,5,1,41.8,24.4,1,-1.7
1958,6,9,43.6,28.6,9,-2.1
1958,7,46,38.1,29.2,44,-2.5
1958,8,22,37.9,27.8,21,-3.6
1958,9,119,35.1,25,113,3.1
1958,10,4,34.6,17.9,4,3
1958,11,1,29.8,10.1,1,2.6
1958,12,23,23.5,7,22,3.7
1959,1,15,20.2,4.9,15,3.9
1959,2,5,23.1,6.6,5,3.3
1959,3,5,32.5,13.1,5,2.3
1959,4,1,37.1,19.6,1,1.9
1959,5,11,40.7,24.3,10,1.8
1959,6,9,42.9,29.3,8,1
1959,7,91,37.4,28.1,86,2
1959,8,85,36.5,27.2,81,2.7
1959,9,96,35.6,25.5,91,4.6
1959,10,3,36,19.7,3,4.2
1959,11,6,29.7,9.3,6,4.2
1959,12,0,23.6,5.4,0,3.3
1960,1,6,20.2,4.6,5,2.9
1960,2,0,28,9.4,0,2.1
1960,3,13,29.3,11.8,13,1.8
1960,4,2,35.2,17.5,2,1.4
1960,5,1,42.1,24.5,1,0.7
1960,6,14,43.3,28.6,14,-1.6
1960,7,66,38.4,28,63,-1.2
1960,8,61,37,27.9,58,-1.1
1960,9,34,37.7,25.4,32,-1.3
1960,10,1,35.4,17.6,1,-1.3
1960,11,0,30.4,7.7,0,-1.4
1960,12,10,23,5.2,10,-0.9
1961,1,20,21.1,5.8,19,1.3
1961,2,10,21.9,6.3,9,1.4
1961,3,3,31.2,13.2,3,0.6
1961,4,3,35.7,17.8,3,0.6
1961,5,7,41.6,24.6,6,-0.1
1961,6,16,42.1,28.2,16,-0.6
1961,7,64,37.8,28.1,61,0.3
1961,8,64,36.6,27.2,61,0.8
1961,9,67,36.2,25.8,64,1.8
1961,10,5,34.6,17.6,5,1.9
1961,11,3,27.2,9.1,3,1.8
1961,12,4,21.5,4.1,3,1.5
1962,1,10,20.2,4.1,9,1.6
1962,2,6,24.9,8.7,6,1.4
1962,3,20,30.3,12.7,19,1.7
1962,4,0,37.3,19.5,0,1.2
1962,5,4,41.4,24.4,4,0.8
1962,6,5,42.8,27.8,4,-1.3
1962,7,57,38.7,28.6,54,-1.2
1962,8,51,37.5,27.1,48,-1.6
1962,9,122,34.8,24.2,116,3.2
1962,10,1,34.8,16.8,1,3.1
1962,11,7,29.3,8.9,6,3.3
1962,12,11,22,5.3,11,3.4
1963,1,0,21.1,3.8,0,2.6
1963,2,2,26.9,9.2,2,2
1963,3,10,30.5,12.4,10,1.5
1963,4,3,35.7,18.8,3,1.2
1963,5,11,39.8,23,11,1.3
1963,6,5,42.6,28.8,5,-1.4
1963,7,31,40.3,29.3,30,-3.3
1963,8,54,36.6,27.4,51,-3.2
1963,9,27,36.5,24.5,25,-3.4
1963,10,0,36.6,18.8,0,-3.3
1963,11,2,29.9,11.6,2,-3
1963,12,6,23.7,5.1,6,-2.6
1964,1,10,18.5,2.7,9,-2.2
1964,2,1,23.7,7.3,1,-2.5
1964,3,7,32.6,13.8,7,-2.9
1964,4,2,37.4,19.6,2,-2.8
1964,5,9,40.8,22.7,8,-2.6
1964,6,10,41.8,27.8,9,-2.8
1964,7,103,37.1,27.4,98,-0.9
1964,8,97,36.9,26.9,92,2.7
1964,9,47,35.7,24.9,45,2.6
1964,10,0,34.6,16.8,0,2
1964,11,0,29.4,7.3,0,1.7
1964,12,4,22.5,4.8,4,1.3
1965,1,5,22.8,6.6,5,0.9
1965,2,5,24.3,7.7,5,-0.2
1965,3,6,30.6,12.1,6,-1.5
1965,4,8,33.3,16.6,7,-1
1965,5,9,39.7,22.9,9,-0.9
1965,6,2,42.8,28.4,2,-1.9
1965,7,72,38.2,27.5,69,-1.7
1965,8,26,37,25.7,25,-3.4
1965,9,6,36.9,24.2,5,-4.5
1965,10,5,36.1,18.7,5,-3.9
1965,11,3,31.2,10.6,3,-3.5
1965,12,0,22.5,3.5,0,-3.6
1966,1,1,22.6,4.8,1,-3.8
1966,2,17,26.8,9.8,16,-2.8
1966,3,6,31,11.8,6,-3.2
1966,4,4,35.7,18.2,4,-2.9
1966,5,16,41.8,23.5,15,-2.2
1966,6,25,41.7,27.5,24,-1.6
1966,7,44,39.7,27.2,42,-2.7
1966,8,72,36.9,26.7,68,-2.5
1966,9,56,35.9,23.1,53,-1.8
1966,10,6,35.6,16.8,6,-1.4
1966,11,1,28.4,9.5,1,-1.3
1966,12,1,22.8,3.4,1,-1.6
1967,1,0,19.7,2.8,0,-1.9
1967,2,4,27.1,8.6,4,-1.9
1967,3,49,29.2,11.6,47,2.2
1967,4,2,35.4,17.5,1,1.9
1967,5,2,40.7,22.8,2,1.1
1967,6,4,43.2,28.2,4,-1.4
1967,7,44,38.9,27.9,42,-1.9
1967,8,100,36.1,26.4,95,1.7
1967,9,41,36.1,24.1,39,1.7
1967,10,8,35,16.2,7,2
1967,11,5,29.4,9.8,5,2.1
1967,12,30,22.9,5.2,28,3.7
1968,1,7,19.1,4.3,7,3.5
1968,2,11,22.2,5.5,10,3.5
1968,3,8,31.1,12,8,2.8
1968,4,0,36.6,18.4,0,2.3
1968,5,6,40.2,22.6,6,1.9
1968,6,9,43.2,28.3,9,1.2
1968,7,49,39,27.7,47,-1.5
1968,8,47,37.5,26.6,45,-1.9
1968,9,0,38.8,24.4,0,-3.3
1968,10,4,35.1,16.6,4,-2.8
1968,11,0,31.1,8.6,0,-2.6
1968,12,5,23.1,5.1,5,-2.4
1969,1,2,20.6,5.1,2,-2.5
1969,2,6,23.6,7.9,6,-2.3
1969,3,12,35.5,12.9,11,-2.2
1969,4,5,36.3,19.5,5,-1.8
1969,5,9,40.2,23.1,9,-1.5
1969,6,8,43,28.4,8,-1.9
1969,7,77,39.6,28.1,73,-1.1
1969,8,31,37.7,26.9,29,-2.2
1969,9,26,36.7,24.9,25,-2.5
1969,10,3,36.8,18.4,3,-2.2
1969,11,0,31.9,9.9,0,-2.2
1969,12,0,24.7,5.3,0,-2.3
1970,1,9,21.2,5.5,9,-1.8
1970,2,17,23.9,7.6,16,-0.8
1970,3,11,30.1,12.4,10,-0.9
1970,4,2,38.5,20.2,2,-1
1970,5,4,43,25.8,3,-1.3
1970,6,27,41.8,27.6,25,-0.6
1970,7,31,39.9,27.7,30,-2.1
1970,8,79,37,26.6,76,-1.1
1970,9,67,36.5,24.8,64,1.9
1970,10,1,36.5,18.2,1,1.5
1970,11,0,30.3,7.7,0,1.2
1970,12,0,23.9,4.9,0,0.7
1971,1,2,19.9,4,2,-0.2
1971,2,5,25.4,7.2,5,-0.7
1971,3,1,31.7,12.5,1,-1.4
1971,4,4,38.7,20.1,3,-1.2
1971,5,16,41.4,24.5,16,0.6
1971,6,36,40.6,27.9,34,1.7
1971,7,41,37.6,27.5,39,0.7
1971,8,84,36.6,26.2,80,1.4
1971,9,25,36.4,23.5,24,0.8
1971,10,1,34.5,16.7,1,0.6
1971,11,1,30.6,9.6,1,0
1971,12,0,24.8,5.4,0,-0.9
1972,1,7,21.3,4.7,7,-0.7
1972,2,4,21.9,5.3,4,-0.8
1972,3,4,31.7,12.5,4,-1.3
1972,4,4,35.9,17.6,4,-1
1972,5,0,42.7,23.9,0,-1.5
1972,6,21,43.4,28,20,-1.2
1972,7,47,39.6,27.5,45,-2
1972,8,51,37,26.5,48,-2.6
1972,9,29,36.7,22.8,28,-2.7
1972,10,2,35,16.5,2,-2.5
1972,11,4,30.9,10.2,4,-2.1
1972,12,8,23.4,5.8,7,-1.8
1973,1,5,20.4,4.6,5,-1.7
1973,2,3,26.1,8.7,3,-1.9
1973,3,5,30.5,11.9,5,-2.2
1973,4,0,38.7,19.5,0,-2.3
