Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.8958 North,70.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,26.1,10.5,2,0.1
1958,2,0,29.8,11.6,0,-0.1
1958,3,0,35.7,19.7,0,-0.5
1958,4,1,41.1,24.8,1,-0.5
1958,5,4,42.6,26.6,4,-0.5
1958,6,1,43.1,26.9,1,-0.9
1958,7,65,37,27.5,62,-0.7
1958,8,13,37.4,26.6,12,-2.3
1958,9,41,34.8,26.4,39,-0.6
1958,10,0,36.1,21.5,1,1.3
1958,11,15,31.3,14,14,2.3
1958,12,22,26.3,11.1,21,3.9
1959,1,3,23.9,8.4,3,3.7
1959,2,1,28.8,10.4,1,3.3
1959,3,1,37.4,18.9,1,2.6
1959,4,5,40,23.1,5,2.8
1959,5,2,42.5,26.6,2,2.3
1959,6,4,41.1,27.8,4,1.8
1959,7,166,36.5,26.4,147,4.5
1959,8,43,35.1,25.5,44,4.1
1959,9,40,34.8,25.6,40,5.2
1959,10,0,37,23,2,4.6
1959,11,23,31.3,13.3,22,6
1959,12,0,26.4,8.9,1,5.2
1960,1,0,24.3,8.1,1,4.5
1960,2,0,33,11.5,0,3.9
1960,3,3,32.6,17.5,3,3.4
1960,4,0,37.9,21.3,1,3
1960,5,0,42.4,25.3,0,2.2
1960,6,8,41.2,26.9,8,2.1
1960,7,49,37.7,26,46,1.3
1960,8,25,35.7,26.3,24,-2.5
1960,9,2,37.9,25.3,2,-3.2
1960,10,0,37.3,21,0,-2.9
1960,11,0,32.4,12.2,0,-2.9
1960,12,6,26.1,8.9,6,-2.3
1961,1,1,24.3,9.1,1,-2.1
1961,2,5,26.6,10,5,-1.4
1961,3,0,35.7,19.2,0,-1.6
1961,4,6,38.1,21.2,6,-1
1961,5,1,42.3,26.3,1,-1.2
1961,6,23,40,26.2,22,1.6
1961,7,139,36.7,26.4,116,3.8
1961,8,72,36,26.3,76,4.5
1961,9,55,35.2,26.2,55,6.3
1961,10,0,35.9,21,2,5.6
1961,11,3,29.5,13.5,4,5.1
1961,12,0,25.4,8.1,1,4.5
1962,1,0,24.3,6.8,1,3.9
1962,2,0,29.7,12.3,1,3.4
1962,3,10,34.4,18.6,10,3.6
1962,4,0,39.9,23.1,0,3.1
1962,5,11,42.8,26.4,11,3.4
1962,6,1,42.1,26,1,2.6
1962,7,69,37.7,26.7,66,2.6
1962,8,65,36.4,25.7,62,2.3
1962,9,27,35,25.2,26,2.9
1962,10,0,36.6,19,0,2.5
1962,11,4,31.6,12.8,4,2.4
1962,12,5,25,9.3,5,2.4
1963,1,0,26.1,7.5,0,2
1963,2,1,31.9,12.3,1,1.7
1963,3,2,34.8,18.3,2,1.3
1963,4,3,38.5,22.9,3,1.4
1963,5,4,41.4,25.7,4,1.2
1963,6,0,41.2,27.5,0,-0.6
1963,7,16,39.2,27,15,-2.9
1963,8,41,36.4,26.7,39,-3.3
1963,9,9,36.6,24.9,9,-3.3
1963,10,2,38.1,21.9,2,-2.7
1963,11,12,31.6,15.9,12,-1.7
1963,12,1,27.2,9.4,1,-1.7
1964,1,0,22.5,5.5,0,-1.7
1964,2,0,28.8,10.6,0,-1.7
1964,3,1,37.1,19.8,1,-2
1964,4,0,40.4,23.9,0,-2
1964,5,3,42.6,26.1,3,-2
1964,6,16,40.2,26,15,-1.2
1964,7,96,37,26.6,91,1.6
1964,8,115,35.9,26,109,2.7
1964,9,3,36.2,24.8,3,1.7
1964,10,0,36.3,19.6,0,1.4
1964,11,0,31.2,11.2,0,0.9
1964,12,4,25.4,8,4,0.8
1965,1,2,26.6,10.6,2,0.7
1965,2,0,29.7,11.6,0,-0.2
1965,3,9,34.3,18.1,9,0.4
1965,4,2,35.9,21.1,2,0.1
1965,5,1,40.7,25.4,1,-0.7
1965,6,1,41,26.5,1,-1.3
1965,7,100,37.2,26.3,95,0.6
1965,8,32,36.3,24.7,30,-1.7
1965,9,1,36.7,24.5,1,-2.6
1965,10,0,37.6,22.3,0,-2.5
1965,11,1,33,14.6,1,-2.6
1965,12,0,25.8,7.7,0,-2.8
1966,1,0,26.1,9.2,0,-2.7
1966,2,3,31.4,13.5,3,-2.3
1966,3,0,34.6,17,0,-2.6
