Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.3542 North,72.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,27,12.1,7,-1.5
1958,2,0,29.7,13,4,-1.5
1958,3,0,35.7,19.5,3,-1.8
1958,4,3,40.7,25.6,5,-1.5
1958,5,0,42.4,28.2,2,-1.7
1958,6,11,41.7,28.4,12,-2.1
1958,7,111,33.8,27.2,106,-1.7
1958,8,54,34.5,26.7,52,-2.7
1958,9,242,32,25.4,117,2.5
1958,10,15,33.9,20.6,73,4.3
1958,11,15,31,14.6,41,5.6
1958,12,2,26.9,12.5,13,5.6
1959,1,0,24.7,10,6,5.1
1959,2,0,29,12,4,4.7
1959,3,0,37.1,18.9,3,3.9
1959,4,9,40,24.2,11,4.2
1959,5,1,42.3,28.2,3,3.5
1959,6,25,39.7,28.9,25,3.1
1959,7,211,33.4,26.1,137,4.9
1959,8,101,31.6,24.8,105,4.6
1959,9,211,32.1,24.9,113,6.5
1959,10,9,34.5,21.8,78,8.2
1959,11,5,30.9,13.9,26,8.5
1959,12,0,27.2,10.6,9,8
1960,1,1,24.9,9.4,6,7.4
1960,2,0,32.8,12.8,4,6.7
1960,3,0,32.8,17.7,3,5.7
1960,4,0,38.2,22.7,2,5.2
1960,5,1,41.9,26.8,3,4.5
1960,6,29,39.6,27.9,29,4.2
1960,7,86,34.7,26.2,83,3.1
1960,8,53,32.2,25.5,51,1.6
1960,9,9,35.4,25.2,9,-3
1960,10,1,35.3,20.5,1,-3.5
1960,11,0,32,13,1,-3.5
