Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.6042 North,76.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,8,27,11.7,13,1.3
1958,2,0,29.5,12.1,4,1.1
1958,3,3,35.2,17.8,5,0.8
1958,4,0,40.5,24.3,2,0.7
1958,5,4,42.9,28.2,5,-0.1
1958,6,42,41.4,28,41,-0.7
1958,7,407,31.1,25.3,123,1.4
1958,8,324,31.6,24.9,116,1.7
1958,9,392,29.9,24.3,106,3.9
1958,10,12,32.3,18.7,75,4.1
1958,11,11,29.9,13.1,34,4.5
1958,12,0,26.6,11.4,10,4.1
1959,1,16,25.2,10.1,21,4.1
1959,2,0,29,11.4,4,3.7
1959,3,0,36.6,17.1,3,2.9
1959,4,1,39.4,22.6,3,2.7
1959,5,18,42.3,27.7,19,3
1959,6,62,39.2,28.3,61,2.8
1959,7,443,31,24.5,129,4.2
1959,8,336,29.7,24,114,4.3
1959,9,393,30.4,24.1,105,6.4
1959,10,28,33,20,76,6.7
1959,11,5,30.1,12.6,39,7.3
1959,12,0,27.4,10.1,12,6.7
1960,1,15,24.8,9,21,6.5
1960,2,0,32.8,12.2,4,5.9
1960,3,7,33,16.6,9,5.3
1960,4,1,38.4,21.8,3,4.9
1960,5,11,42.7,27.1,12,4.7
1960,6,73,39.5,27.7,70,4.5
1960,7,244,32.5,24.7,143,3.7
1960,8,391,29.5,23.9,116,4.1
1960,9,88,33.2,23.9,112,2.6
1960,10,14,33.4,18.3,65,2.2
1960,11,0,30.6,11,13,1.3
1960,12,1,27.8,10.8,8,0.8
1961,1,34,25.5,10.6,37,2
1961,2,1,26.7,10.7,4,1.7
1961,3,0,35.5,17.8,2,1.1
1961,4,1,38.6,21.8,3,1
1961,5,6,42.2,27.6,7,0.9
1961,6,33,38.4,27,32,-1.3
1961,7,275,31.2,24.7,127,-1.1
1961,8,258,30.3,24.4,125,-1.3
1961,9,637,30.2,24,106,5.3
1961,10,26,31.9,18,84,5.7
1961,11,5,28.4,12.8,31,6
1961,12,6,25,7.8,16,5.9
1962,1,4,24.7,7.5,9,5.2
1962,2,0,29.2,12.3,4,4.7
1962,3,16,33.9,16.7,18,4.7
1962,4,2,39.1,22.4,4,4.4
1962,5,3,42.6,27.5,5,3.7
1962,6,10,40.5,27.1,11,1.8
1962,7,372,32.4,25.2,134,2.6
1962,8,294,31.1,24.2,130,2.3
1962,9,369,30.7,23.8,120,4.1
1962,10,0,32.7,16.2,75,3.8
1962,11,8,30.6,12.3,24,3.7
1962,12,8,26.2,10.6,16,3.6
1963,1,6,26.1,7.9,10,3.2
1963,2,1,31.4,12.6,4,2.9
1963,3,4,34.2,16.3,6,2.3
1963,4,1,37.5,21.9,3,2.1
1963,5,3,41.3,26.9,4,1.6
1963,6,32,38.6,27.2,31,-1.4
1963,7,242,33.3,25,137,-1.6
1963,8,402,30.1,24.2,115,0.9
1963,9,197,31.6,22.9,123,0
1963,10,12,34,19,87,1.2
1963,11,6,30.6,15.3,22,1
1963,12,0,27.4,9.7,8,0.8
1964,1,0,24.5,7.9,5,-0.4
1964,2,0,29.4,11.8,3,-0.7
1964,3,7,36.8,18.2,9,-0.7
1964,4,0,40.4,23.8,2,-0.7
1964,5,14,42,26.7,15,0.4
1964,6,79,39.2,27.4,76,0.8
1964,7,218,31.6,24.8,129,-0.4
1964,8,288,30.5,24.3,114,-0.7
1964,9,161,31.6,23.7,125,-1.1
1964,10,2,33.9,18.4,81,-0.8
1964,11,0,30.2,10.8,14,-1.2
1964,12,0,26.9,9.6,7,-1.5
1965,1,9,27.1,11.4,13,-1.3
1965,2,0,29.4,12,3,-1.3
1965,3,8,33.9,16.4,10,-1.2
1965,4,1,37,22,3,-1.1
1965,5,1,41.7,27.6,2,-1.4
1965,6,23,40.2,28.1,23,-2.4
1965,7,261,32.5,25.3,141,-2.4
1965,8,143,31.8,24.1,137,-3.8
1965,9,165,32.2,23.2,138,-4
1965,10,4,34.3,19.8,83,-3.3
1965,11,0,31.4,13.4,14,-3.6
1965,12,2,27,9.1,9,-3.5
1966,1,4,26.7,10.1,8,-3.5
1966,2,0,31.4,14.1,3,-3.3
1966,3,3,34.5,15.7,5,-3.3
1966,4,0,38.8,22.3,2,-3
1966,5,8,41.9,26.9,9,-2.8
1966,6,72,38.7,27.5,69,-2.1
1966,7,213,34.5,25.6,152,-2.5
1966,8,219,30.7,24,133,-3.7
1966,9,123,32.5,23.4,130,-4.3
1966,10,1,35.5,19.4,66,-3.7
1966,11,9,29.8,15.2,22,-4.1
1966,12,1,27.4,8.2,8,-4.2
1967,1,0,25.3,7.7,4,-4.2
1967,2,0,32.3,12.5,3,-3.9
1967,3,50,32.5,16.8,50,-1.3
1967,4,0,37.8,21.7,2,-1.3
1967,5,0,42.5,27.2,2,-1.6
1967,6,95,39.3,27.1,91,2.1
1967,7,278,32.2,25.1,142,1.8
1967,8,390,29.7,24.1,120,2.6
1967,9,240,30.9,23.2,118,2.9
1967,10,1,34.6,18.5,77,2.8
1967,11,0,30.5,14,16,2.2
1967,12,16,26.5,11.7,23,2.7
1968,1,2,24,9.7,7,2.3
1968,2,1,27.8,10.6,4,2.1
1968,3,23,34.8,16.2,24,2.6
1968,4,0,38.8,21.1,2,2.3
1968,5,1,41.5,26.2,3,1.8
1968,6,11,39.9,27.9,11,-1.8
1968,7,334,32.6,24.7,132,-1.1
1968,8,370,30.6,23.7,129,1.3
1968,9,55,34.5,23.5,110,-1.3
1968,10,5,34.2,18.4,33,-2.7
1968,11,0,31.7,12.2,11,-2.8
1968,12,0,27.1,10,6,-2.7
1969,1,5,25.8,10.8,9,-2.6
1969,2,0,29.8,13.4,3,-2.4
1969,3,1,36.6,19.9,3,-2.5
1969,4,0,39.4,22.1,2,-2.3
1969,5,2,41.6,27.3,3,-2.4
1969,6,30,39.9,27.9,29,-3
1969,7,432,32.9,24.8,137,-1.2
1969,8,395,30.7,23.9,119,2.4
1969,9,187,31.8,24,128,2
1969,10,0,35.2,19,74,2
1969,11,8,31.4,14.3,24,2
1969,12,0,28.4,9.6,8,1.9
1970,1,16,25.7,10.7,20,2.1
1970,2,2,28.3,12.6,5,2
1970,3,7,33.4,17.2,9,1.8
1970,4,1,40.3,23.7,3,1.7
1970,5,9,42.9,28.8,10,1.7
1970,6,138,37.5,26.5,133,3.8
1970,7,206,33.3,24.8,148,2.8
1970,8,395,30.4,24.5,125,2.8
1970,9,257,31.1,24,118,3.3
1970,10,3,34.3,19.1,75,3.2
1970,11,0,30.5,11,18,3
1970,12,0,27.3,8.8,8,2.7
1971,1,2,24.5,9.6,7,2.3
1971,2,0,30,11.1,4,2.1
1971,3,0,35,15.7,3,1.5
1971,4,0,40.2,23.5,2,1.4
1971,5,12,40.8,26.8,13,1.6
1971,6,147,35.8,26.5,141,3.9
1971,7,452,30.5,24.4,124,5.3
1971,8,281,29.8,24.2,121,4.7
1971,9,422,32,23.6,113,6.9
1971,10,18,32.6,18.7,80,6.9
1971,11,1,30.2,12.2,25,6.8
1971,12,0,26.9,8.7,10,6.1
1972,1,0,26.2,9.6,6,5.4
1972,2,1,26.6,9.9,5,5
1972,3,0,35.1,17.1,3,4.1
1972,4,0,38.4,22.1,2,3.7
1972,5,1,43,27.6,3,3
1972,6,54,40.9,27.9,53,2.5
1972,7,120,33.3,25.4,115,0.9
1972,8,321,30.3,24.4,121,-2.7
1972,9,113,33.1,22,127,-3.4
1972,10,3,34.7,18.6,63,-2.9
1972,11,2,31.3,12.3,16,-3
1972,12,0,27.2,10.4,7,-3.1
1973,1,6,25.7,9.8,10,-2.8
1973,2,1,30.5,13.4,4,-2.6
1973,3,0,34.8,17.1,2,-2.7
1973,4,0,41.4,24.2,2,-2.5
1973,5,3,43.7,29.1,4,-2.5
1973,6,42,38.8,28.5,41,-2.9
1973,7,449,32,24.5,131,-0.9
