Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.2292 North,73.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,26,11.3,6,-0.7
1958,2,0,28.4,12,3,-0.9
1958,3,0,34.6,18.3,2,-1.2
1958,4,4,40.4,24.8,5,-1.1
1958,5,1,41.8,27.4,2,-1.5
1958,6,12,42,28.5,12,-2.1
1958,7,105,34.6,27.3,101,-1.7
1958,8,43,35,26.8,41,-2.8
1958,9,197,32.4,25.2,122,2.3
1958,10,6,34.2,19.7,41,3.2
1958,11,28,30.6,13.9,37,4.5
1958,12,8,26.1,11.9,13,4.6
1959,1,1,23.9,9.1,4,4.1
1959,2,1,27.5,11,3,3.7
1959,3,0,36.1,17.7,2,3
1959,4,12,39.1,23,13,3.1
1959,5,10,41.3,27.2,11,2.6
1959,6,42,40,29.2,41,2.6
1959,7,171,34.4,26.6,144,3.4
1959,8,123,32.2,25,118,3.3
1959,9,156,32.6,24.7,111,4.9
1959,10,4,35.2,21.3,31,5.7
1959,11,8,30.7,13.3,17,5.8
1959,12,0,26.4,9.9,6,5.3
1960,1,0,24.1,8.7,4,4.8
1960,2,0,31.7,12.3,3,4.2
1960,3,1,31.7,16.4,3,3.6
1960,4,2,37.2,21.4,3,3.1
1960,5,4,41.3,26.1,5,2.4
1960,6,40,40,28.2,39,2.4
1960,7,83,35.5,26.3,79,1.6
1960,8,63,32.7,25.8,61,-1.8
1960,9,4,36.1,25,4,-2.9
1960,10,0,35.7,19.6,1,-3.2
1960,11,0,31.6,12,0,-3.2
1960,12,2,26.5,10.4,3,-2.9
1961,1,3,24.2,9.8,4,-2.6
1961,2,12,25.3,10.5,12,-1.7
1961,3,0,34.7,18.1,0,-2
1961,4,12,37.5,21.5,12,-1.3
1961,5,6,41.3,27,6,-1.5
1961,6,44,38.8,27.6,42,-0.9
1961,7,108,34.5,26.5,103,-0.6
1961,8,86,33.3,26.1,82,-1.1
1961,9,210,32.7,25,113,2.6
1961,10,1,34.1,19.2,52,4
1961,11,3,29,13.5,15,3.9
1961,12,1,24.8,8.5,7,3.7
1962,1,0,23.9,7.3,4,3.4
1962,2,0,28.3,12.6,3,3
1962,3,25,33.3,17.3,26,3.6
1962,4,2,39,23,4,3.2
1962,5,3,41.9,27.2,4,2.5
1962,6,5,41,27.7,6,1.4
1962,7,157,35.5,26.9,148,2.1
1962,8,81,33.8,25.6,79,1.2
1962,9,73,33.2,24.8,71,1.3
1962,10,0,34.5,17.4,1,0.7
1962,11,0,31.1,12.9,1,-1.1
1962,12,1,25.2,10.4,1,-1.1
1963,1,0,25.6,7.9,1,-1.2
1963,2,2,30.5,12.8,2,-1.2
1963,3,5,33.6,17,5,-1.3
1963,4,2,37.6,22.8,2,-1.3
1963,5,1,40.5,26.5,1,-1.7
1963,6,7,39.9,28.8,7,-2.5
1963,7,42,37.3,27.6,40,-3.9
1963,8,138,33.6,26.5,131,-3.4
1963,9,69,34.3,24,66,-2.9
1963,10,8,36.3,20.3,7,-3
1963,11,9,31.1,16,9,-2.5
1963,12,0,27,10.2,1,-2.4
1964,1,0,22.7,6.5,0,-2.4
1964,2,0,27.8,11.4,0,-2.4
1964,3,0,36.1,18.6,1,-2.6
1964,4,0,39.7,23.9,0,-2.7
1964,5,24,41.3,26.4,23,-2.1
1964,6,25,39.2,27.6,24,-2.2
1964,7,128,34.7,26.6,121,-1.5
1964,8,195,33.2,25.6,130,1.3
1964,9,17,33.4,25,40,0.7
1964,10,2,35,18.8,12,-0.4
1964,11,0,30.8,11.4,5,-0.9
1964,12,5,25.7,9.3,8,-0.6
1965,1,7,26.5,11.2,9,0.3
1965,2,2,28.3,11.8,3,-0.1
1965,3,13,33,16.7,14,0.6
1965,4,3,35.7,21.5,4,0
1965,5,2,40,26.2,3,-0.6
1965,6,7,40.2,28.2,8,-1.6
1965,7,198,35.3,26.7,171,1.2
1965,8,65,34,24.8,67,-1
1965,9,11,34.8,23.9,14,-2.1
1965,10,1,36.1,20.9,3,-2.6
1965,11,0,32.5,14.7,2,-2.7
1965,12,0,25.8,8.7,1,-2.7
1966,1,0,26.3,10.1,1,-2.7
1966,2,2,30.3,14.1,3,-2.5
1966,3,0,33.4,15.7,1,-2.7
1966,4,0,37.9,22.1,1,-2.8
1966,5,9,41.2,26.5,9,-2.9
1966,6,37,39.3,28.1,36,-2.5
1966,7,107,37.1,26.6,102,-2.8
1966,8,157,33.2,25.1,150,-2.4
1966,9,64,34.4,23.6,61,-2.4
1966,10,3,36.7,19.7,3,-2.8
1966,11,2,29.3,15,2,-2.9
1966,12,0,26.3,7.9,0,-2.9
1967,1,0,23.3,6.2,0,-2.8
1967,2,0,30.8,12.1,0,-2.7
1967,3,71,31.5,16.9,68,3.2
1967,4,1,36.9,21.5,1,2.7
1967,5,5,40.7,25.9,5,2
1967,6,59,39.7,27.5,56,2.6
1967,7,147,35.4,26.8,140,3
1967,8,142,32.3,25.2,134,2.9
1967,9,125,33.3,23.9,119,3.7
1967,10,14,35.6,18.6,14,3.4
1967,11,3,31.1,14.9,3,3
1967,12,12,26.1,10.4,12,3.2
1968,1,1,22.7,8.8,1,2.7
1968,2,0,25.9,9.6,1,2.3
1968,3,5,33.8,16.4,5,1.9
1968,4,0,38.7,21.8,0,1.5
1968,5,4,40.3,25.4,4,0.9
1968,6,0,41,28.9,0,-2
1968,7,118,36.5,27.1,112,-1.8
1968,8,47,34,25.5,44,-3.1
1968,9,1,36.8,23.9,1,-4.2
1968,10,0,36.2,19.6,0,-4.3
1968,11,0,32.7,13.3,0,-4.2
1968,12,0,26.3,10.1,0,-3.9
1969,1,4,25,10.4,4,-3.5
1969,2,1,27.8,12.4,1,-3.3
1969,3,1,35.8,20.2,1,-3.3
1969,4,2,39.2,23.5,2,-3.1
1969,5,1,40.7,26.8,1,-3.4
1969,6,9,40.9,29.3,8,-3.8
1969,7,75,36.9,27.3,72,-4.3
1969,8,69,33.9,25.7,65,-4.9
1969,9,27,35.1,25.5,25,-5.3
1969,10,1,37.4,20.3,1,-5.3
1969,11,0,33,15.9,0,-5.1
1969,12,0,28,10.2,0,-4.7
1970,1,1,24.9,10.3,1,-4.4
1970,2,5,27.1,12.4,5,-3.9
1970,3,2,32.5,17.5,2,-3.7
1970,4,3,39.8,23.9,3,-3.4
1970,5,5,42.4,28.6,5,-3.5
1970,6,48,39.2,28.3,46,-2.7
1970,7,65,36.3,26.2,62,-3.4
1970,8,243,33.1,25.6,123,-1.4
1970,9,121,33.5,24.6,120,3.3
1970,10,4,36.1,20,67,5.3
1970,11,0,31,11.6,13,5.1
1970,12,0,26.5,9.1,7,4.8
1971,1,0,23.3,8.7,4,4.4
1971,2,5,28.8,11,7,4.2
1971,3,0,34.1,16.1,2,3.5
1971,4,5,40.1,24.1,7,3.2
1971,5,19,40.4,26.7,19,3.1
1971,6,84,37.2,27.9,80,4.3
1971,7,107,34,26.3,102,3.8
1971,8,90,32.5,25.3,86,2.8
1971,9,51,34.6,24.4,50,2.2
1971,10,4,34.4,19.5,4,1.5
1971,11,0,31.2,13.3,1,1.2
1971,12,0,26.8,9.5,0,0.9
1972,1,1,25.3,9.2,1,0.7
1972,2,4,24.6,8.8,4,0.6
1972,3,0,34.5,17.6,0,-1.4
1972,4,6,37.7,22.1,6,-1.3
1972,5,6,41.9,26.8,6,-1.5
1972,6,39,41.4,28.4,37,-1.1
1972,7,34,36.5,27,32,-2.6
1972,8,223,33.6,26.2,155,-1.3
1972,9,6,35.8,22.8,32,-2
1972,10,0,36.1,19.1,10,-2.2
1972,11,0,32.5,13.6,5,-1.9
1972,12,0,26.4,10.4,4,-1.8
1973,1,2,23.8,8.4,4,-1.6
1973,2,1,29.4,13.1,2,-1.5
1973,3,0,33.7,17.1,1,-1.7
1973,4,0,40.5,23.8,1,-1.8
1973,5,23,42.4,27.8,23,-1.2
1973,6,53,39.3,29.1,51,-0.7
1973,7,106,35.3,26.5,101,-0.8
1973,8,345,32.5,25.3,126,3.5
1973,9,82,34.5,23.7,108,4.4
1973,10,1,34.8,19,45,5.6
1973,11,0,31.3,12.1,12,5.1
1973,12,1,24.7,9.1,7,4.5
1974,1,0,24.8,8,4,4
1974,2,0,26.4,10,3,3.5
1974,3,0,35.9,18.4,2,2.8
1974,4,2,39.8,23.7,4,2.4
1974,5,27,40.8,26.8,27,2.7
1974,6,49,39.5,27.9,47,2.7
1974,7,153,36.5,27.1,146,2.9
1974,8,39,35.2,26.7,38,1.3
1974,9,12,37.1,25.2,12,-2.1
1974,10,15,35.1,21,15,-2
1974,11,0,31.2,12.4,0,-2
1974,12,7,25.2,9.7,7,-1.6
1975,1,1,23,8.6,1,-1.5
1975,2,0,27,11,1,-1.6
1975,3,2,32.6,16.1,2,-1.7
1975,4,0,39.2,22.4,1,-1.8
1975,5,5,41.7,27.6,5,-2
1975,6,114,39.2,27.6,109,2.2
1975,7,258,35,26.3,180,4.1
1975,8,200,33.1,26,167,4.8
1975,9,287,32.4,25.1,158,8.7
1975,10,17,33.6,20.3,88,11.2
1975,11,0,30.5,11.3,13,10.4
1975,12,0,27.2,9.6,7,9.4
1976,1,6,25,10.6,10,8.8
1976,2,7,27.1,12.7,10,8.2
1976,3,0,32.4,17.8,2,7.1
1976,4,6,37.3,21.9,8,6.5
1976,5,3,41.3,26.8,4,5.3
1976,6,31,38.6,28.2,30,4.7
1976,7,95,35.6,27,91,3.9
1976,8,191,32.2,25,139,4.3
1976,9,150,33.3,23.1,126,5.6
1976,10,0,35.9,20,30,6.1
1976,11,11,32.5,15.2,20,6.2
1976,12,0,26.5,10.3,6,5.7
1977,1,11,24.4,8.8,14,5.8
1977,2,2,29.1,13.2,5,5.2
1977,3,0,36.8,18.2,2,4.3
1977,4,15,38.3,23.5,15,4.4
1977,5,24,40.2,27.2,24,4.3
1977,6,114,38.8,28,109,6.2
1977,7,206,33.9,26.3,166,6.9
1977,8,87,33,25.1,94,5.9
1977,9,78,33.7,24.3,80,5.4
1977,10,0,36.8,20.4,4,4.2
1977,11,2,32.6,16.5,5,3.7
1977,12,0,27.8,11.4,2,3.2
1978,1,0,24.4,8.7,2,2.7
1978,2,9,26.9,12.3,10,2.8
1978,3,2,31.8,17.2,3,2.3
1978,4,14,38.7,23.4,15,2.4
1978,5,0,42.9,28.3,1,1.6
1978,6,58,39.4,28.9,55,2.2
1978,7,201,33.7,25.9,148,3.5
1978,8,165,33.1,25.4,145,3.9
