Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.4792 North,77.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,5,24.5,9.3,11,1.2
1958,2,2,27.1,10.1,5,0.9
1958,3,2,33.6,16.7,5,0.6
1958,4,0,39.7,23.3,2,-0.1
1958,5,1,42.2,27,2,-0.9
1958,6,17,42.1,28.8,18,-1.5
1958,7,356,32.8,26.4,126,2.1
1958,8,301,32.4,25.1,116,2.6
1958,9,253,30.7,24.5,119,4.7
1958,10,12,31.9,18.4,74,4.9
1958,11,7,28.6,11.3,34,5.2
1958,12,2,24.4,9.4,13,4.8
1959,1,12,22.8,7.5,18,4.5
1959,2,0,26.3,9.2,4,3.9
1959,3,0,35,15.9,3,3.1
1959,4,1,38.3,21.4,3,2.8
1959,5,22,41.4,26.5,23,3.3
1959,6,36,40.2,29.4,35,3
1959,7,255,32.9,26,136,3.1
1959,8,338,31,24.8,114,3.9
1959,9,174,31.4,24.6,114,4.6
1959,10,12,32.7,19.7,73,4.8
1959,11,7,29,10.9,34,5.1
1959,12,0,25.3,8,11,4.5
1960,1,5,22.4,6.6,11,4
1960,2,0,30.9,10.9,4,3.4
1960,3,17,31.5,15.5,19,3.6
1960,4,2,37.1,20.5,4,3.2
1960,5,6,42.2,26.2,8,2.8
1960,6,27,40.9,29.2,27,2.1
1960,7,201,34.1,25.7,146,1.5
1960,8,467,30.7,24.8,112,3.5
1960,9,54,33.8,23.8,102,2.2
1960,10,28,32.8,17.7,63,1.9
1960,11,0,29.4,9.2,12,1.3
1960,12,6,25.1,8.2,12,1.2
1961,1,34,22.8,7.8,37,2.2
1961,2,10,24.2,8.7,13,2.3
1961,3,0,33.6,16.4,2,1.7
1961,4,2,37.5,20.6,3,1.5
1961,5,3,41.7,26.7,4,1.1
1961,6,35,39.3,28,35,0.9
1961,7,178,33.2,25.9,136,-1.1
1961,8,457,31.1,24.8,119,1.7
1961,9,228,31.3,24.5,108,3.6
1961,10,25,31.5,17.7,89,4.3
1961,11,5,26.7,10.8,30,4.5
1961,12,3,22.2,5.3,13,4.3
1962,1,11,22.3,5.3,17,4
