Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.2292 North,75.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,4,24.8,11,11,1.7
1958,2,0,27.4,11.3,5,1.5
1958,3,1,33.9,17.7,4,1.1
1958,4,1,40.3,25.5,3,0.9
1958,5,2,42.5,29.2,3,-0.3
1958,6,33,42,29.1,33,-1
1958,7,370,32.1,26.6,124,1.5
1958,8,227,32.2,25.5,117,1.7
1958,9,270,29.6,24.3,110,4.1
1958,10,7,32.1,19.7,69,4.3
1958,11,7,29.3,13.8,39,4.9
1958,12,1,25.6,11.7,13,4.6
1959,1,8,23,9.2,15,4.4
1959,2,0,26.8,10.5,4,3.9
1959,3,0,35.2,16.8,3,3.3
1959,4,2,39.1,23.7,4,2.9
1959,5,27,42,28.8,27,3.6
1959,6,62,39.9,29.7,60,3.5
1959,7,361,32,25.9,136,4.4
1959,8,259,30.1,24.5,111,4.7
1959,9,215,30.1,24.1,107,5.9
1959,10,19,32.8,21,71,6.2
1959,11,3,29.6,13.4,41,6.7
1959,12,0,26.2,10.1,15,6.3
1960,1,3,22.7,8.2,11,5.8
1960,2,0,30.8,11.5,5,5.2
1960,3,5,31.6,16.4,8,4.7
1960,4,5,37.9,22.7,7,4.4
1960,5,13,42.3,28.1,15,4.3
1960,6,56,40.2,29,55,3.9
1960,7,220,33.5,26,154,3.3
1960,8,298,29.9,24.5,112,3.4
1960,9,49,33.1,24,101,2.1
1960,10,9,33.2,19.3,48,1.4
1960,11,0,30.1,11.7,13,0.8
1960,12,3,26.5,10.8,10,-1.6
1961,1,27,23.2,9.7,30,1.1
1961,2,3,24.5,9.9,6,1.1
1961,3,0,34.1,17.5,2,0.6
1961,4,5,38.2,22.8,7,0.8
1961,5,4,41.9,28.7,5,-0.2
1961,6,27,38.9,28.2,27,-0.8
1961,7,216,32.2,26,135,-0.9
1961,8,217,30.7,25,123,-1.2
1961,9,426,30,24.1,106,5.2
1961,10,14,31.7,19.1,81,5.5
1961,11,3,27.8,13.5,32,5.6
1961,12,9,23.9,7.9,20,5.6
1962,1,1,22.5,6.7,8,4.9
1962,2,0,27.1,11.6,4,4.4
1962,3,9,32.5,16.5,11,4.2
1962,4,5,39,23.6,7,3.9
1962,5,3,42.3,28.7,4,3.3
1962,6,4,41.1,28.3,5,1.5
1962,7,343,33.4,26.5,142,2.3
1962,8,234,31.5,24.8,129,2.4
1962,9,201,30.4,23.8,126,3.5
1962,10,0,32.4,17.2,71,3.6
1962,11,4,30.1,13,30,3.8
