Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.1875 North,73.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,8,24.7,9.8,8,0.4
1958,2,0,26.8,10.7,0,-0.3
1958,3,1,33.5,17.3,1,-0.7
1958,4,0,39.7,24.4,0,-0.7
1958,5,0,41.3,27.1,1,-1.1
1958,6,5,42.6,28.9,5,-1.6
1958,7,74,35.4,27.6,70,-1.7
1958,8,34,35.6,26.8,32,-3
1958,9,126,32.6,25.1,120,2.3
1958,10,2,33.7,19.5,2,2.3
1958,11,15,29.9,13,15,3.1
1958,12,18,25.1,10.1,18,3.8
1959,1,2,22.5,7.5,2,3.3
1959,2,2,25.7,9.6,2,2.7
1959,3,2,34.7,16.4,2,2
1959,4,1,38,22.3,1,1.8
1959,5,7,40.7,26.8,7,1.6
1959,6,22,40.9,29.8,21,1.5
1959,7,158,35.3,26.9,150,2.8
1959,8,139,33,25.3,132,3.6
1959,9,141,33.1,25,119,6.5
1959,10,1,34.8,21.1,5,7.7
1959,11,5,30,12.4,8,7.3
1959,12,0,25.3,8.1,2,6.4
1960,1,1,22.8,7.2,2,5.6
1960,2,0,30.3,11.3,1,4.8
1960,3,3,30.8,15.5,4,4.1
1960,4,0,36.1,20.7,1,3.7
1960,5,2,41.3,26.2,2,3
1960,6,24,41,28.9,23,3
1960,7,73,36.3,26.5,69,2
1960,8,91,33.6,26.1,87,1.5
1960,9,7,36.4,25.2,7,-2.4
1960,10,1,35,19.2,1,-2.4
1960,11,0,30.7,10.9,0,-2.3
1960,12,8,25.2,8.3,8,-1.8
1961,1,7,22.9,8.3,7,-1.4
1961,2,15,23.8,9.3,15,1.2
1961,3,0,33.3,16.8,0,0.6
1961,4,1,36.5,20.9,1,0.6
1961,5,4,41,26.9,4,-0.1
1961,6,24,39.8,28.2,23,0.7
1961,7,71,35.2,26.6,68,-0.3
1961,8,102,33.8,26.1,97,0.1
1961,9,128,33.3,25.4,119,2.8
1961,10,1,33.6,19,2,3.1
1961,11,6,27.8,12.2,6,3.1
1961,12,3,23.3,6.5,3,2.8
1962,1,1,22.5,5.8,1,2.4
1962,2,0,26.8,11.4,1,1.9
1962,3,19,32,16.1,19,2.5
1962,4,0,38.2,22.5,0,2.2
1962,5,2,41.3,26.9,2,1.7
1962,6,3,41.7,28.2,3,0.7
1962,7,128,36.4,27.2,121,1.4
1962,8,70,34.6,25.9,67,-1.1
1962,9,70,33.3,24.7,67,0.8
1962,10,0,34,17.3,0,-0.2
1962,11,1,30.3,11.9,1,-0.1
1962,12,6,24,8.5,6,0.1
1963,1,0,23.9,6.2,0,-0.3
1963,2,2,28.9,11.6,2,-0.6
1963,3,3,32.4,15.8,3,-0.9
1963,4,0,36.7,22.2,1,-0.9
1963,5,1,39.9,26.2,1,-1.2
1963,6,3,40.7,29.3,3,-2
1963,7,47,38.4,28,44,-3.6
1963,8,117,34.1,26.4,111,-2.8
1963,9,26,34.6,24.1,25,-3.2
1963,10,2,35.9,20.3,2,-3
1963,11,3,30.3,15,3,-2.7
1963,12,1,25.6,8.2,1,-2.7
1964,1,1,21.2,4.9,1,-2.7
1964,2,0,26,10.1,0,-2.8
1964,3,2,34.6,17.3,2,-3
1964,4,0,38.6,23.1,0,-2.8
1964,5,13,40.4,25.6,13,-2.1
1964,6,11,40,28.2,10,-2.4
1964,7,102,35.1,26.5,97,-1.8
1964,8,177,33.8,25.7,144,1.8
1964,9,13,33.6,25.1,20,1.4
1964,10,1,34.4,18.4,5,1
1964,11,0,30,10.4,2,0.7
1964,12,7,24.6,7.6,8,0.7
1965,1,5,25.3,9.8,6,0.7
1965,2,4,26.7,10.6,5,-0.1
1965,3,9,31.8,15.5,9,0
1965,4,0,34.5,20.6,1,0
1965,5,1,39.5,25.8,1,-0.8
1965,6,5,41,28.8,5,-1.6
1965,7,143,36,26.8,136,-0.7
1965,8,38,34.6,24.8,37,-2.5
1965,9,11,35.2,24.1,11,-3.7
1965,10,2,35.4,20.5,2,-3.6
1965,11,1,31.8,13.8,1,-3.5
1965,12,0,24.4,6.6,0,-3.6
1966,1,1,24.8,8.4,1,-3.5
1966,2,11,28.9,12.9,11,-2.8
1966,3,0,32.4,14.7,0,-3.2
1966,4,0,37,21.5,0,-3
1966,5,11,41,26.4,11,-2.6
1966,6,20,39.8,28.3,19,-2.3
1966,7,71,37.9,26.8,67,-3.3
1966,8,145,33.9,25.3,138,-2.4
1966,9,45,34.3,23.5,43,-2.5
1966,10,6,35.8,19.1,6,-2.2
1966,11,4,28.3,13.8,4,-2.1
1966,12,0,24.9,5.9,0,-2.3
1967,1,0,21.9,4.6,0,-2.2
1967,2,0,29.4,11,0,-2.3
1967,3,57,30.3,15.6,54,3.2
1967,4,0,36,20.9,0,2.8
1967,5,2,40.3,25.6,2,2.2
1967,6,22,40.8,28.3,21,2.2
1967,7,84,36.4,27.1,79,1.6
1967,8,130,33.1,25.4,123,2.1
1967,9,86,33.6,24,82,3
1967,10,11,34.7,18,10,3.2
1967,11,8,29.9,13.6,7,3.3
1967,12,24,24.9,8.5,23,4.2
1968,1,2,21.4,7.3,2,3.7
1968,2,3,24.4,8.5,2,3.2
1968,3,3,32.7,15.3,3,2.6
1968,4,0,37.6,21.1,0,2.3
1968,5,3,40.1,25.4,3,1.8
1968,6,0,41.7,29.4,0,-1.6
1968,7,78,37.1,27.1,74,-1.9
1968,8,41,34.8,25.7,39,-3.4
1968,9,0,37.3,24.4,0,-4.7
1968,10,0,35.3,19,0,-4.5
1968,11,0,31.8,12.2,0,-4.2
1968,12,0,25.2,8.3,0,-4
1969,1,4,23.6,8.8,4,-3.6
1969,2,1,26.3,11.2,1,-3.5
1969,3,2,34.6,19,2,-3.5
1969,4,1,38,22.8,1,-3.1
1969,5,2,40.1,26.3,2,-3.2
1969,6,6,41.7,30.2,5,-3.6
1969,7,84,37.6,27.4,80,-3.8
1969,8,59,34.9,26.1,56,-4.6
1969,9,17,35.4,25.6,17,-5.2
1969,10,3,36.7,20,3,-4.8
1969,11,0,31.7,14.4,0,-4.5
1969,12,0,26.8,8.3,0,-4.3
1970,1,4,23.6,8.8,4,-3.8
1970,2,18,25.5,11.1,17,-2.6
1970,3,6,31.4,16.3,6,-2.3
1970,4,1,38.9,23.3,1,-2.1
1970,5,2,42.2,28.5,2,-2.2
1970,6,20,39.8,28.5,19,-1.8
1970,7,49,37.4,26.6,47,-3
1970,8,153,33.7,25.7,131,-1.4
1970,9,97,34,24.9,95,3.2
1970,10,1,35.6,19.8,3,2.7
1970,11,0,30.3,10.7,2,2.3
1970,12,0,25.4,7.4,1,1.8
1971,1,1,21.9,7,2,1.6
1971,2,5,27.4,9.9,5,1.4
1971,3,0,33.1,15.1,1,0.9
1971,4,1,39,23.3,1,0.8
1971,5,15,40,26.4,14,1.3
1971,6,51,38,28.2,49,2.9
1971,7,80,34.8,26.4,76,2.3
1971,8,99,33.2,25.4,95,1.8
1971,9,41,34.7,24.3,39,1.5
1971,10,4,33.7,19.1,4,1.3
1971,11,0,30.5,12.4,0,1
1971,12,0,26,8,0,0.6
1972,1,3,23.9,7.6,3,0.6
1972,2,3,23.4,7.8,3,-0.1
1972,3,0,33.3,16.4,0,-1.1
1972,4,1,36.7,21.4,1,-0.9
1972,5,2,41.8,26.8,2,-1.2
1972,6,30,42.1,28.8,29,0.6
1972,7,35,37.4,27.3,34,-1.8
1972,8,170,34,26.1,159,1.2
1972,9,11,35.8,22.7,11,-0.7
1972,10,1,35.2,18.6,1,-0.9
1972,11,0,31.6,12.5,0,-1
1972,12,2,25.3,8.6,2,-1.1
1973,1,2,22.7,7,3,-1.1
1973,2,1,27.9,12,1,-1.3
1973,3,0,32.4,15.8,0,-1.7
1973,4,0,39.4,23,0,-1.6
1973,5,8,42.1,27.6,8,-1.4
