Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.7708 North,73.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,26.8,12,8,-1.6
1958,2,0,29.1,12.5,4,-1.6
1958,3,0,35,18.9,3,-1.9
1958,4,1,40.5,25.2,3,-1.7
1958,5,1,42.1,28.2,2,-2
1958,6,13,41.9,29.1,14,-2.4
1958,7,120,33.8,27.2,115,-1.9
1958,8,60,34.2,26.5,58,-3
1958,9,268,31.9,25.2,114,2.4
1958,10,12,33.8,20.1,69,4
1958,11,21,30.8,14,51,6.2
1958,12,2,26.9,12.2,14,6.3
1959,1,1,24.5,9.8,7,5.9
1959,2,0,28.3,11.5,4,5.4
1959,3,0,36.4,18.2,3,4.5
1959,4,2,39.2,23.5,4,4.3
1959,5,6,41.7,28,8,3.8
1959,6,39,40,29.6,38,3.6
1959,7,194,33.6,26.4,139,4.7
1959,8,137,31.6,24.9,116,4.6
1959,9,224,32.2,24.8,109,6.4
1959,10,8,34.6,21.5,72,7.7
1959,11,5,31,13.5,31,8.2
1959,12,0,27.3,10.4,10,7.7
1960,1,1,24.7,9.3,7,7.1
1960,2,0,32.4,12.6,4,6.4
1960,3,1,32.3,17.1,4,5.5
1960,4,0,37.6,22.1,2,5.1
1960,5,3,41.6,26.8,5,4.3
1960,6,37,40,28.7,36,4.1
1960,7,97,35,26.5,93,3
1960,8,81,31.9,25.4,78,1.8
1960,9,9,35.5,25.2,9,-2.8
1960,10,0,35.3,20.1,1,-3.3
1960,11,0,31.8,12.2,1,-3.4
1960,12,1,27.5,11,2,-3.2
1961,1,4,24.8,10.3,4,-2.8
1961,2,6,26.3,11,6,-2.3
1961,3,0,35.1,18.7,0,-2.5
1961,4,2,37.9,22.2,2,-2.1
1961,5,3,41.5,27.7,3,-2.2
1961,6,37,39,28.1,36,-1.6
1961,7,112,33.9,26.6,107,-1.5
1961,8,89,32.7,25.9,85,-2.2
1961,9,307,32.2,25,110,3
1961,10,2,33.6,19.6,73,4.5
1961,11,2,29.4,13.7,24,4.9
1961,12,0,25.5,8.9,10,4.8
1962,1,0,24.5,7.8,6,4.5
1962,2,0,29.1,12.9,4,4
1962,3,30,33.7,17.8,31,4.9
1962,4,1,39.2,23.5,3,4.5
1962,5,2,42.2,27.9,3,3.8
1962,6,7,41,28.2,8,2.6
1962,7,165,34.9,26.9,148,3.1
1962,8,91,33.2,25.5,89,2.1
1962,9,100,32.8,24.9,97,2
1962,10,0,34,17.6,2,1.2
1962,11,1,31.5,13.2,2,0.8
1962,12,0,26.1,11,2,-1.4
1963,1,0,26.2,8.6,1,-1.5
1963,2,1,31.3,13.2,1,-1.5
