Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.0625 North,73.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,25.1,10,8,0
1958,2,0,27.7,10.9,4,0
1958,3,1,33.7,17.6,4,-0.6
1958,4,2,38.4,23.7,4,-0.6
1958,5,1,40.3,27,2,-0.8
1958,6,29,39.1,26.7,29,-1.3
1958,7,187,30.6,25.1,119,0.7
1958,8,102,31.3,24.6,105,-0.7
1958,9,326,28.6,23,104,2.7
1958,10,39,30.5,18.3,78,3.9
1958,11,14,29.4,12.8,53,5.7
1958,12,1,25.3,10.1,13,5.8
1959,1,2,22.9,8,8,5.3
1959,2,0,27,10.1,4,4.9
1959,3,0,35.1,16.9,3,3.8
1959,4,6,37.3,22.1,7,3.7
1959,5,7,39.9,26.7,8,3.4
1959,6,54,37.1,27.1,52,3.1
1959,7,281,30.3,24.3,127,4.8
1959,8,149,28.8,23.1,105,5
1959,9,297,28.9,22.6,103,7.2
1959,10,37,31.2,19.6,77,7.9
1959,11,4,29.6,12.3,43,8.7
1959,12,0,25.7,8.4,12,8.3
1960,1,2,22.9,7.3,8,7.5
1960,2,0,30.9,11,4,6.9
1960,3,3,31.2,16.1,6,5.7
1960,4,1,35.9,20.9,3,5.1
1960,5,4,39.8,25.6,6,4.6
1960,6,66,37.1,26.3,64,4.5
1960,7,139,31.9,24.5,133,3.5
1960,8,116,28.9,23.4,111,2.2
1960,9,27,32.2,22.9,26,0.7
1960,10,4,31.9,18.2,4,-3.5
1960,11,0,30.3,11,1,-3.7
1960,12,1,26.1,9.2,1,-3.6
1961,1,6,23.3,8.5,7,-3.2
1961,2,3,24.9,9.4,3,-2.8
1961,3,0,33.9,17.5,0,-3.2
1961,4,3,36.2,21,3,-2.9
1961,5,2,39.6,26.4,2,-2.8
1961,6,52,36.1,25.7,50,-2.4
1961,7,175,30.6,24.4,131,-1.9
1961,8,100,29.8,24,102,-2.6
1961,9,421,28.9,22.7,105,3.8
1961,10,10,30.2,17.7,74,4.3
1961,11,1,28.1,12.5,23,4.4
1961,12,1,23.8,6.7,10,4.3
1962,1,0,22.8,5.8,5,3.8
1962,2,0,27.6,11.3,4,3.5
1962,3,87,32.4,16.5,85,5.5
1962,4,2,37.1,22,4,5
1962,5,2,40.2,26.5,4,4.3
1962,6,14,38.1,25.8,14,2.8
1962,7,200,31.7,24.9,140,3.1
1962,8,115,30.3,23.5,115,2.1
1962,9,157,29.6,22.6,128,2.3
1962,10,0,30.9,15.8,36,2.2
1962,11,2,30.1,12,14,1.9
1962,12,1,24.6,9.1,7,1.7
1963,1,0,24.4,6.6,4,1.4
1963,2,0,29.8,11.5,3,1.2
1963,3,14,32.7,16.2,16,0.9
1963,4,2,35.7,21.6,4,0.8
1963,5,1,38.9,25.9,3,-0.3
1963,6,25,36.9,26.5,25,-1.5
1963,7,101,33,25.1,97,-2.4
1963,8,217,29.8,24,110,-1.6
1963,9,212,30.4,21.7,120,1.7
1963,10,30,32.4,18.7,88,3
1963,11,11,30.1,14.9,36,3.7
1963,12,0,26.2,8.6,10,3.6
1964,1,0,22,5.6,6,3.1
1964,2,0,27.4,10.4,4,2.8
1964,3,0,35.2,17.9,3,1.8
1964,4,0,38,23.1,2,1.5
1964,5,8,39.5,25.8,9,1.5
1964,6,37,36.7,25.9,37,0.9
1964,7,171,31,24.6,131,1
1964,8,185,29.7,23.6,110,1.3
1964,9,64,30.4,22.4,101,0.8
1964,10,3,31.8,17.7,33,-0.4
1964,11,0,29.7,10.5,11,-1.2
1964,12,1,25.2,7.9,7,-1.1
1965,1,11,25.4,10,15,-0.6
1965,2,0,27.7,10.8,3,-0.6
1965,3,42,32.3,16,42,0.7
1965,4,2,34.6,21.2,4,0.9
1965,5,1,38.8,26,2,-0.3
1965,6,10,37.7,26.6,10,-1.6
1965,7,236,31.7,24.9,141,1.1
1965,8,82,30.7,23.2,108,-1
1965,9,49,31,22,71,-1.8
1965,10,2,32.7,19.6,12,-3
1965,11,0,31.4,13.5,6,-3.3
1965,12,0,25.4,7.7,4,-3.2
1966,1,1,25.2,8.8,3,-3.1
1966,2,0,29.8,13.1,2,-2.9
1966,3,1,32.7,15.2,3,-3.4
1966,4,0,36.4,21.5,1,-3.2
1966,5,5,39.6,25.9,5,-3
1966,6,62,36.5,26.3,60,-2.5
1966,7,140,33.5,25,134,-2.9
1966,8,112,29.8,23.2,107,-3.8
1966,9,138,31,21.9,132,-3.2
1966,10,0,33.6,18.9,1,-4.3
1966,11,2,29,14.6,2,-4.6
1966,12,0,25.7,6.7,0,-4.6
1967,1,0,22.8,5.4,0,-4.4
1967,2,0,30.5,11.3,0,-4.1
1967,3,155,31,16.6,129,4.5
1967,4,0,35.5,21,4,5.5
1967,5,1,39.6,25.8,4,4.6
1967,6,90,36.9,25.7,88,5.2
