Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.0208 North,76.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,5,25.3,10.1,9,1.2
1958,2,1,28.2,10.8,4,0.9
1958,3,2,34.6,17.5,4,0.6
1958,4,0,39.9,23.6,2,-0.1
1958,5,1,42.7,27.5,3,-0.8
1958,6,32,42.4,28.6,31,-1.3
1958,7,392,32.8,26.4,123,1.7
1958,8,284,32.4,25.2,114,1.7
1958,9,265,30.8,24.6,116,3.9
1958,10,6,32.2,18.9,71,4.2
1958,11,10,29.3,12.2,26,4.6
1958,12,2,25.2,10.3,9,4.2
1959,1,10,23.4,8.2,14,3.9
1959,2,0,27.5,9.9,3,3.4
1959,3,0,36.1,16.6,2,2.7
1959,4,1,38.6,21.8,3,2.4
1959,5,26,42,27.1,26,3.1
1959,6,58,40.4,29.3,57,3
1959,7,333,32.8,25.8,136,3.4
1959,8,359,30.7,24.7,113,4.1
1959,9,219,31.4,24.4,112,5.4
1959,10,12,33,20.2,73,5.6
1959,11,7,29.6,11.8,25,5.9
1959,12,0,26,8.8,8,5.2
1960,1,5,23.3,7.4,9,4.7
1960,2,0,31.9,11.4,3,4
1960,3,10,32.5,16.3,12,3.9
1960,4,2,37.3,20.8,4,3.6
1960,5,9,42.6,26.6,10,3.2
1960,6,48,41,28.9,47,2.7
1960,7,220,34.3,25.7,149,1.8
1960,8,431,30.5,24.7,111,3
1960,9,52,34.1,23.9,101,1.8
1960,10,12,33.3,18.3,37,1
1960,11,0,30.2,10.2,10,0.7
1960,12,5,26,9.2,10,0.7
1961,1,31,23.5,8.7,33,1.8
1961,2,6,25.3,9.5,8,1.8
1961,3,0,34.7,17.2,2,1.2
1961,4,2,37.8,21,4,1.2
1961,5,4,42.1,27.2,5,0.8
1961,6,41,39.4,27.9,40,-0.3
1961,7,218,33,25.8,136,-1.1
1961,8,361,31,24.8,121,0.6
1961,9,335,31.2,24.5,109,4.2
1961,10,15,31.9,18.2,86,4.8
1961,11,5,27.6,11.8,18,4.6
1961,12,6,23.2,6.3,12,4.4
1962,1,5,23.1,6,8,3.9
1962,2,0,27.9,11.2,3,3.3
1962,3,10,33.3,16.4,12,3.3
1962,4,2,38.7,21.9,4,3
1962,5,2,42.4,27.1,4,2.4
1962,6,6,41.8,28.1,7,0.7
1962,7,357,34.4,26.5,139,1.6
1962,8,259,31.9,24.7,127,1.3
1962,9,205,31.3,23.9,125,2.4
1962,10,0,32.5,16.4,69,2.8
1962,11,3,30.1,11.5,17,2.8
1962,12,5,24.6,9.1,12,2.7
1963,1,3,24.5,6.3,7,2.3
1963,2,2,30.3,11.6,4,1.9
1963,3,2,33.5,16,4,1.5
1963,4,3,36.8,21.3,4,1.5
1963,5,3,41,26.3,4,1
1963,6,24,39.7,28.4,24,-1.5
1963,7,222,35.4,26.4,144,-1.9
1963,8,377,30.9,24.8,112,-0.8
1963,9,149,32.3,23,130,1.1
1963,10,2,34.1,19.2,73,1.6
1963,11,3,30,14.5,16,1.3
1963,12,2,25.7,8.2,8,1.1
1964,1,0,22.5,6,4,0.6
1964,2,0,27.8,10.5,3,-0.3
1964,3,1,36.2,17.9,3,-1.1
1964,4,0,39.4,22.9,2,-1.1
1964,5,22,41.5,25.9,23,0.8
1964,6,39,40.3,28.5,38,-0.4
1964,7,259,33,25.7,133,-0.5
1964,8,362,31.4,25,117,0.6
1964,9,120,31.6,24.2,121,-0.1
1964,10,1,33.7,18.4,64,0.6
1964,11,0,29.8,10,13,-0.3
1964,12,1,25.2,8.1,8,-0.6
1965,1,4,25.7,10,8,-0.8
1965,2,6,28,10.6,9,-0.7
1965,3,6,33.1,15.8,8,-0.6
1965,4,2,35.8,20.9,4,-0.6
1965,5,2,41.2,26.7,3,-0.9
1965,6,18,41.4,29.2,18,-2
1965,7,248,34.2,26.3,157,-2.2
1965,8,109,32.5,24.4,126,-3.5
1965,9,117,33.1,23.1,124,-3.5
1965,10,8,34,19.9,27,-4.1
1965,11,0,31.1,12.9,8,-3.9
1965,12,1,25.3,7.5,6,-3.8
1966,1,1,25.2,8.6,5,-3.8
1966,2,3,30.4,13.1,5,-3.5
1966,3,1,34.1,15.5,2,-3.6
1966,4,0,38.1,21.6,2,-3.3
1966,5,10,42.2,26.7,11,-3
1966,6,90,39.4,28,86,-1.7
1966,7,158,36.2,26.5,151,-2.7
1966,8,313,31.3,24.3,131,-3.2
1966,9,49,33.1,23.4,111,-4
1966,10,3,35.1,19.3,20,-4.8
1966,11,10,28.8,14.1,17,-4.4
1966,12,0,25.7,6.5,5,-4.2
1967,1,0,23.5,5.8,3,-4.1
1967,2,0,31.2,11.4,2,-4
1967,3,41,31.7,16.2,41,-1.6
1967,4,0,36.9,20.9,2,-1.6
1967,5,1,42.2,26.6,2,-1.8
1967,6,65,40.6,28.2,63,-1.3
1967,7,266,33.9,26.1,146,-1.4
1967,8,395,30.4,24.4,113,2.2
1967,9,213,31.6,23.2,117,3.5
1967,10,3,34.1,18.3,72,3.8
1967,11,1,29.5,13,15,3.5
1967,12,20,25.4,9,26,4.1
1968,1,7,22.2,7.9,11,3.7
1968,2,1,26.4,9.1,4,3.2
1968,3,9,34.2,15.9,11,3.1
1968,4,0,38.1,20.4,2,2.7
1968,5,2,41.4,25.7,3,2.1
1968,6,8,40.9,28.6,8,-1.7
1968,7,335,34.3,25.6,137,-0.7
1968,8,272,31.8,24.4,133,-0.7
1968,9,15,35.4,23.5,86,-2.2
1968,10,4,34.1,18.6,17,-3.2
1968,11,0,31.3,11.5,6,-3.2
1968,12,0,25.5,8.6,4,-3.3
1969,1,7,23.9,8.6,9,-3
1969,2,1,28.2,11.6,3,-2.9
1969,3,2,35.8,19,3,-2.9
1969,4,0,38,21.7,1,-2.7
1969,5,6,41.1,26.5,7,-2.6
1969,6,28,40.9,29.2,27,-3.1
1969,7,378,34.7,25.8,143,-1.5
