Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.6042 North,75.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,7,23.4,7.8,10,-1.7
1958,2,1,26.3,8.1,3,-1.8
1958,3,2,32.6,15.7,4,-1.9
1958,4,0,38.4,21.4,2,-1.9
1958,5,1,40,24.4,2,-2.3
1958,6,15,41.1,27.5,15,-2.7
1958,7,159,33.9,26.5,129,-2
1958,8,105,34,25.2,105,-2.2
1958,9,142,31.4,23.8,108,1.7
1958,10,4,32.2,17.4,24,2
1958,11,15,28.5,10.5,23,2.4
1958,12,9,24.5,8.2,14,2.4
1959,1,4,21.4,5.6,7,2.2
1959,2,1,25.3,7,4,1.8
1959,3,1,33.7,14.7,3,1.3
1959,4,1,36.7,19.2,2,1.1
1959,5,31,39.2,23.9,31,1.7
1959,6,35,39.7,28.7,34,1.5
1959,7,189,33.8,26,145,2.1
1959,8,206,32.3,24.6,126,3.2
1959,9,144,32.2,24,108,5.4
1959,10,7,33.2,19,63,6.8
1959,11,10,28.8,10.1,30,7.5
1959,12,0,25,6.4,8,7
1960,1,2,21.6,5.2,7,6.4
1960,2,0,30.2,9.1,3,5.6
1960,3,9,30.1,14.1,11,5.2
1960,4,1,34.9,17.7,3,4.8
1960,5,5,40.2,23.8,6,3.8
1960,6,35,40.1,28,34,3.5
1960,7,109,34.7,25.4,104,2.6
1960,8,195,32.6,25.1,118,3.1
1960,9,16,34.9,23.7,54,2.3
1960,10,9,33.1,16.9,20,1.8
1960,11,0,29.2,8.3,6,1.5
1960,12,9,24.4,6.3,12,1.6
1961,1,12,21.7,6.3,14,1.9
1961,2,12,23.4,6.7,13,2.1
1961,3,0,32.2,15.1,2,1.6
1961,4,1,35.4,18,2,1.4
1961,5,8,39.6,24.2,8,1
1961,6,39,38.7,27.2,38,1.1
1961,7,110,33.9,25.8,105,-0.5
1961,8,194,32.5,24.8,120,0.8
1961,9,129,32.4,24.3,108,2.5
1961,10,13,32,17,59,4.1
1961,11,9,26.4,9.7,20,4.4
1961,12,3,22.4,4.3,9,4.1
1962,1,4,21.3,3.9,7,3.8
1962,2,1,26.3,8.9,4,3.2
1962,3,13,31.1,14.5,14,3.4
1962,4,0,37,19.5,2,3
1962,5,4,40,24.2,5,2.2
1962,6,5,40.5,27.1,6,1
1962,7,191,35.2,26.4,144,1.7
1962,8,100,33.6,24.8,111,0.9
1962,9,106,32,23.2,105,1.7
1962,10,0,32.7,15.5,6,1
1962,11,2,28.8,9.5,6,0.8
1962,12,6,23.3,6.4,8,0.8
1963,1,1,22.4,3.8,2,0.6
1963,2,2,28.6,9.2,3,-0.2
1963,3,3,31.5,14.2,4,-0.8
1963,4,2,35.4,19.1,3,-0.7
1963,5,4,38.5,23.3,5,-1.1
1963,6,15,39.4,28,15,-1.8
1963,7,105,36.9,27.1,100,-2.6
1963,8,182,32.8,25.1,117,-1.6
1963,9,55,33.2,22.7,80,-1.3
1963,10,2,34.3,18.2,11,-1.5
1963,11,2,29,12.6,7,-1.4
1963,12,3,24.8,6,6,-1.3
1964,1,0,20.1,3.1,3,-1.4
1964,2,0,25.7,7.7,2,-1.5
1964,3,1,33.6,15.6,2,-1.7
1964,4,0,37.2,20,1,-1.6
1964,5,36,38.8,22.6,35,-0.6
1964,6,14,39,27.3,14,-1.1
1964,7,184,33.5,25.3,133,0.8
1964,8,242,32.9,24.7,131,2.6
1964,9,47,32.4,23.4,93,3
1964,10,1,32.8,16.2,26,3.1
1964,11,0,28.6,7.9,9,2.8
1964,12,4,24,5.7,9,2.6
1965,1,3,23.9,7.6,6,2.3
1965,2,9,26,8,11,2.3
1965,3,6,31,13.9,8,2
1965,4,2,33.1,17.5,3,1.9
1965,5,5,38.1,23.1,6,1.2
1965,6,9,40.1,28,9,-1.5
1965,7,153,34.6,25.8,146,-1.4
1965,8,59,33.6,23.8,57,-3.1
1965,9,36,33.8,22.7,35,-3.7
1965,10,7,33.6,18.2,7,-4
1965,11,1,30.2,11.2,1,-4
1965,12,0,23.8,4.7,0,-3.9
1966,1,1,23.5,6.1,2,-3.8
1966,2,10,28.5,10.4,10,-3.3
1966,3,0,31.7,13.4,1,-3.4
1966,4,0,35.8,18.7,0,-3.3
1966,5,27,39.9,23.8,26,-2.6
1966,6,54,38.4,26.9,51,-1.6
1966,7,78,36.5,25.8,75,-3
1966,8,193,32.9,24.2,142,-2.2
1966,9,40,33.2,22.2,54,-2.4
1966,10,13,34.1,16.9,20,-2.5
1966,11,10,27.2,11.2,13,-2
1966,12,0,24.4,4,3,-2.1
1967,1,0,21,2.9,2,-2.1
1967,2,0,29.1,8.7,2,-2.1
1967,3,42,29.6,14,41,2
1967,4,0,34.8,17.9,1,1.7
1967,5,2,39.1,23,3,1
1967,6,29,40,27.6,28,0.8
1967,7,131,34.8,26,125,-0.2
1967,8,186,32,24.3,120,0.7
1967,9,109,32.4,22.6,108,2
1967,10,15,33.2,15.9,41,2.9
1967,11,9,28.4,10.9,18,3
1967,12,24,24.2,6.5,28,3.8
1968,1,5,20.3,5.3,8,3.6
1968,2,2,24.1,6,5,3.1
1968,3,3,31.8,13.7,5,2.7
1968,4,0,36.3,18.1,2,2.4
1968,5,5,38.9,22.8,6,1.8
1968,6,5,40.3,28,5,0.6
1968,7,151,35.2,25.6,144,0.7
