Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.1458 North,75.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,24.4,10,6,-0.1
1958,2,1,27.1,10.7,4,-0.2
1958,3,1,34,17.8,3,-0.7
1958,4,0,39.7,24.3,2,-0.7
1958,5,2,42.2,27.8,3,-1.1
1958,6,25,42.1,28.6,25,-1.4
1958,7,277,33,26.6,123,1.2
1958,8,219,33,25.6,115,1.4
1958,9,247,31.2,24.9,118,3.6
1958,10,2,32.7,19.1,70,4.1
1958,11,12,29.3,12.7,24,4.5
1958,12,2,24.6,10.3,8,4.1
1959,1,4,22.4,8.1,8,3.8
1959,2,0,26.3,9.9,3,3.3
1959,3,0,35.4,16.8,2,2.7
1959,4,0,38.4,22.4,2,2.4
1959,5,35,41.5,27.3,35,3.3
1959,6,45,40.2,29.4,44,3.2
1959,7,266,33,26,136,3.7
1959,8,308,31.1,24.8,114,5
1959,9,223,31.8,24.8,113,6.5
1959,10,11,33.5,20.5,72,6.8
1959,11,8,29.5,12.2,24,7.1
1959,12,0,25.2,8.6,7,6.3
1960,1,2,22.2,7.2,6,5.7
1960,2,0,30.7,11.3,3,5
1960,3,7,31.7,16.4,9,4.6
1960,4,1,37.1,21.5,3,4.2
1960,5,12,42.1,26.8,12,3.8
1960,6,39,40.7,28.9,38,3.3
1960,7,160,34.4,25.9,152,2.3
1960,8,334,31,25,114,2.9
1960,9,44,34.7,24.5,102,1.8
1960,10,6,33.8,18.6,23,0.9
1960,11,0,30,10.5,8,0.7
1960,12,6,25.2,9,10,0.7
1961,1,15,22.5,8.6,17,1.4
1961,2,7,24.2,9.4,9,1.5
1961,3,0,34.1,17.4,2,1
1961,4,1,37.5,21.5,2,0.9
1961,5,4,41.6,27.4,5,-0.3
1961,6,31,39.2,28,30,-0.7
1961,7,165,33.2,26,140,-1.1
1961,8,272,31.5,25.1,121,-1
1961,9,325,31.8,25,113,3.7
1961,10,10,32.4,18.5,78,4.4
1961,11,6,27.5,12.2,18,4.3
1961,12,6,22.6,6.3,11,4.1
1962,1,1,22.1,5.8,5,3.6
1962,2,0,26.7,11.2,3,3
1962,3,10,32.7,16.6,12,3.1
1962,4,1,38.4,22.4,2,2.8
1962,5,4,42,27.3,5,2.1
1962,6,3,41.4,28,4,0.6
1962,7,284,34.5,26.6,142,1.6
1962,8,196,32.4,25,131,1.2
1962,9,181,32,24.5,132,2.2
1962,10,0,33.1,16.8,68,2.8
1962,11,3,29.9,11.8,15,2.7
1962,12,5,23.9,9,11,2.7
1963,1,1,23.5,6.1,5,2.3
1963,2,1,29.2,11.6,4,1.9
1963,3,2,32.9,16.3,4,1.5
1963,4,2,36.7,22,3,1.5
1963,5,3,40.5,26.6,4,0.9
1963,6,16,39.6,28.5,16,-1.5
1963,7,174,35.7,26.7,151,-1.9
1963,8,321,31.4,25.1,113,-0.8
1963,9,116,32.8,23.4,124,-0.6
1963,10,2,34.6,19.5,56,1.5
1963,11,3,30,15,15,1.1
1963,12,1,25.1,8.2,7,0.7
1964,1,0,21.5,5.7,4,-0.3
1964,2,0,26.7,10.4,3,-1
1964,3,0,35.4,18,2,-1.2
1964,4,0,39.2,23.5,2,-1.2
1964,5,33,41,26.1,32,1
1964,6,28,40,28.4,27,-0.4
1964,7,184,33.3,26,133,-0.5
1964,8,316,31.8,25.2,121,0.4
1964,9,90,32.1,24.7,115,0.2
1964,10,1,34,18.5,41,0.3
1964,11,0,29.6,10.3,11,0
