Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.3125 North,88.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,32,12.9,2.7,37,0.7
1958,2,8,12.7,2.8,17,-0.4
1958,3,47,16.7,5.2,50,-0.8
1958,4,124,19.4,8.8,103,0.4
1958,5,108,20.4,11.1,105,-0.7
1958,6,133,21.9,14,104,-1.8
1958,7,332,21.8,14.4,91,-3
1958,8,508,20.3,14.6,78,-0.7
1958,9,150,21.3,13.4,76,-1.5
1958,10,35,21.7,10.5,63,-2
1958,11,8,18.6,4.5,37,-2.1
1958,12,0,14.6,2.7,20,-2.2
1959,1,31,11.9,2,36,-1.5
1959,2,8,12.2,1.9,17,-1.9
1959,3,57,16.7,5.2,60,-1.9
1959,4,86,19.2,8.6,85,-2
1959,5,126,19.6,10.4,103,-2
1959,6,207,20.2,13.1,90,-2.6
1959,7,351,21,14.2,90,-2.9
1959,8,275,21,14,93,-3
1959,9,308,19.9,11.9,74,-1.6
1959,10,174,18.5,11,69,1.9
1959,11,0,16.7,5.2,37,1.5
1959,12,0,14.7,2.7,25,1.2
1960,1,1,11.5,0,22,0.8
1960,2,10,14.8,3,20,-1.1
1960,3,108,15.4,4.6,91,0.8
1960,4,37,20.1,7.9,47,-1
1960,5,118,20.8,10.8,108,-1.3
1960,6,164,20.8,13.3,103,-2.2
1960,7,421,20.3,14.2,81,-2.3
1960,8,321,21,14.7,90,-2
1960,9,304,19.6,13.3,71,-0.7
1960,10,45,19.8,9.9,66,-1.2
1960,11,0,16.7,4.2,36,-1.5
1960,12,0,15.5,2.6,21,-1.7
1961,1,5,12.7,2.3,18,-1.9
1961,2,37,12.7,1.8,39,-1.6
1961,3,64,16.2,6.1,65,-1.5
1961,4,71,19.4,7.8,71,-2
1961,5,99,19.8,10.6,96,-2.4
1961,6,307,20.7,13.1,103,-2.5
1961,7,325,21.3,13.9,99,-3.1
1961,8,373,21.2,14.7,93,-2.2
1961,9,211,20.4,13.3,79,-2.1
1961,10,103,20.3,9.5,82,-1.9
1961,11,9,14,4,45,-1.8
1961,12,5,11.1,0.2,27,-1.5
1962,1,24,12.3,0.1,35,-1
1962,2,37,12.1,1.5,42,-0.6
1962,3,60,16.1,4,69,-0.6
1962,4,103,18.5,7.5,100,0.1
1962,5,151,18.3,9.6,102,0.8
1962,6,387,19.4,13.1,87,1.7
1962,7,331,21.2,14,96,0.8
1962,8,502,19.8,13.9,81,2.6
1962,9,263,20.3,12.9,77,2.9
1962,10,28,19.6,8.3,62,1.8
1962,11,0,17.2,4.1,34,1
1962,12,6,13.3,2,22,0.6
1963,1,7,12.1,-0.9,16,-1.7
1963,2,1,14.3,1,7,-2.4
1963,3,78,14.8,4.7,77,-1.9
1963,4,131,16.5,6.9,100,-1.2
1963,5,158,18.3,9.5,98,-0.7
1963,6,351,19.8,12.7,87,1.8
1963,7,452,20.7,14,84,2.1
1963,8,336,20.5,14.3,84,2.2
1963,9,228,20.6,12.6,79,2
1963,10,82,19,9.6,79,1.5
1963,11,37,14.2,5.4,51,2.1
1963,12,0,13.7,1.9,29,2.1
1964,1,1,12.6,1.1,27,1.7
1964,2,9,13,2.1,25,1
1964,3,38,16.9,5.6,44,-1.1
1964,4,101,18.3,8.6,98,-1
1964,5,154,18.3,9.1,110,-0.8
1964,6,207,21.1,13,104,-1.5
1964,7,536,20,13.9,89,1.2
1964,8,286,20.7,14.1,90,0.8
1964,9,186,20.2,13.5,75,-0.4
1964,10,37,21.4,10.2,63,-1.2
1964,11,4,16.6,5,35,-1.5
1964,12,0,14.1,1.5,21,-1.7
1965,1,0,13.4,-0.2,12,-2.1
1965,2,51,12.5,0.3,51,-1.7
1965,3,82,14.3,3.5,82,-1.4
1965,4,65,18.3,7.3,66,-1.9
1965,5,101,20.1,10.2,98,-2.4
1965,6,215,20.7,12.9,101,-3.1
1965,7,319,20.2,13.5,93,-3.8
1965,8,429,20.1,13.3,94,-2.3
1965,9,161,20.2,11.9,86,-2.9
1965,10,44,18.7,8,69,-3.3
1965,11,51,14.6,3.9,58,-2
1965,12,2,14,0.8,28,-1.8
1966,1,67,10.6,-0.1,52,2.3
1966,2,33,13.9,3.4,44,2.3
1966,3,23,17.3,5,44,1.2
1966,4,72,18.8,7.4,78,-1.3
1966,5,74,21,10.5,76,-2.3
1966,6,270,20.4,12.9,106,-2.7
1966,7,379,20.9,13.8,92,-2.7
1966,8,459,20.4,14.4,86,-1
1966,9,165,19.7,11.7,85,-1.6
1966,10,33,18.5,7.2,65,-2.2
1966,11,7,17.8,5.1,37,-2.3
1966,12,8,14,2.2,27,-2.3
1967,1,2,12.8,1.1,13,-2.5
1967,2,9,14.8,1.8,15,-3
1967,3,136,14.8,4.3,86,-1.3
1967,4,117,17.2,6.5,102,-0.6
1967,5,96,19.5,9.3,99,-0.9
1967,6,228,19.9,12.6,100,-1.3
1967,7,306,21.2,13.5,92,-2.2
1967,8,277,21,14,101,-2.4
1967,9,241,20.4,12.1,86,-2
1967,10,58,18.4,7.4,74,-2.3
1967,11,7,13.2,3.3,38,-2.3
1967,12,0,13.8,2.2,21,-2.3
1968,1,21,9.9,0.8,30,-1.8
1968,2,12,12.2,1.4,23,-2.1
1968,3,76,15.7,5.4,76,-1.7
1968,4,95,17.6,6.8,93,-1.7
1968,5,94,19.4,9.7,92,-2.2
1968,6,295,18.8,12.6,96,-2.3
1968,7,483,19.8,13.7,86,-1.4
1968,8,274,21.3,13.6,101,-1.7
1968,9,196,21.1,13.3,73,-1.8
1968,10,360,17.6,7.9,84,3.1
1968,11,2,15.2,4.4,41,2.5
1968,12,1,12.8,1.6,27,2.1
1969,1,4,11.9,0.8,24,1.7
1969,2,5,14.3,2.1,15,0.7
1969,3,110,17.3,5.5,94,1.4
1969,4,80,18.4,7.3,85,0.9
1969,5,123,19.8,10.3,106,-0.3
1969,6,283,20.5,13,102,-1.2
1969,7,413,20.6,14.1,97,-1.1
1969,8,265,20.7,13.4,94,-1.5
1969,9,215,20.3,13,81,-1.4
1969,10,35,19.2,8.4,67,-2
1969,11,21,17.4,5.2,42,-1.7
1969,12,0,14.6,2.1,23,-1.9
1970,1,14,11.7,1,26,-1.7
1970,2,62,12.2,1.7,58,-1
1970,3,53,16.7,5,58,-1.1
1970,4,55,19.4,7.6,57,-1.8
1970,5,80,21,11.4,79,-2.6
1970,6,332,20.6,12.9,100,-2.4
1970,7,403,20.5,14.3,95,-2.3
1970,8,367,20.8,14.2,92,-1.5
1970,9,172,20.6,13.1,81,-2
1970,10,68,20.4,9.2,77,-2.2
1970,11,3,16.1,4.2,40,-2.3
1970,12,0,15.5,1,24,-2.3
1971,1,5,12.4,1,20,-2.4
1971,2,13,13.1,0.8,20,-2.7
1971,3,41,16.4,4.5,43,-3.1
1971,4,169,16.9,7.4,96,-1.6
1971,5,123,17.9,9.6,97,-1.2
1971,6,428,19,13.5,90,2.8
1971,7,376,20.5,13.2,100,2.1
1971,8,315,20.3,12.8,94,1.9
1971,9,201,21.4,12.4,84,1.4
1971,10,204,19.3,10,80,2.4
1971,11,30,15.1,4.4,52,2.7
1971,12,0,14.2,1.4,31,2.5
1972,1,7,14,1.6,28,2.2
1972,2,30,12.8,1.5,38,2
1972,3,77,17.7,5.8,79,1.9
1972,4,80,18.6,6.8,84,1.4
1972,5,115,21.5,10.7,109,0.8
1972,6,201,21,12.3,111,-1.7
1972,7,369,22.3,14,94,-2.1
1972,8,233,21.3,13.3,107,-2.9
1972,9,327,20.3,11.9,80,-1.3
1972,10,54,20.2,8.4,72,-1.7
1972,11,23,15.3,4.2,46,-1.3
1972,12,0,14.3,2.3,27,-1.4
1973,1,15,13,2.7,30,-1.2
1973,2,61,13.3,3.1,59,-0.6
1973,3,48,16.4,4.1,55,-0.9
1973,4,81,20.2,7.8,82,-1.2
1973,5,148,19.7,10.2,110,-1.1
1973,6,450,19.4,13.2,93,1.3
1973,7,332,22.1,13.2,100,-0.8
1973,8,334,20.9,13.7,100,0.1
1973,9,226,20.6,13.3,85,-0.6
1973,10,371,18.1,10.1,82,3.5
1973,11,26,14.5,5,49,3.6
1973,12,0,13.6,2.4,31,3.3
1974,1,14,11.5,1.3,32,3.1
1974,2,1,14.1,2.6,18,2
1974,3,95,16.1,5.9,92,2.3
1974,4,104,19.4,8.3,102,2
1974,5,160,19.5,10.4,107,2
1974,6,272,20.4,12.8,93,1.8
1974,7,581,20,13.5,98,3.1
1974,8,325,20.7,13.9,98,2.8
1974,9,210,20.2,12.2,85,2.3
1974,10,99,22.3,11.4,87,2
1974,11,2,17.8,3.9,45,1.5
1974,12,3,13.4,1.7,27,1.3
1975,1,14,11.5,1.1,28,1.2
1975,2,23,12.5,2.4,33,0.8
1975,3,36,16.7,4.8,40,-1.3
1975,4,79,19.9,7.6,79,-1.6
1975,5,132,20.3,9.8,111,-1.7
1975,6,310,21.1,13.3,108,-1.7
1975,7,476,20.2,13.3,91,-0.9
1975,8,183,21.5,13.4,94,-2.1
1975,9,432,19.4,13.1,78,2.5
1975,10,91,21.5,11.4,86,2
1975,11,0,17.8,3.9,49,1.4
1975,12,1,14,1.3,26,1
1976,1,11,12.4,0.2,26,0.8
1976,2,71,13.6,3.7,60,1.4
1976,3,28,17.2,5.9,38,0.6
1976,4,106,19,7.8,104,-0.1
1976,5,176,18.8,10.2,118,0.3
1976,6,346,19.7,12.5,99,0.8
1976,7,345,20.9,12.8,90,-0.6
1976,8,390,20.2,13.3,99,0.8
1976,9,134,20.2,12.2,76,-1
1976,10,48,19.8,8.1,71,-1.5
1976,11,1,19.9,6.3,37,-1.8
1976,12,0,15.1,1.4,23,-2.1
1977,1,3,12.9,1.6,13,-2.4
1977,2,13,15.3,2.4,19,-2.8
1977,3,39,18.5,6.5,41,-3.3
1977,4,166,17.7,7.9,111,-2
1977,5,224,17.2,8.6,107,2.2
1977,6,244,19,12,95,2.2
1977,7,355,20.8,13.9,92,1.5
1977,8,363,21,14.1,91,1.8
1977,9,156,20.9,12.8,85,0.7
1977,10,149,18,9.2,83,1.2
1977,11,45,17,6.3,52,2
1977,12,12,12.7,3,37,2.4
1978,1,14,10.5,-0.4,36,2.5
1978,2,29,12,1.7,41,2.3
1978,3,118,15.1,3.8,100,3.1
1978,4,92,17.6,7,94,2.9
1978,5,253,19.2,10.7,109,4.3
1978,6,383,20,12.9,104,5.2
1978,7,430,20.7,13.3,96,4.8
1978,8,286,20.8,14,85,4.1
1978,9,285,19.6,12.8,80,4.4
1978,10,84,20,10.3,80,3.7
1978,11,52,16.7,6.7,56,4.5
1978,12,3,13.9,2.3,34,4.3
1979,1,3,13.1,1.1,29,3.9
1979,2,74,11.7,1.7,63,4.5
1979,3,8,16.3,5.6,34,3.2
1979,4,101,19.2,8.6,100,2.8
1979,5,79,22.5,10.3,84,1.4
1979,6,242,21.4,13.1,114,-2.6
1979,7,407,21,13.7,90,-2.3
1979,8,357,21.1,14.2,94,-1.7
1979,9,181,20.2,11.8,85,-2.1
1979,10,161,19.4,9.9,82,-1.2
1979,11,34,18.9,7.5,48,1.2
1979,12,23,12.2,4.3,37,2
1980,1,3,11.8,0.8,30,1.9
1980,2,34,13.5,2.8,42,1.9
1980,3,105,15.8,5.3,93,2.6
1980,4,76,19.7,9,88,2.1
1980,5,204,18,10.1,105,2.8
1980,6,317,20.3,13.3,99,3.3
1980,7,405,21.1,14,100,2.9
1980,8,329,21.4,14.2,90,2.7
1980,9,217,20.9,13.5,89,2.2
1980,10,61,18.7,9.4,77,1.5
1980,11,7,17.5,4.3,40,1.2
1980,12,3,15.9,3,23,0.8
1981,1,39,10.2,1.2,41,1.5
1981,2,15,14.4,2.5,29,0.9
1981,3,92,15.4,5,87,1.4
1981,4,116,17.4,7.1,93,1.7
1981,5,188,18.9,9.7,112,2.2
1981,6,246,21.1,13.3,106,2.1
1981,7,484,20.5,14.4,92,2.6
1981,8,280,21.9,14.4,93,1.9
1981,9,176,20.7,12.7,91,1
1981,10,2,21.9,8.8,50,-1.9
1981,11,7,16.6,4.6,37,-2.3
1981,12,8,13.2,1,21,-2.4
1982,1,0,13.2,1,7,-2.8
1982,2,29,12,2.1,32,-2.7
1982,3,63,15.7,4.4,63,-2.6
1982,4,114,17.9,7.6,101,-2.1
1982,5,75,20.4,9.5,76,-3.1
1982,6,255,20.3,12.9,96,-3.5
1982,7,315,21.9,14,88,-4
1982,8,203,22.2,13.6,108,-4.9
