Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.8125 North,88.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,5.4,-9.7,0,0.5
1958,2,6,5.2,-8.8,2,-0.5
1958,3,29,8,-6.2,36,-0.8
1958,4,42,12.6,-1,58,-0.7
1958,5,35,14.3,1.9,36,-0.9
1958,6,34,16.6,5.6,34,-1.7
1958,7,89,16.6,6.9,84,-1.9
1958,8,158,14.9,6.9,72,1.6
1958,9,42,15.5,4.8,55,1.4
1958,10,12,15.4,0.8,42,1.2
1958,11,4,11.8,-6.6,14,0.7
1958,12,0,7.7,-9.4,1,-0.1
1959,1,15,4.5,-10.3,0,0.3
1959,2,5,4.6,-9.8,0,-0.6
1959,3,28,8.3,-6.2,42,-1
1959,4,24,12.7,-1.1,32,-1.6
1959,5,41,13.7,1.3,42,-1.8
1959,6,43,15.1,4.8,43,-2.2
1959,7,91,15.8,6.7,84,-2.2
1959,8,94,15.6,6.2,88,-2.4
1959,9,102,13.9,3.2,84,-1.5
1959,10,73,12,1.3,70,1.7
1959,11,0,9.9,-5.9,9,1.5
1959,12,0,7.9,-9.3,1,1.2
1960,1,0,3.9,-12.7,0,0.7
1960,2,6,7,-9,3,-1.1
1960,3,61,7.1,-6.9,17,0.8
1960,4,12,12.8,-1.9,57,-0.2
1960,5,36,14.8,1.7,38,0
1960,6,38,15.8,5.2,38,-1
1960,7,109,15.1,6.7,80,0.5
1960,8,117,15.4,6.9,78,1.1
1960,9,90,13.6,4.7,59,2.4
1960,10,16,13,0.2,55,2.2
1960,11,0,9.8,-7,13,1.8
1960,12,0,8.7,-9.3,2,1.4
1961,1,3,5.3,-10.1,0,1.1
1961,2,18,5.6,-9.8,0,0.9
1961,3,36,7.7,-5.2,30,0.9
1961,4,21,12.6,-1.8,45,-0.4
1961,5,29,13.9,1.4,32,-0.9
1961,6,71,16,5,71,-0.9
1961,7,91,16,6.3,86,-1.2
1961,8,127,15.8,6.9,80,0.6
1961,9,71,14.3,4.8,63,1.1
1961,10,28,13.8,-0.2,53,1.2
1961,11,8,6.8,-7.2,9,1.3
1961,12,3,3.9,-11.9,0,1.3
1962,1,13,4.9,-12.5,0,1.5
1962,2,23,4,-10.5,0,1.7
1962,3,32,7.3,-7.4,14,2
1962,4,36,11.5,-2.3,90,2.9
1962,5,49,12.2,0.3,55,3.2
1962,6,101,14.4,5,77,4.2
1962,7,90,15.9,6.4,84,3.8
1962,8,160,14.2,6,75,5.3
1962,9,89,14.1,4.4,63,6.2
1962,10,8,13,-1.5,55,5.4
1962,11,0,10.3,-6.8,9,4.5
1962,12,3,6.1,-9.9,2,4
1963,1,5,4.6,-13.4,0,3.5
1963,2,1,6.4,-10.7,0,2.5
1963,3,56,6.2,-6.7,11,3.1
1963,4,42,9.7,-2.7,87,3.4
1963,5,57,12.3,0.4,59,3.7
1963,6,85,14.8,4.4,80,4.1
1963,7,109,15.4,6.5,77,4.3
1963,8,117,15,6.4,75,4.6
1963,9,64,14.5,3.8,64,4.8
1963,10,35,12.5,0,62,4.9
1963,11,24,7,-5.7,20,5.2
1963,12,0,6.6,-10.3,2,4.7
1964,1,0,5.6,-11.1,0,4.1
1964,2,4,5.4,-9.4,0,3.5
1964,3,22,8.4,-5.9,30,3
1964,4,34,11.7,-0.9,49,2.8
1964,5,43,12.4,-0.2,47,2.3
1964,6,46,16.3,4.8,47,1.1
1964,7,131,14.8,6.5,89,1.9
1964,8,107,15.1,6.2,79,2.1
1964,9,53,14.1,4.9,58,2.2
1964,10,8,15.2,0.5,38,1.8
1964,11,3,9.7,-6.2,15,1.4
1964,12,0,7.1,-10.5,1,1.2
1965,1,0,5.9,-12.8,0,0.7
1965,2,32,4.7,-11.5,0,1
1965,3,38,5.4,-7.8,5,1.6
1965,4,22,11.6,-2.3,87,1.7
1965,5,28,14.2,1,30,1.3
1965,6,48,15.8,4.6,48,0.6
1965,7,83,15.1,6,81,-1.4
1965,8,128,14.9,5.5,101,-1.2
1965,9,47,14.2,3.1,55,-2
1965,10,18,11.8,-2.1,22,-3
