Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.2708 North,88.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,41,16.4,8.8,45,0.8
1958,2,7,16.8,9.1,26,-0.3
1958,3,43,20.6,11,50,-0.9
1958,4,130,24.2,15.1,115,0.4
1958,5,152,25.2,17.3,123,-0.8
1958,6,235,26.7,19.6,116,-2.1
1958,7,542,26.8,20.2,107,-2.5
1958,8,927,24.9,20,89,-0.7
1958,9,262,25.7,18.9,83,-1.5
1958,10,74,25.7,16.4,80,-2
1958,11,9,22.9,10.7,41,-1.9
1958,12,1,18.4,8.7,25,-1.9
1959,1,38,15.3,8,42,-1
1959,2,7,16.4,8.2,26,-1.2
1959,3,73,20.7,11,76,-1
1959,4,84,24,14.9,86,-1.2
1959,5,150,24.5,16.6,115,-1.6
1959,6,347,25.1,18.7,102,-2.2
1959,7,598,25.8,20,106,-2.4
1959,8,481,25.5,19.5,104,-2.5
1959,9,503,24.3,17.5,80,-1.3
1959,10,213,22.6,17,74,1.6
1959,11,0,21.1,11.5,36,1.1
1959,12,0,18.3,8.6,27,0.8
1960,1,1,14.9,5.9,23,-0.4
1960,2,8,18.9,9.3,20,-1.3
1960,3,118,19.3,10.2,95,1
1960,4,41,24.6,14.1,53,-1
1960,5,165,25.4,16.9,116,-1.3
1960,6,298,25.6,18.9,114,-2.2
1960,7,652,25.2,20,94,-2.1
1960,8,524,25.5,20.1,102,-2
1960,9,500,24,18.8,78,-0.9
1960,10,64,23.7,15.8,76,-1.5
1960,11,0,20.8,10.2,37,-1.8
1960,12,0,19.1,8.6,24,-1.9
1961,1,5,16,8.2,20,-2.1
1961,2,37,16.7,8,42,-1.7
1961,3,65,20.2,11.8,68,-1.5
1961,4,72,24.2,14.2,73,-2.1
1961,5,145,24.6,16.8,116,-2.4
1961,6,527,25.6,18.8,114,-2.2
1961,7,496,26.1,19.7,115,-2.8
1961,8,688,25.7,20.1,105,-2
1961,9,335,24.8,18.8,87,-2.1
1961,10,160,24.2,15.4,87,-1.8
1961,11,10,18.3,10.2,45,-1.7
1961,12,4,14.9,6.2,28,-1.5
1962,1,30,15.7,6.1,39,-0.9
1962,2,37,16.2,7.9,44,0.5
1962,3,67,20.1,9.8,75,0.9
1962,4,108,23.2,13.8,106,0.9
1962,5,185,23.1,15.8,112,0.8
1962,6,568,24.3,18.8,98,1.3
1962,7,546,26.1,19.8,113,-0.6
1962,8,897,24.3,19.4,92,1.4
1962,9,414,24.7,18.5,85,1.5
1962,10,51,23.5,14.2,73,-0.8
1962,11,0,21.5,10.3,36,-1.3
1962,12,7,16.9,8,25,-1.3
1963,1,7,15.5,5.1,22,-1.6
1963,2,1,18.5,7.4,8,-2.4
1963,3,91,18.8,10.5,88,-1.7
1963,4,130,21.2,13.2,113,-1
1963,5,224,22.9,15.6,108,1.2
1963,6,567,24.7,18.4,99,1.9
1963,7,759,25.6,19.8,100,2
1963,8,592,25,19.7,96,1.9
1963,9,380,25,18.1,87,1.7
1963,10,135,23.1,15.6,85,1.4
