Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.3125 North,88.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,40,14.3,6.9,43,0.8
1958,2,7,14.7,7.1,27,-0.3
1958,3,36,18.8,9.3,45,-0.9
1958,4,115,22.6,13.3,108,0.4
1958,5,126,23.3,15.2,115,-0.7
1958,6,212,25.2,17.9,108,-1.9
1958,7,456,24.8,18.2,98,-2.5
1958,8,800,23.1,18.1,83,1.7
1958,9,220,23.8,16.8,75,0.8
1958,10,74,23.7,14.2,76,-1.3
1958,11,10,20.5,8.2,42,-1.3
1958,12,1,16,6.5,24,-1.2
1959,1,34,13.1,6.1,39,0.6
1959,2,7,14.3,6.1,25,-0.3
1959,3,72,18.8,9.3,75,0.2
1959,4,70,22.3,13.1,75,-0.3
1959,5,109,22.6,14.6,105,-0.9
1959,6,296,23.6,17,96,-1.7
1959,7,502,23.8,18,98,-2
1959,8,410,23.8,17.6,99,-2.2
1959,9,427,22.3,15.5,79,-1
1959,10,172,20.6,14.8,71,1.5
1959,11,0,18.7,9.1,36,1
1959,12,0,15.9,6.4,26,0.7
1960,1,1,12.8,3.9,23,-0.4
1960,2,7,16.8,7.2,20,-1.2
1960,3,108,17.4,8.5,93,1
1960,4,38,22.8,12.3,47,-0.9
1960,5,133,23.5,14.7,106,-1.1
1960,6,270,24.1,17.2,107,-1.9
1960,7,524,23.2,18,87,-2
1960,8,443,23.7,18.2,94,-2
1960,9,412,22,16.7,73,-0.9
1960,10,55,21.7,13.5,70,-1.5
1960,11,0,18.4,7.8,36,-1.8
1960,12,0,16.7,6.4,22,-2
1961,1,4,13.9,6.3,18,-2.1
1961,2,36,14.6,5.9,40,-1.7
1961,3,60,18.4,10.2,62,-1.4
1961,4,62,22.5,12.4,64,-1.9
1961,5,121,22.7,14.7,109,-2.2
1961,6,463,24,17,108,-1.9
1961,7,402,24.1,17.7,105,-2.7
1961,8,615,23.9,18.2,97,-1.8
1961,9,279,22.8,16.8,81,-1.9
1961,10,138,22.1,13.1,83,-1.6
1961,11,11,15.9,7.8,45,-1.5
1961,12,3,12.4,3.9,27,-1.4
1962,1,28,13.6,4.1,38,-0.8
1962,2,36,14,5.9,42,1.1
1962,3,62,18.1,8.1,72,1
1962,4,95,21.4,12,96,1.1
1962,5,142,21.2,13.7,110,0.8
1962,6,468,22.8,17.1,91,1.1
1962,7,459,24.1,17.7,102,-0.7
1962,8,771,22.6,17.5,87,1.6
1962,9,342,22.7,16.5,78,1.6
1962,10,46,21.5,11.9,70,0.7
1962,11,0,19.1,8,36,-1.3
1962,12,7,14.5,5.8,24,-1.3
1963,1,6,13.4,3.1,21,-1.6
1963,2,1,16.4,5.4,8,-2.3
1963,3,86,17,8.9,84,-1.6
1963,4,113,19.6,11.4,108,-1
1963,5,186,20.9,13.5,106,-0.6
1963,6,488,23.2,16.7,93,1.7
1963,7,632,23.6,17.8,90,1.8
1963,8,514,23.3,17.8,89,1.8
1963,9,313,23,16,79,1.6
1963,10,125,21.1,13.4,82,1.4
1963,11,43,16.4,9.4,53,2.1
1963,12,1,15.2,5.7,30,2
1964,1,1,14.1,5.1,27,1.6
1964,2,6,15,6.4,27,1.1
1964,3,29,19.1,9.8,38,-1.1
1964,4,82,21.4,13.3,84,-1.2
1964,5,184,21,13,119,-0.9
1964,6,276,24.6,17,112,-1.6
1964,7,811,22.9,17.6,97,1.3
1964,8,422,23.4,17.6,94,0.8
1964,9,278,22.6,17,75,-0.3
1964,10,50,23.4,13.8,66,-1.2
1964,11,5,18.5,8.7,37,-1.5
1964,12,0,15.3,5.2,24,-1.7
1965,1,1,14.6,3.9,19,-2
1965,2,27,14.5,4.7,34,-1.9
1965,3,84,16.4,7.6,84,-1.5
1965,4,67,21.4,11.8,67,-2
1965,5,119,23.1,14.3,110,-2.3
1965,6,334,24.2,16.9,109,-2.8
1965,7,479,23.1,17.3,101,-3.1
1965,8,651,23.1,16.9,101,-2
1965,9,239,22.8,15.3,93,-2.5
1965,10,74,20.7,11.6,81,-2.8
1965,11,57,16.8,7.9,62,-1.5
1965,12,2,15.2,4.5,30,-1.1
1966,1,66,12.1,3.8,47,2.7
1966,2,27,16,7.7,44,3
1966,3,17,19.4,9.2,53,2.1
1966,4,60,22,12.1,69,1.2
1966,5,84,23.9,14.6,86,-2
1966,6,316,23.9,17.1,114,-2.7
1966,7,574,23.9,17.6,100,-2.5
1966,8,751,23.3,18,90,-0.8
1966,9,226,22,15.1,91,-1.6
1966,10,40,20.6,10.9,69,-2.2
1966,11,9,19.7,8.9,37,-2.4
1966,12,5,15.2,5.9,26,-2.4
1967,1,3,14.1,5.1,18,-2.6
1967,2,8,16.8,6.2,15,-3
1967,3,126,16.9,8.4,89,-1.4
1967,4,103,20.3,11,103,-0.7
1967,5,125,22.3,13.4,115,-1
1967,6,327,23.4,16.7,108,-1.5
1967,7,434,24.2,17.3,100,-2.2
1967,8,440,23.6,17.4,106,-2.2
1967,9,316,22.8,15.6,91,-2.1
1967,10,60,20.6,11.1,77,-2.6
1967,11,6,15.3,7.2,38,-2.6
1967,12,0,15.2,6.1,21,-2.7
1968,1,28,11.3,4.8,35,-2
1968,2,10,14.3,5.7,24,-2.2
1968,3,92,17.9,9.6,88,-1.4
1968,4,67,20.7,11.5,70,-1.7
1968,5,94,22.3,13.9,94,-2.5
1968,6,408,22,16.5,105,-2.5
1968,7,618,22.8,17.5,93,-2.1
1968,8,444,24.1,17.2,107,-2.2
1968,9,318,23.7,16.7,73,-1.8
1968,10,413,19.6,11.5,86,3.3
1968,11,3,17.4,8.3,41,2.6
1968,12,1,14.5,5.8,27,2.1
1969,1,3,13.2,4.8,24,1.5
1969,2,5,16.3,6.3,17,0.7
1969,3,113,19.6,9.7,94,1.6
1969,4,76,21.4,11.9,84,1.2
1969,5,138,22.3,14.1,106,0.8
1969,6,408,23.9,17,109,0.6
1969,7,606,23.5,17.9,105,0.6
1969,8,389,23.6,16.9,101,-1.1
1969,9,297,22.8,16.4,84,-1.2
1969,10,36,21.2,12.2,68,-1.9
1969,11,23,19.5,9.2,42,-1.7
1969,12,0,15.9,5.8,23,-1.9
1970,1,14,13,5.1,27,-1.8
1970,2,40,14.3,6.1,44,-1.3
1970,3,46,18.8,9.1,50,-1.6
1970,4,49,22.5,12.1,51,-2.2
1970,5,95,23.8,15.3,93,-2.9
1970,6,470,23.9,16.9,105,-2.5
1970,7,601,23.5,18.1,102,-2.2
1970,8,543,23.7,17.8,98,-1.7
1970,9,250,23.1,16.5,81,-2.1
1970,10,72,22.4,13,80,-2.5
1970,11,3,17.9,8,40,-2.6
1970,12,0,16.6,4.8,24,-2.6
1971,1,5,13.7,5.1,22,-2.7
1971,2,10,15,5,19,-2.9
1971,3,38,18.4,8.6,42,-3.3
1971,4,190,20.1,11.9,103,-1.2
1971,5,174,20.6,13.6,101,2.4
1971,6,628,22.3,17.4,95,4
1971,7,540,23.2,16.8,109,3.2
1971,8,491,23.1,16.3,101,2.9
1971,9,290,24,15.8,89,2.3
1971,10,245,21.2,13.6,81,3.4
1971,11,32,17,8,52,3.5
1971,12,0,15.6,5.1,31,3.2
1972,1,8,15.1,5.5,28,2.8
1972,2,25,14.8,5.7,36,2.7
1972,3,65,19.6,9.7,73,2.4
1972,4,80,21.6,11.2,84,1.9
1972,5,135,24.3,14.6,105,1.4
1972,6,312,24.3,16.2,122,-1.2
1972,7,551,25.4,17.7,102,-1.3
1972,8,359,24.1,16.8,117,-2
1972,9,462,22.8,15.4,86,-0.6
1972,10,66,22.1,12.1,77,-1.1
1972,11,28,17.1,7.9,48,-0.7
1972,12,0,15.4,5.9,29,-0.7
1973,1,24,14.2,6.6,37,0.3
1973,2,46,15.2,7.4,49,1.4
1973,3,52,18.4,8.1,63,1
1973,4,52,23.3,12.3,57,-0.7
1973,5,181,22.4,14.2,118,0.2
1973,6,665,22.6,17.2,98,1.8
1973,7,446,25,17.1,107,0.8
1973,8,537,23.6,17.2,105,0.9
1973,9,336,23,16.9,89,0.9
1973,10,443,20.1,13.9,83,4.4
1973,11,34,16.5,8.9,51,4.4
1973,12,0,15,6.1,31,4.1
1974,1,15,12.8,5.2,34,3.8
1974,2,1,16.1,6.9,24,2.8
1974,3,62,18.3,10.1,69,2.4
1974,4,109,22.5,12.7,108,2.2
1974,5,193,22.2,14.4,116,2.3
1974,6,371,23.8,16.8,101,2
1974,7,831,22.9,17.2,109,3.1
1974,8,525,23.4,17.4,103,3
1974,9,299,22.8,15.7,91,2.4
1974,10,138,24.3,15.1,86,2.3
1974,11,3,19.5,7.6,43,1.7
1974,12,4,14.6,5.5,28,1.4
1975,1,19,12.8,5.1,33,1.4
1975,2,18,14.5,6.7,32,1.1
1975,3,43,18.8,9,49,-0.5
1975,4,70,23,12,71,-1.3
1975,5,158,23.1,13.8,123,-1.3
1975,6,493,24.4,17.2,115,-0.9
1975,7,713,23.2,17,99,1
1975,8,286,24.3,17,100,-1.1
1975,9,637,21.7,16.6,82,2.8
1975,10,108,23.6,15.1,83,2.3
1975,11,0,19.7,7.9,49,1.5
1975,12,1,15.3,5.2,26,1
1976,1,14,13.7,4.4,28,0.8
1976,2,47,15.6,8,49,1.2
1976,3,23,19.4,10.2,30,-1.2
1976,4,97,22.1,12.3,97,-1.3
1976,5,210,21.7,14.2,129,-0.8
1976,6,538,23.2,16.7,110,1.2
1976,7,488,23.7,16.6,98,0.6
1976,8,639,23.2,16.9,108,1.2
1976,9,195,22.6,15.7,81,-1
1976,10,65,21.9,11.9,78,-1.6
1976,11,1,21.7,10.2,38,-1.9
1976,12,0,16.3,5.2,25,-2.1
1977,1,3,14.1,5.7,20,-2.4
1977,2,10,17.2,6.5,17,-2.8
1977,3,35,20.7,10.7,38,-3.2
1977,4,142,20.8,12.4,124,-2.2
1977,5,229,20,12.6,114,-1.1
1977,6,289,22.4,16,104,-1.2
1977,7,492,23.6,17.7,99,-1.6
1977,8,541,23.9,17.7,96,-1.2
1977,9,200,23.3,16.2,86,-2.1
1977,10,190,20.1,12.9,86,-1.2
1977,11,54,19.1,10.2,54,1.7
1977,12,14,13.9,6.6,38,2.2
1978,1,17,11.8,3.6,39,2.4
1978,2,17,13.9,5.9,37,2.3
1978,3,120,17.1,7.9,103,3.4
1978,4,95,20.8,11.5,100,3.4
1978,5,274,22.1,14.8,120,4.5
1978,6,501,23.3,16.9,113,5
1978,7,606,23.6,17.1,104,4.6
1978,8,439,23.5,17.5,89,3.9
1978,9,378,22.1,16.3,86,4
1978,10,113,21.8,13.9,78,3.4
1978,11,60,18.8,10.6,58,4.4
1978,12,4,15.2,6.1,35,4.2
1979,1,3,14.5,5.2,29,3.8
1979,2,44,13.6,6,50,4.1
1979,3,8,18.4,9.7,31,2.7
1979,4,106,22.3,13.1,105,2.6
1979,5,82,25.3,14.4,87,1.2
1979,6,375,24.6,17.2,119,-2.1
1979,7,578,24,17.5,99,-1.9
1979,8,536,23.9,17.7,100,-1.5
1979,9,259,22.8,15.2,91,-1.9
1979,10,178,21.5,13.6,83,-1.2
1979,11,36,20.8,11.4,48,1.1
1979,12,21,13.6,8.2,36,1.9
1980,1,4,13.2,5,31,1.7
1980,2,26,15.5,7.1,38,1.8
1980,3,88,17.9,9.4,86,2.5
1980,4,59,22.8,13.4,75,1.7
1980,5,208,20.8,14.3,116,2.1
1980,6,420,23.6,17.3,104,2.3
1980,7,596,24,17.8,108,2.1
1980,8,498,24.2,17.7,96,1.9
1980,9,317,23.4,17,91,1.6
1980,10,56,20.8,13.2,77,0.8
1980,11,11,19.5,8.3,39,-0.2
1980,12,2,17.1,6.8,23,-1.1
1981,1,36,11.5,5.2,37,0.6
1981,2,14,16.3,6.7,29,-0.2
1981,3,79,17.6,9.2,78,0.7
1981,4,108,20.6,11.7,101,1.1
1981,5,204,21.6,13.8,120,1.5
1981,6,375,24.3,17.2,110,1.4
1981,7,680,23.3,18.1,98,1.8
1981,8,437,24.8,17.9,96,1.3
1981,9,260,23.2,16.2,96,0.6
1981,10,4,23.9,12.4,51,-1.8
1981,11,8,18.5,8.5,37,-2.3
1981,12,5,14.7,5,20,-2.5
1982,1,0,14.6,5.1,9,-2.9
1982,2,21,14.1,6.5,25,-2.9
1982,3,65,17.8,8.6,66,-2.6
1982,4,101,21.1,12.1,98,-2.2
1982,5,90,23.2,13.6,88,-3.2
1982,6,345,23.7,16.9,102,-3.6
1982,7,466,24.8,17.7,97,-3.9
1982,8,289,25.1,17.2,115,-4.6
1982,9,257,24.7,16.1,92,-4.8
1982,10,86,21.1,12.2,86,-4.8
1982,11,29,17.5,9,46,-3.9
1982,12,2,15.4,6.7,27,-3.3
1983,1,16,12.4,4.3,31,-2.8
1983,2,16,13.8,5,33,-2.5
1983,3,43,18.5,8.9,55,-2.6
1983,4,98,20.2,10.9,98,-2.2
1983,5,258,21.3,13.4,108,-0.8
1983,6,288,24.8,16.8,115,-1
1983,7,698,25.5,17.6,99,1.5
1983,8,304,25.5,16.9,106,-1
1983,9,279,23.4,17,84,-1.3
1983,10,89,22.3,13.3,90,-1.7
1983,11,0,18.6,7.2,41,-1.9
