Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.1458 North,79.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,29.5,20.8,33,-0.3
1958,2,1,31.3,22.1,10,-0.9
1958,3,22,34.9,24.2,28,-1
1958,4,52,35.8,26.5,54,-0.7
1958,5,128,36.4,26.9,126,1.4
1958,6,16,37.2,27.2,18,0.6
1958,7,16,34.9,26,18,-1.4
1958,8,206,33.8,25,170,0.8
1958,9,61,34.4,24.7,65,-0.5
1958,10,154,31.3,23.9,127,-0.9
1958,11,139,29.5,22.8,104,-1
1958,12,25,28.9,21.1,46,-1.9
1959,1,12,30,20.8,25,-2.6
1959,2,35,32.2,21.7,42,-2.4
1959,3,0,35.6,22.7,6,-2.9
1959,4,103,36.2,26.2,102,-1.6
1959,5,77,37.4,26.9,77,-1.4
1959,6,65,35.7,26.6,64,-0.7
1959,7,16,34.2,25.6,18,-1.5
1959,8,64,34.9,25,63,-2
1959,9,78,34.1,25,76,-2.4
1959,10,170,31.9,24.3,132,-2.5
1959,11,194,29.3,22.5,106,-1.9
1959,12,48,28.4,20.8,69,-2.3
1960,1,7,29.3,20.8,37,-2.7
1960,2,7,30.8,21.1,23,-2.9
1960,3,5,34.7,23.2,15,-3.1
1960,4,53,35.7,26,57,-2.6
1960,5,61,37.1,26.2,64,-2.7
1960,6,28,36.9,26.8,31,-2.7
1960,7,126,34.4,25.9,123,-1.3
1960,8,70,35.3,25.6,69,-1.9
1960,9,79,33.1,24.8,77,-2.2
1960,10,100,31.9,23.7,97,-3.1
1960,11,294,28.9,21.9,100,-1.5
1960,12,18,28.7,20.8,63,-2.1
1961,1,159,28.7,21.3,131,2.3
1961,2,13,31,21.8,62,2.6
1961,3,1,35.5,23.6,41,2.2
1961,4,16,36.6,26.3,35,1.5
1961,5,75,36.7,27,84,1.4
1961,6,69,35.6,26.2,74,1.9
1961,7,47,33.9,25.3,51,1.2
1961,8,180,34,25.1,175,1.4
1961,9,115,34,24.3,113,1
1961,10,185,32.1,23.5,130,0.7
1961,11,77,29.2,22.1,81,-1.2
1961,12,61,27.9,20.7,70,-2
1962,1,21,28.5,20.3,30,-2.6
1962,2,6,30.8,21.5,13,-3
1962,3,21,34.6,23,25,-3
1962,4,32,35.5,25.9,34,-3
1962,5,85,36.4,26.3,84,-2.4
1962,6,37,37,26.1,38,-2.4
1962,7,22,34.9,25.8,23,-3.1
1962,8,171,34.1,25.2,164,-2.4
1962,9,102,33.6,24.7,99,-2.5
1962,10,292,30.7,24,115,-1.1
1962,11,60,29.7,21.9,82,-1.8
1962,12,54,28.7,20.9,78,-2.2
1963,1,193,28,20.6,128,2.4
1963,2,6,30.9,20.3,62,2.7
1963,3,41,34.3,23.2,81,3.1
1963,4,53,35.4,25.4,72,3.2
1963,5,39,37.6,26.6,50,2.3
1963,6,59,36.7,26.9,65,2.5
1963,7,110,35.2,25.8,111,3
1963,8,106,34.7,25.2,106,2.3
1963,9,114,34.6,24.9,112,2.1
1963,10,140,32.1,23.8,133,1.2
1963,11,161,29.2,22.7,106,1
1963,12,138,28.5,21,115,1.1
1964,1,0,30,19.6,24,-1.2
1964,2,0,32.5,21.3,14,-1.7
1964,3,9,35.5,23.8,18,-2
1964,4,9,37.1,26.4,15,-2.5
1964,5,57,38.6,27.7,59,-2.6
1964,6,46,37.5,26.6,48,-2.3
1964,7,140,35,25.7,136,-0.7
1964,8,127,34.3,24.8,123,-0.7
1964,9,74,33.8,24.3,72,-1.2
