Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.0208 North,76.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,29.9,19.5,15,-0.2
1958,2,10,32.1,21.3,14,0.1
1958,3,40,34.4,22.6,41,0.8
1958,4,84,33.7,23.4,83,1.3
1958,5,124,32.1,23.5,120,1.8
1958,6,48,30.5,23,47,1.1
1958,7,136,28.6,22.6,126,1
1958,8,127,28.6,22,122,1.6
1958,9,36,30.2,21.6,35,0.7
1958,10,113,29.2,21.9,108,-1.3
1958,11,155,29.4,21.3,101,-0.9
1958,12,8,29.4,19.5,31,-1.6
1959,1,1,30.4,19.5,10,-2
1959,2,8,32.8,20.7,13,-1.8
1959,3,0,35.2,21.1,4,-2.2
1959,4,70,34.1,23.1,69,-1.7
1959,5,75,33.1,23.5,73,-1.8
1959,6,215,29.2,22.6,133,2.7
1959,7,183,27.8,22.1,121,3.8
1959,8,77,29.6,21.8,107,3.8
1959,9,99,29.9,21.9,112,4.2
1959,10,187,29.7,22.1,117,4.3
1959,11,143,29.1,20.9,107,4.5
1959,12,66,29.1,19.4,97,4.8
1960,1,2,29.9,19.5,38,4.9
1960,2,2,31.6,20.3,13,4.2
1960,3,18,34.4,21.7,23,3.8
1960,4,113,33.6,22.9,111,4.5
1960,5,114,32.5,22.6,111,4.4
1960,6,41,30.2,22.6,41,3.3
1960,7,203,28.1,22.5,123,4.2
1960,8,55,29.8,22.2,94,3.4
1960,9,74,28.9,21.6,83,3.1
1960,10,191,29.6,21.5,119,2.9
1960,11,212,28.8,20.5,103,4.1
1960,12,14,29.4,19.4,79,3.7
1961,1,44,29.2,20,57,3.9
1961,2,17,31.7,21,23,3.8
1961,3,6,35.5,22.3,10,3.1
1961,4,50,34.5,23.2,51,2.6
1961,5,144,32.2,23.5,139,3.1
1961,6,187,29.1,22.1,141,4.9
1961,7,231,27.6,21.9,128,6.3
1961,8,105,28.8,22,122,6.5
1961,9,57,29.9,21.2,100,6
1961,10,178,29.9,21.4,120,5.5
