Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 12.1042 North,78.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,30,18.4,39,-0.5
1958,2,2,32.4,20.1,10,-0.8
1958,3,12,35.1,21.9,16,-0.8
1958,4,84,35.3,23.9,84,1.2
1958,5,161,34.5,24,155,2.2
1958,6,48,34,24,48,1.8
1958,7,47,31.3,22.8,47,1
1958,8,175,31,22.5,154,2.1
1958,9,113,31.8,21.9,111,1.6
1958,10,176,29.6,21.5,121,1.1
1958,11,118,29.2,20.2,107,1.3
1958,12,9,28.7,17.9,33,-1
1959,1,1,30.5,18.3,13,-1.6
1959,2,25,33.2,19.6,31,-1.2
1959,3,0,35.9,20.4,5,-1.6
1959,4,41,35.8,23.7,43,-1.3
1959,5,98,35.6,24.2,96,-1.3
1959,6,82,32.3,23.2,80,0.7
1959,7,46,30.6,22.4,46,-0.6
1959,8,63,32,22.3,61,-1
1959,9,152,31.6,22.3,145,-0.8
1959,10,157,30.1,21.8,126,-1.3
1959,11,132,28.9,19.8,111,-0.8
1959,12,16,28.3,17.7,28,-1.4
1960,1,0,29.9,18.3,8,-2
1960,2,0,31.8,19,6,-2.3
1960,3,8,35,21,11,-2.3
1960,4,35,35.4,23.6,36,-2
1960,5,93,35.8,23.9,91,-2.2
1960,6,39,33.5,23.3,39,-2.3
1960,7,159,31.1,23,139,-0.8
1960,8,59,32.5,23,60,-1.1
1960,9,116,30.7,22.1,114,-1.3
1960,10,128,30.3,21.3,122,-2.1
1960,11,150,28.6,19.4,105,-1.4
1960,12,6,28.6,17.7,20,-2.2
1961,1,63,29.2,18.8,69,-1.7
1961,2,12,32.1,19.9,17,-1.6
1961,3,1,36.1,21.6,5,-2
1961,4,22,36.2,23.8,24,-2.1
1961,5,101,34.7,24,99,-2.1
1961,6,65,32.3,22.8,63,-1.7
1961,7,78,30.5,22.2,76,-1.7
1961,8,85,31.3,22.6,82,-1.8
1961,9,111,31.5,21.6,107,-2.3
1961,10,229,30.3,21,122,-1.8
1961,11,46,28.8,19.4,71,-2.2
1961,12,9,27.8,17.7,36,-3
1962,1,8,29,17.8,21,-3.1
1962,2,11,31.8,19.4,18,-2.9
1962,3,14,34.8,20.7,19,-2.6
1962,4,70,35,23.3,71,-1.5
1962,5,163,34.5,23.4,157,1.9
1962,6,53,33.7,22.9,53,1.7
1962,7,36,31.5,22.8,37,0.7
1962,8,116,31.3,22.6,111,0.9
1962,9,140,31.1,22,134,0.7
1962,10,259,29,21.6,116,1.2
1962,11,18,29.1,19.1,66,-0.9
1962,12,89,28.4,17.7,98,0.5
1963,1,64,28.4,18.1,84,1.2
1963,2,0,31.9,18.2,16,0.9
1963,3,11,34.6,20.9,20,0.8
1963,4,41,34.8,22.7,45,1
1963,5,64,35.8,23.8,65,-0.7
1963,6,74,33.2,23.4,74,0.6
1963,7,99,31.9,22.9,96,0.7
1963,8,97,31.8,22.5,94,0.7
1963,9,147,32.3,22.3,140,0.6
1963,10,233,30.4,21.3,125,0.9
1963,11,75,28.8,20.1,88,0.6
1963,12,74,28.5,18,87,0.9
1964,1,0,30.4,17.1,26,0.6
1964,2,0,33.4,19.1,13,-0.3
1964,3,2,35.8,21.5,9,-0.8
1964,4,11,36.8,24,16,-1.2
1964,5,125,36.7,24.8,123,-0.8
1964,6,47,34.1,23.2,48,-0.9
1964,7,228,31.7,22.7,141,2.5
1964,8,78,31.4,22.1,101,2.7
1964,9,130,31.2,21.4,129,2.4
1964,10,277,31,21.1,127,3
1964,11,230,28.4,18.9,111,4.9
1964,12,33,28.5,16.9,88,4.8
1965,1,2,29.9,17.3,71,4.9
1965,2,0,31.8,19.3,29,4.3
1965,3,5,34.9,20.8,18,3.7
1965,4,55,34.9,22.9,60,3.9
1965,5,40,35.4,23.9,44,2.4
1965,6,35,34.1,22.9,38,1.8
1965,7,39,32.4,22.1,40,0.8
1965,8,201,31.5,22.2,142,2.5
1965,9,76,32.3,22.1,93,1.6
1965,10,100,31.1,21.7,105,-1.8
1965,11,46,29.4,20.3,52,-2.6
1965,12,89,28.1,18.7,90,-2.3
1966,1,15,30,18.9,18,-2.6
1966,2,0,33,19.8,3,-2.8
1966,3,1,35.7,21.7,4,-3
1966,4,28,36.2,23.6,28,-2.9
1966,5,118,36.1,24,114,-2.6
1966,6,66,33.7,22.8,64,-2
1966,7,91,31.7,22.9,88,-1.5
1966,8,116,32.5,22.8,111,-0.9
1966,9,201,31.3,22,139,1.7
1966,10,285,29.9,21,126,2.6
1966,11,227,29.4,19.9,108,4.5
1966,12,60,28.3,18,96,4.9
1967,1,95,29.9,17.4,109,6.8
1967,2,0,32.7,17.8,71,8
1967,3,35,35,20.4,61,8.2
