Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.3542 North,77.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,31.6,20.4,11,-0.6
1958,2,4,33.7,22,4,-0.8
1958,3,27,36.4,23.9,26,0.4
1958,4,92,36.3,25.3,87,1.5
1958,5,121,35.7,25.9,115,2.3
1958,6,16,35.1,25.8,16,1.6
1958,7,42,32.9,24.7,40,1.1
1958,8,137,32.2,23.9,130,2.2
1958,9,51,33.2,23.4,48,1.3
1958,10,127,31.5,23.4,121,0.7
1958,11,103,30.9,22.3,98,0.7
1958,12,9,30.9,20.5,8,-1.8
1959,1,2,32,20.4,2,-2.3
1959,2,22,34.4,21.4,21,-1.8
1959,3,0,37.1,22.4,0,-2.2
1959,4,80,36.8,25.1,76,-1.2
1959,5,80,36.8,26,76,-1.2
1959,6,65,33.8,25.2,62,1.7
1959,7,57,32.2,24.3,54,1.6
1959,8,49,33.3,23.7,46,0.8
1959,9,78,33,23.8,74,0.6
1959,10,179,32,23.7,135,0.6
1959,11,128,30.7,22,117,1.2
1959,12,43,30.5,20.3,54,1.2
1960,1,0,31.4,20.4,7,0.6
1960,2,4,33.2,21,8,-0.3
1960,3,10,36.3,23,12,-0.8
1960,4,72,36.3,24.9,71,0.6
1960,5,100,36.6,25.4,96,0.8
1960,6,15,34.8,25.3,15,-0.5
1960,7,104,32.5,24.7,100,1.5
1960,8,47,33.6,24.2,46,0.6
1960,9,54,32,23.6,52,-1.3
1960,10,137,32,23.1,131,-1.6
1960,11,151,30.1,21.3,109,-0.6
1960,12,8,30.7,20.3,21,-1.1
1961,1,87,30.8,20.9,90,1.8
1961,2,18,33.4,21.7,21,1.8
1961,3,1,37.4,23.6,4,1.2
1961,4,29,37.2,25.2,30,0.6
1961,5,99,35.9,26,96,0.9
1961,6,54,33.7,24.8,53,1.5
1961,7,81,32.1,24.1,78,1.9
1961,8,89,32.5,23.9,86,1.7
1961,9,56,32.9,23.1,54,0.8
1961,10,186,32.3,23,135,0.9
1961,11,46,30.7,21.7,62,-1
1961,12,25,30.2,20.4,31,-1.7
1962,1,19,30.7,20,23,-1.6
1962,2,28,33.1,21.3,30,-1
1962,3,21,36,22.6,23,-0.7
1962,4,65,36.1,24.8,64,1
1962,5,109,35.8,25.5,105,1.6
1962,6,25,35.2,24.9,25,1.2
1962,7,47,33,24.6,45,0.7
1962,8,107,32.5,24,103,1.2
1962,9,79,32.5,23.5,76,0.9
1962,10,247,31,23.6,125,2
1962,11,24,31,21.4,88,1.4
1962,12,76,30.7,20.3,90,1.6
1963,1,68,30.1,20.3,72,2.7
1963,2,2,33.3,20.3,7,2.1
