Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 12.8125 North,79.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,24,29.2,19.5,78,0
1958,2,1,30.9,21,65,-0.5
1958,3,1,33.7,23.1,64,-0.8
1958,4,30,35.4,25.9,54,-0.6
1958,5,118,36.5,26.7,123,1.2
1958,6,61,37.4,27.5,69,0.8
1958,7,31,34.1,25.7,37,-1.4
1958,8,250,33.2,24.9,164,0.7
1958,9,75,33.9,24.4,95,-0.7
1958,10,319,31.1,23.6,118,0.7
1958,11,225,29.4,22.1,93,1.2
1958,12,34,28.9,19.9,79,0.8
1959,1,1,29.7,19.4,68,0.6
1959,2,23,31.8,20.6,71,1.1
1959,3,0,34.4,21.6,66,1
1959,4,43,35.7,25.5,67,1.5
1959,5,79,37.5,26.7,90,1.6
1959,6,70,35.2,26.1,76,1.5
1959,7,59,33.3,25.2,63,0.6
1959,8,96,34.5,25,97,-1.5
1959,9,111,33.5,24.7,109,-1.9
1959,10,178,31.7,23.9,124,-2.3
1959,11,214,29.1,21.7,103,-2
1959,12,21,28.4,19.6,57,-2.7
1960,1,17,29,19.4,52,-2.9
1960,2,0,30.3,19.8,30,-3.3
1960,3,1,33.5,22.1,17,-3.6
1960,4,5,35.4,25.5,15,-3.7
1960,5,21,37.5,26.3,28,-4
1960,6,126,36.5,26.4,125,-2.7
1960,7,142,33.7,25.7,136,-1.9
1960,8,107,35.1,25.8,106,-2.5
1960,9,185,32.5,24.4,134,-1.8
1960,10,138,31.8,23.5,126,-2.3
1960,11,425,28.9,21.3,93,1.7
1960,12,39,28.8,19.7,82,1.3
1961,1,47,28.6,20.1,85,2
1961,2,24,30.6,20.7,75,2.6
1961,3,0,34.1,22.2,80,2.9
1961,4,1,36.2,25.7,34,2.2
1961,5,64,36.7,26.8,78,2.1
1961,6,121,35.3,25.9,126,2.7
1961,7,151,33.1,24.9,148,2.8
1961,8,266,33.4,24.9,177,3.3
1961,9,169,33.2,23.8,160,3.3
1961,10,181,31.9,23.1,120,2.8
1961,11,93,29,21.3,92,1.9
1961,12,18,27.9,19.5,55,0.8
1962,1,9,28.1,18.7,46,-2.1
1962,2,8,30.2,20.2,32,-2.3
1962,3,2,33.3,21.8,16,-2.7
1962,4,30,35.1,25.3,38,-2.3
1962,5,172,36.4,26,163,1.9
1962,6,112,36.4,25.6,113,2.5
1962,7,64,34,25.4,66,1.6
1962,8,230,33.5,25,157,2
1962,9,150,32.8,24.2,144,2
1962,10,324,30.4,23.5,106,2.7
1962,11,51,29.4,20.9,83,1.7
1962,12,72,28.7,19.7,89,1.5
1963,1,76,27.5,19.1,95,2.6
1963,2,0,30.1,18.8,64,2.7
1963,3,22,33.1,22.1,75,3.2
1963,4,51,34.6,24.4,77,3.7
1963,5,25,37.5,26.3,40,2.8
1963,6,78,36.2,26.4,84,2.4
1963,7,91,34.5,25.6,94,1.7
1963,8,174,34,24.9,166,1.5
1963,9,150,34,24.4,143,1.3
1963,10,213,32,23.5,128,1
1963,11,171,29,22,103,0.7
1963,12,107,28.6,19.9,103,0.7
1964,1,0,29.7,18.2,51,-1.2
1964,2,0,31.9,19.9,40,-1.4
1964,3,0,34.4,22.8,20,-1.8
1964,4,0,36.7,25.8,12,-2.3
1964,5,20,38.9,27.7,27,-2.9
1964,6,28,37,26.2,33,-3.4
1964,7,193,34.3,25.4,148,-1.9
1964,8,162,33.7,24.6,157,-1.7
1964,9,119,32.9,23.6,120,-1.7
1964,10,188,32.7,23.4,131,-2
1964,11,352,28.7,20.8,105,-0.8
1964,12,19,28.7,18.8,76,-1.2
1965,1,13,29.2,18.5,73,-1
1965,2,12,30.3,20.2,67,-0.6
1965,3,0,33.4,22,58,-0.7
1965,4,55,34.7,24.6,77,1.4
1965,5,20,37.4,26.6,33,0.6
1965,6,52,37.3,26.2,58,-1
1965,7,93,35,24.8,95,-1.4
1965,8,258,33.7,24.6,145,1
1965,9,110,34,24.4,121,-0.2
1965,10,65,32.5,23.7,87,-1.4
1965,11,161,29.5,22.1,101,-1.6
1965,12,197,28.4,20.7,102,1
1966,1,37,29.2,20.1,79,1.3
1966,2,1,31.4,20.5,59,1.2
1966,3,1,34.3,22.9,47,1
1966,4,2,36.1,25.4,23,-0.4
1966,5,141,38.3,26.9,146,1.1
1966,6,98,36.6,25.8,101,1.4
1966,7,94,34.4,25.7,96,1.1
1966,8,252,34.7,25.2,144,1.9
1966,9,186,33,24.2,144,2.5
1966,10,264,31.3,23,128,2.8
1966,11,381,29.8,22,99,4.4
1966,12,87,28.4,19.9,99,4.2
1967,1,71,29.2,18.6,95,5.2
1967,2,0,31.2,18.7,70,5.4
1967,3,17,33.5,21.6,82,6
1967,4,10,36.2,25,63,5.7
1967,5,95,37.5,26.7,114,5.7
1967,6,70,36.1,26.2,80,5.2
1967,7,134,34,24.7,130,5.1
1967,8,217,33.8,24.3,163,5
1967,9,74,33.3,24.1,88,3.8
1967,10,126,30.7,23,117,2.7
1967,11,119,28.7,20.1,111,1.7
1967,12,208,28.6,20.4,96,2.5
1968,1,0,28.7,18.7,50,1.8
1968,2,6,31.3,19.7,44,1.4
1968,3,1,33.1,22.3,26,0.9
1968,4,76,34.7,24.6,86,2
1968,5,29,37.4,26.5,37,1.3
1968,6,84,36.5,26.6,86,1.4
1968,7,47,34.2,25.9,50,-1.2
1968,8,54,35.3,25.7,55,-2.4
1968,9,105,33.3,24.4,103,-2.6
1968,10,123,31.8,23,117,-3.3
1968,11,89,28.7,21.7,86,-3.9
1968,12,85,28.5,19.8,83,-4.2
1969,1,0,28.8,18.5,2,-5.4
1969,2,2,31.2,20,4,-5.9
1969,3,0,34.7,22.6,2,-6.2
1969,4,1,36.4,25.7,2,-6.3
1969,5,105,37.4,26.3,101,-5
1969,6,47,37.1,26.6,46,-5
1969,7,97,34.4,25.3,93,-4.6
1969,8,203,34.2,25.3,148,-3.8
1969,9,28,34.1,24.3,37,-4.9
1969,10,501,31.2,23.1,114,-2.4
1969,11,258,29.8,21.9,96,-1.2
1969,12,67,27.5,20.3,85,-0.9
1970,1,3,28.9,19.4,69,-0.6
1970,2,6,31.1,20.2,67,2.6
1970,3,1,34.2,22.6,67,2.7
1970,4,10,35.5,26,43,2.4
1970,5,35,37.2,27,51,1.8
1970,6,85,35.7,26,92,2
1970,7,131,34.3,25.1,129,2.1
1970,8,182,33.4,24.6,149,2.1
1970,9,106,33.3,24.1,109,1.5
1970,10,128,31.4,23.3,122,-1.1
1970,11,266,28.1,22,100,-0.7
1970,12,7,27.9,17.9,58,-1.6
1971,1,25,28.5,19.2,55,-1.7
1971,2,10,31.4,19.7,45,-1.7
1971,3,19,33.2,21.7,44,-1.5
1971,4,43,35.9,24.8,55,-0.9
1971,5,73,37.1,26.4,79,-0.6
1971,6,56,34.6,25.6,60,-0.8
1971,7,134,34.3,25.3,131,0.3
1971,8,149,34,24.6,142,-0.2
1971,9,99,33.1,24.3,98,-0.7
1971,10,305,31.4,22.9,120,0.5
1971,11,74,29,20.2,86,-0.9
1971,12,89,27.1,19.1,91,-0.9
1972,1,14,28.3,17.6,57,-1.2
1972,2,0,31.1,19.2,41,-1.4
1972,3,0,34,20.5,24,-1.7
1972,4,8,36,25.3,21,-1.9
1972,5,154,36.6,26.4,151,1.5
1972,6,101,37.8,26.9,103,2
1972,7,51,35.2,25.6,54,0.9
1972,8,92,35.6,25.5,92,-1.8
1972,9,104,34.2,25.3,103,-2.1
1972,10,330,31.4,23.4,110,-1.2
1972,11,118,29.6,21.6,107,-1.5
1972,12,262,28.8,21,107,2.2
1973,1,3,30.6,18.5,73,2.2
1973,2,0,32.4,20.4,70,2.4
1973,3,0,34.7,22.3,70,2.6
1973,4,0,36.8,26.1,36,2
1973,5,41,38.9,27.1,57,1.5
1973,6,56,36.7,26.7,65,1.2
1973,7,88,34.8,26.3,92,0.6
1973,8,212,33.6,24.8,152,1
1973,9,147,33.8,24.4,141,1.1
1973,10,206,31.5,23.6,119,0.9
1973,11,59,29.4,21.2,79,-1.2
1973,12,97,27.9,19.6,96,-1.2
1974,1,7,28.8,17.9,44,-1.7
1974,2,0,31.6,18.6,30,-2.1
1974,3,2,34.2,21.7,18,-2.4
1974,4,2,36.3,25.5,12,-2.7
1974,5,63,37.2,25.8,67,-2.4
1974,6,106,36.8,25.9,107,-1.6
1974,7,123,34.9,25.1,121,-1.4
1974,8,79,34.5,24.9,79,-2.2
1974,9,183,33,24,142,-1.5
1974,10,208,32.1,22.8,118,-1.5
1974,11,53,29.7,20.7,71,-2.4
1974,12,5,29,18.3,34,-3.4
1975,1,9,29.2,18.1,31,-4
1975,2,0,31.8,20.2,14,-4.6
1975,3,4,33.8,22.5,13,-4.8
1975,4,1,36.6,25.3,7,-5
1975,5,26,38.1,26.9,30,-5.1
1975,6,54,35.9,26.3,55,-5
1975,7,180,34,24.5,153,-3.5
1975,8,186,33.8,25.4,154,-2.9
1975,9,173,32.5,23.6,127,-1.9
1975,10,306,31.3,23.2,128,-1
1975,11,219,28.5,21,108,2.5
1975,12,17,28.1,18.4,74,1.8
1976,1,11,28.4,18.1,70,1.6
1976,2,0,30.4,18.7,57,1.4
1976,3,6,34.4,21.3,62,1.3
1976,4,4,35.8,25.1,28,0.8
1976,5,20,38.4,27.1,33,-1.3
1976,6,80,37.3,26.1,85,-1
1976,7,161,34.5,24.8,145,0.8
1976,8,367,33.9,24.4,152,2.9
1976,9,47,33.6,24.5,94,2.1
1976,10,290,31.9,23.6,114,2.8
1976,11,351,28.8,22.8,105,4.2
1976,12,21,28.8,19.9,75,3.3
1977,1,2,29.7,17.7,69,2.8
1977,2,10,31.1,20.2,61,2.7
1977,3,1,34.2,22.2,58,2.4
1977,4,24,35.6,25.8,47,2.3
1977,5,60,36.6,26.6,71,2
1977,6,112,36.5,26.5,115,2.5
1977,7,75,35,25.5,78,1.9
1977,8,268,34.5,24.6,152,2.7
1977,9,115,34.4,24.6,125,2.2
1977,10,385,30.6,23.6,125,3.3
1977,11,366,29.3,22.7,91,4.8
1977,12,6,28.9,19.8,69,3.8
1978,1,8,29.5,19.2,68,3.3
1978,2,24,30.9,20.6,68,3.4
1978,3,0,33.8,22.3,60,3.1
1978,4,62,35.9,26.2,84,3.8
1978,5,34,38,27,46,3.1
1978,6,57,36,26.3,64,2.6
1978,7,126,34,25.2,125,2.5
1978,8,134,33.6,25.4,130,1.9
1978,9,218,33.4,24.4,145,2.5
1978,10,155,32,24,113,1.9
1978,11,196,29.9,22.2,99,1.7
1978,12,242,27.6,21.5,109,3.3
1979,1,2,29.1,20.2,75,3.1
1979,2,21,31.2,21.8,74,3.6
1979,3,3,33.4,23.1,80,4
1979,4,11,36.3,26.5,49,3.5
1979,5,119,37.2,27,132,4.1
1979,6,49,36.7,27.3,58,3.2
1979,7,101,34.6,26.1,104,2.5
1979,8,90,34.8,26.1,91,1.2
1979,9,182,32.7,24.9,143,1.5
1979,10,134,32.1,23.6,129,-1.8
1979,11,388,28.6,23.2,86,1.3
1979,12,34,28.9,21.3,77,0.9
1980,1,1,30,19.1,71,0.7
1980,2,0,31.7,20.5,63,0.7
1980,3,1,34.1,23.2,56,-0.2
1980,4,17,35.9,26.5,40,0
1980,5,44,38.7,27.9,56,-0.6
1980,6,44,36.1,26.6,51,-1
1980,7,96,35.1,25.6,98,-1.3
1980,8,153,34.2,24.9,149,-1.6
1980,9,58,34.2,25,60,-2.6
1980,10,123,32.2,24,119,-3.4
1980,11,219,29.6,22.2,106,-3.2
1980,12,74,29.1,20.5,83,-3.3
1981,1,49,28.7,20,68,-3
1981,2,1,31.3,20,27,-3.5
1981,3,7,33.9,22.7,21,-3.6
1981,4,10,36.1,26.3,19,-3.7
1981,5,109,37.8,27.2,111,-2.6
1981,6,73,36,27.2,75,-2.5
1981,7,162,34.8,25.8,156,-1.6
1981,8,197,34.5,25.1,180,-1.4
1981,9,189,32.6,24.6,135,-0.7
1981,10,306,31.4,24.3,119,2.1
1981,11,82,29.2,22,94,1.3
1981,12,61,28.1,20,83,0.9
1982,1,1,29.3,19,56,-0.3
1982,2,0,31.5,20.3,51,-1
1982,3,2,34.2,22.9,35,-1.2
1982,4,17,36.2,26.2,34,-1.1
1982,5,26,37.1,27.2,36,-1.5
1982,6,92,36.5,26.7,95,-1.1
1982,7,97,35.2,25.7,98,-1.4
1982,8,89,34.9,25.4,89,-2.4
1982,9,84,34.5,24.6,84,-3.1
1982,10,131,32.5,23.8,125,-3.7
1982,11,217,29.1,22.9,102,-3.4
1982,12,29,28.5,20.3,56,-4
1983,1,0,29.4,19.1,30,-4.8
1983,2,0,32.8,21.6,16,-5.4
1983,3,7,34.7,22.8,17,-5.5
1983,4,1,36.9,26,8,-5.6
1983,5,63,38.2,27.6,65,-5.1
1983,6,92,37.7,27.2,91,-4.3
1983,7,115,35.4,26,113,-3.9
1983,8,198,34.1,25.4,155,-3.2
1983,9,214,33.1,23.9,149,-2
1983,10,189,32.3,23.6,128,-2
1983,11,73,30,21.1,89,-2.6
1983,12,220,28.6,20.1,94,-1
1984,1,30,28,21.1,69,1.7
1984,2,37,30.4,18.8,72,2.6
1984,3,27,32.1,23,81,3.7
1984,4,25,35.1,25.7,68,4
1984,5,9,38.7,27.1,30,2.8
1984,6,41,36.8,26.5,52,1.9
1984,7,205,34,24.3,160,3
1984,8,55,35.4,25.1,74,1.5
1984,9,186,33.7,24.1,147,1.7
1984,10,160,32.1,23,131,1.1
1984,11,172,29.3,21.3,106,0.7
1984,12,88,29.3,19.8,92,-1.2
1985,1,74,28.9,20.4,86,0.9
1985,2,1,31.8,20.4,48,-0.1
1985,3,2,34.7,22.9,31,-0.3
1985,4,34,36.5,26.5,48,0.3
1985,5,14,38.5,27.1,24,-0.9
1985,6,72,35.9,25.8,76,-0.9
1985,7,159,34.3,24.5,152,0.7
1985,8,141,34.6,24.7,137,-0.3
1985,9,262,34,24.2,152,1.4
1985,10,169,32.2,23,135,1
1985,11,102,28.7,21.4,99,-0.6
1985,12,87,28.7,20.6,90,-0.9
1986,1,108,28,19.5,103,1.6
1986,2,19,30.8,20.2,55,1.9
1986,3,0,33.4,23,35,1.7
1986,4,3,36.4,25.5,20,1.2
1986,5,17,38.7,27.1,27,-1.1
1986,6,43,36.9,26.8,49,-1.5
1986,7,46,35.8,26,49,-2.4
1986,8,80,34.5,25.5,81,-3.2
1986,9,126,34.2,25.2,123,-3.3
1986,10,307,32.5,23.3,131,-2.6
1986,11,137,30.1,21.7,110,-2.7
1986,12,55,28.7,21.5,77,-2.8
1987,1,3,29.7,19.6,55,-3
1987,2,0,31,19.3,45,-3.1
1987,3,16,33.7,22.4,36,-3
1987,4,23,36.3,26.3,34,-2.8
1987,5,19,37.5,26.9,27,-3.2
1987,6,93,38.2,26.8,94,-2.6
1987,7,46,35.7,26.4,49,-3.5
1987,8,147,35.4,25.2,142,-3.4
1987,9,47,35.1,25.2,47,-4.5
1987,10,253,32.2,23.9,120,-3.9
1987,11,149,30.2,22.4,104,-3.9
1987,12,202,28.3,21.3,93,-2.2
1988,1,0,29.6,19.5,68,-1.9
1988,2,1,32.4,20.7,64,-1.5
1988,3,1,34.8,24,59,-1.1
1988,4,64,35.2,26,86,2.4
1988,5,73,38.9,27.2,84,2.4
1988,6,34,37.8,26.6,42,1.5
1988,7,158,34.7,25.1,147,2
1988,8,382,34.1,25.2,139,4.2
1988,9,201,33.5,24.1,136,5.1
1988,10,80,33.2,23.9,116,4.2
1988,11,238,29,21.8,114,4.3
1988,12,83,29.8,19.3,97,4.1
1989,1,7,29.5,18.9,74,3.9
1989,2,0,31.8,18.5,68,3.8
1989,3,23,33.3,22,79,4.1
1989,4,4,36.5,25.8,39,3.4
1989,5,23,38.9,26.8,40,2.5
1989,6,106,36.4,25.7,112,2.8
1989,7,167,33.9,24.8,146,3.4
1989,8,71,35.3,24.7,79,2.1
1989,9,208,33.9,24.1,140,2.6
1989,10,156,32.6,23.9,122,1.9
1989,11,234,29.4,22,106,1.9
1989,12,68,29.1,19.9,86,1.6
1990,1,21,29.1,19.5,69,1.5
1990,2,6,32.2,21.1,60,1.5
1990,3,18,34.4,23.9,60,1.6
1990,4,3,37,26.3,23,1.1
1990,5,148,36.1,26,146,2.5
1990,6,35,36.5,25.8,44,1.7
1990,7,61,35.1,25,65,0.8
1990,8,113,34.6,25.1,113,-1.6
1990,9,179,34.6,24.6,141,-1.1
1990,10,321,31.9,23.4,125,1
1990,11,141,30.2,22.3,109,0.7
1990,12,31,29,20.6,75,-0.4
1991,1,16,29.8,20.3,65,-0.6
1991,2,4,31.8,20.8,57,0
1991,3,0,34.9,22.7,40,-0.7
1991,4,14,36.6,26,33,-0.8
1991,5,23,38.6,27.2,34,-1.3
1991,6,151,35.4,26,147,1.5
1991,7,73,34.5,25.5,77,0.6
1991,8,152,34.6,25.2,149,-1
1991,9,117,34.7,24.7,116,-1.4
1991,10,244,31.8,23.9,129,-1.3
1991,11,346,29.3,21.6,104,1
1991,12,6,29.1,19.9,70,-0.6
1992,1,18,29.1,18.5,75,0.1
1992,2,0,32.5,19.8,60,0
1992,3,0,34.6,21.3,52,-0.6
1992,4,2,36.6,25.2,25,-1
1992,5,44,38,26.4,55,-1.1
1992,6,41,37,26.6,48,-1.5
1992,7,66,35.3,25.7,69,-2
1992,8,141,34.8,24.7,139,-2.3
1992,9,81,34.3,24.2,81,-3
1992,10,127,32.7,23.2,122,-3.6
1992,11,256,29.2,22.6,103,-3.1
1992,12,59,28.7,19.2,78,-3.3
1993,1,0,29.9,18.6,44,-3.8
1993,2,1,32.2,19.5,30,-4.2
1993,3,2,34.4,22.2,18,-4.4
1993,4,6,36.7,25.2,16,-4.4
1993,5,150,38.7,26.7,150,-2.7
1993,6,88,37.5,26.2,89,-2.2
1993,7,80,35.5,25.2,81,-2.6
1993,8,171,35.4,24.5,164,-2.5
1993,9,69,34.6,23.9,69,-3.4
1993,10,241,32.1,23.4,120,-3
1993,11,214,29.2,22.3,102,-2.6
1993,12,162,27.7,20.4,102,-1.4
1994,1,2,30.1,19.2,68,-1.2
1994,2,25,32,20.4,73,1.7
1994,3,0,35.2,22.1,72,2.1
