Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 10.9792 North,78.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,11,31.4,20.8,11,-0.6
1958,2,2,33.5,22.3,2,-0.9
1958,3,21,36.8,24.7,21,0.3
1958,4,78,37,26.4,75,1.1
1958,5,97,36.6,26.8,93,2
1958,6,10,36.5,26.8,10,1.3
1958,7,22,34.3,25.7,21,0.6
1958,8,116,33.9,25.2,111,1.4
1958,9,41,34.6,24.8,40,-0.8
1958,10,125,31.8,23.8,119,-1.4
1958,11,99,30.7,22.6,94,-1.2
1958,12,10,30.7,20.9,10,-2.2
1959,1,6,31.9,20.8,6,-2.6
1959,2,22,34.2,21.8,21,-2.1
1959,3,0,37.5,23.2,0,-2.5
1959,4,98,37.6,26.3,93,-1.1
1959,5,67,37.7,26.9,64,-0.9
1959,6,48,35.2,26.3,46,1.9
1959,7,31,33.6,25.4,30,1.4
1959,8,38,35,25.1,37,-1
1959,9,63,34.4,25.1,60,-1.3
1959,10,169,32.3,24.1,139,-1.3
1959,11,137,30.5,22.3,115,0.8
1959,12,38,30.2,20.7,41,-0.1
1960,1,0,31.3,20.8,5,-0.7
1960,2,5,33,21.4,8,-0.9
1960,3,6,36.7,23.7,9,-1
1960,4,79,37,26,77,0.8
1960,5,72,37.1,26,70,0.8
1960,6,10,36.3,26.5,11,-0.5
1960,7,91,33.9,25.6,88,1.6
1960,8,36,35.2,25.6,36,0.6
1960,9,51,33.4,24.9,49,-1.3
1960,10,117,32.3,23.6,112,-2.1
1960,11,171,30,21.7,106,-0.6
1960,12,8,30.6,20.7,22,-1.1
1961,1,100,30.6,21.3,103,2.3
1961,2,12,33.2,22,18,2.1
1961,3,1,37.8,24.3,6,1.5
1961,4,22,38,26.4,25,0.8
1961,5,76,36.9,26.9,76,1
1961,6,38,35.1,25.9,39,1.4
1961,7,48,33.4,25,48,1.2
1961,8,78,34.1,25.3,76,1.1
1961,9,63,34.3,24.5,61,-0.6
1961,10,176,32.6,23.4,140,-0.6
1961,11,48,30.6,22.1,53,-1.3
1961,12,30,29.9,20.7,34,-1.9
1962,1,20,30.6,20.4,23,-1.9
1962,2,16,32.9,21.7,18,-1.7
1962,3,17,36.6,23.5,19,-1.5
1962,4,49,36.8,25.9,48,-1.2
1962,5,69,36.8,26.4,67,-0.9
1962,6,20,36.6,26,20,-1
1962,7,27,34.3,25.6,27,-1.5
1962,8,98,34.2,25.4,94,-0.9
1962,9,71,33.9,24.9,68,-1.1
1962,10,261,31.2,23.9,128,1.3
1962,11,33,30.9,21.7,63,0.6
1962,12,49,30.5,20.8,71,0.6
1963,1,99,29.9,20.7,105,2.6
1963,2,3,33.2,20.6,17,2.3
1963,3,15,36.2,23.7,24,2.3
1963,4,53,36.8,25.4,56,2.4
1963,5,32,37.9,26.6,35,1.5
1963,6,33,36.2,26.6,35,1.7
1963,7,70,34.7,25.5,70,2.2
1963,8,59,34.8,25.4,58,1.7
1963,9,68,35,25,67,1.3
1963,10,151,32.6,23.7,139,0.8
1963,11,89,30.3,22.6,87,0.6
1963,12,82,30.4,21,80,0.9
1964,1,0,31.9,19.7,2,-1
1964,2,0,34.6,21.4,2,-1.4
1964,3,6,37.4,24.3,7,-1.6
1964,4,15,38.5,26.5,16,-2.1
1964,5,75,38.8,27.5,72,-1.7
1964,6,26,37,26.3,26,-1.5
1964,7,111,34.4,25.4,106,2
1964,8,97,34.4,24.9,93,2.3
1964,9,59,34.1,24.4,57,1.6
1964,10,262,33.1,23.4,141,2.5
1964,11,107,30.2,21.6,106,2.9
1964,12,51,30.6,20,75,3.2
1965,1,0,31.4,20,23,2.7
1965,2,3,33.1,21.7,16,2.4
1965,3,4,36.6,23.7,13,2
1965,4,73,36.8,25.6,75,2.5
1965,5,33,37.5,26.6,36,1.6
1965,6,12,36.9,26,16,1.1
1965,7,26,35.4,25,27,-1.4
1965,8,126,34.4,25,122,1.2
1965,9,50,35.1,25.1,50,-0.6
1965,10,141,33,23.9,135,-1.1
1965,11,43,30.9,22.8,42,-2.1
1965,12,90,30,21.5,87,-1.4
1966,1,21,31.3,21.4,21,-1.4
1966,2,2,34.3,22.1,3,-1.7
1966,3,4,37.3,24.4,5,-1.9
1966,4,52,37.9,26.1,50,-1.7
1966,5,32,38.2,26.8,31,-2.4
1966,6,40,36.3,25.8,39,-1.6
1966,7,49,34.6,25.6,47,-1.2
1966,8,116,35.4,25.5,111,1.7
1966,9,99,34.1,24.9,95,2
1966,10,279,32.1,23.3,136,3.1
1966,11,113,31.1,22.5,109,3.6
1966,12,54,30.3,21.1,79,4.1
1967,1,53,31.3,19.9,76,5.1
1967,2,0,33.9,20.1,21,4.8
1967,3,27,36.7,23.3,38,5.1
1967,4,27,38.2,25.8,34,4.3
1967,5,39,37.7,26.9,43,3.5
1967,6,46,35.9,26.2,48,4
1967,7,46,34.3,24.8,47,3.7
1967,8,51,34.5,24.6,51,2.9
1967,9,52,34.3,24.7,51,2
1967,10,191,31.4,23.3,135,2
1967,11,96,30.1,20.8,97,2
1967,12,84,30.1,21.2,88,2.4
1968,1,2,31,20.3,12,1.7
1968,2,7,33.7,20.9,13,1.4
1968,3,33,36.2,23.9,36,2
1968,4,118,36.6,25.3,116,3.5
1968,5,38,37.8,26.8,40,2.6
1968,6,22,36.1,26.4,23,2.3
1968,7,31,33.8,25.3,31,1.6
1968,8,63,35.2,25.3,61,1.2
1968,9,78,34.2,24.9,76,1
1968,10,130,32.7,23.5,125,-1.5
1968,11,75,30.1,22.3,72,-1.8
1968,12,36,30.2,20.8,36,-2.1
1969,1,2,31.1,20.1,3,-2.6
1969,2,4,33.7,21.3,5,-2.6
1969,3,1,37.7,24.2,2,-2.8
1969,4,28,38.1,26.2,27,-2.9
1969,5,44,37.8,26.8,42,-3.1
1969,6,12,36.9,26.6,12,-3.3
1969,7,21,34.6,25.3,21,-3.6
1969,8,123,34.7,25.4,118,-2.1
1969,9,23,35,24.8,22,-3.2
1969,10,195,32.1,23.5,129,-2.6
1969,11,80,31,22.3,82,-2.2
1969,12,70,29.3,21.4,75,-1.7
1970,1,19,31.1,20.8,26,-1.6
1970,2,25,33.8,21.6,30,-0.9
1970,3,2,37.2,24.1,6,-1.2
1970,4,104,37.3,26.7,102,1.9
1970,5,90,37.2,27.1,88,2.4
1970,6,19,36,26.5,21,2
1970,7,44,34.6,25.2,44,1.8
1970,8,76,34.1,25,74,1.6
1970,9,46,34.3,24.7,45,0.7
1970,10,186,32.1,23.6,139,0.8
1970,11,108,29.6,22.7,105,1.1
1970,12,6,30,19.2,15,-0.7
1971,1,18,30.7,20.6,23,-0.9
1971,2,13,33.7,20.9,17,-0.8
1971,3,14,36.4,23.4,17,-0.6
1971,4,62,37.7,25.5,62,0.4
1971,5,109,37.3,26.6,106,1.6
1971,6,12,34.7,25.9,14,1
1971,7,34,34.3,25,34,0.6
1971,8,112,34.3,24.6,108,1.4
1971,9,86,33.9,24.7,83,1.4
1971,10,188,32.1,23.2,141,1.4
1971,11,35,30.6,21.1,43,-0.8
1971,12,95,28.9,20.1,94,0.8
1972,1,1,30.8,19.2,7,-0.6
1972,2,0,33.7,20.5,5,-0.9
1972,3,0,37,22.1,4,-1.3
1972,4,16,37.7,25.9,18,-1.8
1972,5,144,36.5,26.3,140,2.1
1972,6,29,37.3,26.6,29,2.2
1972,7,38,35.2,25.3,38,1.7
1972,8,30,35.6,25.2,30,-1.2
1972,9,139,34.9,25.6,134,1.3
1972,10,210,32,23.7,128,1.7
1972,11,66,31,22.2,76,1.4
1972,12,94,30.4,21.9,97,2.1
1973,1,0,32.6,19.7,14,1.5
1973,2,0,35,21.7,9,1.1
1973,3,1,37.8,23.9,8,0.6
1973,4,15,38.4,26.7,19,-1.4
1973,5,50,38.7,26.9,52,-1.4
1973,6,28,36.5,26.6,29,-1.1
1973,7,54,34.7,26,54,-0.7
1973,8,62,34.1,25,61,-0.8
1973,9,78,34.7,24.9,76,-0.8
1973,10,210,32.2,23.9,136,0.5
1973,11,41,30.9,22,58,-0.7
1973,12,71,29.6,20.6,77,0.4
1974,1,0,31.1,19.4,10,-0.7
1974,2,6,34.2,20,13,-0.7
1974,3,4,37.3,23.2,8,-0.9
1974,4,35,38.1,26.2,38,-1
1974,5,65,37.5,26,65,-0.7
1974,6,24,36.7,26,26,0.1
1974,7,43,34.9,25,43,0
1974,8,40,34.8,24.9,40,-0.7
1974,9,119,33.9,24.4,115,0.8
1974,10,116,32.8,23,112,-0.8
1974,11,13,31.3,21.5,13,-2.3
1974,12,10,31.1,19.7,11,-3
1975,1,4,31.4,19.5,5,-3.3
1975,2,3,34.4,21.6,4,-3.4
1975,3,34,36.7,23.9,34,-2.4
1975,4,14,38.3,25.9,14,-2.8
1975,5,68,37.9,26.6,65,-2.4
1975,6,15,35.6,26.1,15,-2.5
1975,7,77,34.3,24.6,74,-1.5
1975,8,93,34.1,25.4,89,-0.9
1975,9,88,33.7,24.4,84,-0.6
1975,10,171,32,23.5,153,-0.8
1975,11,72,30,21.8,70,-1.1
1975,12,15,30.1,19.6,15,-2
1976,1,0,30.9,19.9,2,-2.5
1976,2,0,33.5,20.6,1,-2.7
1976,3,5,37.3,22.7,6,-2.8
1976,4,81,37.4,25.6,77,-1.9
1976,5,54,38.3,27,52,-2
1976,6,27,37.3,26.3,27,-1.8
1976,7,23,35,25.2,22,-2.2
1976,8,98,34.8,24.9,94,-1.4
1976,9,50,34.6,25.2,48,-1.8
1976,10,113,32.6,23.8,108,-2.6
1976,11,143,30,23.3,119,-1.7
1976,12,19,30.6,21,21,-2.1
1977,1,0,32.1,19.3,2,-2.6
1977,2,29,33.8,21.6,29,-1.9
1977,3,17,37.1,23.7,17,-1.7
1977,4,71,37.6,26.6,68,-1
1977,5,88,36.7,26.6,85,1.4
1977,6,25,36.4,26.6,25,1.3
1977,7,33,35.1,25.4,32,0.8
1977,8,96,35.2,25,92,1.2
1977,9,70,35.3,25.1,67,0.8
1977,10,328,31.3,23.9,133,2.8
1977,11,211,30.6,23.2,107,5.2
1977,12,5,30.7,20.9,76,5.2
1978,1,1,31.7,20.6,69,5.9
1978,2,13,33.8,22.2,60,6.6
1978,3,2,37.1,24.1,29,6.1
1978,4,53,37.8,27,65,5.9
1978,5,53,37.9,26.9,60,5.4
1978,6,13,35.8,26.4,19,4.6
1978,7,37,34.3,25.3,40,4
1978,8,40,34,25.5,42,3.1
1978,9,88,34.4,25,87,3
1978,10,134,32.4,24.1,122,2.4
1978,11,171,31,22.5,109,3.5
1978,12,72,29.4,22.6,83,4
1979,1,0,31.3,21.6,15,3.3
1979,2,57,33.7,23.1,64,4.6
1979,3,11,36.6,24.7,17,4.2
1979,4,21,38.2,27.3,25,3.3
1979,5,36,37.7,27.5,39,2.3
1979,6,25,36.4,27.3,27,2.1
1979,7,43,34.3,25.7,44,1.8
1979,8,59,34.9,25.9,58,1.2
1979,9,105,33.7,25.5,101,1.8
1979,10,143,32.7,23.8,137,1
1979,11,233,29.7,23.6,100,3.3
1979,12,20,30.5,22.1,57,3.1
1980,1,1,32.1,20.3,30,2.8
1980,2,0,34.2,21.8,16,2.4
1980,3,6,37,24.7,16,2.1
1980,4,50,37.8,27.3,55,2.1
1980,5,43,38.8,28,46,1.6
1980,6,15,36.1,26.8,19,1.2
1980,7,29,35.2,25.5,31,-1
1980,8,49,34.9,25.3,49,-1.5
1980,9,41,35.1,25.5,42,-2.2
1980,10,147,32.8,24.2,140,-2.4
1980,11,103,31.1,23,100,-2.1
1980,12,36,31,21.6,36,-2.4
1981,1,8,30.8,21.4,9,-2.7
1981,2,2,34,21.4,3,-2.8
