Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 9.9375 North,78.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,30.4,21.2,28,-0.2
1958,2,7,31.8,22.3,9,-0.2
1958,3,62,34.9,24.2,61,0.7
1958,4,88,35.5,25.6,86,1.1
1958,5,118,35.9,26.3,114,2.2
1958,6,15,36.2,26.3,15,1.5
1958,7,15,34.8,26.1,15,0.8
1958,8,163,33.9,25.1,154,1.6
1958,9,41,34.7,24.6,40,0.7
1958,10,129,32,24.1,124,-1.4
1958,11,127,30.3,23.1,104,-1.3
1958,12,16,30.1,21.6,20,-2.2
1959,1,14,30.9,21.3,16,-2.7
1959,2,27,32.6,21.8,28,-2.4
1959,3,1,35.7,22.8,3,-2.9
1959,4,152,36,25.4,146,-1.4
1959,5,71,36.9,26.3,69,-0.9
1959,6,72,35.2,26.1,69,2.1
1959,7,14,34.1,25.8,14,1.3
1959,8,75,35,25,72,0.9
1959,9,83,34.4,24.8,80,-1.1
1959,10,184,32.4,24.4,132,-1.2
1959,11,172,30.2,22.8,109,0.6
1959,12,40,29.6,21.3,78,-0.2
1960,1,3,30.3,21.3,26,-0.7
1960,2,13,31.5,21.5,23,-0.7
1960,3,14,34.8,23.3,19,-0.9
1960,4,121,35.4,25.1,119,0.9
1960,5,62,35.7,24.6,62,0.9
1960,6,12,36.2,26.1,14,-0.5
1960,7,118,34.3,25.9,114,1.9
1960,8,35,35.2,25.4,35,0.9
1960,9,68,33.4,24.6,66,-1.3
1960,10,134,32.4,23.7,128,-1.8
1960,11,265,29.7,22.2,102,1.6
1960,12,16,30,21.4,83,1.1
1961,1,137,29.7,21.7,133,2.6
1961,2,13,31.6,22.1,52,3.1
1961,3,9,35.7,23.7,23,2.4
1961,4,46,36.4,25.5,51,1.8
1961,5,78,36.1,26.3,79,2
1961,6,52,35,25.6,53,2.1
1961,7,33,33.9,25.4,34,1.6
1961,8,107,34.2,25.2,104,1.5
1961,9,58,34.4,24.2,57,-1.1
1961,10,164,32.7,23.7,137,-1.4
1961,11,89,30.4,22.7,90,-1.8
1961,12,49,29.3,21.3,50,-2.4
1962,1,33,29.6,20.9,35,-2.6
1962,2,20,31.5,21.9,21,-2.5
1962,3,28,34.7,23.1,29,-2.4
1962,4,65,35.4,25.1,63,-2.3
1962,5,87,36.1,25.8,84,-1.4
1962,6,31,36.5,25.8,30,-1.5
1962,7,14,34.7,25.9,14,-2.1
1962,8,130,34.4,25.4,124,-1.6
1962,9,94,34,24.6,90,-1.7
1962,10,324,31.4,24.2,124,1.2
1962,11,55,30.6,22.2,96,-0.5
1962,12,40,29.9,21.4,87,-0.7
1963,1,181,28.9,21.1,134,2.2
1963,2,7,31.8,20.9,62,3.3
1963,3,66,34.4,23.3,80,3.8
1963,4,86,35.4,24.7,91,3.8
1963,5,22,37.2,26.1,27,2.8
1963,6,68,36.2,26.4,69,3.3
1963,7,85,35.1,25.8,84,3.8
1963,8,65,35,25.4,64,2.9
1963,9,94,34.9,24.7,91,2.4
1963,10,138,32.6,23.9,131,1.5
1963,11,161,30,23,110,1.7
1963,12,93,29.8,21.6,99,1.7
1964,1,3,31,20.2,15,0.8
1964,2,1,33.1,21.6,8,-1.5
1964,3,26,35.5,23.8,30,-1.4
1964,4,27,36.9,25.6,29,-1.9
1964,5,39,38,26.8,40,-2.1
1964,6,32,37,26.1,33,-2.1
1964,7,125,34.8,25.6,120,1.7
1964,8,105,34.5,24.9,101,1.6
1964,9,61,34.2,24.3,59,0.9
1964,10,250,33.1,23.5,138,1.1
1964,11,63,30.1,22.2,86,-0.5
1964,12,91,30.1,20.7,104,0.1
1965,1,3,30.6,20.5,26,-1
1965,2,14,31.6,21.9,24,-0.9
1965,3,13,34.8,23.3,19,-1.2
1965,4,89,35.4,24.9,89,-0.7
1965,5,35,36.6,25.9,36,-1
1965,6,20,36.8,25.7,21,-1.3
1965,7,19,35.9,25.4,20,-1.7
1965,8,171,34.6,25,157,1
1965,9,90,35.2,24.8,88,0.7
1965,10,176,33,24,136,-0.3
1965,11,81,30.6,23.2,86,-0.9
1965,12,127,29.3,22,121,0.4
1966,1,43,30.3,21.8,50,-0.5
1966,2,6,32.8,22.3,11,-0.8
1966,3,17,35.5,24,20,-1.1
1966,4,76,36.3,25.2,76,-0.9
1966,5,15,37.6,26.2,16,-1.7
1966,6,78,36.2,25.4,76,-0.6
1966,7,34,35,25.9,34,-0.6
1966,8,210,35.5,25.5,156,2.2
1966,9,155,34.2,24.7,148,2.8
1966,10,288,32.2,23.5,129,3.6
1966,11,125,30.7,22.9,108,3.6
1966,12,86,29.7,21.7,108,4
1967,1,17,30.3,20.3,85,4.4
1967,2,1,32.4,20.3,27,3.8
1967,3,70,35,23,78,4.2
1967,4,29,36.7,25.1,35,3.2
1967,5,41,36.9,26.2,44,2.6
1967,6,79,35.8,25.9,78,3.3
1967,7,26,34.9,25.2,27,2.6
1967,8,65,34.6,24.6,64,1.9
1967,9,63,34.4,24.4,61,1
1967,10,309,31.6,23.6,130,1.8
1967,11,115,30,21.5,115,1.8
1967,12,121,29.5,21.7,117,2.9
1968,1,6,30.1,20.7,90,3.3
1968,2,7,32.1,21,35,3.2
1968,3,82,34.4,23.5,90,4
1968,4,225,35,24.5,160,6.1
1968,5,17,37,26.2,54,5.6
1968,6,28,35.9,26,41,5
1968,7,28,34.1,25.6,34,4.2
1968,8,59,35.2,25.1,61,3.2
1968,9,95,34.2,24.6,94,2.7
1968,10,165,32.9,23.8,135,2.1
1968,11,122,29.8,22.8,109,1.9
1968,12,53,29.6,21.4,64,1.3
1969,1,6,30.2,20.5,13,-2
1969,2,17,32.1,21.3,21,-1.8
1969,3,2,35.8,23.7,6,-2.3
1969,4,77,36.5,25.4,76,-1.9
1969,5,34,37.1,26.1,34,-2.2
1969,6,15,36.8,26.3,16,-2.6
1969,7,15,35,25.7,16,-2.9
1969,8,139,34.7,25.3,133,-2
1969,9,33,35.1,24.7,32,-2.9
1969,10,192,32.3,23.8,125,-2.7
1969,11,96,30.6,22.7,97,-2.6
1969,12,92,28.8,22.1,96,-2.2
1970,1,22,30.1,21.2,35,-2.3
1970,2,19,32.4,21.9,27,-2
1970,3,9,35.4,23.7,14,-2.2
1970,4,163,35.6,25.7,153,1.6
1970,5,78,36.5,26.5,79,2
1970,6,30,36.1,26.4,31,1.6
1970,7,31,35.1,25.6,32,1.1
1970,8,100,34.3,25,97,0.9
1970,9,71,34.4,24.4,69,-0.5
1970,10,170,32.3,23.9,138,-1.2
1970,11,154,29.4,23.4,109,-0.8
1970,12,12,29.4,19.9,39,-1.6
1971,1,45,29.7,20.9,55,-1.6
1971,2,19,32.2,21,25,-1.4
1971,3,44,34.6,23,46,-1
1971,4,75,36.1,24.6,75,-0.8
1971,5,99,36.6,25.9,96,1.1
1971,6,13,34.8,25.8,14,-0.6
1971,7,39,34.7,25.3,39,-0.8
1971,8,210,34.3,24.4,171,1.5
1971,9,100,33.9,24.4,105,1.4
1971,10,208,32.3,23.4,141,1.2
1971,11,44,30.4,21.7,72,-0.9
1971,12,142,28.2,20.7,115,0.8
1972,1,5,29.8,19.7,35,-0.3
1972,2,1,32.1,20.6,14,-0.7
1972,3,0,35.2,21.7,8,-1.2
1972,4,14,36.1,25,19,-2
1972,5,178,35.7,25.7,169,2.3
1972,6,70,37.1,26.2,70,3.1
1972,7,29,35.6,25.7,30,2.4
1972,8,38,35.7,25,38,1.2
1972,9,184,34.8,25.3,158,2.1
1972,10,260,32.1,23.8,126,2.6
1972,11,100,30.7,22.7,107,2.4
1972,12,74,29.8,22.5,100,2.6
1973,1,0,31.7,20.1,56,2.5
1973,2,1,33.5,21.9,18,1.9
1973,3,5,36,23.4,14,1.1
1973,4,31,36.7,25.7,35,-1.3
1973,5,38,37.9,26.1,40,-1.6
1973,6,35,36.3,26.3,37,-1.4
1973,7,65,35.1,26.4,64,-0.9
1973,8,59,34.2,24.9,58,-1.3
1973,9,112,34.7,24.7,108,-1.2
1973,10,270,32.3,24.1,132,0.6
1973,11,64,30.6,22.5,94,-0.5
1973,12,133,29,21.2,116,0.6
1974,1,2,30.1,19.8,60,0.7
1974,2,26,32.7,20.1,41,1
1974,3,20,35.4,22.8,28,0.6
1974,4,60,36.5,25.3,63,-0.1
1974,5,85,36.8,25.4,85,0.5
1974,6,42,36.6,25.8,43,0.6
1974,7,36,35.4,25.3,36,-0.2
1974,8,63,34.8,24.7,61,-0.7
1974,9,168,33.9,24.1,159,0.8
1974,10,119,32.9,23.3,115,-0.7
1974,11,40,31,22,39,-1.9
1974,12,23,30.6,20.4,23,-2.8
1975,1,7,30.4,20,8,-3.3
1975,2,7,32.8,21.6,8,-3.4
1975,3,74,34.7,23.4,71,-2.3
1975,4,34,36.7,25,33,-2.6
1975,5,48,37.1,26,46,-2.5
1975,6,9,35.5,25.9,9,-3
1975,7,111,34.9,25,106,-1.4
1975,8,151,34.2,25.3,144,-0.7
1975,9,106,33.8,24.2,101,-0.6
1975,10,131,32.2,23.8,125,-1.5
1975,11,119,29.8,22.4,113,-1.6
1975,12,36,29.5,20.3,34,-2.4
1976,1,2,29.9,20.3,2,-3.1
1976,2,0,32,20.8,0,-3.4
1976,3,26,35.3,22.2,25,-3.2
1976,4,86,35.9,24.8,82,-2.7
1976,5,35,37.6,26.3,34,-3
1976,6,52,37.2,26,50,-2.4
1976,7,17,35.6,25.6,17,-2.8
1976,8,114,34.9,24.9,109,-2.3
1976,9,86,34.7,24.9,82,-2.3
1976,10,128,32.7,24.1,122,-3
1976,11,179,29.6,23.8,114,-2.2
1976,12,39,30,21.6,56,-2.6
1977,1,1,31.1,19.8,10,-3.2
1977,2,40,32.3,21.8,44,-2.4
1977,3,58,35,23,59,-1.6
1977,4,82,36.1,25.9,81,-1.3
1977,5,123,36,26,119,2.1
1977,6,28,36.3,26.3,28,1.6
1977,7,38,35.6,25.7,38,1.3
1977,8,132,35.3,24.9,127,1.6
1977,9,88,35.3,24.9,84,1.1
1977,10,439,31.4,24.1,126,3.2
1977,11,264,30.2,23.6,103,5.1
1977,12,19,30.2,21.5,83,4.4
1978,1,1,30.7,21,48,3.7
1978,2,15,32.4,22.5,30,3.4
1978,3,3,35.3,23.7,11,2.5
1978,4,71,36.3,26.2,73,2.4
1978,5,41,37.1,26.3,42,1.9
1978,6,10,35.9,26.2,12,1.1
1978,7,39,34.8,25.7,40,0.9
1978,8,42,34.1,25.4,41,-1.8
1978,9,117,34.5,24.9,112,-1.5
1978,10,158,32.5,24.3,111,-1.6
1978,11,180,30.6,22.9,106,-0.7
1978,12,123,28.8,23.2,123,1.6
1979,1,1,30.3,22.1,56,1.7
1979,2,64,32.2,23.2,78,2.8
1979,3,31,34.7,24.3,38,2.6
1979,4,29,36.7,26.5,33,1.7
1979,5,20,37,27,23,0.7
1979,6,30,36.4,27,32,-1.4
1979,7,33,34.9,26.1,34,-1.6
1979,8,73,35,25.8,72,-1.8
1979,9,150,33.8,25.2,143,-1
1979,10,189,32.8,24,141,-1.1
1979,11,291,29.3,23.9,98,2.5
1979,12,54,29.8,22.6,94,2.5
1980,1,2,31.1,20.8,67,2.5
1980,2,0,32.6,21.9,18,1.8
1980,3,10,35.2,24.3,18,1.2
1980,4,82,36.3,26.5,84,1.3
1980,5,35,38,27.4,38,0.8
1980,6,27,36.2,26.7,28,-1
1980,7,30,35.6,25.9,30,-1.4
1980,8,75,35.1,25.3,73,-1.6
1980,9,64,35.1,25.2,63,-2.1
1980,10,157,32.9,24.4,132,-2.3
1980,11,136,30.9,23.5,114,-2
1980,12,55,30.4,22.3,63,-2.2
1981,1,26,29.7,21.7,31,-2.4
1981,2,6,32.4,21.5,10,-2.6
1981,3,21,35.5,24.1,23,-2.6
1981,4,43,36.5,26.3,44,-2.7
1981,5,72,37.3,26.9,71,-2.2
1981,6,28,35.4,26.6,28,-2.3
1981,7,87,35.5,26.2,84,-1.3
1981,8,80,35.1,25.1,77,-1.5
1981,9,179,33.8,25,152,1.3
1981,10,263,32.2,24.8,124,2
1981,11,115,30.4,23.2,113,1.9
1981,12,55,29.4,21.8,97,2
1982,1,0,30.4,20.8,51,1.8
1982,2,0,32.3,21.6,16,1.2
1982,3,12,35.3,24,20,0.7
