Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.2292 North,78.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,16,29.7,20.6,22,-0.5
1958,2,1,31.8,21.8,6,-0.9
1958,3,24,35.4,24,26,-0.9
1958,4,62,36.2,26.3,62,0.4
1958,5,127,36.6,26.8,123,1.5
1958,6,17,37.2,27.2,18,0.7
1958,7,16,34.8,25.8,17,-1.4
1958,8,190,34,25.1,173,0.8
1958,9,60,34.6,24.7,60,-0.6
1958,10,153,31.4,23.8,129,-1
1958,11,124,29.7,22.6,106,-1.1
1958,12,20,29.1,20.9,29,-2
1959,1,10,30.2,20.6,16,-2.7
1959,2,32,32.7,21.4,35,-2.5
1959,3,0,36.1,22.5,4,-2.9
1959,4,105,36.7,26.1,103,-1.6
1959,5,80,37.6,26.9,78,-1.4
1959,6,62,35.7,26.5,61,-0.7
1959,7,17,34.1,25.4,18,-1.4
1959,8,56,35.1,25,55,-2
1959,9,78,34.3,25,75,-2.3
1959,10,178,31.9,24.2,135,-2.4
1959,11,181,29.5,22.3,108,-1.7
1959,12,41,28.6,20.6,65,-2.1
1960,1,5,29.6,20.6,28,-2.5
1960,2,6,31.4,20.9,19,-2.6
1960,3,5,35.2,23,14,-2.8
1960,4,60,36.2,25.9,64,-2.2
1960,5,68,37.3,26.2,69,-2.2
1960,6,26,36.9,26.7,28,-2.3
1960,7,120,34.4,25.7,117,-0.9
1960,8,65,35.5,25.6,65,-1.6
1960,9,76,33.3,24.7,74,-1.9
1960,10,103,32,23.6,99,-2.9
1960,11,253,29,21.7,101,-1.4
1960,12,14,28.9,20.6,58,-2
1961,1,142,28.9,21,131,2
1961,2,13,31.5,21.5,52,2.2
1961,3,0,36.1,23.5,19,1.5
1961,4,17,37.1,26.2,28,0.9
1961,5,77,36.9,27,81,0.8
1961,6,65,35.6,26.1,67,1.3
1961,7,45,33.9,25.1,47,0.7
1961,8,157,34.2,25.1,152,0.8
1961,9,110,34.2,24.3,107,-0.3
1961,10,193,32.2,23.4,132,-0.6
1961,11,66,29.4,21.9,73,-1.3
1961,12,52,28.1,20.5,63,-2
1962,1,18,28.7,20,26,-2.6
1962,2,6,31.3,21.2,12,-2.8
1962,3,23,35.1,22.8,27,-2.7
1962,4,38,36,25.8,40,-2.6
1962,5,84,36.6,26.3,83,-2.1
1962,6,36,37,26.1,37,-2.1
1962,7,22,34.8,25.7,23,-2.8
1962,8,159,34.3,25.2,153,-2.2
1962,9,99,33.8,24.7,96,-2.2
1962,10,290,30.9,24,118,-1
1962,11,50,29.9,21.7,78,-1.6
1962,12,50,28.9,20.7,77,-2
1963,1,163,28.2,20.4,128,2.1
1963,2,5,31.4,20,57,2.5
1963,3,36,34.8,23,59,2.7
1963,4,54,35.8,25.2,65,2.8
1963,5,42,37.8,26.6,49,1.9
1963,6,59,36.7,26.8,62,2.2
1963,7,107,35.2,25.6,107,2.7
1963,8,96,34.9,25.2,95,2.1
1963,9,109,34.8,24.8,106,1.8
1963,10,149,32.2,23.7,136,1
1963,11,140,29.4,22.6,108,0.9
1963,12,121,28.7,20.8,115,1
1964,1,0,30.2,19.4,10,-1.1
1964,2,0,32.9,20.9,7,-1.6
1964,3,9,36,23.6,14,-1.8
1964,4,10,37.6,26.3,14,-2.4
1964,5,68,38.9,27.6,68,-2.3
1964,6,46,37.5,26.5,46,-2
1964,7,137,35,25.5,133,1.5
1964,8,112,34.5,24.8,108,1.2
1964,9,72,34,24.3,70,-0.6
1964,10,241,32.9,23.6,136,0.3
1964,11,166,29.2,21.5,111,0.7
1964,12,76,29,19.9,93,0.6
1965,1,5,29.8,19.8,53,-0.2
1965,2,11,31.4,21.2,34,-0.1
