Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 9.8542 North,78.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,29.8,21.6,35,-0.3
1958,2,6,31.1,22.6,13,-0.7
1958,3,44,34.2,24.4,47,0.2
1958,4,68,34.9,25.9,69,0.3
1958,5,114,35.5,26.8,112,1.6
1958,6,15,35.9,27,17,0.8
1958,7,22,34.6,26.6,24,-1.2
1958,8,228,33.5,25.5,164,0.9
1958,9,41,34.2,25,55,-0.6
1958,10,129,31.5,24.2,125,-1.2
1958,11,130,29.8,23.2,104,-1.1
1958,12,22,29.6,21.9,37,-1.9
1959,1,15,30.4,21.7,25,-2.5
1959,2,27,32,22.2,33,-2.4
1959,3,0,35,23,6,-2.9
1959,4,137,35.4,25.6,135,-1.6
1959,5,65,36.5,26.9,65,-1.2
1959,6,109,34.8,26.8,106,2.1
1959,7,11,33.9,26.2,13,1.1
1959,8,100,34.7,25.4,97,0.8
1959,9,74,33.9,25.3,72,-1.3
1959,10,191,32,24.5,130,-1.3
1959,11,178,29.7,23,106,-0.7
1959,12,43,29,21.6,64,-1.1
1960,1,3,29.8,21.7,34,-1.5
1960,2,18,30.8,21.8,34,-1.5
1960,3,7,34.1,23.5,18,-1.8
1960,4,87,34.8,25.4,91,-1.2
1960,5,47,35.3,25.3,51,-1.1
1960,6,12,35.9,26.8,16,-1.7
1960,7,222,34,26.3,158,2.1
1960,8,33,34.9,25.8,51,1.4
1960,9,57,33,25,66,0.6
1960,10,134,31.9,23.8,128,-1.6
1960,11,281,29.3,22.5,99,1.6
1960,12,22,29.5,21.7,66,0.9
1961,1,154,29.1,22.1,136,2.5
1961,2,9,30.9,22.4,59,2.8
1961,3,7,35,23.9,51,2.5
1961,4,34,35.8,25.8,54,1.9
1961,5,64,35.7,26.9,74,2
1961,6,68,34.7,26.3,74,2.1
1961,7,42,33.7,25.9,47,1.4
1961,8,142,33.8,25.6,140,1.3
1961,9,56,33.9,24.7,57,-1.1
1961,10,165,32.3,23.8,136,-1.4
1961,11,107,29.8,22.8,103,-1.7
1961,12,55,28.6,21.6,60,-2.1
1962,1,24,29,21.2,28,-2.6
1962,2,17,30.8,22.2,20,-2.8
1962,3,20,34.1,23.3,23,-2.9
1962,4,51,34.8,25.4,51,-2.8
1962,5,90,35.6,26.4,88,-1.8
1962,6,36,36.1,26.4,37,-2.1
1962,7,11,34.5,26.3,12,-2.8
1962,8,157,34,25.8,150,-2.3
1962,9,90,33.5,25.1,87,-2.4
1962,10,349,30.9,24.3,121,-0.9
1962,11,66,30.1,22.4,89,-1.4
1962,12,40,29.3,21.7,75,-1.8
1963,1,197,28.4,21.5,131,2.3
1963,2,6,31.2,21.3,65,2.8
1963,3,53,33.7,23.5,88,3.6
1963,4,77,34.7,25,101,3.9
1963,5,20,36.8,26.6,43,3.1
1963,6,92,35.9,27.1,102,3.6
