Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 10.7708 North,79.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,37,28.4,21.5,64,0
1958,2,2,29.1,22.9,39,0
1958,3,23,31.8,24.3,46,0.2
1958,4,35,33.5,26.1,47,0.1
1958,5,86,34.9,26.7,92,1.3
1958,6,9,36.6,26.8,16,0.7
1958,7,18,34.5,26.4,23,-1.1
1958,8,177,33.1,24.9,166,0.8
1958,9,36,33.8,24.9,39,-0.6
1958,10,172,30.7,24.2,132,-1
1958,11,230,29,23.2,103,-1.3
1958,12,59,28.3,21.9,75,-2
1959,1,28,28.8,21.4,57,-3
1959,2,41,30.1,22.6,63,-3
1959,3,0,32.5,22.8,27,-4.1
1959,4,99,34,25.9,109,-3.3
1959,5,52,35.9,26.7,61,-3.1
1959,6,65,35,26.1,70,-2.2
1959,7,10,33.8,26,16,-2.9
1959,8,67,34.4,25,69,-3.2
1959,9,45,33.5,25.2,47,-3.6
1959,10,212,31.3,24.6,131,-3.4
1959,11,323,28.8,22.9,102,-3
1959,12,122,27.7,21.5,110,-3.1
1960,1,15,28.1,21.3,68,-3.4
1960,2,17,28.7,22,64,-3.2
1960,3,3,31.6,23.3,67,-3.4
1960,4,47,33.4,25.6,79,-3.1
1960,5,31,35.3,25.8,59,-3.2
1960,6,18,36.3,26.4,35,-3.3
1960,7,181,33.9,26.1,154,-1.1
1960,8,39,34.7,25.5,55,-1.6
1960,9,46,32.5,24.9,55,-2
1960,10,137,31.3,24,131,-2.7
1960,11,587,28.5,22.5,100,-1.3
1960,12,54,28.1,21.6,90,-1.7
1961,1,304,27.7,22,117,3.5
1961,2,14,28.9,22.7,84,3.6
1961,3,3,32.1,23.3,99,3.5
1961,4,20,34.3,25.9,91,3.1
1961,5,37,35.2,26.8,90,2.8
1961,6,65,35.1,25.8,96,3.2
1961,7,47,33.5,25.6,67,2.3
1961,8,149,33.5,25.1,150,2.4
1961,9,65,33.4,24.5,73,1.6
1961,10,186,31.5,23.8,133,1
1961,11,198,28.8,22.6,108,-1.4
1961,12,152,27.2,21.4,111,-1.9
1962,1,30,27.4,20.9,66,-2.6
1962,2,11,28.7,22.4,49,-3.1
1962,3,18,31.5,23.1,57,-3.6
1962,4,20,33.3,25.6,40,-4.1
1962,5,65,34.9,26.1,75,-3.4
1962,6,21,36.3,25.7,30,-3.7
1962,7,19,34.4,26.1,25,-4.3
1962,8,122,33.6,25.2,121,-3.8
1962,9,73,33,24.9,74,-3.7
1962,10,375,30,24.2,114,-1.8
1962,11,148,29.2,22.3,115,-2
1962,12,93,28,21.6,102,-2.4
1963,1,338,26.8,21.2,113,3.4
1963,2,11,28.9,21.3,84,3.5
1963,3,56,31.2,23.3,112,4.4
1963,4,57,33.1,25,108,4.8
1963,5,24,36,26.3,93,4.8
1963,6,43,36.2,26.5,91,4.8
1963,7,111,34.8,26.1,127,5
1963,8,121,34.2,25.2,129,4.6
1963,9,66,34,25,79,3.8
1963,10,144,31.4,24,137,2.7
1963,11,361,28.6,23.1,105,2.5
1963,12,276,27.8,21.7,110,2.3
1964,1,3,28.9,20.3,80,1.6
1964,2,3,30.4,22.2,73,1.3
1964,3,14,32.4,23.9,83,1
1964,4,9,34.8,26,74,-1.6
1964,5,24,37.1,27.4,66,-2.1
1964,6,32,36.9,26.2,53,-2.1
1964,7,178,34.5,25.9,159,1.8
1964,8,113,33.8,24.8,120,1.8
1964,9,54,33.3,24.6,65,1.2
1964,10,181,32.1,23.9,136,0.6
1964,11,231,28.7,22.3,110,-1.2
1964,12,173,28.1,20.9,114,-1.6
1965,1,15,28.5,20.7,64,-2.3
1965,2,33,28.8,22.4,68,-2.3
1965,3,3,31.6,23.3,59,-2.9
1965,4,81,33.1,25.1,97,-2.2
1965,5,32,35.6,26.3,52,-2.4
1965,6,42,36.9,26,54,-2.2
1965,7,44,35.6,25.7,51,-2.5
1965,8,223,33.8,24.8,154,-0.8
1965,9,59,34.2,25.1,79,-0.7
1965,10,195,31.8,24.1,138,-0.9
1965,11,205,29.2,23.2,106,-1.2
1965,12,525,27.4,22.3,107,1.4
1966,1,44,28.3,22,91,1.3
1966,2,8,30,22.8,80,1.3
1966,3,19,32.3,24,95,1.3
1966,4,42,34.2,25.6,94,1.4
1966,5,22,36.6,26.7,83,0.7
1966,6,62,36.3,25.6,88,1.3
1966,7,42,34.7,26.2,57,0.9
1966,8,255,34.7,25.3,153,2.7
1966,9,106,33.2,24.9,115,3.3
1966,10,390,30.9,23.6,125,4.7
1966,11,284,29.4,23.1,108,4.7
1966,12,228,27.7,21.8,112,4.4
1967,1,130,28.3,20.6,120,5.1
1967,2,2,29.7,20.9,83,4.8
1967,3,21,31.8,23,97,4.8
1967,4,43,34.5,25.4,103,4.8
1967,5,32,35.8,26.6,88,4.5
1967,6,58,35.8,26.1,91,4.8
1967,7,48,34.6,25.5,74,4.1
1967,8,74,33.9,24.5,88,3.2
1967,9,46,33.5,24.8,55,2.2
1967,10,284,30.4,23.7,122,2.6
1967,11,378,28.5,21.5,114,2.8
1967,12,481,27.6,22,102,3.8
1968,1,13,28,20.9,83,3.1
1968,2,8,29.5,21.7,75,2.8
1968,3,38,31.3,23.6,94,2.9
1968,4,162,32.9,24.9,155,4.9
1968,5,19,35.9,26.5,90,4.7
1968,6,19,36.1,26.4,69,4.2
1968,7,35,34.2,26.2,58,3.2
1968,8,75,34.8,25.3,87,2.4
1968,9,72,33.4,25.1,79,2
1968,10,131,31.6,24,126,0.9
1968,11,288,28.4,22.9,106,-1.9
1968,12,157,27.6,21.6,109,-2.2
1969,1,4,28,20.6,60,-3.1
1969,2,23,29.4,21.9,60,-3.2
1969,3,0,32.7,23.8,54,-3.8
1969,4,10,34.4,25.8,38,-4.3
1969,5,28,35.9,26.4,43,-4.5
1969,6,11,36.8,26.5,21,-4.8
1969,7,25,34.7,25.9,32,-5.1
1969,8,137,34,25.2,134,-4.3
1969,9,10,34.2,25,15,-5.1
1969,10,280,31,23.9,119,-4
1969,11,342,29.4,23,107,-3.3
1969,12,307,26.8,22.2,99,-2.4
1970,1,45,28,21.3,90,-2.1
1970,2,29,29.6,22.4,85,-1.3
1970,3,6,32.3,23.8,87,-1.1
1970,4,80,33.6,26.2,109,2.4
1970,5,59,35.6,27,106,2.9
1970,6,44,35.9,26.4,84,3.1
1970,7,54,34.8,25.9,80,2.6
1970,8,96,33.5,24.8,107,2.1
1970,9,44,33.5,24.8,54,1.3
1970,10,176,31,24,136,0.6
1970,11,484,28,23.4,105,1.3
1970,12,55,27.4,20,95,0.6
1971,1,57,27.6,21.1,85,0.6
1971,2,32,29.6,21.7,83,1
1971,3,60,31.4,23,108,1.8
1971,4,55,34.1,25.1,104,2.3
1971,5,77,35.7,26.5,112,3.2
1971,6,22,34.8,25.9,73,2.9
1971,7,34,34.5,25.7,58,2.1
1971,8,147,33.7,24.4,146,2.4
1971,9,75,33,24.7,85,2
1971,10,199,31.1,23.6,135,1.5
1971,11,127,29,21.8,111,-1.2
1971,12,391,26.3,21,100,-0.8
1972,1,5,27.8,19.9,79,-1.2
1972,2,0,29.3,21.1,69,-1.4
1972,3,0,32,21.7,74,-1.7
1972,4,12,34.1,25.5,67,-2.2
1972,5,164,34.8,26.2,161,2.2
1972,6,40,37.2,26.5,69,2.2
1972,7,46,35.4,26,61,1.6
1972,8,27,35.2,25.1,38,-1.5
1972,9,131,33.9,25.6,128,-0.7
1972,10,307,30.8,23.9,120,1.4
1972,11,208,29.3,22.8,114,1.1
1972,12,383,27.9,22.7,105,1.6
1973,1,0,29.6,20.4,75,0.9
1973,2,1,30.8,22.5,73,0.6
1973,3,2,32.8,23.5,81,-0.4
1973,4,9,34.8,26.3,68,-1.4
1973,5,27,37,26.7,67,-1.8
1973,6,43,36.4,26.5,64,-1.5
1973,7,58,34.9,26.7,69,-1.6
1973,8,82,33.5,24.8,88,-1.7
1973,9,115,33.7,24.9,115,-1.1
1973,10,275,31.1,24.3,128,-0.6
1973,11,184,29.2,22.6,118,-1
1973,12,295,27,21.3,101,-0.8
1974,1,2,28.1,20,73,-1.1
1974,2,28,30,20.7,81,-0.7
1974,3,17,32.2,22.8,89,0.1
1974,4,18,34.5,25.8,76,-0.2
1974,5,45,35.6,25.7,85,0.1
1974,6,30,36.6,25.9,58,-0.1
1974,7,46,35.2,25.7,61,-0.6
1974,8,48,34.3,24.8,57,-1.3
1974,9,87,33,24.5,91,-1.1
1974,10,142,31.8,23.5,128,-1.8
1974,11,47,29.6,22,53,-2.9
1974,12,92,28.5,20.4,89,-3.6
1975,1,17,28.3,20.1,22,-5.3
1975,2,2,30.1,22.2,6,-6.6
1975,3,44,31.6,23.5,46,-6.9
1975,4,8,34.7,25.5,11,-7.4
1975,5,29,36.3,26.6,30,-7.4
1975,6,7,35.7,26.2,9,-7.8
1975,7,168,34.5,25.2,161,-5.7
1975,8,201,33.7,25.4,173,-4.2
1975,9,70,32.8,24.5,71,-3.7
1975,10,177,31,24,150,-4
1975,11,327,28.4,22.5,115,-3.7
1975,12,158,27.4,20.3,113,-3.8
1976,1,2,27.4,20,60,-4.4
1976,2,0,28.6,20.7,50,-4.6
1976,3,11,32.1,22.2,62,-4.7
1976,4,49,33.9,25.3,79,-4.5
1976,5,30,36.7,27,49,-4.7
1976,6,31,37.1,26.1,43,-4.6
1976,7,53,35.1,25.7,60,-4.4
1976,8,112,34.1,24.7,114,-4
1976,9,46,33.7,25.2,49,-4.1
1976,10,151,31.5,24.2,137,-4.5
1976,11,431,28.4,24,113,-3.7
1976,12,148,27.9,21.6,110,-3.6
1977,1,8,29,19.9,75,-3.8
1977,2,54,29.5,22.3,90,-2.6
1977,3,27,32.1,23.2,88,-2.1
1977,4,44,33.9,26.2,89,-1.6
1977,5,75,35,26.5,109,-0.8
1977,6,46,36.4,26.5,75,1.9
1977,7,67,35.4,26.1,82,1.7
1977,8,140,34.5,24.7,139,1.8
1977,9,44,34.4,25.2,52,1
1977,10,483,30.1,24.2,122,3.2
1977,11,626,28.9,23.8,97,5.1
1977,12,56,28.1,21.6,88,4.1
1978,1,2,28.7,21.2,74,3
1978,2,11,29.5,22.9,70,2.5
1978,3,1,32,23.6,71,1.8
1978,4,28,34.2,26.6,76,1.3
1978,5,25,36.3,26.9,66,0.7
1978,6,14,36,26.4,35,-2.3
1978,7,64,34.5,26,75,-2.1
1978,8,80,33.5,25.4,85,-2.3
1978,9,102,33.5,25.1,103,-1.8
1978,10,191,31.3,24.4,108,-1.8
1978,11,474,29.4,23.1,102,-0.8
1978,12,470,26.8,23.3,116,2
1979,1,2,28.2,22.2,76,1.3
1979,2,60,29.6,23.9,94,2.2
1979,3,25,31.5,24.3,96,2.3
1979,4,9,34.6,26.9,80,1.8
1979,5,10,35.8,27.2,68,1
1979,6,43,36.5,27.2,69,0.9
1979,7,39,34.8,26.6,54,-1.3
1979,8,63,34.5,25.9,71,-1.8
1979,9,131,32.7,25.4,127,-0.9
1979,10,221,31.4,24,138,-1
1979,11,573,28.1,24.1,91,1.8
1979,12,168,27.9,22.9,106,1.5
1980,1,3,29.1,21.1,80,0.9
1980,2,0,29.9,22.5,75,-0.3
1980,3,3,32,24.3,79,-1
1980,4,47,34.2,26.9,88,-0.8
1980,5,29,37,27.8,75,-1.1
1980,6,28,36.3,26.8,52,-1.3
1980,7,39,35.4,26.2,53,-1.8
1980,8,62,34.4,25.2,69,-2.4
1980,9,46,34.2,25.5,51,-2.8
1980,10,169,31.7,24.6,135,-3.1
1980,11,310,29.4,23.5,107,-2.9
1980,12,172,28.5,22.5,111,-3
1981,1,45,27.7,21.9,82,-3
1981,2,3,29.5,21.9,64,-3.1
1981,3,14,32.2,24.1,73,-3.1
1981,4,12,34.4,26.7,60,-3.5
1981,5,77,36.2,27.2,97,-2.7
1981,6,30,35.7,27,44,-2.9
1981,7,129,35.2,26.3,132,-1.8
1981,8,75,34.3,25,79,-2.1
1981,9,128,32.8,25.3,125,-1.3
1981,10,316,30.9,24.9,124,1.6
1981,11,278,29,23.3,114,1.5
1981,12,151,27.4,21.9,112,1.1
1982,1,1,28.4,21,72,-0.5
1982,2,0,29.6,22.2,70,-0.9
1982,3,7,32.1,24,79,-1.1
1982,4,34,34.6,26.7,82,-1.1
1982,5,18,35.7,27.3,59,-1.5
1982,6,24,36.3,26.6,45,-1.8
1982,7,36,35.5,26.2,49,-2.3
1982,8,36,35,25.6,44,-3.2
1982,9,55,34.7,25.4,60,-3.5
1982,10,145,31.9,24.3,131,-3.9
1982,11,388,28.7,23.9,105,-3.3
1982,12,128,27.7,22.1,111,-3.4
1983,1,2,28.7,21.2,66,-3.9
1983,2,0,30.7,23.3,61,-4.1
1983,3,0,32.8,23.9,65,-4.4
1983,4,4,35.3,26.5,43,-5
1983,5,49,36.7,27.8,68,-4.7
1983,6,31,37.4,27.1,44,-4.5
1983,7,60,35.8,26.7,66,-4.3
1983,8,152,34.3,25.7,148,-3.4
1983,9,96,33.4,24.8,97,-3
1983,10,126,31.9,24.3,122,-3.7
1983,11,184,29.8,22.5,119,-4.1
1983,12,831,27.5,21.6,94,-1.5
1984,1,170,26.9,22.9,99,3.6
1984,2,70,29,21.2,91,4.8
1984,3,81,30.3,24.3,118,6.4
1984,4,65,33.4,26.1,113,7.2
1984,5,5,36.9,26.9,104,7.2
1984,6,9,36.4,26.3,86,6.7
1984,7,177,34.5,24.9,171,7.9
1984,8,70,35.2,25,99,6.6
1984,9,92,33.6,24.6,101,6.1
1984,10,130,31.7,23.6,127,4.6
1984,11,232,29,22.6,108,3.6
1984,12,154,28.4,21.5,111,2.7
1985,1,206,28,22.3,110,3.7
1985,2,23,30,22.4,76,3.6
1985,3,10,32.6,24,81,3.1
1985,4,43,34.8,26.9,91,2.8
1985,5,19,36.9,27.1,59,1.9
1985,6,18,35.6,25.7,39,1.1
1985,7,95,34.8,25.3,104,1.4
1985,8,158,34.5,24.7,153,1.8
1985,9,130,34,24.7,129,2.2
1985,10,147,31.9,23.9,140,1.1
1985,11,332,28.4,22.6,110,0.9
1985,12,172,27.8,22.3,111,-1.1
1986,1,143,27.3,21.6,106,0.9
1986,2,36,29.2,22.3,80,1.5
1986,3,17,31.3,24.1,87,1.7
1986,4,18,34.6,25.8,80,1.4
1986,5,25,37,27,77,1
1986,6,15,36.9,26.8,40,-0.5
1986,7,84,36,26.5,96,0.1
1986,8,38,34.1,25.2,47,-1.5
1986,9,90,34,25.5,93,-1.5
1986,10,240,31.9,23.7,134,-1.2
1986,11,210,29.7,22.8,120,-1.5
1986,12,211,27.8,23.2,109,-1.6
1987,1,28,28.9,21.7,77,-2
1987,2,1,29.6,21.6,63,-2.4
1987,3,18,32.3,24.1,74,-2.5
1987,4,24,34.5,26.6,66,-2.8
1987,5,48,36.2,27.1,69,-2.6
1987,6,30,38,26.7,43,-2.7
1987,7,12,36.1,26.9,21,-3.6
1987,8,48,35.3,25.2,53,-4.1
1987,9,67,34.9,25.5,69,-4.1
1987,10,331,31.7,24.4,125,-2.7
1987,11,183,30,23.7,116,-2.7
1987,12,362,27.6,23.2,102,-1.9
1988,1,2,28.8,21.6,77,-2.2
1988,2,10,30.7,22.7,79,-2
1988,3,19,32.9,25.2,87,-1.8
1988,4,83,33.6,26.5,106,-0.7
