Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 8.7708 North,77.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,50,30.4,22.5,55,0.8
1958,2,78,31.6,23.5,79,1.4
1958,3,130,34.4,25.2,126,2.2
1958,4,101,34.4,26.4,98,2.7
1958,5,103,34.7,27.5,99,3.5
1958,6,25,34.7,27.3,25,3
1958,7,15,33.6,27.3,16,2.3
1958,8,29,33.5,27,29,2.6
1958,9,7,35.2,26.7,7,1.6
1958,10,130,32.5,25.7,124,0.9
1958,11,142,30.1,23.6,96,-1.6
1958,12,13,30.2,22.4,28,-2.7
1959,1,10,30.9,22.5,17,-3.7
1959,2,81,32.4,23,81,-2.8
1959,3,11,35.2,23.8,14,-3.5
1959,4,92,34.8,26.1,89,-3
1959,5,79,35.5,27.3,77,-2
1959,6,34,33.8,27.2,34,-1.7
1959,7,34,32.9,26.9,33,-1.4
1959,8,14,34.6,26.9,14,-1.3
1959,9,39,34.8,26.9,38,-1.2
1959,10,149,32.8,25.9,138,-1.4
1959,11,177,30,23.5,102,-1.4
1959,12,76,29.6,22,95,-1.7
1960,1,31,30.2,22.4,51,-2.1
1960,2,38,31.4,22.8,45,-2
1960,3,46,34.1,24.2,49,-2.1
1960,4,125,34.1,25.7,122,-1
1960,5,100,34.4,25.7,97,1.8
1960,6,12,34.8,27.2,13,1
1960,7,62,32.9,27,61,2
1960,8,9,34.7,27.2,10,1.5
1960,9,33,33.8,26.6,32,1.2
1960,10,156,32.7,25.2,141,0.8
1960,11,413,29.4,22.7,87,3
1960,12,29,30,22.2,86,2
1961,1,174,29.6,22.9,126,3.1
1961,2,85,31.3,23.2,101,4.2
1961,3,27,35,24.5,63,3.4
1961,4,61,35.2,26.2,70,2.7
1961,5,85,34.8,27.4,87,3.1
1961,6,81,33.6,26.7,81,4.2
1961,7,49,32.7,26.6,49,4.4
1961,8,18,33.8,27.1,19,4
1961,9,18,34.8,26.3,19,3
1961,10,128,33.1,25.2,123,2
1961,11,140,30.3,23.4,112,1.3
1961,12,56,29.4,22.3,61,-2.3
1962,1,118,29.7,22.2,117,-2
1962,2,94,31.3,23.1,93,-1.2
1962,3,57,34.2,24.1,57,-1.3
1962,4,93,34.1,25.8,90,-0.9
1962,5,98,34.8,27,94,1.4
1962,6,33,35.3,27.1,32,1.1
1962,7,28,33.4,26.9,27,0.8
1962,8,24,34.1,27.4,23,0.9
1962,9,51,34.4,26.7,49,1.1
1962,10,271,31.8,25.7,139,1.9
1962,11,53,30.5,23,93,0.9
1962,12,88,30,22.2,104,-1.1
1963,1,188,29,22.4,124,1.5
1963,2,41,31.7,22.2,98,2.2
1963,3,124,33.8,24.2,129,2.9
1963,4,75,34.3,25.6,81,2.6
1963,5,29,36.1,27.3,33,2
1963,6,48,34.8,27.5,49,2.3
1963,7,43,33.7,26.8,43,2.5
1963,8,16,34.6,27.3,17,2.2
1963,9,33,35.2,26.6,33,1.9
1963,10,128,33,25.3,123,1.1
1963,11,228,29.7,23.6,102,1.1
1963,12,140,29.9,22.4,118,1.4
1964,1,12,31,21.4,85,1.3
1964,2,12,32.8,22.7,24,0.6
1964,3,130,34.9,24.7,130,1.4
1964,4,44,35.6,26.2,46,0.6
1964,5,16,36.7,27.9,18,-1.4
1964,6,15,35.6,27.2,16,-1.9
1964,7,74,33.3,26.5,72,1.4
1964,8,17,34.2,26.9,18,1.3
1964,9,38,34.6,26.4,38,1.2
1964,10,204,33.4,24.9,153,1.1
1964,11,149,29.9,22.8,107,0.7
1964,12,53,30.2,21.5,90,-0.6
1965,1,11,30.7,21.9,26,-1.9
1965,2,29,31.5,23.2,34,-2
1965,3,28,34.2,24.2,31,-2.5
1965,4,78,34.3,25.7,78,-2.2
1965,5,43,35.3,27,43,-2.2
1965,6,23,35.3,26.7,23,-2.2
1965,7,13,34.7,26.6,14,-2.6
1965,8,16,34.3,27,16,-2.3
1965,9,26,35.6,26.9,26,-2.4
1965,10,164,33.3,25.4,136,-2.3
1965,11,150,30.4,23.9,103,-2.4
1965,12,314,29.2,22.8,114,2.1
1966,1,34,30.2,22.9,91,2.3
1966,2,24,32.6,23.5,45,1.8
1966,3,56,34.8,24.8,62,1.4
1966,4,59,35.1,25.9,61,0.9
1966,5,8,36.4,27.5,11,-1.7
1966,6,46,34.8,26.5,46,-1.1
1966,7,16,33.8,27.1,17,-1.3
1966,8,21,35.1,27.4,21,-1
1966,9,61,34.7,26.8,59,0.6
1966,10,246,32.6,25.1,133,1.5
1966,11,208,30.5,23.6,102,2
1966,12,134,29.7,22.5,113,2.1
1967,1,44,30.3,21.6,92,2.4
1967,2,3,32.2,21.5,32,1.8
1967,3,105,34.6,24.1,110,2.1
1967,4,33,35.5,25.8,37,1.1
1967,5,80,35.6,27.4,79,1.6
1967,6,56,34.4,27.1,56,2.1
1967,7,20,33.7,26.4,21,1.6
1967,8,15,34.3,26.6,16,1.3
1967,9,23,34.9,26.6,23,0.8
1967,10,276,32.1,25.1,138,1.7
1967,11,99,29.9,22.2,106,1.1
1967,12,106,29.5,22.5,110,1.1
1968,1,20,30.1,22,73,1.1
