Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 12.2292 North,79.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,35,29.2,19.4,81,0
1958,2,2,31.2,20.5,59,-0.7
1958,3,5,34.4,22.5,39,-1
1958,4,52,35.4,25.1,66,0.5
1958,5,137,36.1,26,138,1.6
1958,6,43,36.6,26.6,49,1.1
1958,7,33,33.7,25,37,-1.3
1958,8,255,32.8,24.2,161,1.1
1958,9,105,33.3,23.5,116,-0.5
1958,10,255,30.7,23.1,122,0.8
1958,11,157,29.3,21.6,100,0.9
1958,12,23,28.6,19.6,79,-0.4
1959,1,1,29.6,19.4,66,-0.6
1959,2,40,32.1,20.1,74,0.6
1959,3,0,35.1,21,36,-0.4
1959,4,50,35.9,24.9,65,0.7
1959,5,99,37.2,26,104,0.9
1959,6,55,34.6,25.5,60,1
1959,7,46,33,24.6,49,-0.8
1959,8,91,33.9,24.1,90,-1.5
1959,9,138,33,23.8,133,-1.7
1959,10,184,31.3,23.5,127,-2.1
1959,11,200,29.1,21.3,106,-1.5
1959,12,27,28.2,19.4,64,-2.1
1960,1,13,29,19.4,52,-2.4
1960,2,0,30.6,19.4,22,-2.8
1960,3,3,34.2,21.5,15,-3
1960,4,17,35.4,24.7,24,-3
1960,5,39,37.3,25.7,43,-3.5
1960,6,79,35.9,25.7,79,-2.6
1960,7,159,33.4,25,142,-1.4
1960,8,104,34.4,24.8,104,-1.8
1960,9,163,32.1,23.6,143,-1.7
1960,10,135,31.4,23,129,-2.4
1960,11,298,28.8,20.9,98,-0.9
1960,12,21,28.5,19.5,73,-1.3
1961,1,118,28.5,19.9,116,2
1961,2,31,30.9,20.2,74,2.7
1961,3,0,35,21.8,48,2.5
1961,4,5,36.3,25,25,1.9
1961,5,78,36.3,26,86,1.7
1961,6,85,34.6,25.1,88,2.2
1961,7,109,32.8,24.3,109,1.9
1961,8,213,33,24.2,179,2.1
1961,9,172,32.8,23,162,1.9
1961,10,185,31.5,22.6,122,1.4
1961,11,72,29,20.9,80,-0.7
1961,12,25,27.6,19.3,52,-1.9
1962,1,12,28.1,18.7,29,-2.6
1962,2,10,30.5,19.8,20,-2.9
1962,3,11,34.1,21.2,17,-3.1
1962,4,40,35.1,24.5,43,-2.6
1962,5,168,36,25.3,161,-0.7
1962,6,64,35.8,25,65,1.8
1962,7,54,33.7,24.9,55,0.8
1962,8,202,33.1,24.3,161,1.2
1962,9,174,32.5,23.4,152,1.2
1962,10,285,30.1,23.1,114,1.8
1962,11,38,29.4,20.6,77,0.7
1962,12,81,28.4,19.4,96,0.7
1963,1,118,27.5,19.1,116,2.1
1963,2,0,30.5,18.4,60,2.3
1963,3,39,33.8,21.4,69,2.7
1963,4,38,34.9,23.9,53,2.8
1963,5,50,37.3,25.6,57,2
1963,6,65,35.6,25.7,68,1.9
1963,7,111,34.2,24.9,111,1.7
1963,8,157,33.6,24.2,151,1.5
1963,9,170,33.6,23.7,142,1.4
1963,10,215,31.5,22.9,128,1.1
1963,11,141,29,21.6,106,0.9
1963,12,106,28.3,19.7,106,1.2
1964,1,0,29.6,18.2,52,0.6
1964,2,0,32.2,19.5,29,-0.4
1964,3,2,35,22.1,17,-1.2
1964,4,3,36.8,25.1,12,-1.8
1964,5,57,38.4,26.8,60,-2
1964,6,23,36.5,25.5,27,-2.5
1964,7,207,33.9,24.8,140,-0.7
1964,8,139,33.2,23.8,139,1.6
1964,9,134,32.5,22.9,133,1.1
1964,10,251,32.2,22.8,130,1.2
1964,11,301,28.6,20.4,107,2.7
1964,12,35,28.5,18.6,87,2.2
1965,1,14,29.1,18.5,76,2
1965,2,15,30.6,19.7,67,2.1
1965,3,2,34.1,21.4,40,1.6
1965,4,66,34.8,23.9,80,2.3
1965,5,36,37,25.7,45,1.4
1965,6,43,36.6,25.4,49,1
1965,7,74,34.7,24.2,76,-1.3
1965,8,267,33.2,23.8,142,1.3
1965,9,113,33.6,23.6,123,0.9
1965,10,88,32.1,23.2,105,-1.4
1965,11,104,29.5,21.7,102,-1.8
1965,12,174,28.1,20.4,109,-0.7
1966,1,40,29.2,20,75,0.2
1966,2,2,31.8,20.1,45,-0.2
1966,3,5,35,22.3,25,-0.6
1966,4,12,36.2,24.7,23,-1
1966,5,133,37.8,26,134,0.8
1966,6,68,35.9,25.1,70,1.1
1966,7,91,34.1,25,91,1
1966,8,230,34.3,24.5,140,1.8
1966,9,197,32.6,23.4,143,2.3
1966,10,311,30.9,22.5,128,3.2
1966,11,307,29.7,21.6,103,4.9
1966,12,93,28.1,19.7,105,4.9
1967,1,165,29.1,18.5,117,7.2
1967,2,0,31.5,18.2,80,7.4
1967,3,41,34.2,21,102,8.7
1967,4,21,36.4,24.4,74,8.3
1967,5,91,37.1,26,108,7.8
1967,6,55,35.5,25.6,65,7.3
1967,7,137,33.7,24,132,7.2
1967,8,125,33.3,23.5,126,6.1
1967,9,92,32.9,23.3,93,4.6
