Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.8542 North,91.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,9,26.2,11.4,42,-0.1
1958,2,53,26.9,13,66,0.8
1958,3,38,32.7,17.5,72,-0.4
1958,4,140,33.5,21.9,136,-0.1
1958,5,237,31.7,23.2,131,-0.7
1958,6,268,31.9,24,124,-0.7
1958,7,315,31,23.7,114,-1.2
1958,8,403,29.8,23.5,99,0.6
1958,9,236,31.1,24.1,99,0.6
1958,10,258,30.3,22.5,100,1
1958,11,5,28.5,16.3,54,-0.6
1958,12,4,25.6,12.6,41,-0.7
1959,1,43,24.5,10.7,56,0.9
1959,2,43,26.3,12.1,60,1.4
1959,3,165,30.9,17.4,121,2.8
1959,4,122,33,21.7,126,2.5
1959,5,416,31.5,22.4,127,3.4
1959,6,506,30.4,23.5,115,3.1
1959,7,359,30.5,23.6,111,2.7
1959,8,406,29.9,23.6,112,3
1959,9,260,29.6,23.4,92,3.2
1959,10,396,28.7,21.5,87,4.3
1959,11,0,27.3,15,54,3.1
1959,12,2,26.1,11.5,39,2.5
1960,1,0,25.2,9.7,35,1.8
1960,2,1,29.6,13.4,35,0.9
1960,3,62,30.9,16.3,80,-1.9
1960,4,40,34.6,22.2,59,-2.8
1960,5,220,33.1,23.4,143,-2.9
1960,6,547,30.8,23.8,116,-2.6
1960,7,463,29.3,23.5,102,-1.5
1960,8,238,30.7,23.9,110,-1.9
1960,9,330,30.7,23.6,97,1.6
1960,10,182,30.1,21.7,107,1.2
1960,11,42,27.2,15.6,67,1.3
1960,12,0,26,12.2,41,1.1
1961,1,4,26,10.9,38,0.8
1961,2,12,25.7,11.6,44,-0.2
1961,3,39,31.2,19.9,72,-0.9
1961,4,97,33.5,22.2,109,-1.3
1961,5,142,31.9,23.1,131,-1.9
1961,6,1204,30.2,23.5,121,-1.4
1961,7,234,30.2,23.7,115,-2.5
1961,8,436,30.4,23.9,112,-1.5
1961,9,171,30.6,23.6,108,-2.2
1961,10,166,29.9,22,105,-2.3
1961,11,7,27.2,15,53,-2.6
1961,12,0,24.4,9.5,39,-2.6
1962,1,24,24.2,8.2,46,-2
1962,2,40,27.4,12.5,56,-1.3
1962,3,7,32.6,16.9,55,-2
1962,4,105,33.4,21.8,113,-2.3
1962,5,228,31.9,22.3,134,-2.3
1962,6,450,30.2,23.3,108,-2.2
1962,7,412,31.1,23.9,124,-1.7
1962,8,299,29.7,23.7,105,-1.6
1962,9,128,31.7,23.9,105,-2.9
1962,10,230,29.8,21.6,108,-2.5
1962,11,0,27.4,15,52,-2.9
1962,12,0,25.6,11.2,37,-2.9
1963,1,0,25.5,8.7,35,-3.1
1963,2,3,29.3,13.4,38,-3.4
1963,3,46,32,17.3,70,-3.6
1963,4,83,32.3,20.4,95,-3.9
1963,5,132,30.4,22,128,-4.3
1963,6,384,29.8,23.7,106,-4
