Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.2292 North,91.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,3,26.7,13.1,40,-0.2
1958,2,25,27.7,14.5,52,0.3
1958,3,41,32.7,18.9,73,-0.3
1958,4,85,33.5,23.2,99,-0.8
1958,5,224,32.5,24.9,138,-0.9
1958,6,300,32,25.3,129,-0.8
1958,7,324,31,24.6,116,-1.4
1958,8,545,30.5,24.6,106,-1
1958,9,272,31.6,24.9,105,-0.7
1958,10,225,30.8,23.5,102,0.3
1958,11,2,28.8,17.9,55,-0.7
1958,12,1,25.6,14,41,-0.8
1959,1,39,25,12.5,54,1
1959,2,37,26.8,13.8,59,1.7
1959,3,149,31.1,18.8,123,3.2
1959,4,49,32.9,23,88,2.3
1959,5,301,32.3,24.1,133,2.6
1959,6,535,30.7,24.6,119,2.4
1959,7,502,30.5,24.5,115,2.3
1959,8,683,30.3,24.6,113,2.7
1959,9,321,30,24.5,95,3.4
1959,10,380,29.2,22.5,89,4.8
1959,11,0,27.4,16.4,55,3.6
1959,12,1,26,12.8,41,3
1960,1,0,25.3,11.4,37,2.3
1960,2,1,30,14.9,39,1.4
1960,3,57,31.1,17.6,79,1.1
1960,4,15,34.2,23.6,44,-3
1960,5,230,33.5,25,148,-2.9
1960,6,485,31.1,25,122,-2.6
1960,7,655,29.5,24.4,105,-1.4
1960,8,402,31,25,114,-1.5
1960,9,377,31.1,24.8,99,2.3
1960,10,195,30.4,22.8,109,2.1
1960,11,45,27.4,16.9,71,2.1
1960,12,0,25.9,13.6,43,2.1
1961,1,5,26,12.5,40,1.8
1961,2,13,26,13.2,48,1.6
1961,3,28,31.6,21.4,69,1
1961,4,99,33.5,23.3,112,-0.4
1961,5,151,32.6,24.7,134,-1.5
1961,6,2106,30.5,24.4,122,-1.3
1961,7,253,30.1,24.6,114,-2.3
1961,8,744,30.7,24.9,112,-1.2
1961,9,189,30.8,24.7,109,-2.1
1961,10,177,30.2,22.9,107,-2
1961,11,2,27.3,16.3,53,-2.5
1961,12,0,24.2,10.8,41,-2.4
1962,1,16,24.4,9.8,44,-2
1962,2,25,28,14.2,50,-1.4
1962,3,7,32.7,18.2,55,-2.1
1962,4,96,33.1,23,106,-2.4
1962,5,277,32.6,23.6,138,-1.9
1962,6,430,30.3,24.3,106,-1.7
1962,7,556,31.3,24.9,125,-1.1
1962,8,418,30.2,24.7,111,-1.2
1962,9,185,31.9,24.9,108,-2.1
1962,10,264,30,22.7,112,-1.3
1962,11,0,27.8,16.4,54,-1.9
1962,12,0,25.5,12.4,40,-1.9
1963,1,0,25.6,10.4,37,-2.1
1963,2,1,29.8,15.3,40,-2.6
1963,3,37,32,18.7,67,-2.8
1963,4,78,32.1,21.7,93,-3.2
1963,5,243,31.2,23.6,143,-3
1963,6,409,30,24.8,109,-2.7
1963,7,607,30.1,24.8,107,-1.7
1963,8,324,30.8,25,115,-2
1963,9,170,31.9,24.9,116,-3.1
1963,10,333,29.8,22.7,102,-1.6
1963,11,3,28.1,17.2,56,-2.1
1963,12,0,25.7,13.3,42,-2.1
1964,1,16,24.6,11.6,43,-1.7
1964,2,31,28.2,15,57,-1.1
1964,3,22,32.5,20.8,63,-1.6
1964,4,178,31.4,22.6,141,-1
1964,5,180,32.3,23.9,141,-1.2
1964,6,836,30.6,24.4,117,-1.1
1964,7,518,29.2,24.1,110,-0.7
1964,8,438,30.8,24.8,123,-0.8
1964,9,303,31.3,25.2,105,0.6
1964,10,396,30,23.7,107,2.4
1964,11,39,28.2,18.7,70,2.2
1964,12,0,25.9,13.7,44,2.1
1965,1,0,25.5,12.1,39,1.6
1965,2,47,27.7,14.3,63,2.5
1965,3,29,30.9,17.9,68,1.9
1965,4,18,32.3,22.4,58,-1.6
1965,5,165,32.6,24.7,145,-2.1
1965,6,559,30.1,24.5,112,-1.9
1965,7,678,29.6,24.2,116,-0.7
1965,8,702,29.4,24.2,114,1.6
1965,9,228,30.9,24.7,109,1
1965,10,113,30.2,22.7,107,-1.1
1965,11,39,28.6,17.7,71,-0.9
1965,12,4,25.6,14.4,46,-0.6
1966,1,15,24.8,13.2,46,0.3
1966,2,0,29.7,15.7,42,-0.4
1966,3,65,31.5,19.1,88,0.1
1966,4,50,33.6,23.1,82,-1.2
1966,5,141,33.4,24.9,139,-2.1
1966,6,510,29.2,24.5,102,-1.9
1966,7,319,30.7,24.7,116,-2.4
1966,8,562,30.2,24.9,108,-1.9
1966,9,443,30.8,24.8,114,2.7
1966,10,280,29.4,21.8,118,3.1
1966,11,15,28.4,18.8,62,2.3
1966,12,10,24.7,13.7,45,2.4
1967,1,48,24.8,13.2,60,3.5
1967,2,1,28.1,15.2,46,2.9
1967,3,125,29.7,19,120,3.8
1967,4,153,32.3,21.4,141,3.8
1967,5,139,32.3,24.3,137,2.8
1967,6,305,30.9,24.3,127,2.5
1967,7,492,30.5,24.6,112,2.4
1967,8,509,30.8,24.7,118,2.2
1967,9,382,30.2,24.6,107,3.7
1967,10,218,29.7,22.2,112,3.5
1967,11,0,27.4,15.4,55,2.4
1967,12,0,25.9,12.9,40,2
1968,1,7,24.7,11.6,39,1.6
1968,2,8,26.9,13.6,40,1.1
1968,3,80,31.7,19,94,1.3
1968,4,76,32.2,22.1,95,0.6
1968,5,330,32.1,23.7,144,1.1
1968,6,1364,29.2,23.8,102,1
1968,7,373,30.2,24.6,112,-0.5
1968,8,526,30.5,24.5,115,0.2
1968,9,131,31.4,25,108,-2.4
1968,10,98,30.1,22.8,103,-2.9
1968,11,12,28.1,18,57,-3.1
1968,12,0,26,13,43,-2.9
1969,1,1,24.8,11.2,37,-3
1969,2,0,29,14.1,38,-3.3
1969,3,136,32,20,130,-1.9
1969,4,191,32.8,22.5,144,-1
1969,5,66,33.2,24.7,100,-2.2
1969,6,551,30.7,24.4,114,-1.9
1969,7,557,30.4,24.8,114,-1.3
1969,8,703,29.6,24.2,109,1.3
1969,9,267,31.5,25,114,1.1
1969,10,51,30.1,22.4,87,-1.1
1969,11,19,28,17.7,56,-1.4
1969,12,0,25.8,13,39,-1.7
1970,1,22,24.6,11.4,45,-1.3
1970,2,16,28,15,45,-1.3
1970,3,27,31.2,20,62,-1.8
1970,4,118,32.9,23.2,120,-1.8
1970,5,140,32.4,25,134,-2.5
1970,6,715,30.5,24.8,120,-2.2
1970,7,382,29.7,24.5,108,-2.4
1970,8,418,30.5,24.8,115,-2.3
1970,9,276,30.4,25.1,102,-1.8
1970,10,392,29.1,23,104,2
1970,11,91,27,18.3,84,3.1
1970,12,0,25.6,13,46,3.1
1971,1,13,24.6,12.5,46,3.2
1971,2,4,27.2,13.5,46,2.9
1971,3,2,32,17.7,60,1.8
1971,4,16,30.7,22,52,-1.9
1971,5,102,31.9,24,107,-2.9
1971,6,345,29.7,24.3,111,-2.6
1971,7,560,29,24.2,105,-2
1971,8,560,29.2,24,100,-1.5
1971,9,211,31.1,24.8,109,-2.1
1971,10,153,29.8,23.3,108,-2.2
1971,11,66,27.4,16.8,77,-1.2
1971,12,0,25.7,12.6,45,-0.8
1972,1,0,25.9,12,40,-0.8
1972,2,16,25.7,12.9,49,0.2
1972,3,19,31.2,19.2,64,-0.5
1972,4,97,31.6,21.7,109,-0.8
1972,5,115,32.5,25,122,-1.9
1972,6,351,31,24.3,132,-1.7
1972,7,340,30.9,24.8,123,-2.3
1972,8,518,29.9,24.3,122,-2
1972,9,179,31.7,24.7,121,-3.1
1972,10,76,30.5,22.4,102,-3.7
1972,11,1,28.7,17.9,53,-4.2
