Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.1875 North,78.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,11,23.6,9.2,29,-0.2
1958,2,5,26.2,10.4,15,-0.3
1958,3,7,33.2,16.9,13,-0.8
1958,4,1,39.7,23.6,5,-1
1958,5,1,41.7,27,5,-1.5
1958,6,15,42.2,29.5,16,-2.3
1958,7,404,33.8,27.5,135,1.9
1958,8,330,33.4,26.2,115,3.3
1958,9,303,31.5,25.7,128,4.8
1958,10,40,32.2,19.1,85,4.9
1958,11,2,28.9,12.3,42,4.8
1958,12,4,23.9,9.5,29,4.6
1959,1,29,22,7.5,40,4.6
1959,2,2,25.4,9.6,16,4
1959,3,2,34.3,16.1,10,3.2
1959,4,1,38.3,21.9,6,2.7
1959,5,51,40.8,26.6,52,3.5
1959,6,39,40.6,30.2,40,2.9
1959,7,236,33.9,27.1,145,2.7
1959,8,258,32.5,26.4,123,2.4
1959,9,125,32.3,26,122,1.8
1959,10,17,33,20.4,76,1.8
1959,11,6,29,11.7,41,1.9
1959,12,0,24.7,8.2,24,1.7
1960,1,8,21.7,6.7,22,1.3
1960,2,0,30.1,11.6,8,0.7
1960,3,64,31.3,15.8,66,2
1960,4,3,37.2,20.9,6,1.6
1960,5,14,41.9,26.6,16,1.3
1960,6,24,41.6,30.1,25,-0.7
1960,7,249,35,26.8,143,0.3
1960,8,458,32.2,26.3,116,2.6
1960,9,82,34.3,25.1,113,1.6
1960,10,101,33,18.4,107,3
1960,11,0,29.4,9.8,45,3.2
1960,12,8,24.2,8.1,28,3.2
1961,1,55,22,7.7,55,4.2
1961,2,29,23.5,9.1,46,4.7
1961,3,0,32.9,16.5,10,3.8
1961,4,5,37.6,21.1,11,3.5
1961,5,6,41.1,26.7,10,2.8
1961,6,60,39.8,28.8,60,2.6
1961,7,176,34.3,27.2,141,1.9
1961,8,540,32.3,26.1,119,4.3
1961,9,129,32.4,25.9,120,3.7
1961,10,68,31.9,18.7,101,4.4
1961,11,4,26.5,11.4,44,4.6
1961,12,3,21.4,5.4,26,4.4
1962,1,40,21.2,5.4,48,4.9
1962,2,3,26,10.9,23,4.6
1962,3,25,31.8,15.8,34,4.5
1962,4,3,38.5,22.1,9,4.1
1962,5,3,41.3,26.5,7,3.3
1962,6,21,41.8,29.3,23,2.1
1962,7,252,35.6,28,138,2.2
1962,8,240,33.5,26.1,122,1.9
1962,9,229,31.9,24.9,126,2.7
1962,10,0,32.7,17.4,69,2.2
1962,11,1,29.1,11.5,45,2.1
1962,12,4,23.1,8.2,22,1.8
1963,1,18,22.6,5.3,28,1.6
1963,2,3,28.4,11.3,10,1.1
1963,3,14,32,15.4,18,0.8
1963,4,6,36.7,21.3,9,0.7
1963,5,12,39.9,25.6,14,-0.1
1963,6,46,39.7,29,46,-0.9
1963,7,167,36.4,27.7,138,-1.3
1963,8,298,32.4,26.1,113,-1.3
1963,9,340,32.6,24.2,126,2.3
1963,10,3,34.1,19.7,75,1.9
1963,11,6,29.4,14.3,45,1.9
1963,12,10,24.2,7.1,27,1.9
1964,1,1,20.8,5.6,13,1.1
1964,2,0,25.9,10.4,8,-0.4
1964,3,4,34.5,17.2,8,-1.4
1964,4,1,38.9,22.7,4,-1.5
1964,5,25,40.1,24.9,27,-1.1
1964,6,14,40.7,29.6,16,-1.8
1964,7,414,33.8,26.6,137,2
1964,8,338,33.3,26.5,126,3.3
1964,9,288,32.1,24.8,122,4.7
1964,10,0,33.6,18.8,75,4
1964,11,0,29,9.9,34,3.6
1964,12,5,23.7,7.6,26,3.2
1965,1,4,24,8.8,15,2.2
1965,2,13,25.9,10.4,19,1.9
1965,3,7,31.7,15.1,12,1.3
1965,4,14,35.4,20.5,17,1.5
1965,5,4,40,26,6,0.9
1965,6,11,41.9,30.5,13,-2.1
1965,7,275,35.3,27.5,165,-1.6
1965,8,152,33.9,25.9,147,-2.5
1965,9,154,33.4,24.3,142,-2.3
1965,10,41,33.6,19.8,81,-1.8
1965,11,0,30.2,12.6,26,-1.7
1965,12,0,23.6,6.4,12,-1.8
1966,1,2,23.7,7.2,9,-2.3
1966,2,7,28.6,12.8,12,-2.4
1966,3,0,32.8,15.3,4,-2.7
1966,4,0,38.1,22.1,3,-2.7
1966,5,39,41.5,26.2,40,-1.8
1966,6,92,39.4,28.4,89,-0.9
1966,7,154,37.4,27.6,148,-1.7
1966,8,346,32.9,25.8,135,-1.6
1966,9,39,33.6,24.6,109,-2.7
1966,10,11,34.8,19.3,58,-3.3
1966,11,20,28.4,13.3,35,-3.2
1966,12,0,24.1,5.8,9,-3.5
1967,1,1,21.9,5.3,7,-3.8
1967,2,1,29.2,11.3,5,-4
1967,3,65,30.5,15.3,64,-2.3
1967,4,1,36.9,20.9,3,-2.4
1967,5,2,41.3,26.1,4,-2.7
1967,6,39,41.3,29.4,39,-2.9
1967,7,245,35,27,146,-2.4
1967,8,511,32,25.7,113,3
1967,9,176,32.3,24.1,125,3
1967,10,7,33.8,18.4,72,2.7
1967,11,2,28.6,12.3,37,2.5
1967,12,27,23.7,7.9,39,3.2
1968,1,43,20.7,6.8,47,3.8
1968,2,4,24.5,8.8,20,3.4
1968,3,15,32.6,15.1,23,3.1
1968,4,1,37.6,20.6,6,2.7
1968,5,2,40.6,25.5,6,2
1968,6,28,40.7,29,29,1.2
1968,7,284,34.9,26.3,134,1.8
1968,8,220,33.5,26,142,1.4
1968,9,50,35.8,24.6,110,-1.5
1968,10,36,33.6,18.6,69,-1.3
1968,11,0,30.4,11.1,28,-1.4
1968,12,1,24,7.9,15,-1.6
1969,1,11,22.1,7.5,19,-1.8
1969,2,11,26.1,11.7,15,-1.7
1969,3,6,36.7,16,9,-2
1969,4,1,37.2,22.2,4,-2
1969,5,23,39.8,25.5,24,-1.6
1969,6,26,41.6,30.1,26,-2.1
1969,7,310,35.4,26.5,142,-1
1969,8,233,33.4,26,125,-0.6
1969,9,161,33,25.1,122,1.1
1969,10,1,35,19.6,72,0.8
1969,11,3,31.4,12.5,37,0.8
1969,12,0,25.1,7.2,17,0.6
1970,1,46,22.4,7.8,51,1.3
1970,2,37,24.8,10,44,2.2
1970,3,23,31.2,15.8,30,2.3
1970,4,0,39.5,22.7,5,1.9
1970,5,33,41.6,27.2,35,2.2
1970,6,83,38.6,27.8,82,2.7
1970,7,130,36.4,27,125,1.3
1970,8,357,33.2,26.4,129,1.3
1970,9,188,32.9,25.4,127,1.7
1970,10,8,34.4,19.4,76,1.4
1970,11,0,29.8,10.4,37,1.3
1970,12,0,24.8,7.4,22,1.1
1971,1,25,21.2,6.6,32,1.2
1971,2,10,26.8,9.8,18,1.1
1971,3,2,32.8,15.1,8,-0.4
1971,4,6,38.6,21.9,9,0
1971,5,21,38.9,24.9,23,0.2
1971,6,154,36.9,27.7,147,2.4
1971,7,302,33.1,26.2,127,3.1
1971,8,241,32,25.3,120,3.2
1971,9,182,33.3,24.2,126,3.3
