Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.8958 North,78.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,23.1,9.5,18,-0.2
1958,2,3,25.2,9.9,7,-0.3
1958,3,7,32,16.4,10,-0.8
1958,4,1,39.1,22.8,2,-0.9
1958,5,1,42,27,3,-1.1
1958,6,10,42.1,29.1,11,-1.9
1958,7,398,33.7,27.3,139,2
1958,8,352,33.3,25.9,108,3.1
1958,9,341,31.8,25.5,129,4.7
1958,10,53,32.1,19.1,89,4.8
1958,11,2,28.5,12.3,39,4.9
1958,12,5,23.6,9.6,17,4.5
1959,1,24,21.6,7.8,29,4.4
1959,2,3,24.5,9.2,6,3.6
1959,3,3,32.9,15.5,6,2.9
1959,4,1,37.5,21.1,3,2.4
1959,5,18,40.9,26.7,19,2.7
1959,6,22,40.7,29.7,22,2.1
1959,7,233,33.8,27,152,1.8
1959,8,257,32.7,26.2,123,1.3
1959,9,148,32.5,25.8,126,0.7
1959,10,27,33,20.4,81,0.7
1959,11,6,28.6,11.7,30,0.9
1959,12,0,24.4,8.5,10,-0.3
1960,1,7,21.2,7,12,-1
1960,2,0,29.2,11.5,4,-1.4
1960,3,39,30.1,15.2,39,1
1960,4,1,36.4,20,3,0.8
1960,5,5,42.3,26.8,6,-0.2
1960,6,16,41.6,29.6,16,-0.9
1960,7,256,34.8,26.6,140,0.2
1960,8,437,32.4,26.1,114,2.4
1960,9,93,34.2,24.9,115,1.2
1960,10,151,32.7,18.4,116,3.3
1960,11,0,29,9.8,55,4
1960,12,6,23.9,8.4,28,4.3
