Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.4792 North,82.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,24.2,10.7,39,-0.9
1958,2,3,26.3,11.7,27,-1.2
1958,3,34,33.4,16.3,44,-0.6
1958,4,3,39.2,22.8,11,-0.7
1958,5,2,40,26,7,-1.2
1958,6,47,38.8,27.3,49,-2.2
1958,7,272,33,26.5,141,-2.7
1958,8,432,31.8,26.3,104,-1.7
1958,9,116,31.8,25,112,-2.4
1958,10,50,32.1,20.6,89,-2.1
1958,11,0,29.3,12.6,43,-1.9
1958,12,3,24.9,10,33,-1.8
1959,1,56,22.6,9.5,59,1.3
1959,2,4,25.4,10.6,32,1.1
1959,3,10,33.4,16.2,27,0.9
1959,4,3,38,21.9,12,0.8
1959,5,22,39,25.4,28,1.1
1959,6,59,36.8,26.3,61,-0.8
1959,7,239,32.6,26.4,152,-1.8
1959,8,361,32.1,26.4,131,-2.2
1959,9,149,31.6,25,119,-2.4
1959,10,157,30.7,22.1,117,2
1959,11,1,28.4,13.1,53,2.2
1959,12,0,24.7,9.4,35,2.2
1960,1,6,22.4,8.1,36,1.7
1960,2,1,28.9,12.4,32,1.4
1960,3,26,31.6,15.4,42,1.7
1960,4,3,37.5,20.6,13,1.3
1960,5,9,39.8,25,15,1
1960,6,77,37.4,26.7,78,-0.6
1960,7,424,32.4,26.4,132,0.8
1960,8,366,31.9,26.6,128,1.2
1960,9,118,31.7,25.3,104,-0.7
1960,10,67,31.1,20.2,100,0.3
1960,11,2,27.9,11.3,45,0.1
1960,12,0,24.4,8.3,30,-0.1
1961,1,31,22.8,9.6,44,0.6
1961,2,18,24.6,9.9,43,0.9
1961,3,7,32.6,16.9,24,0.6
1961,4,1,37.9,21.2,11,-0.2
1961,5,6,39.2,25.5,12,-0.6
1961,6,144,36.2,25.4,140,0.6
1961,7,337,32.9,26.4,153,-0.2
1961,8,493,32,26.4,132,1.6
1961,9,175,31.4,25.4,123,1.2
1961,10,121,31.1,19.9,115,2.4
1961,11,1,25.9,12.3,51,2.6
1961,12,6,21.1,6.7,35,2.8
1962,1,36,22,7.2,53,3.3
1962,2,17,25.5,11.1,44,3.7
1962,3,16,32.2,15.1,46,3.8
1962,4,10,37.5,21.3,23,3.9
1962,5,7,38.6,25.2,15,3.4
1962,6,98,37.3,27.1,99,3.1
1962,7,503,33.8,26.9,148,4.1
1962,8,385,31.5,25.9,116,4.5
1962,9,262,30.8,24.5,113,4.9
1962,10,6,31.1,18.7,74,3.5
1962,11,0,28.4,12.2,40,2.8
1962,12,3,23.6,9.2,27,2.1
1963,1,11,22.7,6.8,29,1.6
1963,2,6,28.1,11,22,0.9
1963,3,20,30.9,15.5,29,0.9
1963,4,7,35.8,21,13,0.9
1963,5,14,37.3,24.1,17,0.8
1963,6,111,35.6,25.2,109,0.7
1963,7,501,32.8,26.1,125,2.1
1963,8,390,31.7,26.3,119,2.7
1963,9,180,31.6,24,121,2.3
1963,10,28,31.6,21,84,1.6
1963,11,11,28,15,49,1.5
1963,12,2,24.7,8.8,30,1.2
1964,1,3,22.4,8,28,-1.2
1964,2,4,26,11.3,22,-1.5
1964,3,6,34,17.2,15,-1.9
1964,4,6,37.8,22.8,12,-1.8
1964,5,12,37.6,23.6,16,-1.7
1964,6,76,37.3,25.6,76,-2.2
1964,7,462,31.5,25.7,131,-0.9
1964,8,280,32.2,26.4,133,-1.1
1964,9,197,31.1,24.7,112,-0.8
1964,10,31,33.2,20.4,86,-1.2
1964,11,0,27.9,12.2,40,-1.3
1964,12,3,24.3,8.6,31,-1.4
1965,1,6,24.6,8.7,30,-1.8
1965,2,4,26.1,10.6,21,-2.2
1965,3,32,31,15,40,-1.5
1965,4,9,36.1,20,15,-1.3
1965,5,3,39,24.7,8,-1.6
1965,6,63,38.5,26.9,63,-2.5
1965,7,380,32.8,26.3,145,-2
1965,8,275,32.6,25.8,114,-1.9
1965,9,108,32.1,23.7,114,-2.7
1965,10,53,31.8,20.2,90,-2.4
1965,11,7,28.3,13.4,49,-2
1965,12,1,24.3,7.1,31,-2
1966,1,17,23.6,9.1,35,-1.9
1966,2,10,28.1,13,31,-1.9
1966,3,0,33.1,16.2,11,-2.5
1966,4,1,38.2,21.6,8,-2.5
1966,5,6,40.2,25.1,11,-2.6
1966,6,189,36.5,26,180,-1.4
1966,7,336,34.1,26.7,158,-1.5
1966,8,241,31.7,26.2,113,-1.9
1966,9,66,32.2,24.6,106,-3
1966,10,10,32.5,19.8,72,-3.8
1966,11,13,29.7,12.9,42,-3.9
1966,12,5,23.6,8.3,26,-4.1
1967,1,11,22.7,8.1,24,-4.3
1967,2,4,28.5,11.7,12,-4.7
1967,3,37,30.7,14.9,41,-3.7
1967,4,5,36.3,20.2,9,-3.6
1967,5,5,39.3,24.7,8,-3.7
1967,6,61,37.5,26.5,60,-4.3
1967,7,279,33.3,25.8,142,-4.5
1967,8,478,31.4,25.8,130,-3.2
1967,9,251,31.6,23.9,117,-2.2
1967,10,9,31.7,19.3,76,-2.8
1967,11,0,26.8,12.7,39,-2.9
1967,12,9,24.3,9.3,30,-2.7
1968,1,33,21,8.6,43,-2
1968,2,5,24.9,10,27,-2
1968,3,17,32.2,15.9,28,-1.9
1968,4,3,36.7,20.7,10,-1.8
1968,5,3,38.9,24.6,8,-2.1
1968,6,123,34.9,25.4,121,-1.6
1968,7,250,32.2,26,130,-2.2
1968,8,255,32.6,25.9,132,-3.3
1968,9,137,33.2,24.7,123,-3.6
1968,10,67,30.8,20,95,-2.9
1968,11,2,28.5,12.9,44,-2.4
1968,12,3,24.3,9.5,34,-2.1
1969,1,1,22.8,8.5,31,-2.4
1969,2,2,27.6,11.3,28,-2.4
1969,3,21,35,17.3,33,-2.1
1969,4,6,37.5,21.5,13,-1.9
1969,5,16,38,24,21,-1.5
1969,6,73,37.4,26.3,73,-2
1969,7,447,32.5,25.9,138,-0.9
1969,8,235,32.1,25.4,115,-1.3
1969,9,123,31.3,24.5,115,-1.9
1969,10,7,32.6,20.7,76,-2.5
1969,11,5,30,13.9,42,-2.5
1969,12,2,25.1,8.7,24,-2.5
1970,1,34,22.9,9.3,44,-1.8
1970,2,32,25.3,10.6,43,-0.9
1970,3,11,31.9,15.5,26,-0.8
1970,4,1,39.2,21.7,10,-0.9
1970,5,33,39.6,25.4,37,1.5
1970,6,124,35.2,24.5,122,1.7
1970,7,369,33.1,26.3,127,1.8
1970,8,275,32.4,26.5,134,1.3
1970,9,455,31.5,24.7,110,4.2
1970,10,48,32.9,20.7,87,3.7
1970,11,0,28.2,12.4,43,3.3
1970,12,0,25.5,8,29,2.8
1971,1,8,22.5,8.2,30,2.2
1971,2,10,25.7,9.7,32,2
1971,3,9,32.3,15.2,22,1.6
1971,4,21,36.3,20.5,28,2.2
1971,5,30,36.3,23.2,34,2.9
1971,6,212,33.2,24.5,132,4.4
1971,7,246,31.4,25,136,3.6
1971,8,422,31.3,24.8,111,4.3
1971,9,162,32.7,23.6,117,3.5
1971,10,153,31.1,20.5,112,5.1
1971,11,3,27.6,12.3,51,5.1
1971,12,0,25,8,35,4.8
1972,1,13,23.5,8.3,38,4.4
1972,2,25,24.4,9,49,4.7
1972,3,6,32.9,15.7,31,4.3
1972,4,3,37.3,19.9,16,3.9
1972,5,4,40.8,24.9,12,3.2
1972,6,75,38.5,26.3,77,1.9
1972,7,204,34.6,26.1,150,-2.4
1972,8,249,32.5,25.3,140,-3.7
1972,9,205,31.6,23.4,119,-3.7
1972,10,97,31.4,19.2,105,-2.4
1972,11,9,27.5,12.8,50,-1.5
1972,12,1,24.3,9,37,-1.1
1973,1,36,22.7,9.6,51,2.1
1973,2,14,26.7,12.3,39,2.4
1973,3,9,32.4,14.8,35,2.4
1973,4,1,39.9,22,14,2.1
1973,5,10,39.5,25.3,18,1.9
1973,6,116,35.6,26.4,116,1.9
1973,7,337,34.2,26,154,1.5
1973,8,435,31.9,25.9,125,2.3
1973,9,217,31.5,25,106,2.4
1973,10,178,30.2,21.2,110,4.7
1973,11,4,27.1,12.8,49,4.7
1973,12,0,23.1,8,35,4.5
1974,1,11,22.1,8.2,39,4
1974,2,2,25.7,10,31,3.7
1974,3,8,33.2,17.2,31,3.3
1974,4,2,39.2,22.1,14,2.9
1974,5,7,38.8,25,14,2.4
1974,6,76,36.7,26,77,1.8
1974,7,372,32.1,26,150,1.7
1974,8,326,32,26,124,1.7
1974,9,133,32.6,24.4,107,1
1974,10,24,33.4,21.5,81,-1.2
1974,11,0,28.6,11.4,41,-1.3
1974,12,3,22.7,7.9,26,-1.3
1975,1,21,21.5,8.2,36,-1.2
1975,2,10,25.2,10.8,32,-1.2
1975,3,21,32.3,15.4,32,-1
1975,4,3,39,21.1,10,-1.1
1975,5,7,40.3,25.2,12,-1.3
1975,6,195,36.3,25.4,185,1
1975,7,318,31.9,25,127,0.9
1975,8,309,32.2,25.4,117,0.9
1975,9,201,30.2,25.2,122,0.8
1975,10,60,32.9,21.6,98,0.9
1975,11,0,28.5,11.2,48,0.7
1975,12,0,24.1,8.1,31,-0.2
1976,1,21,23.3,8.8,39,0
1976,2,4,26.2,12.1,27,-0.6
1976,3,1,32.4,16.1,12,-1.2
1976,4,4,37.1,20.5,12,-1.2
1976,5,12,38.2,24.6,16,-1.1
1976,6,77,35.6,25.7,77,-1.7
1976,7,264,33.3,25.9,130,-2.2
1976,8,264,31.5,25.4,127,-3
1976,9,235,31.4,24.2,116,-2.1
1976,10,13,32.7,19.7,76,-2.6
1976,11,0,30.8,13.8,44,-2.7
1976,12,0,24.6,8.1,27,-2.9
1977,1,15,22.3,8.5,32,-2.8
1977,2,9,27.2,10.6,26,-3
1977,3,2,34.6,16.7,12,-3.5
1977,4,9,36.8,21.4,14,-3.1
1977,5,12,36.6,23.2,16,-2.8
1977,6,82,35.3,25.3,82,-3
1977,7,337,31.9,25.6,139,-2.9
1977,8,314,32.3,26.2,117,-2.6
1977,9,101,31.5,24.2,111,-3.3
1977,10,84,31.2,20.6,103,-2.3
1977,11,5,29.9,14.7,46,-1.8
1977,12,8,23.5,9.9,35,-1.4
1978,1,17,21.5,7.8,37,-1.2
