Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.4792 North,79.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,24.3,10,45,0.4
1958,2,2,27,10.9,40,0.3
1958,3,14,33.9,17.1,34,0
1958,4,0,40.5,23.6,12,-0.2
1958,5,1,43.1,27.6,8,-0.3
1958,6,17,43,29.7,21,-1.3
1958,7,347,33.2,26.7,140,1.4
1958,8,370,32.5,25.3,108,2.8
1958,9,215,31.3,25.6,126,3.4
1958,10,111,31.8,19.5,112,4
1958,11,0,28.6,12.3,48,4.2
1958,12,7,24.4,9.9,40,4.2
1959,1,42,23,8.5,54,4.7
1959,2,2,26.1,10,39,4.8
1959,3,3,34.9,16.2,31,4.5
1959,4,1,39.3,22.2,15,4.2
1959,5,18,42.1,27.2,26,4.5
1959,6,29,41,29.9,33,3.6
1959,7,233,33.3,26.3,144,3.2
1959,8,315,31.9,25.7,122,2.9
1959,9,116,31.9,25.7,119,2.1
1959,10,115,32.4,20.5,116,2.8
1959,11,1,28.7,11.7,50,3.2
1959,12,0,25.3,8.7,37,3
1960,1,20,22.4,7.5,42,2.8
1960,2,0,30.4,11.8,31,2.7
1960,3,25,32.1,16.1,43,3.1
1960,4,1,38.4,21.4,12,2.8
1960,5,4,43.2,27,11,2.3
1960,6,22,42.1,30,26,1.5
1960,7,300,34.3,26,141,2.1
1960,8,485,31.5,25.5,112,4.1
1960,9,76,33.7,24.7,105,2.7
1960,10,193,32.5,18.6,122,4.5
1960,11,0,29,9.8,55,4.7
1960,12,8,24.6,8.4,38,4.6
1961,1,52,23.1,8.7,58,5.3
1961,2,10,24.2,9.5,46,5.6
1961,3,0,33.7,16.9,34,5.3
1961,4,2,38.8,21.6,17,5
1961,5,3,42.4,27.2,12,4.4
1961,6,50,40.3,28.5,53,4.1
1961,7,210,33.6,26.3,141,3.3
1961,8,519,31.6,25.3,113,4.8
1961,9,130,31.9,25.4,116,4.1
1961,10,164,31.4,18.9,119,5.4
1961,11,1,26.2,11.6,49,5.5
1961,12,5,22,5.9,36,5.3
1962,1,42,22,6.4,55,5.6
1962,2,4,26.3,11,36,5.7
1962,3,11,32.5,16,46,5.9
1962,4,5,39.2,22,20,5.8
1962,5,2,42.4,26.9,11,5.1
1962,6,23,42.6,29.5,28,3.9
1962,7,258,35,27.1,144,3.8
1962,8,327,32.6,25.1,115,3.8
1962,9,247,31.5,24.6,121,4.9
1962,10,0,32.2,17.6,72,3.7
1962,11,0,28.7,11.6,44,3.2
1962,12,5,23.9,8.9,30,2.6
1963,1,24,23.4,6,37,2.4
1963,2,3,28.8,11.3,23,1.9
1963,3,8,32.5,15.4,19,1.6
1963,4,4,37.4,21.2,11,1.4
1963,5,6,41,25.9,11,1.3
1963,6,41,39.8,28.3,43,0.9
1963,7,264,35,26.2,127,1.3
1963,8,338,31.5,25.2,110,1.9
1963,9,282,32.2,24,121,3.7
1963,10,12,33.4,19.6,81,2.7
1963,11,2,29.1,14.3,45,2.4
1963,12,13,24.9,7.6,34,2.2
1964,1,2,21.9,7,27,1.3
1964,2,1,26.6,10.8,18,0.7
1964,3,6,35.3,17.5,16,-1.7
1964,4,1,39.9,23,7,-1.7
1964,5,9,41.4,25.4,13,-1.5
1964,6,20,41.2,29.4,23,-2
1964,7,375,33,25.7,134,1.8
1964,8,328,32.6,25.6,124,2.7
1964,9,242,31.9,24.6,121,3.8
1964,10,7,33.6,19.3,81,2.7
1964,11,0,28.9,10.1,37,2.3
1964,12,7,24.4,8.4,34,1.9
1965,1,6,24.5,9.3,29,1
1965,2,5,26.4,10.8,20,-1.7
1965,3,11,32.4,15.3,20,-1.7
1965,4,8,36.7,20.9,13,-1.4
1965,5,1,41.6,26.8,6,-1.5
1965,6,12,42.6,30.5,15,-2.5
1965,7,250,34.8,26.7,164,-2.4
1965,8,194,33.3,25.2,141,-3.2
1965,9,138,32.9,24.1,134,-3.1
1965,10,71,33.1,20,95,-2.8
1965,11,0,29.6,12.4,35,-2.7
1965,12,3,24.5,7.2,23,-2.9
1966,1,2,24.6,7.8,14,-3.4
1966,2,4,29.1,13,11,-3.6
1966,3,0,33.8,15.9,6,-3.9
1966,4,0,39.2,22.5,4,-3.8
1966,5,10,42.9,26.7,13,-3.4
1966,6,84,40.3,28.4,83,-2.2
1966,7,173,36.8,26.9,165,-3.1
1966,8,299,32.3,25.1,126,-3.5
1966,9,33,33.6,24.7,96,-4.9
1966,10,16,34.4,19.7,61,-5.5
1966,11,5,28.7,13.4,23,-5.9
1966,12,5,24.8,6.5,15,-6.2
1967,1,4,23.2,6.5,10,-6.5
1967,2,0,29.7,11.6,5,-6.7
1967,3,31,31.4,15.3,33,-5.6
1967,4,1,37.8,21,4,-5.4
1967,5,1,42.7,26.7,3,-5.3
1967,6,30,42.1,29.3,31,-5.3
1967,7,255,34.3,26,148,-4.7
1967,8,530,31.2,24.9,114,-2
1967,9,165,32.3,23.9,125,-1.6
1967,10,10,33.6,18.9,77,-2.1
1967,11,0,28.3,12.2,40,-1.9
1967,12,40,24.6,8.6,49,-0.6
1968,1,46,21.5,7.6,52,2.7
1968,2,2,25.3,9.3,31,2.7
1968,3,8,33.5,15.4,27,2.5
1968,4,0,38.4,20.6,11,2.3
1968,5,0,41.9,26,7,1.8
1968,6,38,40.7,28.2,41,1.4
1968,7,275,34.1,25.4,133,1.9
1968,8,222,32.5,25,140,1.1
1968,9,66,35.2,24.1,113,-1.8
1968,10,73,33.1,18.8,94,-1.4
1968,11,0,30.1,11,37,-1.3
1968,12,3,24.6,8.4,31,-1.5
1969,1,10,22.9,8.3,31,-1.8
1969,2,4,26.9,12.2,21,-1.9
1969,3,3,37.3,16.1,13,-2.1
1969,4,1,38.1,22.3,8,-2.1
1969,5,11,41,25.8,15,-1.6
1969,6,21,41.8,29.6,24,-2.2
1969,7,351,34.4,25.3,133,1.5
1969,8,270,32.4,24.8,120,1.9
1969,9,170,32.3,24.5,112,2.2
1969,10,3,34.3,19.8,75,1.2
1969,11,2,31.1,12.5,42,1.1
1969,12,0,25.7,7.6,23,0.7
1970,1,51,23.2,8.6,57,1.4
1970,2,19,25.5,10.2,35,1.8
1970,3,11,31.9,16,28,1.8
1970,4,0,40.4,22.7,10,1.6
1970,5,15,42.6,27.4,21,1.9
1970,6,62,38.9,27.3,64,2.2
1970,7,165,35.5,25.8,149,1
1970,8,354,32.6,25.5,130,0.6
1970,9,264,32.5,24.8,122,2.3
1970,10,37,34.1,19.5,86,1.8
1970,11,0,29.5,10.4,43,1.8
1970,12,0,25.4,7.9,30,1.4
1971,1,26,22.2,7.5,39,1.5
1971,2,5,27.1,9.9,31,1.5
1971,3,4,33.3,15.2,19,1.2
1971,4,6,39.1,21.5,15,1.2
1971,5,14,39.9,25.1,19,1.5
1971,6,114,37,27.1,112,3.3
1971,7,259,32.3,25.2,133,3.3
1971,8,315,31.4,24.4,117,3.3
1971,9,167,33,23.8,128,3.1
1971,10,170,32.4,19.1,126,4.6
1971,11,0,28.7,11.1,55,4.8
1971,12,0,25.3,7.3,39,4.5
1972,1,12,23.5,8,36,3.9
1972,2,10,24.4,8.8,39,4.1
1972,3,1,33.6,15.8,25,3.6
1972,4,1,38.2,21,13,3.3
1972,5,1,43.8,27.1,8,2.6
1972,6,20,42.8,29.8,24,1.5
1972,7,140,35.8,26.5,137,-2.6
1972,8,314,32,24.9,134,-3
1972,9,159,33,22.8,138,-2.7
1972,10,88,32.8,18.8,101,-1.9
1972,11,1,29.1,11.7,43,-1.3
1972,12,4,24.5,8.8,39,-1.1
1973,1,25,23.1,8.7,42,-0.8
1973,2,5,28,11.9,30,1.2
1973,3,2,33,15.9,19,0.9
1973,4,0,41.6,23.3,10,0.8
1973,5,3,43.7,27.8,9,-0.2
1973,6,29,40.6,29.5,32,-0.7
1973,7,277,35,26.2,157,0.3
1973,8,420,31.9,25.2,123,1.6
1973,9,150,33,24.2,117,1.5
1973,10,162,32.4,18.9,111,3
1973,11,0,29.1,10.5,44,3.3
1973,12,4,22.9,7.1,41,3.3
1974,1,3,22.8,6.8,35,2.7
1974,2,1,25.8,9.8,31,2.7
1974,3,2,35,17.2,27,2.5
1974,4,0,40.8,23,13,2.3
1974,5,4,41.9,26.6,11,2
1974,6,19,40.8,29.1,24,1.2
1974,7,224,34.2,25.7,156,0.8
1974,8,215,32.8,24.9,123,-1.7
1974,9,35,34.7,24.5,78,-2.9
1974,10,139,33.4,20.5,114,-1.6
1974,11,0,28.9,10.7,36,-1.3
1974,12,4,22.9,7.4,26,-1.3
1975,1,20,21.4,7.3,35,-1.3
1975,2,3,25.8,10,20,-1.3
1975,3,8,32.6,15.7,18,-1.4
1975,4,1,39.9,22.1,7,-1.4
1975,5,1,43.5,27.8,6,-1.6
1975,6,76,39.9,28.2,76,-0.9
1975,7,211,33.4,25.3,138,-1.1
1975,8,259,31.8,25.3,114,-1.5
1975,9,202,31.1,25.1,142,-0.8
1975,10,98,32.8,20.7,111,1.2
1975,11,0,28.5,10,51,1.6
1975,12,0,24.8,7.4,37,1.5
1976,1,12,23.5,9,38,1.1
1976,2,3,26.3,11.8,33,1.2
1976,3,2,32.2,16.7,18,0.7
1976,4,2,37.9,21,11,0.6
1976,5,5,42.1,25.9,11,-0.1
1976,6,60,38.9,28.3,61,0.3
1976,7,213,34.6,26.5,145,-0.4
1976,8,301,31.4,24.8,125,-0.7
1976,9,156,33.6,22.8,119,0.2
1976,10,9,34.5,18.9,78,-1.1
1976,11,2,31,12.9,46,-1
1976,12,0,24.6,8.6,29,-1.3
1977,1,33,22.5,7.9,43,-0.9
1977,2,3,27.2,10.9,23,-1.2
1977,3,1,35.9,16.5,12,-1.6
1977,4,9,38.2,21.9,16,-1.2
1977,5,6,39.8,25.4,10,-1.1
1977,6,46,39.2,28.9,48,-1.1
1977,7,341,32.7,25.6,152,1.2
1977,8,227,32.2,25.3,123,1
1977,9,175,31.6,24.2,140,1.1
1977,10,102,33.6,19.4,114,1.6
1977,11,0,30.4,14,49,2.1
1977,12,7,25.2,9.1,40,2.1
1978,1,11,22.5,7.3,38,1.7
1978,2,14,24.8,10.3,38,2.2
1978,3,35,30.3,14.8,55,3.1
1978,4,2,38.8,21.5,14,2.9
1978,5,1,45,28,8,2.4
1978,6,91,40.6,28.3,91,3.2
1978,7,219,33,25.7,124,2.9
1978,8,280,31.2,25.2,123,2.3
1978,9,192,31.8,24.7,121,2.8
1978,10,8,33.3,19.3,76,1.8
1978,11,1,28.2,14.1,40,1.6
1978,12,16,24.6,7.8,38,1.7
1979,1,28,23.5,8.9,40,1.8
1979,2,17,24.6,10.3,36,2.1
1979,3,4,31,15.5,20,1.7
1979,4,2,39.7,22.3,11,1.6
1979,5,10,41,25.9,16,1.7
1979,6,38,41.3,28.8,41,1.2
1979,7,194,34.8,26.5,159,-0.7
1979,8,140,33.7,25.5,138,-2.5
1979,9,17,34.9,24.9,26,-4.3
1979,10,6,34.2,21,13,-5.6
1979,11,4,29.2,16.2,8,-6.3
1979,12,9,24.4,9.9,12,-6.4
1980,1,2,23.4,8.3,4,-6.8
1980,2,2,28,11.8,5,-6.9
1980,3,18,32.2,16.3,19,-6.3
1980,4,0,41.1,23.2,2,-6.1
1980,5,3,44.2,28.6,4,-5.9
1980,6,71,39.3,27.9,69,-4.7
1980,7,314,32.7,25.9,130,-3.2
1980,8,384,32.7,24.9,116,-1.6
1980,9,94,33.8,24.5,115,-2.2
1980,10,37,33.5,20.4,86,-2.3
1980,11,0,29,12.6,42,-2.2
1980,12,34,24.6,9.1,48,-1.2
1981,1,20,22.1,8.7,34,-1.1
1981,2,1,27.7,11.6,24,-1.2
1981,3,22,31.7,16.4,33,-0.6
1981,4,0,39.6,22.1,8,-0.7
1981,5,9,41.9,26.6,14,1.1
1981,6,110,41.8,29.5,109,2.5
1981,7,301,33,26.1,143,3
1981,8,233,32.6,25.5,131,2.4
1981,9,97,34,25,118,1.4
1981,10,0,33.2,19.4,74,-1.8
1981,11,3,27.2,12,37,-2
1981,12,5,23.9,7.8,26,-2.2
1982,1,51,22.8,9.8,53,-1.1
1982,2,4,24.3,11.1,21,-1.3
1982,3,24,29.8,14.6,33,-0.7
1982,4,5,37.2,21.2,11,-0.6
1982,5,12,38.9,25.4,16,1
1982,6,31,40.5,28.6,33,-0.4
1982,7,163,36.4,27.5,156,-1.6
1982,8,380,32.2,25.3,122,-1.5
1982,9,123,33.9,23.8,130,-1.9
1982,10,26,33.2,20.4,80,-2.1
1982,11,6,27.7,13.5,43,-1.7
1982,12,14,24.7,9.8,38,-1.4
1983,1,30,21.8,7.9,40,-1
1983,2,3,25.2,10.2,28,-0.9
1983,3,2,31.8,16.1,15,-1.1
1983,4,7,35.3,20.3,15,-0.7
1983,5,18,40.1,25.7,22,0.6
1983,6,46,40.1,29.3,48,-0.1
1983,7,159,34.7,26.2,143,-1.1
1983,8,341,32.4,26.1,118,-1.2
1983,9,202,32.8,25,106,1
1983,10,109,31.5,19,109,1.8
1983,11,0,28.4,10.2,53,2.3
1983,12,5,23.6,8.9,37,2.4
1984,1,28,21.8,8,44,2.6
