Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.0208 North,79.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,23,23.2,10,42,0.1
1958,2,5,25.4,10.4,41,-0.2
1958,3,7,32.4,16.5,30,-0.7
1958,4,1,39.5,23.1,13,-0.8
1958,5,2,41.3,26.4,9,-1.2
1958,6,26,40.8,28,30,-2.2
1958,7,432,32.8,26.9,136,-0.6
1958,8,388,32.8,25.9,101,2.8
1958,9,240,31.5,25.6,126,3.4
1958,10,104,31.6,19.5,105,3.8
1958,11,1,28.5,12.6,48,3.9
1958,12,8,23.7,9.9,38,3.9
1959,1,33,21.8,8.4,45,4.1
1959,2,8,24.5,9.8,41,4
1959,3,7,33.3,15.9,36,3.7
1959,4,1,37.9,21.7,15,3.3
1959,5,19,40.2,26.2,27,3.4
1959,6,51,39.5,28.4,54,2.8
1959,7,313,32.9,26.5,148,2.6
1959,8,240,32.5,26.4,123,2
1959,9,129,32.1,26,123,1.3
1959,10,70,32.3,20.5,97,1.4
1959,11,4,28.5,11.9,48,1.7
1959,12,0,24.5,8.9,32,1.4
1960,1,13,21.3,7.6,32,1
1960,2,0,29.3,12.3,29,-0.4
1960,3,32,30.5,15.3,46,0.6
1960,4,2,36.9,20.7,11,0.3
1960,5,7,41.6,26.3,13,-0.2
1960,6,32,40.5,28.4,35,-1
1960,7,339,33.8,26.2,133,0.4
1960,8,364,32.2,26.4,112,1.6
1960,9,99,33.6,25.1,112,0.6
1960,10,216,32,18.6,117,2.9
1960,11,0,28.9,10.1,56,3.2
1960,12,5,24,8.8,37,3.1
1961,1,45,22,8.5,49,3.8
1961,2,32,23,9.2,54,4.3
1961,3,0,32,16.3,38,4.1
1961,4,2,37.6,21.1,18,3.9
1961,5,5,40.6,26.1,14,3.3
1961,6,77,39.1,27.3,79,3.3
1961,7,243,33.6,26.6,143,2.5
