Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.9375 North,77.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,21.8,9,29,0.9
1958,2,3,23.8,9.3,6,-0.4
1958,3,13,31.1,15.9,15,-0.6
1958,4,1,38.2,22.4,3,-0.7
1958,5,2,40.4,25.6,3,-0.9
1958,6,9,41.2,28.2,9,-1.7
1958,7,357,33.5,27,134,1.7
1958,8,263,33.2,25.9,105,2.1
1958,9,299,31.9,24.6,123,4.3
1958,10,51,31.3,18.3,86,4.7
1958,11,2,27.7,11.6,34,4.9
1958,12,10,23,8.9,19,4.6
1959,1,43,20.3,7.2,44,4.9
1959,2,4,23.1,8.8,8,4.1
1959,3,6,31.6,15.1,9,3.3
1959,4,1,36.3,20.7,3,2.8
1959,5,9,39.3,25.5,10,2.6
1959,6,16,40.3,28.8,16,2
1959,7,200,33.6,26.7,150,1.5
1959,8,243,32.7,26.1,124,1
1959,9,145,32.5,25.2,122,1
1959,10,27,32.2,19.5,79,1.3
1959,11,6,27.6,10.7,26,1.5
1959,12,0,23.5,7.8,8,1
1960,1,22,20,6.6,26,1
1960,2,0,27.8,11.4,3,-0.6
1960,3,26,28.9,14.3,27,0.4
1960,4,3,35,19.3,4,-0.1
1960,5,1,40.8,25.8,2,-0.7
1960,6,18,41,28.4,18,-1.1
1960,7,233,34.4,26.4,130,-0.7
1960,8,340,32.5,26.2,115,1.5
1960,9,52,34.2,24.6,100,-1
1960,10,121,31.7,17.6,113,1.6
1960,11,0,28.1,9,23,2
1960,12,5,23.2,7.8,14,1.7
1961,1,33,20.6,7.7,36,1.9
1961,2,27,21.5,8.3,29,2.3
1961,3,1,30.5,15.3,4,1.5
1961,4,2,35.7,19.7,4,1.2
1961,5,5,39.8,25.4,6,1
1961,6,32,39.8,27.9,31,1.1
1961,7,199,34.3,26.8,139,0.8
1961,8,465,32.3,25.7,113,3.1
1961,9,104,32.8,25.2,115,2.3
1961,10,121,31.3,18.1,114,4.2
1961,11,2,25,10.6,41,4.9
1961,12,9,20.4,5.4,23,5
1962,1,45,19.7,5.8,47,5.7
1962,2,10,24.3,10.3,17,5.7
1962,3,14,29.6,14.8,17,5.2
1962,4,1,36.9,21,4,4.7
1962,5,2,39.8,25.4,4,4
1962,6,17,40.6,27.7,18,3.2
1962,7,224,35.1,27.3,141,2.9
1962,8,153,33.5,25.9,117,1.6
1962,9,277,32,24.1,126,3.5
1962,10,0,31.8,17.4,66,2.9
1962,11,6,27.6,11,17,2.3
1962,12,13,21.7,7.4,19,2.3
1963,1,5,20.8,5.5,8,1.5
1963,2,8,26.2,10.6,10,1.1
1963,3,16,29.7,14.3,17,1
1963,4,3,35.1,20.1,5,0.8
1963,5,5,38.5,24.2,6,0.6
1963,6,35,39.7,28,34,0.8
1963,7,115,36.3,27.6,110,-1.7
1963,8,311,32.1,25.7,120,-1.5
1963,9,252,32.7,23.5,125,1.7
1963,10,4,33,18.9,70,1.4
1963,11,6,27.8,13.1,17,1
1963,12,16,23.2,6.9,21,1.2
1964,1,4,19,5.6,8,-0.6
1964,2,2,23.7,9.5,4,-1
1964,3,3,31.9,15.8,5,-1.5
1964,4,2,36.8,21,4,-1.5
1964,5,8,38.5,23.1,9,-1.3
1964,6,11,40,28.1,11,-1.8
1964,7,448,33.1,25.7,141,2.8
1964,8,374,33.1,25.8,133,4
1964,9,203,32.2,24.1,122,4.6
1964,10,0,32,17.8,66,3.9
1964,11,1,27.7,9.2,12,3.2
1964,12,10,22.5,7.4,15,2.8
1965,1,11,22.6,8.6,14,2
1965,2,13,23.5,9.4,15,1.7
1965,3,8,29.5,13.8,9,1.2
1965,4,8,33.5,18.7,9,1.2
1965,5,5,38.5,24.3,5,1
1965,6,4,41.1,28.8,4,-1.9
1965,7,190,34.6,26.3,158,-2.1
