Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.1875 North,79.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,23.1,10.2,43,0.5
1958,2,5,25.2,10.4,39,0.2
1958,3,9,32.1,16.4,28,-0.3
1958,4,1,39.3,23.2,11,-0.5
1958,5,2,41,26.2,8,-0.9
1958,6,35,40.4,27.7,38,-1.9
1958,7,458,32.4,26.5,134,-0.6
1958,8,439,32.6,25.7,101,2.4
1958,9,244,31.3,25.3,123,2.8
1958,10,116,31.1,19.5,107,3.3
1958,11,1,28.2,12.7,48,3.4
1958,12,8,23.5,10,37,3.5
1959,1,36,21.9,8.7,46,3.8
1959,2,10,24.3,9.7,41,3.7
1959,3,11,32.9,15.8,34,3.3
1959,4,1,37.7,21.8,13,3
1959,5,17,39.9,26,23,3
1959,6,64,39.1,27.9,66,2.5
1959,7,355,32.4,26.1,146,2.3
1959,8,264,32.3,26.3,123,1.8
1959,9,147,31.8,25.6,122,1.2
1959,10,86,31.8,20.5,102,1.3
1959,11,4,28.1,12,49,1.7
1959,12,0,24.3,9.1,31,1.5
1960,1,15,21.3,7.8,33,1.1
1960,2,0,29,12.3,27,0.6
1960,3,35,30.2,15.1,46,1.2
1960,4,2,36.8,20.7,9,0.9
1960,5,7,41.3,26.1,12,-0.2
1960,6,39,40.1,28,41,-1.2
1960,7,381,33.2,25.8,131,-0.6
1960,8,377,32,26.2,113,1.1
1960,9,110,33.3,24.8,115,-0.8
1960,10,225,31.6,18.7,116,2.5
1960,11,0,28.5,10.2,55,2.7
1960,12,5,23.9,9.1,35,2.7
1961,1,47,22,8.8,49,3.4
1961,2,32,22.8,9.1,52,4
1961,3,0,31.7,16.2,30,3.5
1961,4,2,37.5,21.1,15,3.3
1961,5,5,40.3,25.9,13,2.8
1961,6,94,38.8,26.9,94,3
1961,7,275,33.2,26.3,141,2.2
1961,8,506,32,26,116,3.3
1961,9,119,32.1,25.4,118,2.2
1961,10,192,31,19.4,108,3.9
1961,11,1,25.5,12,46,3.9
1961,12,6,20.8,6.4,30,3.9
1962,1,47,21,7.1,51,4.6
1962,2,11,25.1,11.1,39,4.6
1962,3,20,30.8,15.4,53,5.1
1962,4,3,38,21.8,17,4.9
1962,5,5,40.4,25.8,13,4.3
1962,6,68,40.1,27.5,70,3.7
1962,7,390,34.2,27,142,3.7
1962,8,322,33.1,25.8,114,3.6
1962,9,276,31.4,24.5,121,4.4
1962,10,1,31.6,18.3,66,3.1
1962,11,1,28,12.4,40,2.5
1962,12,4,22.6,8.9,23,2
1963,1,13,22.6,6.7,27,1.4
1963,2,8,27.5,11.3,22,0.7
1963,3,27,30.7,14.8,34,0.7
1963,4,4,36.1,20.9,9,0.6
1963,5,10,39.1,24.6,14,-1.4
1963,6,75,38.2,26.8,75,-1.3
1963,7,278,34.6,26.6,127,-1.6
1963,8,401,31.9,25.8,118,-0.9
1963,9,335,31.8,24,120,2.3
1963,10,30,32.9,19.9,82,1.6
1963,11,7,28.4,14.3,45,1.5
1963,12,12,24,7.9,30,1.5
1964,1,6,20.8,7.6,26,0.7
1964,2,3,25,10.6,19,-1.3
1964,3,6,33.4,16.7,15,-1.7
1964,4,1,38.3,22.4,7,-1.8
1964,5,11,39,23.8,15,-1.6
1964,6,36,39.2,27.5,37,-2.5
1964,7,549,32.3,25.4,131,2
1964,8,340,33.1,26.1,131,2.1
1964,9,284,31.6,24.5,118,3.1
1964,10,1,32.9,19.3,72,1.9
1964,11,1,28.4,10.7,36,1.3
1964,12,8,23.3,9,30,0.9
1965,1,13,24,9.7,28,-1.8
1965,2,19,24.6,10.5,29,-1.9
1965,3,16,30.5,14.3,22,-2
1965,4,6,35.3,20.1,10,-1.9
1965,5,2,39.3,25.2,5,-2.2
1965,6,29,40.4,28.4,31,-3.3
1965,7,361,33.7,26.1,149,-2.9
1965,8,262,33.2,25.4,125,-3
1965,9,144,32.6,24,132,-3.3
1965,10,61,32.4,19.8,94,-3
1965,11,0,29.1,12.9,47,-2.5
1965,12,0,23.6,7.6,28,-2.5
1966,1,4,23.9,7.8,23,-2.9
1966,2,14,27.5,12.6,31,-2.9
1966,3,1,31.9,15.3,10,-3.4
1966,4,0,37.6,22.1,6,-3.3
1966,5,17,41.1,25.3,20,-2.8
1966,6,95,38.3,26.3,93,-2.2
1966,7,277,35.5,26.1,156,-2.6
1966,8,372,32.6,25.7,122,-2.3
1966,9,71,32.9,24.2,113,-3.3
1966,10,39,33.1,19.3,80,-3.5
1966,11,7,28,12.5,37,-3.5
1966,12,3,23.6,7,24,-3.7
1967,1,10,22.1,7,22,-3.8
1967,2,4,28.1,11.5,12,-4.3
1967,3,33,29.7,14.2,37,-3.5
1967,4,2,36.6,20.5,6,-3.5
1967,5,3,40.5,25.1,6,-3.6
1967,6,61,40,27.2,60,-3.7
1967,7,344,33.6,25.6,133,-3.3
1967,8,515,31.5,25.3,118,-1.1
1967,9,167,32.3,23.7,122,-1.2
1967,10,22,32.3,18.4,77,-1.7
1967,11,1,27.3,11.7,38,-1.6
1967,12,19,23.2,8.6,33,-1
1968,1,49,20.5,7.6,50,1.8
1968,2,8,23.5,8.7,31,1.6
1968,3,12,31.4,14.5,27,1.4
1968,4,2,36.9,20.4,10,1.3
1968,5,1,40.1,24.9,7,0.7
1968,6,81,38.9,26.5,81,0.7
1968,7,368,33.3,25.1,131,1
1968,8,316,32.8,25.5,129,1
1968,9,124,34.9,24.1,127,-0.8
1968,10,60,32,18.7,88,-0.8
1968,11,1,29.3,11,41,0.2
1968,12,4,23.5,8.7,30,-0.5
1969,1,15,21.8,8.5,32,-0.7
1969,2,10,25.5,11.8,30,-0.8
1969,3,10,35.7,15.7,20,-1.2
1969,4,4,36.7,21.6,10,-1.1
1969,5,10,39,24.4,14,-1
1969,6,52,39.8,27.6,53,-1.5
1969,7,383,33.7,25.1,140,-1
1969,8,302,33,25.4,113,-0.8
1969,9,301,31.9,24.2,114,1.9
1969,10,8,33.3,19.8,73,0.9
1969,11,0,30.3,12.6,40,-1
1969,12,1,24.8,8,20,-1.3
1970,1,46,22.3,8.6,48,0.7
1970,2,31,24.2,9.6,41,1.2
1970,3,17,30.2,15.1,29,1.1
1970,4,0,39.2,22,8,0.9
1970,5,22,40.9,26.1,26,1.3
1970,6,108,37.2,25.4,106,2
1970,7,204,34.8,25.6,132,0.8
1970,8,370,33,25.8,128,-1.3
1970,9,196,32.7,24.8,120,-1
1970,10,64,33.4,19.3,91,-0.9
1970,11,0,29,10.7,43,-0.6
1970,12,0,24.6,8.3,28,-0.7
1971,1,27,21.3,7.5,37,0.3
1971,2,17,25.6,9.9,37,0.6
1971,3,9,31.7,14.9,25,-0.1
1971,4,7,38.1,21.2,16,0.7
1971,5,15,38,23.8,20,1
1971,6,150,35.9,25.8,136,2.8
1971,7,361,32,25.2,129,3
1971,8,338,31.9,24.7,108,3.1
1971,9,230,32.8,23.3,122,3.3
1971,10,168,32,19.3,113,4.5
1971,11,3,28.4,11.7,51,4.6
1971,12,0,25,8.1,34,4.2
1972,1,8,23,8.8,30,3.5
1972,2,22,23,8.6,41,3.6
1972,3,5,32.3,15.5,25,3
1972,4,3,36.7,20,13,2.8
1972,5,1,42.2,25.8,7,2
1972,6,42,40.3,27.5,45,1
1972,7,303,35.1,26,151,-1.6
1972,8,305,32.7,25.2,136,-1.8
1972,9,248,32.3,22.8,121,-0.8
1972,10,54,31.7,18.8,85,-0.8
1972,11,2,28.1,12.3,41,0.2
1972,12,2,23.5,9.4,33,-0.1
1973,1,36,21.7,8.9,43,1
1973,2,17,26.3,11.3,36,1.2
1973,3,11,31.1,15,27,1
1973,4,1,40.1,22.5,10,0.8
1973,5,7,41.5,26,13,0.6
1973,6,99,38.5,27.1,98,1.1
1973,7,238,34.3,25.9,146,-0.8
1973,8,380,32.2,25.5,125,-0.9
1973,9,177,32.8,24.2,118,-0.8
1973,10,203,31.5,19,105,2.1
1973,11,1,28.5,11.1,44,2.3
1973,12,1,21.8,7.2,35,2.3
1974,1,7,21.8,7.5,30,1.8
1974,2,6,24.3,9.6,31,1.6
1974,3,7,33.1,16.7,27,1.3
1974,4,1,39.6,22.3,11,1.1
1974,5,5,40.1,25.2,11,0.8
1974,6,50,38.2,26.6,52,-0.5
