Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.4375 North,82.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,23.7,10.5,43,0.1
1958,2,3,25.6,10.9,34,-0.3
1958,3,15,32.6,15.5,38,-0.2
1958,4,5,38.6,22.3,17,-0.6
1958,5,7,38.8,25.5,14,-1.3
1958,6,75,38.4,27.3,77,-2.4
1958,7,384,32.6,26.4,148,-2.7
1958,8,508,31.7,25.9,110,2
1958,9,125,32.2,25.2,120,0.7
1958,10,44,31.5,20.7,87,-1.4
1958,11,0,28.9,12.2,44,-1.3
1958,12,6,24.3,9.5,35,-1.3
1959,1,54,22.3,9,56,1
1959,2,6,24.9,9.7,36,0.8
1959,3,13,33.1,15.1,43,0.7
1959,4,3,37.4,21.3,18,-0.1
1959,5,25,37.9,25,33,-0.1
1959,6,129,36.8,26.5,129,-0.7
1959,7,379,32.4,26.2,157,-1.2
1959,8,325,32.1,26.1,133,-1.5
1959,9,213,32,25.1,118,-1.5
1959,10,154,30.2,22.1,114,1.5
1959,11,0,27.7,12.8,52,1.8
1959,12,0,24.4,9,35,1.6
1960,1,9,22.1,7.7,36,1.1
1960,2,0,28.7,11.9,36,0.8
1960,3,16,31,14.2,49,0.8
1960,4,5,36.6,20.2,21,0.6
1960,5,22,38.7,24.7,30,-0.2
1960,6,113,37.4,26.9,114,-1.2
1960,7,530,32.4,26.1,138,-0.9
1960,8,290,31.8,26.3,129,-1.3
1960,9,124,32.3,25.2,107,-2.1
1960,10,103,30.5,20.3,110,-1.3
1960,11,1,27.4,11.1,49,-0.8
1960,12,1,24.2,8.3,35,-0.7
1961,1,42,22.6,9,49,1.6
1961,2,15,24,9,46,1.9
1961,3,1,32.2,15.9,45,1.8
1961,4,1,37.2,20.9,20,1.5
1961,5,14,38.2,25.1,24,0.9
1961,6,279,36.2,25.5,159,2.2
1961,7,466,32.9,26.3,156,2.3
1961,8,497,31.8,26,136,3.7
1961,9,207,31.9,25.5,125,3
1961,10,190,30.4,20.3,114,4.9
1961,11,0,25.1,12.3,50,4.8
1961,12,10,20.7,6.3,36,4.7
1962,1,48,21.6,6.9,55,5.3
1962,2,16,25,10.5,46,5.5
1962,3,16,31.4,14.4,68,6.1
1962,4,10,37,21,33,5.9
1962,5,13,37.5,24.7,25,4.9
1962,6,168,37.2,27,141,4.7
1962,7,816,33.6,26.7,153,5.9
1962,8,361,31.8,25.5,125,5.6
1962,9,318,31.5,24.7,120,5.9
1962,10,3,30.5,19,71,4.2
1962,11,0,27.7,12.4,41,3.4
1962,12,2,22.9,8.8,29,2.7
1963,1,7,22.9,6.3,27,1.8
1963,2,6,27.7,10.5,30,1.2
1963,3,26,30.6,14.3,42,1.1
1963,4,8,35.3,20.5,18,0.9
1963,5,26,36.5,23.8,32,0.7
1963,6,141,35.7,25.4,138,-1.8
1963,7,681,33.1,26.1,134,-0.7
1963,8,400,31.7,25.8,130,1.5
1963,9,233,32,24.1,119,1.4
1963,10,43,31.4,21,88,0.8
1963,11,3,27.3,14.7,47,0.8
1963,12,7,24.4,7.9,33,0.6
1964,1,6,21.9,7.5,31,-0.6
1964,2,4,25.4,10.5,31,-1.2
1964,3,5,33.8,16.1,28,-1.7
1964,4,8,37.4,22.1,20,-1.6
1964,5,28,36.7,23,35,-1.4
1964,6,120,37.2,25.9,120,-1.9
1964,7,784,31.5,25.4,137,1.4
1964,8,285,32.4,25.9,137,0.6
1964,9,243,31.7,24.8,116,0.7
1964,10,19,32.8,20.6,78,-1.2
1964,11,0,27.7,11.8,41,-1.3
1964,12,9,23.6,8.3,34,-1.3
1965,1,14,24.4,8.4,35,-1.6
1965,2,8,25.2,10,34,-1.7
1965,3,24,30.4,13.8,43,-1.5
1965,4,8,35.4,19.5,19,-1.5
1965,5,5,37.7,24.1,12,-2.2
1965,6,122,38.3,27,121,-2.7
1965,7,387,32.8,25.9,141,-3
1965,8,281,32.6,25.2,113,-3.1
1965,9,110,32.6,23.8,116,-4
1965,10,68,31.2,20.3,95,-3.6
1965,11,1,27.9,13.1,48,-3.1
1965,12,1,23.8,6.6,33,-3.1
1966,1,10,24.1,8.2,31,-3.2
1966,2,11,27.7,12.3,37,-3
1966,3,0,32.4,15.2,23,-3.5
1966,4,1,37.2,21.3,13,-3.5
1966,5,17,39.1,24.4,24,-3.6
1966,6,182,36.3,25.7,173,-3.1
1966,7,346,34.2,26.3,156,-3.4
1966,8,266,31.9,25.6,121,-4.2
1966,9,75,32.8,24.3,107,-5.2
1966,10,12,32,19.9,73,-5.7
1966,11,1,28.8,12.6,39,-5.8
1966,12,6,23.5,7.5,30,-5.8
1967,1,21,22.6,7.4,34,-5.5
1967,2,5,28.1,11.1,26,-5.8
1967,3,20,30.3,13.7,31,-5.5
1967,4,6,35.8,19.9,14,-5.3
1967,5,16,38.2,24.1,21,-5.2
1967,6,102,37.6,26.3,101,-5.6
1967,7,394,33.3,25.6,139,-5.5
1967,8,465,31.3,25.4,135,-3.6
1967,9,314,32.2,23.9,118,-2.4
1967,10,20,31.2,19.4,80,-2.9
1967,11,0,26.2,12.2,42,-2.9
1967,12,7,23.7,8.7,31,-2.8
1968,1,49,20.9,7.9,52,-1.6
1968,2,5,24.3,9,33,-1.7
1968,3,15,31.7,14.5,42,-1.5
1968,4,6,36.2,20.1,20,-1.3
1968,5,3,37.8,23.9,12,-2.1
1968,6,211,35.3,25.5,158,-1.3
1968,7,415,32.4,25.5,140,-1.3
1968,8,337,32.5,25.4,127,-1.1
1968,9,177,33.9,24.4,119,-1.6
1968,10,96,30.3,20,104,-0.9
1968,11,0,28.3,12.4,47,0.4
1968,12,4,23.7,8.9,36,0.9
1969,1,3,22.3,8.3,33,-0.5
1969,2,2,26.6,11,34,-0.7
1969,3,12,34.8,16,43,-0.7
1969,4,11,36.6,21.2,26,0.3
1969,5,18,37,23.5,27,-0.2
1969,6,122,37.4,26.5,122,-0.7
1969,7,497,32.7,25.5,150,-0.6
1969,8,254,32.3,24.9,115,-1.3
1969,9,193,31.7,24.5,118,-1.6
1969,10,10,32,20.9,76,-2.4
1969,11,1,29.8,13.5,43,-2.5
1969,12,5,24.9,8.2,28,-2.5
1970,1,39,22.8,8.6,47,-1.8
1970,2,25,25,9.6,41,-1.1
1970,3,8,31.3,14.6,36,-1.2
1970,4,1,38.6,21.3,16,-1.4
1970,5,60,38.6,24.9,66,1.4
1970,6,196,35.3,24.5,156,1.7
1970,7,465,33.5,25.8,127,1.7
1970,8,314,32.6,25.9,135,1.2
1970,9,428,32.4,24.7,116,3.2
1970,10,66,32.6,20.7,93,2.8
1970,11,0,28,11.9,46,2.7
1970,12,0,25.1,7.9,31,2.3
1971,1,12,22.3,7.6,33,1.7
1971,2,10,25.4,9.1,37,1.6
1971,3,10,31.9,14.3,39,1.3
1971,4,25,36.4,20.1,39,2.1
1971,5,45,35.5,22.7,52,2.8
1971,6,287,33.3,24.7,136,4.1
1971,7,326,31.4,24.9,140,3.6
1971,8,366,31.3,24.3,116,3.7
1971,9,202,33.2,23.5,121,3
1971,10,169,30.8,20.5,109,4.5
1971,11,1,27.2,12,50,4.5
1971,12,0,24.8,7.6,35,4.1
