Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.8125 North,82.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,24.1,10.7,39,-0.6
1958,2,3,26.1,11.7,30,-1
1958,3,27,33,16.1,39,-0.7
1958,4,5,38.7,22.7,13,-0.8
1958,5,4,39.5,26,9,-1.3
1958,6,59,38.4,27.4,60,-2.4
1958,7,322,32.8,26.3,142,-2.8
1958,8,455,31.7,26,106,-1.1
1958,9,121,31.9,25,114,-2
1958,10,66,31.8,20.8,93,-1.8
1958,11,0,29.1,12.7,44,-1.5
1958,12,3,24.7,10,33,-1.3
1959,1,58,22.5,9.5,59,1.6
1959,2,4,25.3,10.5,34,1.5
1959,3,14,33.3,15.8,33,1.3
1959,4,3,37.5,21.6,13,1.1
1959,5,23,38.5,25.3,29,1.2
1959,6,83,36.6,26.4,83,-0.7
1959,7,287,32.3,26.1,152,-1.5
1959,8,348,32.1,26.1,131,-1.9
1959,9,179,31.6,24.8,117,-2.1
1959,10,173,30.4,22.3,113,1.8
1959,11,1,28.1,13.3,52,2
1959,12,0,24.5,9.3,34,2
1960,1,6,22.3,8,34,1.4
1960,2,2,28.9,12.3,33,1.2
1960,3,28,31.3,15,44,1.4
1960,4,4,36.9,20.4,14,1.1
1960,5,13,39.3,25,19,0.8
1960,6,90,37.1,26.8,90,-0.7
1960,7,463,32.1,26.2,132,0.5
1960,8,322,31.8,26.4,128,-0.1
1960,9,125,31.7,25.2,104,-1.2
1960,10,80,30.8,20.4,102,-0.8
1960,11,1,27.6,11.5,46,0.2
1960,12,0,24.2,8.5,30,0
1961,1,33,22.9,9.5,44,0.8
1961,2,20,24.6,9.6,45,1.3
1961,3,10,32.3,16.7,30,1
1961,4,1,37.4,21.2,12,0.7
1961,5,8,38.7,25.5,15,-0.3
1961,6,192,36.1,25.4,154,0.9
1961,7,402,32.8,26.2,152,1
1961,8,506,31.9,26.2,133,2.8
1961,9,196,31.5,25.3,122,2.3
1961,10,158,30.7,20.2,112,3.7
1961,11,1,25.5,12.4,50,3.7
1961,12,5,20.8,6.7,34,3.7
1962,1,42,21.9,7.3,53,4.2
1962,2,18,25.2,11.1,45,4.6
1962,3,18,31.9,14.8,49,4.7
1962,4,11,37,21.2,25,4.6
1962,5,10,38.1,25.2,18,4
1962,6,128,37,27.2,124,3.8
1962,7,607,33.5,26.6,147,5
1962,8,394,31.5,25.6,118,5.4
1962,9,275,30.9,24.4,114,5.6
1962,10,7,30.8,19,73,4.1
1962,11,0,27.9,12.5,39,3.2
1962,12,1,23.3,9.2,26,2.5
1963,1,10,22.7,6.8,27,1.8
1963,2,5,27.8,10.9,21,1.1
1963,3,26,30.7,15.2,34,1.1
1963,4,9,35.2,20.8,15,1
1963,5,16,36.8,24.1,19,0.9
1963,6,128,35.5,25.3,124,0.8
1963,7,563,32.6,26,127,2
1963,8,372,31.8,26,123,2.3
1963,9,195,31.5,23.9,119,1.9
1963,10,37,31.2,21.2,85,1.2
1963,11,10,27.6,15,48,1.2
1963,12,2,24.5,8.8,29,0.9
1964,1,2,22.2,8.1,26,-1.2
1964,2,4,25.7,11.3,23,-1.6
1964,3,6,33.8,16.9,16,-2
1964,4,8,37.3,22.7,14,-1.9
1964,5,15,37,23.6,19,-1.7
1964,6,83,37.2,25.8,82,-2.4
1964,7,543,31.4,25.5,132,-1.1
1964,8,288,32.3,26.1,133,-1.5
1964,9,210,31.1,24.6,112,-1.2
1964,10,30,33,20.4,83,-1.8
1964,11,0,27.6,12.3,39,-1.8
1964,12,3,24,8.7,30,-1.8
1965,1,8,24.5,8.6,29,-2.2
1965,2,5,25.8,10.6,22,-2.6
1965,3,33,30.6,14.7,41,-2
1965,4,10,35.6,20,16,-1.7
1965,5,4,38.4,24.6,9,-2.1
1965,6,85,38.2,26.9,84,-2.8
1965,7,465,32.5,25.9,141,-2.1
1965,8,277,32.5,25.6,112,-2.3
1965,9,105,32.1,23.6,112,-3.1
1965,10,69,31.3,20.3,94,-2.8
1965,11,6,28,13.6,49,-2.3
1965,12,1,24,7.1,31,-2.2
1966,1,18,23.7,8.9,35,-2.1
1966,2,11,27.9,12.9,34,-2
1966,3,0,32.9,15.9,12,-2.6
1966,4,1,37.6,21.5,8,-2.6
1966,5,9,39.8,24.9,13,-2.8
1966,6,181,36.4,26,172,-1.9
1966,7,426,33.8,26.4,154,-1.7
1966,8,230,31.6,25.9,116,-2.5
1966,9,80,32.1,24.4,109,-3.6
1966,10,13,32.1,19.9,73,-4.2
1966,11,6,29.6,12.8,39,-4.4
1966,12,4,23.4,8.3,25,-4.5
1967,1,14,22.7,8,27,-4.6
1967,2,5,28.3,11.7,14,-5
1967,3,34,30.6,14.5,39,-4.1
1967,4,6,35.8,20.1,10,-4
1967,5,8,38.8,24.6,11,-4
1967,6,76,37.4,26.5,75,-4.6
1967,7,323,33.2,25.5,140,-4.8
1967,8,457,31.4,25.6,131,-3.2
1967,9,264,31.8,23.6,116,-2.2
1967,10,14,31.3,19.5,77,-2.9
1967,11,0,26.4,12.7,39,-3
1967,12,4,24,9.2,27,-2.9
1968,1,37,21,8.5,44,-2.1
1968,2,5,24.7,9.9,27,-2.2
1968,3,21,32,15.5,32,-2
1968,4,5,36.2,20.6,12,-1.9
1968,5,5,38.3,24.5,9,-2.2
1968,6,144,34.7,25.5,139,-1.7
1968,7,307,32,25.7,132,-2.3
1968,8,283,32.5,25.6,129,-2.9
1968,9,166,33.2,24.5,119,-3.1
