Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.3958 North,77.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,22.5,9.6,36,0.7
1958,2,3,24.6,9.9,20,-0.2
1958,3,11,31.7,16.4,20,-0.2
1958,4,1,38.8,22.9,7,-0.6
1958,5,1,41,26.3,5,-0.8
1958,6,11,41,28.2,13,-1.6
1958,7,382,33.3,27.1,136,1.7
1958,8,317,32.9,25.8,104,2.8
1958,9,340,31.5,25,124,4.4
1958,10,66,31.4,18.7,92,4.5
1958,11,3,28,12,44,4.6
1958,12,8,23.3,9.5,31,4.3
1959,1,36,21.1,7.8,44,4.6
1959,2,3,23.8,9.2,24,4.2
1959,3,5,32.5,15.6,15,3.5
1959,4,1,37,21.3,7,3
1959,5,13,40,26.1,17,3
1959,6,20,39.9,28.8,22,2.4
1959,7,217,33.4,26.7,151,1.9
1959,8,246,32.4,26.2,123,1.3
1959,9,159,32.2,25.5,123,1
1959,10,36,32.3,20,84,1
1959,11,7,28,11.3,44,1.2
1959,12,0,24.1,8.4,25,0.9
1960,1,14,20.7,7.2,27,0.7
1960,2,0,28.5,11.8,11,-0.4
1960,3,36,29.7,15,41,0.8
1960,4,2,35.8,20.1,7,0.6
1960,5,3,41.4,26.3,6,-0.2
1960,6,18,40.8,28.6,19,-0.9
1960,7,246,34.3,26.4,134,-0.6
1960,8,390,32.1,26.1,113,1.8
1960,9,79,33.8,24.7,109,0.7
1960,10,186,32,18,114,3.1
1960,11,0,28.4,9.5,54,3.5
1960,12,7,23.6,8.3,33,3.5
1961,1,36,21.3,8.1,44,3.9
1961,2,22,22.1,8.7,45,4.7
1961,3,1,31.2,15.9,17,4
1961,4,2,36.4,20.4,11,3.7
1961,5,4,40.4,26,10,3.3
1961,6,38,39.2,27.6,40,3.2
1961,7,198,34,26.8,141,2.6
1961,8,521,32,25.7,114,4.7
1961,9,121,32.4,25.3,120,3.7
1961,10,157,31.2,18.4,115,5.4
1961,11,3,25.3,11.1,47,5.5
1961,12,7,20.7,5.7,30,5.4
1962,1,42,20.4,6.2,50,6
1962,2,6,24.8,10.7,34,6.2
1962,3,16,30.2,15.3,36,6.1
1962,4,1,37.4,21.4,11,5.7
1962,5,2,40.5,26,8,5
1962,6,19,40.6,27.8,23,4
1962,7,231,35.1,27.5,141,3.7
1962,8,193,33.3,25.9,115,2.6
1962,9,282,31.6,24.3,124,3.6
1962,10,0,31.8,17.5,68,2.6
1962,11,3,27.9,11.3,44,2.3
1962,12,11,22.3,8.1,25,2
1963,1,10,21.7,6,21,1.4
1963,2,5,27,11.1,12,0.9
1963,3,14,30.4,14.9,18,0.6
1963,4,4,35.6,20.6,7,-1.2
1963,5,5,39.2,24.9,8,-1.1
1963,6,39,39.2,27.8,39,-0.9
1963,7,135,35.9,27.5,130,-1.8
1963,8,323,31.9,25.6,117,-1.8
1963,9,349,32.2,23.7,123,2
1963,10,8,33.3,19.4,75,1.3
1963,11,7,28.2,13.6,42,1.2
1963,12,17,23.5,7.2,30,1.4
1964,1,3,19.7,6.1,18,0.6
1964,2,1,24.3,9.9,9,-1.1
1964,3,3,32.8,16.5,8,-1.5
1964,4,2,37.6,21.8,5,-1.6
1964,5,8,39.2,23.9,11,-1.4
1964,6,11,39.8,28.2,13,-2
1964,7,454,33,25.8,139,2.4
1964,8,371,33,26,130,3.8
1964,9,284,31.8,24.2,119,4.7
1964,10,0,32.5,18.4,73,3.6
1964,11,1,28,9.6,33,3
1964,12,10,22.9,7.9,27,2.6
1965,1,8,23.2,9.1,20,1.7
1965,2,11,24.2,10,17,1.3
1965,3,8,30,14.3,12,0.8
1965,4,8,34.1,19.4,11,0.8
1965,5,3,39.2,25.1,5,-1.5
1965,6,6,40.9,29,8,-2.4
1965,7,229,34.7,26.7,159,-2.3
1965,8,184,33.4,25.3,139,-3
1965,9,177,33,23.8,137,-2.9
1965,10,39,32.7,19.3,82,-2.6
1965,11,1,29.1,12.2,36,-2.3
1965,12,0,23,6.6,18,-2.4
1966,1,3,23.2,7.4,12,-2.8
1966,2,10,27.1,12.3,15,-2.7
1966,3,2,31.3,14.9,6,-3
1966,4,0,36.8,21.3,3,-3
1966,5,15,41.1,25.5,16,-2.4
1966,6,60,38.7,27,59,-1.2
1966,7,148,36.6,26.7,142,-2.1
1966,8,322,32.7,25.6,131,-2.2
1966,9,80,33.2,23.8,119,-3
1966,10,49,33.3,18.5,83,-2.6
1966,11,11,27.4,12.1,38,-2.3
1966,12,1,23.3,6.2,22,-2.4
1967,1,3,21.1,6,13,-2.8
1967,2,2,27.6,11.1,8,-3
1967,3,46,29.2,14.4,48,-1.7
1967,4,1,35.8,20,4,-1.8
1967,5,1,40.5,25.2,3,-1.9
1967,6,21,40.7,28.1,22,-2.2
1967,7,241,34.6,26.3,139,-1.8
